"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1504264738.A.38C#00000", "kinby", "我跟男友交往2年多<br>這期間我不小心懷孕了2次<br>不過因為經濟和小孩健康的問題<br>（因為我還正在服用精神科藥物中）我和家人選擇拿掉我的寶寶<br>雖然這過程心情很難過…<br>但是我覺得我家人也是為了我跟寶寶好，，沉靜一段時間<br>我男友就跟我說了，希望到結婚前都不再跟我發生，他有慾望他會自己解決…<br>他說他不希望我又要躺在那裡拿小孩，也不想再看到我痛哭，會心痛，，<br>請問大家…這樣是好的嘛？<br>謝謝大家<br><br>--<br>", "", ""
"Boy-Girl#M.1504264738.A.38C#00001", "Vek1112", "戴套加吃藥能不小心哦 那真的太不小心了，不負責任的人 出事了只會拿掉", "09/01 19:20", "0"
"Boy-Girl#M.1504264738.A.38C#00002", "naruisi", "那他當初幹嘛內射？？", "09/01 19:20", "0"
"Boy-Girl#M.1504264738.A.38C#00003", "nicole22", "為什麼不戴套：)", "09/01 19:20", "0"
"Boy-Girl#M.1504264738.A.38C#00004", "Mephist", "為什麼不避孕就好了", "09/01 19:21", "0"
"Boy-Girl#M.1504264738.A.38C#00005", "carnie", "問男友晚上會做惡夢嗎 搞不好他也需要看醫生", "09/01 19:22", "0"
"Boy-Girl#M.1504264738.A.38C#00006", "garyajar1914", "你不保護自己，他這樣做就是在保護你", "09/01 19:22", "0"
"Boy-Girl#M.1504264738.A.38C#00007", "lovecatbaby", "你們為啥不避孕？活該", "09/01 19:22", "0"
"Boy-Girl#M.1504264738.A.38C#00008", "eternal46", "如果學不會戴套+事前藥 不做是好的", "09/01 19:22", "0"
"Boy-Girl#M.1504264738.A.38C#00009", "a0919414591", "請男友結紮就好了，以後有生育計畫再解開一樣能受孕，我覺得這個方法一勞永逸", "09/01 19:23", "1"
"Boy-Girl#M.1504264738.A.38C#00010", "nacy204327", "避孕啦", "09/01 19:23", "0"
"Boy-Girl#M.1504264738.A.38C#00011", "patrick08", "就不做而已，有什麼好問的?", "09/01 19:24", "0"
"Boy-Girl#M.1504264738.A.38C#00012", "kinby", "只是問意見有需要噓我嘛？ 你就不會失誤嘛？", "09/01 19:25", "0"
"Boy-Girl#M.1504264738.A.38C#00013", "simdavid", "為啥不避孕？還有男友在打預防針了，好自為之。失誤一次我還信，失誤兩次妳要不要考慮跟買個樂透？", "09/01 19:26", "0"
"Boy-Girl#M.1504264738.A.38C#00014", "sshark", "不避孕算是什麼失誤阿?!", "09/01 19:26", "0"
"Boy-Girl#M.1504264738.A.38C#00015", "junepuff", "莫非是天選之人 怎麼避都會中?", "09/01 19:28", "0"
"Boy-Girl#M.1504264738.A.38C#00016", "aaa3476", "兩次失誤？嗯？打手槍也好，別再夾娃娃了", "09/01 19:28", "0"
"Boy-Girl#M.1504264738.A.38C#00017", "LuciusMalfoy", "只有我覺得女生也很扯嗎", "09/01 19:29", "0"
"Boy-Girl#M.1504264738.A.38C#00018", "whiteny", "保 險 套  ！！！不然妳就裝避 孕 器！！！！！", "09/01 19:29", "0"
"Boy-Girl#M.1504264738.A.38C#00019", "superlilo555", "你問這什麼矯情的問題", "09/01 19:29", "0"
"Boy-Girl#M.1504264738.A.38C#00020", "eternal46", "你有做任何避孕措施嗎？有我再推回來", "09/01 19:29", "0"
"Boy-Girl#M.1504264738.A.38C#00021", "namis77", "乖 去婦產科問醫生有哪幾種適合的避孕方法，帶男友去 增加知識", "09/01 19:30", "1"
"Boy-Girl#M.1504264738.A.38C#00022", "dy910833", "成功率 吃藥99% 套子98% 有誰幫我算一下失誤中的機率有多少", "09/01 19:30", "1"
"Boy-Girl#M.1504264738.A.38C#00023", "deenband", "怕噓文就別發文 第一天上PTT嗎....", "09/01 19:30", "0"
"Boy-Girl#M.1504264738.A.38C#00024", "TousBaby", "夠了沒？造孽造夠了沒？清醒點", "09/01 19:31", "0"
"Boy-Girl#M.1504264738.A.38C#00025", "em1234", "兇屁阿 版友有收你諮詢費？ 好心給建議還反嗆", "09/01 19:32", "0"
"Boy-Girl#M.1504264738.A.38C#00026", "naruisi", "套子98%+吃藥99%，還要再乘上兩次，有誰算數好的，請問，機率多少啊？20P板上留言給第一個算出來的", "09/01 19:34", "0"
"Boy-Girl#M.1504264738.A.38C#00027", "TousBaby", "剛好中元要到了，嬰靈也要來了", "09/01 19:34", "0"
"Boy-Girl#M.1504264738.A.38C#00028", "commonjj", "妳是怕他會去找別人做嗎？", "09/01 19:35", "0"
"Boy-Girl#M.1504264738.A.38C#00029", "Eric3105", "你還是結紮好了", "09/01 19:36", "0"
"Boy-Girl#M.1504264738.A.38C#00030", "Acrosstheuni", "兩個都去結紮拜託，沒常識又不自愛", "09/01 19:40", "0"
"Boy-Girl#M.1504264738.A.38C#00031", "elsasa5566", "回n大 中獎機率 (0.01*0.02)^2=0.00000004=千萬分之四(?)", "09/01 19:50", "1"
"Boy-Girl#M.1504264738.A.38C#00032", "schumi7401", "拿兩次 這我還不噓到爆", "09/01 19:51", "0"
"Boy-Girl#M.1504264738.A.38C#00033", "realnofish", "不會避孕？連自己都不愛惜滿腦子只想做", "09/01 19:51", "0"
"Boy-Girl#M.1504264738.A.38C#00034", "yfeel38", "有避孕再來談", "09/01 19:55", "0"
"Boy-Girl#M.1504264738.A.38C#00035", "wawa13579", "墮到兩次...喝喝", "09/01 19:57", "0"
"Boy-Girl#M.1504264738.A.38C#00036", "gox1117", "不避孕結果中了才在那邊哭", "09/01 19:58", "0"
"Boy-Girl#M.1504264738.A.38C#00037", "amy6272000", "人跟暱稱一樣", "09/01 19:58", "0"
"Boy-Girl#M.1504264738.A.38C#00038", "yentop", "兩次叫失誤？", "09/01 20:00", "0"
"Boy-Girl#M.1504264738.A.38C#00039", "Vek1112", "補噓", "09/01 20:00", "0"
"Boy-Girl#M.1504264738.A.38C#00040", "Buurin", "為何不避孕？？", "09/01 20:06", "0"
