"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1505903532.A.F33#00000", "afgxzuk", "在回來的路上<br>搭了一個要上高速公路不可站的公車<br><br>旁邊做了一位感覺很有生活品質的女性<br>一開始她雙手護胸滑手機<br><br>到後來變成<br>胸也不護了，甚至在看手機時時不時發出那種氣息聲的笑，而且感覺很開心<br><br>後來發現<br>她放鬆後<br>變得有點小女人的，坐姿躺的有點低頭時不時往我這靠XD<br><br>我隔壁大嬸一直看著我<br>前面的人一開始聽到她的氣息聲還回頭看了好幾次！<br><br>突然覺得怎麼會有這麼可愛的人<br><br>1.認真時感覺很厲害很認真<br>2.放鬆時感覺像個小女人而且很能做自己<br><br>不過我不認識她<br>只是憑我自己的認知嘗試將一些現實加一點自己的補充！<br><br>就是感覺她散發出的氣質<br>跟一般台女不同！<br><br>沒想到連我這如此仇女的人都會這樣說<br>XD<br><br>感覺她不是那種整天患有少女心、不用男生寵來寵去的，也不用男生請吃大餐，也不會干<br>涉對方興趣的女生<br><br>不知為何！<br>人生搭了7年的公車頭一次感覺<br>坐在她旁邊好安心好舒服<br>在僅短暫1個小時時間裡<br><br><br>--<br>", "", ""
"Boy-Girl#M.1505903532.A.F33#00001", "jsabc", "我報警了", "09/20 18:34", "0"
"Boy-Girl#M.1505903532.A.F33#00002", "Levesque", "你仇女界福爾摩斯喔", "09/20 18:38", "0"
"Boy-Girl#M.1505903532.A.F33#00003", "GGrunrundela", "你還是繼續仇女吧你 可憐", "09/20 18:39", "0"
"Boy-Girl#M.1505903532.A.F33#00004", "mhtvpz", "???", "09/20 18:39", "0"
"Boy-Girl#M.1505903532.A.F33#00005", "survivalteru", "工三洨", "09/20 18:39", "0"
"Boy-Girl#M.1505903532.A.F33#00006", "nacy204327", "阿不就是臉正而已 還什麼仇女是要笑死人 一下就破功了", "09/20 18:40", "1"
"Boy-Girl#M.1505903532.A.F33#00007", "ken8902026", "…", "09/20 18:40", "0"
"Boy-Girl#M.1505903532.A.F33#00008", "smallsix", "做夢嗎", "09/20 18:41", "0"
"Boy-Girl#M.1505903532.A.F33#00009", "nacy204327", "剛剛想到一個名詞很適合你 就是仇女自助餐啦", "09/20 18:43", "0"
"Boy-Girl#M.1505903532.A.F33#00010", "thinline", "看不懂", "09/20 18:46", "0"
"Boy-Girl#M.1505903532.A.F33#00011", "bowl", "hi仇女自助餐", "09/20 18:46", "0"
"Boy-Girl#M.1505903532.A.F33#00012", "formosanus", "87那她到底在看什麼呢？用看的就知道這人的祖宗八代出生年月品貌氣質？", "09/20 18:49", "0"
"Boy-Girl#M.1505903532.A.F33#00013", "GGrunrundela", "hi仇女自助餐，仇女自助餐 讚讚讚！！！！", "09/20 18:49", "0"
"Boy-Girl#M.1505903532.A.F33#00014", "babyMclaren", "照片勒", "09/20 18:50", "0"
"Boy-Girl#M.1505903532.A.F33#00015", "unknown0000", "這版首噓送你", "09/20 18:50", "0"
"Boy-Girl#M.1505903532.A.F33#00016", "superlilo555", "肖ㄟ", "09/20 18:52", "0"
"Boy-Girl#M.1505903532.A.F33#00017", "darkhearo", "腦內劇場很多", "09/20 18:52", "0"
"Boy-Girl#M.1505903532.A.F33#00018", "formosanus", "福爾摩斯+偶像劇", "09/20 18:53", "0"
"Boy-Girl#M.1505903532.A.F33#00019", "crimson11", "XD 仇女自助餐", "09/20 18:57", "0"
"Boy-Girl#M.1505903532.A.F33#00020", "mushroom5566", "hi腦補王", "09/20 19:00", "0"
"Boy-Girl#M.1505903532.A.F33#00021", "HayaSan", ".........", "09/20 19:00", "0"
"Boy-Girl#M.1505903532.A.F33#00022", "zop", "...", "09/20 19:01", "0"
"Boy-Girl#M.1505903532.A.F33#00023", "st88201", "醜仇女自助餐 hi", "09/20 19:01", "0"
"Boy-Girl#M.1505903532.A.F33#00024", "hsmaer", "....", "09/20 19:05", "0"
"Boy-Girl#M.1505903532.A.F33#00025", "everfree", "g軟開砲la～～～", "09/20 19:07", "0"
"Boy-Girl#M.1505903532.A.F33#00026", "roborn173", "就算你是反串發這種文也讓人覺得很低能", "09/20 19:12", "0"
"Boy-Girl#M.1505903532.A.F33#00027", "realnofish", "A一下ID，廢文已經無法滿足你，開始發幻想文了", "09/20 19:13", "0"
"Boy-Girl#M.1505903532.A.F33#00028", "jie123", "公三小", "09/20 19:16", "0"
"Boy-Girl#M.1505903532.A.F33#00029", "tyxyht", "https//i.imgur.com/OsncZ6B.jpg，用你說過的話回你 一眼就看出內在的一定有因果輪迴轉世", "09/20 19:18", "0"
"Boy-Girl#M.1505903532.A.F33#00030", "ssstar12345", "XDD", "09/20 19:24", "0"
"Boy-Girl#M.1505903532.A.F33#00031", "carrot731203", "XDDDDD", "09/20 19:26", "0"
"Boy-Girl#M.1505903532.A.F33#00032", "namis77", "真心覺得恐怖 還是不知道比較好", "09/20 19:28", "0"
"Boy-Girl#M.1505903532.A.F33#00033", "hitomi1128", "不認識之前還是別把話說這麼滿吧？免得又繼續加重你，的仇女情形。", "09/20 19:31", "0"
"Boy-Girl#M.1505903532.A.F33#00034", "civilian", "原來是因果輪迴轉世啊", "09/20 19:33", "0"
"Boy-Girl#M.1505903532.A.F33#00035", "gillian30917", "好好笑 哈哈", "09/20 19:35", "0"
"Boy-Girl#M.1505903532.A.F33#00036", "zop", "討戰文？", "09/20 19:41", "0"
"Boy-Girl#M.1505903532.A.F33#00037", "zop", "從你的回應已經轉成討戰文了", "09/20 19:49", "0"
"Boy-Girl#M.1505903532.A.F33#00038", "aa22412", "?????", "09/20 19:50", "0"
"Boy-Girl#M.1505903532.A.F33#00039", "Buurin", "夢醒了嗎？", "09/20 19:59", "0"
"Boy-Girl#M.1505903532.A.F33#00040", "bugbuug", "哦 暑假不是結束了嗎", "09/20 20:01", "0"
"Boy-Girl#M.1505903532.A.F33#00041", "courge1138", "原來生活品質可以用感覺的", "09/20 20:04", "0"
"Boy-Girl#M.1505903532.A.F33#00042", "sky1429000", "不忍噓", "09/20 20:04", "0"
"Boy-Girl#M.1505903532.A.F33#00043", "shanpinlo", "臉正就是王道！只仇醜女不仇正妹 讚讚", "09/20 20:06", "0"
"Boy-Girl#M.1505903532.A.F33#00044", "m0630821", "好噁心的OS", "09/20 20:07", "0"
"Boy-Girl#M.1505903532.A.F33#00045", "friends29", "你好無聊喔", "09/20 20:15", "0"
"Boy-Girl#M.1505903532.A.F33#00046", "janjananya", "補血推", "09/20 20:21", "0"
"Boy-Girl#M.1505903532.A.F33#00047", "dualsnake", "好噁哦 幹嘛意淫別人啊", "09/20 20:25", "0"
