"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1506679296.A.B59#00000", "tt882266", "自從交了男朋友以後就很喜歡看男女之間的文章、短劇<br>像是蓋彼、Ｈmaster Low、啾啾妹<br>感覺好像多看有益感情發展那樣<br>但其實只是想邊看邊標記男友叫他多學學<br><br>突然想到我跟寶寶的語言<br>好像也是蠻妙的<br><br>語言一：<br>在賴上打「啾啾啾」<br>就表示我們用賴親親<br><br>語言二：<br>去逛街試穿鞋子的時候有時候鞋子太大我就跟寶寶說<br>這個尺寸「哈巴哈巴」<br>就表示鞋子太大<br><br>語言三：<br>有次跟男友回家吃飯<br>對著男友發出「空咬食物的聲音」<br>其實是要他夾菜給我吃<br>但忘記這是我們平常互動的方式<br>只看到男友的爸媽一臉疑惑的看著我們<br>這時我一有一個想法....就是想趕快找個洞跳進去....<br><br><br>--<br>", "", ""
"Boy-Girl#M.1506679296.A.B59#00001", "AppleOuO", "醒醒 彈粗乃惹", "09/29 18:02", "0"
"Boy-Girl#M.1506679296.A.B59#00002", "keroming", "閱", "09/29 18:04", "0"
"Boy-Girl#M.1506679296.A.B59#00003", "kuraki156", "呃", "09/29 18:05", "0"
"Boy-Girl#M.1506679296.A.B59#00004", "dodoreen", "多看那種文章對感情發展是反效果吧，撒嬌是很好很可愛，1還好23在公開場合用自創語言別人會不舒服", "09/29 18:06", "1"
"Boy-Girl#M.1506679296.A.B59#00005", "wu0u4", "第三 知恥近乎勇", "09/29 18:09", "0"
"Boy-Girl#M.1506679296.A.B59#00006", "Buitend", "感覺算滿常見的? https//goo.gl/b6yRHU", "09/29 18:15", "0"
"Boy-Girl#M.1506679296.A.B59#00007", "sa091181", "其實打在臉書閃就可以了", "09/29 18:17", "0"
"Boy-Girl#M.1506679296.A.B59#00008", "Jenny0725", "到時候分手就是傷心的語言了QQ", "09/29 18:17", "0"
"Boy-Girl#M.1506679296.A.B59#00009", "akagawa", "男友？寶寶？", "09/29 18:18", "0"
"Boy-Girl#M.1506679296.A.B59#00010", "philandsam", "這樣公開撒嬌放閃根本羞恥play", "09/29 18:21", "0"
"Boy-Girl#M.1506679296.A.B59#00011", "suaygiho", "呃…", "09/29 18:22", "0"
