"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1511580968.A.BFB#00000", "moshenisshit", "台灣就是個政治正確氾濫到噁心的地方。<br><br><br>妳不孝順？我不太懂父母搞爛自己的人生，<br><br>連帶小孩一起過著辛苦日子，<br><br>還有什麼理由要求小孩要孝順啦，<br><br>自己的人生自己負責，小孩不是養來綁架的。<br><br><br>媽媽保護妳？多少父母用這個當擋箭牌綁架小孩，<br><br>自認為多活20年就能為所欲為，<br><br>小孩不能有半點自己的人生和想法啦，<br><br>一堆人年輕時抱怨父母保護過頭，<br><br>年紀到了換了位置、換了腦袋說自己為孩子好。<br><br><br>36歲單親爸玩玩？這時候就沒人出來說歧視啦，<br><br>想想看如果是一個36歲單親媽，<br><br>如果被說成一頭外遇母豬、一定是不負責任，<br><br>看看政治正確迷迷們還不群起跳腳？<br><br>一樣單親，男生就必須被懷疑成家暴、懷疑不忠，<br><br>而單親媽往往就被定位成辛苦的受害者，<br><br>怪不得單親爸能夠尋求的政府資源往往比單親媽少。<br><br><br>政治正確就是這麼有趣，<br><br>各位男生結婚記得考慮清楚，免得離婚之後，<br><br>離婚原因被懷疑是家暴前妻，前妻絕對沒問題；<br><br>是否離婚還要被像犯人一樣檢查身分證，完全沒尊嚴；<br><br>想追求下一段幸福被說成玩玩小妹妹，不值得幸福；<br><br><br>也絕對不會有人出來說性別歧視！<br><br>也絕對不會有人出來說性別歧視！<br><br>絕對！沒有！<br><br>--<br>", "", ""
"Boy-Girl#M.1511580968.A.BFB#00001", "medlife0830", "這明顯不是保護過頭 你到底是想說甚麼，沒有經濟能力 學業沒完成 單親媽媽 男方不結婚", "11/25 11:39", "0"
"Boy-Girl#M.1511580968.A.BFB#00002", "hitoshiseki", "只是想引戰吧 哈哈", "11/25 11:40", "0"
"Boy-Girl#M.1511580968.A.BFB#00003", "medlife0830", "這樣的條件你要她隻身去美國 說這樣是自由", "11/25 11:41", "0"
"Boy-Girl#M.1511580968.A.BFB#00004", "medlife0830", "美名追求幸福 製造別人痛苦", "11/25 11:43", "0"
"Boy-Girl#M.1511580968.A.BFB#00005", "deweyj", "這麼悲憤，又是美國ip，難道你是文中男朋友？", "11/25 11:43", "0"
"Boy-Girl#M.1511580968.A.BFB#00006", "yaokut", "是不是玩玩不知道，但36歲啥都沒有的情況，就瞞著家人奔向美國，也不告知家人，甚至多數錢都是靠家裡資助，也不會多", "11/25 11:43", "1"
"Boy-Girl#M.1511580968.A.BFB#00007", "toshism", "幹話王", "11/25 11:45", "0"
"Boy-Girl#M.1511580968.A.BFB#00008", "Marchosias", "水喔 兩三下又讓自己變成受害者", "11/25 11:46", "0"
"Boy-Girl#M.1511580968.A.BFB#00009", "yaokut", "讓人覺得好棒棒 XD", "11/25 11:48", "0"
"Boy-Girl#M.1511580968.A.BFB#00010", "mark32504", "推樓上三月哥神回 哈哈", "11/25 11:48", "0"
"Boy-Girl#M.1511580968.A.BFB#00011", "lindafairy", "完全搞錯重點唉", "11/25 11:50", "0"
"Boy-Girl#M.1511580968.A.BFB#00012", "sinomin", "……唉", "11/25 11:56", "0"
"Boy-Girl#M.1511580968.A.BFB#00013", "iloveannasui", "所以，這個個案，你覺得可以支持原po跟媽媽撕破臉，去美國投奔男朋友？", "11/25 11:57", "1"
"Boy-Girl#M.1511580968.A.BFB#00014", "tsuki0826", "亂源", "11/25 12:02", "0"
"Boy-Girl#M.1511580968.A.BFB#00015", "shaphanty", "你媽知道她的兒子是這種樣子嗎？", "11/25 12:03", "0"
"Boy-Girl#M.1511580968.A.BFB#00016", "takuyo", "看不懂到底在講什麼", "11/25 12:16", "0"
"Boy-Girl#M.1511580968.A.BFB#00017", "hoe1101", "你確定文章有看完嗎? 不要腦補好嗎", "11/25 12:31", "0"
"Boy-Girl#M.1511580968.A.BFB#00018", "chiyin", "關政治正確屁事", "11/25 12:43", "0"
"Boy-Girl#M.1511580968.A.BFB#00019", "liulaopi", "所以要找人負責下台了是嗎？", "11/25 12:49", "0"
"Boy-Girl#M.1511580968.A.BFB#00020", "mikami1027", "男的就說不會再結婚 也不願意來臺灣見她 如果女生自己的能力拿得到美國offer我不覺得媽媽會反對成這樣", "11/25 12:55", "1"
"Boy-Girl#M.1511580968.A.BFB#00021", "Guadai", "引戰，補噓", "11/25 13:12", "0"
"Boy-Girl#M.1511580968.A.BFB#00022", "Guadai", "你應該是不知道哪裡中槍了所以森氣氣對不對", "11/25 13:14", "0"
"Boy-Girl#M.1511580968.A.BFB#00023", "ChikanDesu", "追求愛情很棒啊，不過看來被甩的話他沒有任何一丁點承擔能力，這才是問題好嗎？不是自殺就是給媽媽擦屁股", "11/25 13:23", "1"
"Boy-Girl#M.1511580968.A.BFB#00024", "nacy204327", "同意阿 一窩蜂以為媽媽阻止女兒人生發展是多正當不過的事情，拜託都成年了，就算有挫折也要讓子女自己承擔，而不是一味用親情勒索對方，一堆假道學垃圾看了就覺得好笑", "11/25 13:27", "1"
"Boy-Girl#M.1511580968.A.BFB#00025", "medlife0830", "談不上勒索 經濟自己要負責 憑甚麼要媽媽付錢，全部都自己賺 再來談成年了 自己選擇", "11/25 13:32", "0"
"Boy-Girl#M.1511580968.A.BFB#00026", "medlife0830", "吃別人用別人的 滿口自由獨立 根本與現實脫節", "11/25 13:37", "0"
"Boy-Girl#M.1511580968.A.BFB#00027", "moshenisshit", "政治正確邏輯：「我身邊36歲沒結婚的女生都是挑剩，的」—>性別歧視！！台灣女生真可憐；「我身邊36歲失婚男都是雞雞癢」—>對對對，這是事實！！我也這麼覺得", "11/25 13:44", "0"
"Boy-Girl#M.1511580968.A.BFB#00028", "wawa13579", "講得好像我喜歡有什麼不可以反正成年了w啊不就無限上，綱", "11/25 14:37", "0"
"Boy-Girl#M.1511580968.A.BFB#00029", "demitri", "是個讀不出重點的朋友呢，媽媽幹嘛付錢給一個不負責任的男人玩弄自己女兒？？？", "11/25 15:08", "0"
"Boy-Girl#M.1511580968.A.BFB#00030", "moshenisshit", "結婚才叫負責任？女生又拿出什麼誠意讓男生想娶呢？原來性別平等的台灣感情還是男生負責啊，真是平等呢", "11/25 15:17", "1"
"Boy-Girl#M.1511580968.A.BFB#00031", "moshenisshit", "政治正確邏輯：老男人一定是雞雞癢啦，年輕女孩一定是受害者！！這時候我要歧視男生誰也攔不住我啦！！需要的時候父母不能管我要幹嘛，我成年啦！！但是你為什麼不給父母好好管呢？父母是為你好欸！！", "11/25 15:19", "1"
"Boy-Girl#M.1511580968.A.BFB#00032", "demitri", "男的根本沒有付出多少 都是女的自己花錢去找男的！正常的3X歲不會叫個沒經濟能力的情人花那麼多錢！不結婚是吧？女的20歲決定這輩子就不結婚嗎？除非女的抱定不婚主義 而且年紀歷練有了 不然哪個3X歲的人 明知自己不想結婚 會想這樣耽誤人？", "11/25 15:28", "0"
"Boy-Girl#M.1511580968.A.BFB#00033", "demitri", "不結婚沒關係 有共識就好 但問題是 都是男的單方面的毛，他根本不想付出 根本不想妥協 連女方媽媽都懶得搞定這叫夠認真 夠愛？都是單方面的付出 男的根本毫無風險就算不是3X歲單親爸爸 沒年齡差的情侶都已經很糟了", "11/25 15:30", "0"
"Boy-Girl#M.1511580968.A.BFB#00034", "demitri", "更不要說一個條件這樣又遠距離的對象了，這根本跟性別平等沒關係 女的也可以玩弄男的好嗎？看看他們兩方的得失：男的不用花錢得到青春肉體不用結婚 不用處理家長問題   女的呢？", "11/25 15:32", "0"
"Boy-Girl#M.1511580968.A.BFB#00035", "demitri", "為了這男的跟媽媽鬧翻 花大筆錢往來台灣美國，犧牲學業  男的超爽的都賺到沒損失 女的得到什麼？", "11/25 15:34", "0"
"Boy-Girl#M.1511580968.A.BFB#00036", "Latizhate", "別說啦，女的得到或失去什麼按照他們前面的邏輯是女生自己會負責，成年了不需要人干涉。那就好啊，大家會講會懷疑也是擔心，給個建議。不是說老男人就怎樣，無論男女都會被欺騙感情，重點在於年齡造成的社會歷練程度還有經濟能力差距太大了。事情應該怎麼做最後還是女生自己判斷，希望她會真的負起判斷後的責任就好。", "11/25 15:42", "1"
"Boy-Girl#M.1511580968.A.BFB#00037", "Latizhate", "確實成年了幸福或挫折都是自己決定並一力承擔，能說就要能做到。至於扯什麼性別引戰議題的，我看你是完全搞錯方向了。", "11/25 15:44", "1"
"Boy-Girl#M.1511580968.A.BFB#00038", "demitri", "絕對不是年紀問題 36歲男有拿出誠意就不是問題，問題是他誠意在哪？", "11/25 15:48", "0"
"Boy-Girl#M.1511580968.A.BFB#00039", "Latizhate", "鄉民為啥要給建議，為啥要跟媽媽一起懷疑？如果女生過去以後很幸福的生活那當然一切祝福，恭喜她追求到她所想要的；如果不幸恰好就是玩玩你而已，玩爽就丟，自己擔責任吧，不要叫親人再來安慰你幫你彌補錯誤。兩種結果都有可能性，沒有人能保證發生的是什麼，那還不如先預防性的給建議不是嗎？難道等發生了事情才要哭哭啼啼當初大家怎麼沒提醒我？", "11/25 15:50", "1"
"Boy-Girl#M.1511580968.A.BFB#00040", "tatol", "不要反串了 政治正確個頭", "11/25 16:41", "0"
"Boy-Girl#M.1511580968.A.BFB#00041", "hyakkiyagyo", "就是一個夜間部學店貨看到綠卡出水發病罷了", "11/25 16:43", "0"
"Boy-Girl#M.1511580968.A.BFB#00042", "penny949", "...", "11/25 17:02", "0"
"Boy-Girl#M.1511580968.A.BFB#00043", "angelafreet", "嘻嘻", "11/25 17:16", "0"
"Boy-Girl#M.1511580968.A.BFB#00044", "effk", "想引戰", "11/25 17:27", "0"
"Boy-Girl#M.1511580968.A.BFB#00045", "currymeow", "重點完全搞不清楚是想引戰？", "11/25 17:31", "0"
"Boy-Girl#M.1511580968.A.BFB#00046", "wawa13579", "說什麼用親情綁架，客觀狀況那男的就是很不行，到時候女兒騙又花光錢怎辦？還不是哭著找媽媽～媽講的很清楚：要一意孤行就不要回去找她了，哪裡有問題？不想為女兒體驗人生收拾爛攤子還不行喔z以為自己看法好棒棒好特別其實只是亂源", "11/25 17:31", "1"
