"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1515375296.A.C49#00000", "father7", "本魯宅覺得你把對話內容公開此舉很不妥<br><br>想必你是不甘心被戴綠帽<br><br>po上來讓一群人替你肉搜讚聲辱罵出氣討拍。<br><br><br>一個極度成熟穩重的男人遇到這種事<br>只會打通電話跟她冷淡分手<br>不需向外界大肆宣傳<br>也不需要跟她說的太多<br><br><br><br>之後所要做的就是把所有的不甘心化為動力<br><br>專心在事業上，提升自己的生活品質<br><br>班一樣要上，會一樣要開<br><br>時間不會因為你的難過而停止<br><br>下班後找些興趣健身慢跑游泳<br><br>把這些事填滿時間，讓自己沒辦法分心去難過<br><br>總會去到熟悉的場合<br><br>經過曾經吃過的餐廳<br><br>以前一起走過的回憶<br><br>想哭的時候就躲在被窩裡哭<br><br>哭過之後必須要擦乾眼淚繼續向前走<br><br>身為一個男人最重要的是事業與家人<br><br>而不是這個只在你漫長人生中短暫停留的過客<br><br>感謝她曾經來過你的生命裡替你上一課<br><br>讓你提早成熟，提早蛻變<br><br>讓自己的每一天都活的不一樣<br><br><br><br>現在能做的就是讓自己成為更好的自己<br><br>等待下個真正會和你一起度過餘生的人到來<br><br><br><br>最後<br><br>不要有報復與怨恨的心<br><br>學著原諒看淡一切<br><br>若干年後你會與你妻子笑著訴說這段往事<br><br><br>香吉士曾說過：<br><br><br>https://i.imgur.com/3S53GxJ.jpg<br>※ 引述《cha3335u (育誠)》之銘言：<br>: 就在剛剛已經分手了<br>: 她眼睛紅著<br>: 一句話也沒說，點了點頭，就走回去了...<br>: 也許我做的過火了點吧....<br>: 還是希望這件事情就到此為止了<br>: 後續也不會有任何更新了..<br>: 畢竟分了就分了，不想再有瓜葛<br>: 她的IG下午就停用了，也不用再找了<br>: 謝謝各位的關心，我會很好<br><br>--<br>", "", ""
"Boy-Girl#M.1515375296.A.C49#00001", "moshenisshit", "這年頭是渣男和婊子深怕行為被公諸於世，所以一天，到晚洗腦被劈腿的人要向前看，不要公審嗎？", "01/08 09:37", "0"
"Boy-Girl#M.1515375296.A.C49#00002", "mekiael", "能原諒女友跟別的男人傳裸照約砲的才是男人對吧？", "01/08 09:39", "0"
"Boy-Girl#M.1515375296.A.C49#00003", "Joker3", "你這篇觀念正確但風向不對一定會被噓 就跟一樓一樣 幫補血", "01/08 09:39", "1"
"Boy-Girl#M.1515375296.A.C49#00004", "moshenisshit", "看來是有人被說中開始對人指指點點囉，渣男婊子不意外向前看以前，把對方的惡行公開也只是剛好而已", "01/08 09:41", "1"
"Boy-Girl#M.1515375296.A.C49#00005", "fujioqq", "這作法是最實際的 報仇啥的根本沒意義 就出一口氣而已", "01/08 09:42", "0"
"Boy-Girl#M.1515375296.A.C49#00006", "mekiael", "向前看跟po出來又不衝突，邏輯很有事…", "01/08 09:44", "0"
"Boy-Girl#M.1515375296.A.C49#00007", "hahapova", "所以你是魯宅不意外", "01/08 09:45", "0"
"Boy-Girl#M.1515375296.A.C49#00008", "kobe8112", "做任何事情有沒有意義本來就看當事人吧，很見仁見智啊..", "01/08 09:46", "1"
"Boy-Girl#M.1515375296.A.C49#00009", "hobbes", "說的容易，遇到時誰知呢", "01/08 09:46", "0"
"Boy-Girl#M.1515375296.A.C49#00010", "ealleneee91", "出ㄧ口氣跟看開可以同時進行，原po也沒Po臉，很有風度了", "01/08 09:47", "0"
"Boy-Girl#M.1515375296.A.C49#00011", "keyt99130", "跟廢死一樣,別把自己的想法加註在別人身上,遇到後再來說嘴", "01/08 09:50", "1"
"Boy-Girl#M.1515375296.A.C49#00012", "asdfg5247", "雖然我也贊成你的觀念 可是被劈感覺還是要做些什麼事情憋著一口氣只會越憋越難受 所以除了更努力的生活 還是要搭配一些瘋狂的事情來宣洩心中那股怨氣 例如上山大哭大吼", "01/08 09:52", "1"
"Boy-Girl#M.1515375296.A.C49#00013", "cha3335u", "謝謝你 我會努力變成你口中如此理想的男人", "01/08 09:52", "0"
"Boy-Girl#M.1515375296.A.C49#00014", "Joker3", "正常健康的男生會用正向的方式發洩 PO感覺超屁的 雖然很爽", "01/08 09:55", "1"
"Boy-Girl#M.1515375296.A.C49#00015", "wateryc", "漫畫你也信 而且漫畫那有婊成這副模樣嗎", "01/08 10:00", "0"
"Boy-Girl#M.1515375296.A.C49#00016", "charmsylvie", "原po已經厚道到不行，對於一個受到傷害的人來說，無法跟身邊朋友訴苦，只能在網路跟陌生人訴苦，不悲哀嗎？", "01/08 10:00", "1"
"Boy-Girl#M.1515375296.A.C49#00017", "PuElLa", "抱怨後一樣可以往前啊，說男人男人是怎樣", "01/08 10:04", "0"
"Boy-Girl#M.1515375296.A.C49#00018", "jamesinhw", "好棒，最成熟了", "01/08 10:05", "0"
"Boy-Girl#M.1515375296.A.C49#00019", "doyou321", "陳年老魯……", "01/08 10:06", "0"
"Boy-Girl#M.1515375296.A.C49#00020", "royflower", "太理想了    又不是出來選模範生", "01/08 10:07", "0"
"Boy-Girl#M.1515375296.A.C49#00021", "MissFei", "公開是本人宣洩的一種，至少已經馬賽克，我覺得沒什麼不好。", "01/08 10:08", "1"
"Boy-Girl#M.1515375296.A.C49#00022", "audzzz", "漫畫講講幹話可以 把幹話當真是現實跟二次元分不清楚嗎", "01/08 10:19", "0"
"Boy-Girl#M.1515375296.A.C49#00023", "pita30", "原來公開跟向前走只能二選一阿？", "01/08 10:21", "0"
"Boy-Girl#M.1515375296.A.C49#00024", "globe1022", "這世界上只有兩件事最讓人開心，ㄧ是花別人錢，二就是報仇", "01/08 10:21", "1"
"Boy-Girl#M.1515375296.A.C49#00025", "ggro", "他是出來警告我們有人被放出來了啊", "01/08 10:22", "0"
"Boy-Girl#M.1515375296.A.C49#00026", "wutsubasa", "如果是女人當然沒錯, 可惜原文那隻算禽獸類", "01/08 10:23", "0"
