"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1516879102.A.AA8#00000", "Rose5566MVP", "交往半年 常會為了之類的事吵架<br>女生可能覺得我不夠在意他<br>我是覺得為什麼要為這種小事吵架<br><br><br>希望網友能幫我們找出兩人的原因<br><br>早上7：30<br>女友到公司後傳了訊息<br><br>https://i.imgur.com/pfVaZat.jpg<br>然後我回要去忙了<br>就沒聊什麼了<br><br>———————過了4個小時————————<br><br>中午12點<br><br>https://i.imgur.com/GoWObJq.jpg<br>https://i.imgur.com/Cuj0zyq.jpg<br>https://i.imgur.com/ln4UyC7.jpg<br>https://i.imgur.com/03hmJkF.jpg<br>https://i.imgur.com/8EI5L3Q.jpg<br>https://i.imgur.com/PVqwqxj.jpg<br>https://i.imgur.com/Ps5iKsn.jpg<br>https://i.imgur.com/yRceg7Y.jpg<br>到現在還沒達到共識<br>希望網友看完我們的對話後<br>能幫我們點出各自的問題<br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1516879102.A.AA8#00001", "IamMajor", "女生很幼稚，你也沒事不知道在硬什麼，這時候哄一下就好這時候不需要解釋一堆，妳就哄個幾句不就好了", "01/25 19:20", "1"
"Boy-Girl#M.1516879102.A.AA8#00002", "omare", "分啊。還要想？", "01/25 19:20", "0"
"Boy-Girl#M.1516879102.A.AA8#00003", "linjason5068", "過來人 你的問題", "01/25 19:20", "0"
"Boy-Girl#M.1516879102.A.AA8#00004", "LuciusMalfoy", "女生很無聊 感覺吃飽太閒", "01/25 19:22", "0"
"Boy-Girl#M.1516879102.A.AA8#00005", "super1315566", "你真的不用解釋那麼多，哄個「我好想你」之類的就沒事了。嘴巴甜一點，事情省很多", "01/25 19:22", "1"
"Boy-Girl#M.1516879102.A.AA8#00006", "Levesque", "沒默契", "01/25 19:23", "0"
"Boy-Girl#M.1516879102.A.AA8#00007", "roadking", "哄一下可以省很多後續麻煩", "01/25 19:24", "0"
"Boy-Girl#M.1516879102.A.AA8#00008", "bowl", "呃...先表明我是女生，看下來其實到男生不知道什麼盒子也傻，眼XDDD因為明明早上就看過，而且女生也是用‘盒子’來稱呼非餐盒，但我覺得生氣的原因不純是這件事情吧？猜她平日就覺得你說話容易敷衍她才會說你敷衍...然後這次就是累積後的爆氣這樣。不然純粹這件事來說沒什麼好生氣的～我比較想知道你是不是真的在敷衍她XDDD", "01/25 19:26", "0"
"Boy-Girl#M.1516879102.A.AA8#00009", "oneeee", "哄一下很難嗎?幹嘛吵，而且早上明明就傳給你過了，還可以忘記，傻眼", "01/25 19:27", "0"
"Boy-Girl#M.1516879102.A.AA8#00010", "toshism", "我覺得你太扯 剛剛講完就可以忘記 然後忘了自己不會往上，拉一下 明明很簡單就可以避免的事到底為什麼你不能往上拉一下", "01/25 19:28", "0"
"Boy-Girl#M.1516879102.A.AA8#00011", "antjuice", "我也有傻眼到XD 而且她還有說是"早上盒子" 結果你卻回什麼盒子～～你自己往上滑一下不就好了嗎", "01/25 19:29", "1"
"Boy-Girl#M.1516879102.A.AA8#00012", "fujioqq", "你們兩個幾歲阿 這有啥好吵的", "01/25 19:29", "0"
"Boy-Girl#M.1516879102.A.AA8#00013", "toshism", "不會覺得你敷衍 但會懷疑你記性真的有那麼差？因為中間你們都沒有別的對話 所以我認為這樣就忘有點傻眼", "01/25 19:30", "0"
"Boy-Girl#M.1516879102.A.AA8#00014", "DoraMi01", "其實我也覺得早上提到的像她說的只有那個盒子而已～不過我認為她可以嬌一下回那個餐盒就好了，但你也真的很沒神經又脾氣硬", "01/25 19:31", "1"
"Boy-Girl#M.1516879102.A.AA8#00015", "toshism", "覺得是你忘記了卻還很嘴硬，是否會很不願意承認自己錯？其實說句 好嘛 我一時忘了嘛", "01/25 19:33", "0"
"Boy-Girl#M.1516879102.A.AA8#00016", "antjuice", "而且她其實一開始有說了是早上盒子，你最後面還要凹說以為是昨天拆耳環的盒子", "01/25 19:33", "1"
"Boy-Girl#M.1516879102.A.AA8#00017", "gpgpi", "你都說好可愛了...還問什麼盒子，這是敷衍沒錯吧？", "01/25 19:34", "0"
"Boy-Girl#M.1516879102.A.AA8#00018", "feafea", "我可以體會忘記，因為早上只傳圖片，講了幾個字，也沒提，到盒子，或再多聊相關的事。上午的工作若是再忙一陣子，可能真的會忘記這種小事情。", "01/25 19:34", "0"
"Boy-Girl#M.1516879102.A.AA8#00019", "toshism", "應該就會好很多", "01/25 19:35", "0"
