"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1517225770.A.EF0#00000", "Hellohihihi", "首先<br>謝謝大家建議我是原Po<br>看完大家留言我也有省思自己覺得有處理不當地方，有認真給我回覆或站內信鄉民真的很<br>感謝。讓我意識到自己很多地方沒做好，我看完之後也有向女友道歉了，<br>她也很開心我懂她委屈的點了。<br>謝謝大家給的指教讓我知道自己哪裡幼稚還有女友委屈的點在哪。<br>我很愛她我跟她感情也很好，也希望自己可以跟她一直走下去。<br>可能昨天自己情緒上回覆比較激烈但還是謝謝大家給的建議我都有聽進去下次遇到這種狀<br>況也會知道怎麼應變<br>以上<br><br>補充—————————-<br><br>除了給我指教的人我很感謝還有那些對我家世背景攻擊的人，我不知道怎麼跟你們做回應<br>，<br>看起來只會讓我覺得你是仇富心態羨慕嫉妒趁機亂酸而已...........<br><br>--<br>", "", ""
"Boy-Girl#M.1517225770.A.EF0#00001", "silverEN", "反省推", "01/29 19:58", "0"
"Boy-Girl#M.1517225770.A.EF0#00002", "luli0034", "呃 這補充是因為真的很氣嗎", "01/29 20:28", "0"
"Boy-Girl#M.1517225770.A.EF0#00003", "Hellohihihi", "哦對呀哈哈哈，自己比較幼稚看到那種回覆還是想回一下抱歉惹", "01/29 20:30", "1"
"Boy-Girl#M.1517225770.A.EF0#00004", "newthings", "我覺得攻擊家世可能是因為明明家世應該有不錯又穩定的家庭環境，可能可以帶給孩子良好的品格教育，但原po卻沒有表現出同理心或是著想的方式對待女友，需要版友一直推文後才能發現，所以才會開酸吧", "01/29 20:33", "1"
"Boy-Girl#M.1517225770.A.EF0#00005", "yaokut", "不錯的家世，卻養出這種個性的人，才會讓人想攻擊吧 XDD，這種補充，也只是更讓人確定說 家世跟教養出來的品格絕對是兩回事啊 (笑)", "01/29 20:43", "0"
"Boy-Girl#M.1517225770.A.EF0#00006", "mikami1027", "XDDDDDDD", "01/29 20:47", "0"
"Boy-Girl#M.1517225770.A.EF0#00007", "babylife", "你知道家世好可能造就大頭症跟謙虛有禮兩種人，你跟你家人們是哪一種呢？你這篇的回應又是哪一種呢？", "01/29 20:49", "1"
"Boy-Girl#M.1517225770.A.EF0#00008", "theimmortal", "這個補充XDDDDD", "01/29 20:57", "0"
"Boy-Girl#M.1517225770.A.EF0#00009", "realnofish", "這補充好棒啊，表面反省實際酸人，樓上y大真是客氣了", "01/29 21:09", "0"
