"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1520293926.A.FAA#00000", "beverly4222", "手機排版 首發請見諒<br><br>昨天晚上跟男友在電話裡吵了一架 導火線是排下週出門的行程 我問他說晚上去哪裡好不<br>好 他起初回答 再看看 後來隨口又補了一句<br>「再說啦 跟你出門很累」 震驚之餘我向他表達 這句話很傷人  以為他要道歉了 結果他<br>回答<br>「就真的很累啊 還要騎車去」<br>後來我跟他說 只要哄我一下就好 我就不生氣了 結果他說了一次對不起就沒有下文<br><br>溝通之後了解 男友的想法是 他覺得他沒有說錯 當天行程很累人 所以他才會說「跟我出<br>門很累」他不覺得自己講錯話 覺得是我大驚小怪 不能理解為什麼我要生氣 生氣都道歉<br>我還不開心<br><br>但對我來說 就是聽到「跟你出門很累」這句話很傷心啊<br>如果不是那個意思或講錯話為什麼不馬上道歉<br>看到我很傷心了結果也是含糊的隨便道歉一下<br>其他什麼話都不想說<br>我不滿意他的做法 還反過來怪我太無理取鬧<br>也沒要他大費周章做什麼 說錯話之後嘴巴甜一點我就會很開心了不會那麼在意了啊QQ<br><br>板上有人能理解我男友的想法嗎<br>還是因為我太盧他沒有問題QQ?（有時候因為他太篤定 太理直氣壯 會懷疑是不是自己的<br>問題）<br><br><br><br><br><br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Boy-Girl#M.1520293926.A.FAA#00001", "catherine379", "https//www.facebook.com/nacokotv/videos/887656604722706/拍謝忘記縮網址https//goo.gl/rEkhZw", "03/06 07:55", "1"
"Boy-Girl#M.1520293926.A.FAA#00002", "cho3375", "跟妳出門就很累吧？妳是不是把行程排很滿？或是都去很遠，的地方，還要男友接送？", "03/06 07:57", "0"
"Boy-Girl#M.1520293926.A.FAA#00003", "angels", "因為又不是妳騎車", "03/06 07:59", "0"
"Boy-Girl#M.1520293926.A.FAA#00004", "beverly4222", "他說那句話的原因是 我問一起打工完之後要不要一起去附近逛逛吃宵夜 不是因為途中把行程塞得很滿很累", "03/06 08:01", "1"
"Boy-Girl#M.1520293926.A.FAA#00005", "wedman", "意思就是跟你出去很累", "03/06 08:02", "0"
"Boy-Girl#M.1520293926.A.FAA#00006", "sarutobi", "你沒有想要解決你們之間的問題吧，就算他道歉了，你開，心了，他還是覺得跟你出門很累", "03/06 08:03", "0"
"Boy-Girl#M.1520293926.A.FAA#00007", "angels", "啊妳不會直接問為什麼很累，只要他道歉就爽了？妳根本不想解決問題，只想把提出問題的人解決", "03/06 08:04", "0"
"Boy-Girl#M.1520293926.A.FAA#00008", "beverly4222", "他有解釋不是那個意思 因為我那樣解讀他才覺得無理取鬧", "03/06 08:04", "1"
"Boy-Girl#M.1520293926.A.FAA#00009", "wedman", "沒 就是那個意思 男生很單純 他會這樣說只是因為你不高興", "03/06 08:06", "0"
