"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1520957875.A.AFA#00000", "dreamingyou", "想問版上男生<br><br>如果你們的老婆沒有很好看的話<br><br>會想出錢跟她一起拍婚紗嗎？<br><br>有去getmarry版看了一下 意外發現原來胖新娘還挺多的<br><br>在版上請別人幫她挑婚紗 可是婚紗那麼貼 那個身材缺陷畢露啊......<br><br>不知道她們的老公看到老婆這樣會是什麼感想<br><br>就算不是胖的 如果是化妝也不會好到哪裡去的醜醜的老婆<br><br>還要跟她在大家面前一起擺出濃情蜜意的拍照姿勢不是很尷尬嗎<br><br>想知道版上男生如果遇到這樣 是不是會乾脆勸她不要拍？<br><br>(女的不要來亂 謝謝<br><br>--<br>", "", ""
"Boy-Girl#M.1520957875.A.AFA#00001", "suiminkusuri", "你女友怎麼還沒甩了你啊 還想結婚", "03/14 00:20", "0"
"Boy-Girl#M.1520957875.A.AFA#00002", "ryoma1", "要看女方怎麼想吧？情人眼裡出西施，也不可能會勸說不拍", "03/14 00:21", "0"
"Boy-Girl#M.1520957875.A.AFA#00003", "zizii", "你才不要來亂啦", "03/14 00:21", "0"
"Boy-Girl#M.1520957875.A.AFA#00004", "devidevi", "你死定了，胖不等於缺陷，懂不懂得欣賞而已...", "03/14 00:21", "0"
"Boy-Girl#M.1520957875.A.AFA#00005", "alston17", "情人眼裡出西施 哪裡輪的到你說嘴", "03/14 00:22", "0"
"Boy-Girl#M.1520957875.A.AFA#00006", "SARDONYX2000", "請相信愛情的力量", "03/14 00:23", "0"
"Boy-Girl#M.1520957875.A.AFA#00007", "applekiwi", "我寧願不拍 拍了照片也不會想拿出來看，她想拍就自己去拍吧", "03/14 00:23", "0"
"Boy-Girl#M.1520957875.A.AFA#00008", "xyzgod999", "奇怪了，當你決定要跟對方步入終身，一定是有值得讓你這樣做的，怎麼還會說好不好看，兩人幸福洋溢的表情就會超過外貌那些了，你多參加親友婚禮翻翻婚紗照吧", "03/14 00:29", "1"
"Boy-Girl#M.1520957875.A.AFA#00009", "tiffany87654", "又是你 快滾啦", "03/14 00:49", "0"
"Boy-Girl#M.1520957875.A.AFA#00010", "InHanchiao2", "別在這丟人現眼", "03/14 00:51", "0"
"Boy-Girl#M.1520957875.A.AFA#00011", "mista1130", "能披白紗不是為了好看吧", "03/14 00:58", "0"
"Boy-Girl#M.1520957875.A.AFA#00012", "KMTRIP", "我男的來亂了", "03/14 00:58", "0"
"Boy-Girl#M.1520957875.A.AFA#00013", "zop", "有病", "03/14 01:04", "0"
"Boy-Girl#M.1520957875.A.AFA#00014", "popgsct", "像你這種人還有肯嫁的女森 是要我們肥宅崩潰嗎!!", "03/14 01:18", "0"
"Boy-Girl#M.1520957875.A.AFA#00015", "asthedew", "看了你之前的文章 你到底想幹嘛= =", "03/14 01:36", "0"
"Boy-Girl#M.1520957875.A.AFA#00016", "amy660156", "又是你= = 看到哀低進來噓的", "03/14 01:46", "0"
"Boy-Girl#M.1520957875.A.AFA#00017", "Modipret", "你很帥？", "03/14 03:04", "0"
"Boy-Girl#M.1520957875.A.AFA#00018", "kissdodo", "到底要不要放過你女友？", "03/14 06:39", "0"
"Boy-Girl#M.1520957875.A.AFA#00019", "fablife", "大家開心就好，胖也很多婚紗可以挑，看海外一堆啊......", "03/14 06:45", "1"
"Boy-Girl#M.1520957875.A.AFA#00020", "HayaSan", "呵呵", "03/14 06:49", "0"
"Boy-Girl#M.1520957875.A.AFA#00021", "lemomo0212", "說的很有道理，不過我想先問一下，你有照過鏡子嗎？", "03/14 06:49", "0"
"Boy-Girl#M.1520957875.A.AFA#00022", "yang32610", "誇張", "03/14 06:49", "0"
"Boy-Girl#M.1520957875.A.AFA#00023", "cyfjntkc", "噁", "03/14 06:54", "0"
"Boy-Girl#M.1520957875.A.AFA#00024", "annaliu1991", "只有白嫩瘦的女生才有資格得到另一半的濃情蜜意？你有高壯帥嗎？", "03/14 07:08", "1"
"Boy-Girl#M.1520957875.A.AFA#00025", "neweb", "人家是真愛，你不懂", "03/14 07:13", "0"
"Boy-Girl#M.1520957875.A.AFA#00026", "gdodgang", "嘻嘻 偏偏要來亂，衝啊 一早先挑戰個x3先", "03/14 07:19", "0"
"Boy-Girl#M.1520957875.A.AFA#00027", "stellah3aez", "你自己就高壯帥有人魚線嗎？", "03/14 07:28", "0"
"Boy-Girl#M.1520957875.A.AFA#00028", "Grecie", "不要幻想你有女友好嗎", "03/14 07:34", "0"
"Boy-Girl#M.1520957875.A.AFA#00029", "dsting", "反串可以維持這麼久很有毅力耶", "03/14 07:44", "0"
"Boy-Girl#M.1520957875.A.AFA#00030", "HayaSan", "原來是反串啊", "03/14 07:47", "0"
"Boy-Girl#M.1520957875.A.AFA#00031", "ninie403", "早安", "03/14 07:49", "0"
"Boy-Girl#M.1520957875.A.AFA#00032", "reinana", "你自己長多帥，身材多好啊，發個圖來娛樂大家一下啊", "03/14 07:51", "0"
"Boy-Girl#M.1520957875.A.AFA#00033", "cvoa1026", "不要擔心你一輩子都不會有的困擾", "03/14 07:53", "0"
"Boy-Girl#M.1520957875.A.AFA#00034", "realnofish", "原來是那個自以為很帥在辦公室裡到處討好人自以為是，中央空調卻老是上來嫌棄女友的傢伙啊，你還在幻想自己很帥哦？好好笑", "03/14 07:58", "0"
"Boy-Girl#M.1520957875.A.AFA#00035", "P612101", "就是想噓你", "03/14 08:12", "0"
"Boy-Girl#M.1520957875.A.AFA#00036", "gtocat", "妳又胖又醜的老婆拿把關刀站在你後面，她非常火！", "03/14 08:12", "0"
"Boy-Girl#M.1520957875.A.AFA#00037", "LuciusMalfoy", "先脫魯再說", "03/14 08:17", "0"
"Boy-Girl#M.1520957875.A.AFA#00038", "LuciusMalfoy", "補噓", "03/14 08:19", "0"
"Boy-Girl#M.1520957875.A.AFA#00039", "suikameizi", "噁心", "03/14 08:19", "0"
"Boy-Girl#M.1520957875.A.AFA#00040", "x3215987", "又是你，欠噓", "03/14 08:20", "0"
"Boy-Girl#M.1520957875.A.AFA#00041", "candaptt", "噓一個", "03/14 08:24", "0"
"Boy-Girl#M.1520957875.A.AFA#00042", "AKAHOSHI", "很醜連出門都不想 居然還能交往結婚", "03/14 08:51", "0"
"Boy-Girl#M.1520957875.A.AFA#00043", "leo70125", "前三句看完就不想看了 直接噓", "03/14 08:56", "0"
"Boy-Girl#M.1520957875.A.AFA#00044", "emb20089", "看到這帳號一次噓一次", "03/14 08:57", "0"
"Boy-Girl#M.1520957875.A.AFA#00045", "Dimestico", "有事", "03/14 09:02", "0"
"Boy-Girl#M.1520957875.A.AFA#00046", "philandsam", "又是你", "03/14 09:09", "0"
"Boy-Girl#M.1520957875.A.AFA#00047", "h81456", "酷喔 這邏輯", "03/14 09:12", "0"
"Boy-Girl#M.1520957875.A.AFA#00048", "Tochter", "又是你", "03/14 09:14", "0"
"Boy-Girl#M.1520957875.A.AFA#00049", "pbrotherbala", "欠噓", "03/14 09:18", "0"
"Boy-Girl#M.1520957875.A.AFA#00050", "civilian", "這id就是要噓^^", "03/14 09:25", "0"
"Boy-Girl#M.1520957875.A.AFA#00051", "bilibo", "那你幹嘛跟人家結婚  想騙財嗎?", "03/14 09:25", "0"
"Boy-Girl#M.1520957875.A.AFA#00052", "zanwu", "嗯？", "03/14 09:26", "0"
"Boy-Girl#M.1520957875.A.AFA#00053", "pillooow", "不要幻想自己有女友了好嗎", "03/14 09:29", "0"
"Boy-Girl#M.1520957875.A.AFA#00054", "abree726", "又是你", "03/14 09:30", "0"
"Boy-Girl#M.1520957875.A.AFA#00055", "everfree", "有事嗎你", "03/14 09:34", "0"
