"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1522134510.A.6B9#00000", "LeGGoRay", "打完才發現文章有點長，造成大家不便請見諒<br>------------------------------------------------------------------------<br><br>本人今年6月即將從大學畢業<br>原本預計畢業後回台北要搬去女友目前租的房子同居<br>但最近的一些狀況讓我有點卻步...<br><br>如前言所說，我目前還是學生，但讀的並不是台北的學校，而是在南部<br>因此目前和女友算是處於遠距離交往的狀況中<br>女友前陣子因為一些原因從家裡搬出來自己租房子<br>因為女友的要求比較高，所以找的房子租金自然也就貴了不少，月租23000<br>由於房子並沒有附家具，因此生活上的必備品，家電，收納櫃等等都要自己買<br>女友因為提早出社會的關係，有了一點存款，所以她覺得這些條件她可以接受<br>我也想說，好吧既然妳都說OK了我沒有什麼理由拒絕，反正之後我回來兩人一起，負擔也會比較小一點<br><br>於是我們便開始處理搬家的事情，打包行李、採買家具、整理家裡等等<br>一切都安頓好了之後，女友說"之後房租你要付喔"<br>我愣了一下說「蛤？」，我以為我聽錯了<br>她說「我在講房租的事，你總不能要我既負擔了押金跟家具，還要自己付房租吧」<br>我說「但這不是妳說要租的嗎，而且我也沒住在裡面，要我付房租有點說不過去吧」<br>女友開始生氣「所以你現在是打算不負責任囉，現在我不算是你的責任就對了」<br>我說「不是，我的意思是房租這是妳說OK的，而且我也沒住在裡面，就算我住在裡面了，也應該是我們兩個共同去分擔這個房租」<br>女友說「我為了我們的家買了家具花掉了幾乎我所有的存款，我有說什麼嗎，男朋友幫女友付房租不是很正常的事情嗎，我很多朋友的男朋友都是這樣，還是你覺得你的錢是錢，我的錢不是錢？」<br><br>總之後面就不斷在吵這件事，最後的協議是我打工的錢會拿來幫她付20000<br>零頭跟其他水電雜支由她來負責<br>一切都談完之後，我也回到學校準備完成最後一個學期的學業<br><br>這邊必須提一下，我女友是極度沒有安全感，極度需要人陪的女生<br>因此我除了上課、打工、洗澡的時間之外都是必須跟她講電話的(LINE)<br>一開始會覺得沒什麼，甚至覺得蠻甜蜜的，但是時間一久，真的會覺得累<br>每天通話都要掛著，但其實也沒講什麼特別的事，每天大概都超過8小時吧<br>而且必須等她睡著才能掛，偏偏她又是習慣晚睡的人，隔天如果要上班或上課的話，真的很累<br>幾乎沒有一點私人的空間，放假回台北也是，只要沒事的時候就一定要陪著她<br>只是偶爾跟她說我想去打球，想跟朋友出去，她都會不開心<br>她說「我們現在能待在一起的時間本來就不多了，你還不多陪陪我，整天只想往外跑」<br>如果我是三天兩頭就跑出去鬼混，沒有陪她，那確實可以說是我的錯<br>問題是我沒有，我的生活非常單純，跟朋友出去不是運動就是看電影<br>自己在家的時候就是打打遊戲或是看看書，而且我陪她的時間還真沒少過<br>只要我人在台北，一週7天一定7天都有見面，而且一定都至少8小時<br>長久下來真的很累，我也為了這件事跟她大吵到快分手過<br>我說「我需要有自己的時間跟空間，妳也要有自己的生活圈，妳太以我為生活重心，對妳很不好，對我也是一種負擔妳知道嗎」<br>她說「那是因為你太不成熟了，才會還想要玩，夠成熟的男人不會說這種話」<br>我說「我不是想玩，我只是需要自己的空間，我覺得妳這樣太黏人了，我很累，遲早會分手」<br>最後她答應我會節制一點，給我有自己的私人時間我才放下分手的念頭<br>但時至今日情況並沒有什麼改善，反而在搬家後有更嚴重的傾向<br>半夜常常打電話把我叫醒說睡不著或問我愛不愛她已經是家常便飯了<br>現在甚至連有點小感冒，都沒辦法自己去看醫生，一定要叫我回去<br>自己的衣服不能自己洗，一定要放到等我回去讓我洗<br>廚餘也不拿去倒掉，就冰在冷凍庫等我回去才倒<br>最最誇張的是她連工作也不做了，她說因為我不在，而且她只要一工作身體就不舒服，所以她以後也不打算工作，要給我養，問題是她想過的就是那種貴婦的生活，我根本不覺得自己有辦法只靠一份薪水就能讓她過這種生活，所以我們常為這種事情大吵<br>必須說我女友不是不好，但她對男女相處之間的事就特別有公主病<br>包括覺得男生應該負擔所有花費，覺得男生就應該工作養女生不該讓女生工作，覺得男生應該把家事都處理好，總之她就是覺得現在應該是女權為大的社會，男生就應該做多一點，而不是處處要講求公平<br>最近一次引爆點是昨天，她興高采烈的跟我說她想去哪裡玩，我說當然好啊，以後等我們存多一點就去<br>她說「可是有一個優惠只到4月，之後去會貴好幾萬，到時候你要負責嗎」<br>我有點火「負什麼責，你不知道現在是什麼狀況嗎，每個月光付房租錢都快不夠了，你覺得哪來的錢出去玩」<br>她說「房租本來就是你應該想辦法的，怎麼可以我說要花什麼錢你說沒錢」<br>我說「沒有的東西就是沒有，我請問妳妳都沒在工作了，妳存款花完是要用什麼錢，妳現在不省一點嗎」<br>她說「不要叫我省錢，你覺得一個好男人會叫自己的女人省一點嗎」<br>於是之後又大吵了一架，分手的念頭也又浮出來了<br><br>想問各位的問題是：<br>1.覺得女友要求我付房租是正常的嗎<br>2.在這時候提分手，時機點會不會很爛<br><br>--<br>", "", ""
"Boy-Girl#M.1522134510.A.6B9#00001", "Impbe", "是 否", "03/27 15:14", "0"
"Boy-Girl#M.1522134510.A.6B9#00002", "ryan49700", "哇 有夠扯 一定很正", "03/27 15:16", "0"
"Boy-Girl#M.1522134510.A.6B9#00003", "k91217", "快分吧", "03/27 15:16", "0"
"Boy-Girl#M.1522134510.A.6B9#00004", "lesnaree2", "一起住付房租 超級正常 ， 要分就分吧 如果她很正的話自然會有有錢人接手", "03/27 15:16", "1"
"Boy-Girl#M.1522134510.A.6B9#00005", "Levesque", "好男人要配好女人，她是好女人嗎？只會要求人付出", "03/27 15:20", "0"
"Boy-Girl#M.1522134510.A.6B9#00006", "Athens", "你還是快逃吧，這女的真的太扯", "03/27 15:21", "0"
"Boy-Girl#M.1522134510.A.6B9#00007", "shaphanty", "歡喜做甘願受啊", "03/27 15:22", "0"
"Boy-Girl#M.1522134510.A.6B9#00008", "Stroman", "你就沒有錢啊 快醒醒", "03/27 15:23", "0"
"Boy-Girl#M.1522134510.A.6B9#00009", "toto0202", "太棒了金童玉女", "03/27 15:23", "0"
