"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1523407484.A.0BE#00000", "Piker", "各位早安<br><br>本魯的前女友跟她妹妹都是屬於乖乖牌那種可愛清純的女生<br><br>最近和前女友分手了<br><br>跟朋友聊了自己的心情<br><br>結果他說:其實她妹感覺比較適合妳，聰明又獨立，你也這麼想吧？<br><br>然後我仔細回想<br><br>的確她跟她妹比起來，條件更勝一籌<br><br>但也是在兩個都還沒相處過後的情況下<br><br>妹妹不但比她更聰明，還更有自己的想法且至今仍然單身<br><br>我是認真的<br><br>假如我去追她妹妹，是不是有哪裡不妥啊？<br><br>畢竟和前女友分手是我提的，她和她妹感情也不錯<br><br>她妹妹對我也不是沒有好感，就只是沒單獨相處過而已<br><br>目前都還是大學生，有人有類似的經驗嗎？<br><br>--<br>", "", ""
"Boy-Girl#M.1523407484.A.0BE#00001", "grass30630", "有種就去試試看啊", "04/11 08:45", "0"
"Boy-Girl#M.1523407484.A.0BE#00002", "criticalbird", "試試看啊，如果你覺得沒任何不妥XD", "04/11 08:47", "0"
"Boy-Girl#M.1523407484.A.0BE#00003", "talk5566", "如果看上眼 連他爸爸媽媽都可以追 愛情不分年齡", "04/11 08:47", "0"
"Boy-Girl#M.1523407484.A.0BE#00004", "needtoknow", "這麼多女人為什麼偏偏要去找前女友妹妹，她們兩人之間的感情多少會被影響吧不要做這種事比較好即使沒人規定不行", "04/11 08:50", "0"
"Boy-Girl#M.1523407484.A.0BE#00005", "tracy0620", "你可以試試看啊，不怕被拒絕的話。", "04/11 08:51", "0"
"Boy-Girl#M.1523407484.A.0BE#00006", "a951357330", "加油，衝啊，看起來希望超大", "04/11 08:52", "0"
"Boy-Girl#M.1523407484.A.0BE#00007", "jass970991", "這種幻想文大家可以不要認真嗎", "04/11 08:53", "0"
"Boy-Girl#M.1523407484.A.0BE#00008", "pttbeer", "…", "04/11 09:03", "0"
"Boy-Girl#M.1523407484.A.0BE#00009", "SWALLOW0716", "看起來你是沒有尷尬恐懼症，不過她妹可能有", "04/11 09:04", "0"
"Boy-Girl#M.1523407484.A.0BE#00010", "ppnow", "你是認真的想3P對不對", "04/11 09:08", "0"
"Boy-Girl#M.1523407484.A.0BE#00011", "jumisui", "真的假的，喔...不好吧，不管你還是對方，什麼朋友，亂出主意", "04/11 09:14", "1"
"Boy-Girl#M.1523407484.A.0BE#00012", "Joker3", "吃過幾次姊妹和閨密 只能說比單女更好追 因為有共同話題", "04/11 09:20", "0"
