"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1523498265.A.8AE#00000", "ivylinlin", "自己父母都是老師 從小就很少聽到國罵<br>但男友如果心情很差或開車遇到三寶時 常常飆三字經<br>雖然知道他們家是做工程的 還是希望能多少改變他<br>且他對我很好 也是很有責任感沒什麼不良嗜好的人<br>只是聽到亂問候人家媽媽時感覺不太舒服<br>請問大家也什麼好的辦法嗎~?<br><br>--<br>", "", ""
"Boy-Girl#M.1523498265.A.8AE#00001", "wolfliang", "跟他們做工程有什麼關係嗎？", "04/12 10:01", "0"
"Boy-Girl#M.1523498265.A.8AE#00002", "a010204", "哇 你好高等 書香家庭 老師女兒好讚喔", "04/12 10:01", "0"
"Boy-Girl#M.1523498265.A.8AE#00003", "BlueBoneFish", "看人吧 他一講就嘖+厭惡臉瞪他 我是這樣被戒髒話的w以前最多到靠北而已 現在吵架都譙不出來氣勢弱 QQ", "04/12 10:02", "1"
"Boy-Girl#M.1523498265.A.8AE#00004", "gracegrace5", "分手啊", "04/12 10:02", "0"
"Boy-Girl#M.1523498265.A.8AE#00005", "wea567", "講人家家裡做工程的怎麼了嗎？那是你男友的個人行為與他家裡做什麼無關吧？看不起做工程的？", "04/12 10:02", "1"
"Boy-Girl#M.1523498265.A.8AE#00006", "tp0952", "你最高等囉！", "04/12 10:03", "0"
"Boy-Girl#M.1523498265.A.8AE#00007", "InHanchiao2", "分啊", "04/12 10:04", "0"
"Boy-Girl#M.1523498265.A.8AE#00008", "a010204", "這告訴我們 老師不一定會教自己的小孩 讀書人欸好棒喔，做工程好低等喔", "04/12 10:05", "0"
"Boy-Girl#M.1523498265.A.8AE#00009", "salutelin", "老師就不會罵髒話喔？", "04/12 10:06", "0"
"Boy-Girl#M.1523498265.A.8AE#00010", "sister4949", "這跟家裡做什麼無關", "04/12 10:06", "0"
"Boy-Girl#M.1523498265.A.8AE#00011", "tp0952", "書香世家好棒", "04/12 10:07", "0"
"Boy-Girl#M.1523498265.A.8AE#00012", "ltou", "建議是多認識一些人吧，講髒話真的沒有什麼", "04/12 10:10", "0"
"Boy-Girl#M.1523498265.A.8AE#00013", "boom0704", "前男友爸爸校長媽媽國文老師還不是照樣問候人家爸媽祖，母", "04/12 10:10", "0"
"Boy-Girl#M.1523498265.A.8AE#00014", "mandalin", "對拉對拉 你講的話讓人最舒服惹", "04/12 10:11", "0"
"Boy-Girl#M.1523498265.A.8AE#00015", "lovebysense", "太多吐槽點了，罵髒話就比較低等？做工程怎麼了嗎？做工程就一定會罵髒話？", "04/12 10:11", "1"
"Boy-Girl#M.1523498265.A.8AE#00016", "popwert", "直接跟他說你不喜歡他一直說髒話，真的在意你的話，就會改變", "04/12 10:13", "1"
"Boy-Girl#M.1523498265.A.8AE#00017", "lesnaree2", "哇 沒想到這麼多人喜歡聽髒話 我操你媽咧", "04/12 10:14", "0"
"Boy-Girl#M.1523498265.A.8AE#00018", "roborn173", "看來父母都是老師教出來的小孩也不怎樣", "04/12 10:16", "0"
"Boy-Girl#M.1523498265.A.8AE#00019", "t19960804", "哇  書香世家的血統真他媽優質   我操", "04/12 10:16", "0"
"Boy-Girl#M.1523498265.A.8AE#00020", "namis77", "家裡不講髒話的人跟家裡常講髒話的人在一起而已...", "04/12 10:18", "0"
"Boy-Girl#M.1523498265.A.8AE#00021", "lesnaree2", "幹 我覺得可以分手啦 我也不喜歡人家講髒話", "04/12 10:19", "0"
"Boy-Girl#M.1523498265.A.8AE#00022", "wea567", "不是喜歡聽髒話喔。因為是她文章一開始搬出她父母老師。然後後來又講男友家裡做工程的，想表達自已家世比較厲害？？？？？", "04/12 10:19", "1"
"Boy-Girl#M.1523498265.A.8AE#00023", "lesnaree2", "我不覺得她有覺得自己比較厲害 就不喜歡人家講髒話而已操他媽的", "04/12 10:21", "1"
"Boy-Girl#M.1523498265.A.8AE#00024", "wea567", "你這樣一直講等下她生氣哈哈哈哈", "04/12 10:21", "0"
"Boy-Girl#M.1523498265.A.8AE#00025", "tp0952", "大家不要嘴人家高級職業。  》_《", "04/12 10:22", "0"
"Boy-Girl#M.1523498265.A.8AE#00026", "zeoki", "我平常不會罵，但騎車就是會罵.....", "04/12 10:23", "0"
"Boy-Girl#M.1523498265.A.8AE#00027", "grass30630", "幹超認同你，講髒話的人最差勁囉", "04/12 10:25", "0"
"Boy-Girl#M.1523498265.A.8AE#00028", "QuantumHsia", "想笑www", "04/12 10:27", "0"
"Boy-Girl#M.1523498265.A.8AE#00029", "sundaylover", "你是不是覺得自己高人一等ㄚ", "04/12 10:29", "0"
"Boy-Girl#M.1523498265.A.8AE#00030", "rogerkidd", "分手啊，這種習慣99.99%改不了的，妳介意就分", "04/12 10:30", "0"
"Boy-Girl#M.1523498265.A.8AE#00031", "yaokut", "表達環境差異造成的影響嗎？@@ 那你都知道環境差異了，這種事情很難改變，因為已經根深蒂固了，除非他個人有意識到。", "04/12 10:32", "1"
"Boy-Girl#M.1523498265.A.8AE#00032", "Jester9254", "哇！好棒棒！書香世家耶！老師父母有沒有教到，要尊，重別人啊？", "04/12 10:34", "0"
"Boy-Girl#M.1523498265.A.8AE#00033", "a010204", "幹 讀書人比較高等不能講髒話 好像我是粗俗人，險", "04/12 10:36", "0"
"Boy-Girl#M.1523498265.A.8AE#00034", "coolricky", "我家也是做工程的 ,倒是不會出口成*髒*, 個人認為自己的情緒管理還是比較重要......", "04/12 10:37", "1"
"Boy-Girl#M.1523498265.A.8AE#00035", "IyonNokia", "操他媽的最討厭別人講髒話 幹", "04/12 10:37", "0"
"Boy-Girl#M.1523498265.A.8AE#00036", "nyxqqqwer", "幹你講的真他媽有道理  罵髒話的人都沒教養", "04/12 10:38", "0"
"Boy-Girl#M.1523498265.A.8AE#00037", "orpersephone", "當老師真的沒有比較高級，結案。", "04/12 10:42", "0"
"Boy-Girl#M.1523498265.A.8AE#00038", "yoyoyo916", "做工程就比較會罵髒話?", "04/12 10:43", "0"
"Boy-Girl#M.1523498265.A.8AE#00039", "Derrick906", "戰職業", "04/12 10:46", "0"
"Boy-Girl#M.1523498265.A.8AE#00040", "final007", "你們老說我脾氣不好，我是被你們惹的", "04/12 10:46", "0"
"Boy-Girl#M.1523498265.A.8AE#00041", "id41030", "你是不是覺得人家高攀妳", "04/12 10:52", "0"
"Boy-Girl#M.1523498265.A.8AE#00042", "hwsh60013", "髒話有什麼問題嗎？你不喜歡就跟你男友溝通 扯職業身家擺明欠噓啊", "04/12 10:54", "1"
"Boy-Girl#M.1523498265.A.8AE#00043", "Guadai", "引戰文 大家理性發言", "04/12 10:58", "0"
"Boy-Girl#M.1523498265.A.8AE#00044", "TRIMGAL", "他常說「幹你娘」還是「操機掰」還是「他媽的」？如果是「幹你娘」就別擔心，因為這只是說說並不會真的去幹的", "04/12 11:01", "0"
"Boy-Girl#M.1523498265.A.8AE#00045", "TRIMGAL", "若是「操機掰」的話，這只是個動詞加名詞，生理上的需求罷了，只是比較不好聽一點點而已而「他媽的」這種廢詞稱不上三字經，請他去多練一些更有力的三字經詞句。", "04/12 11:03", "1"
"Boy-Girl#M.1523498265.A.8AE#00046", "UneRose", "看到噓文罵髒話 老師的女兒會森氣氣嗎", "04/12 11:03", "0"
"Boy-Girl#M.1523498265.A.8AE#00047", "az57150", "贛", "04/12 11:04", "0"
"Boy-Girl#M.1523498265.A.8AE#00048", "Europa", "某些留言會不會太過頭了...", "04/12 11:04", "0"
"Boy-Girl#M.1523498265.A.8AE#00049", "dantevergil", "反串", "04/12 11:06", "0"
"Boy-Girl#M.1523498265.A.8AE#00050", "jameskoy", "垃圾老師也一堆 難道你家....？", "04/12 11:07", "0"
"Boy-Girl#M.1523498265.A.8AE#00051", "god487", "明顯欠噓", "04/12 11:07", "0"
"Boy-Girl#M.1523498265.A.8AE#00052", "EdgeOfPeople", "自以為高尚", "04/12 11:08", "0"
"Boy-Girl#M.1523498265.A.8AE#00053", "ll1117", "如果是這樣，妳改吧。有責任有肩膀但是沒水準的人贏過多，數有水準的偽君子", "04/12 11:09", "0"
"Boy-Girl#M.1523498265.A.8AE#00054", "philandsam", "我也不喜歡別人罵髒話 但diss別人的職業跟講髒話一樣刺耳", "04/12 11:10", "1"
"Boy-Girl#M.1523498265.A.8AE#00055", "lf25074428", "淦旎嬢勒", "04/12 11:11", "0"
"Boy-Girl#M.1523498265.A.8AE#00056", "powerless128", "干卿底事？", "04/12 11:14", "0"
"Boy-Girl#M.1523498265.A.8AE#00057", "a0913", "QQ 我常常罵耶 女友媽媽也是老師 語助詞而已", "04/12 11:16", "0"
"Boy-Girl#M.1523498265.A.8AE#00058", "pita30", "分手吧 他們在工地都髒髒的 配不上你們書香世家", "04/12 11:18", "0"
"Boy-Girl#M.1523498265.A.8AE#00059", "otis12347", "又不是罵妳...", "04/12 11:19", "0"
"Boy-Girl#M.1523498265.A.8AE#00060", "starguardian", "工程屌打老師好嗎  老師除了大學 智商越往下越低", "04/12 11:20", "0"
"Boy-Girl#M.1523498265.A.8AE#00061", "Lemon2528231", "釣魚文==", "04/12 11:20", "0"
"Boy-Girl#M.1523498265.A.8AE#00062", "popocha", "看來爸媽都是老師的小孩也不過這樣", "04/12 11:23", "0"
"Boy-Girl#M.1523498265.A.8AE#00063", "zop", "妳跟他提過嗎？", "04/12 11:25", "0"
"Boy-Girl#M.1523498265.A.8AE#00064", "dawn5566", "他大概覺得做工程的都會這樣吧 QQ", "04/12 11:27", "0"
"Boy-Girl#M.1523498265.A.8AE#00065", "scott0002", "罵髒話很正常", "04/12 11:28", "0"
"Boy-Girl#M.1523498265.A.8AE#00066", "youwiiiiiii", "嘔嘔嘔嘔嘔", "04/12 11:29", "0"
"Boy-Girl#M.1523498265.A.8AE#00067", "AndreaC0324", "她只是想表達兩個人成長背景不一樣而已，兩方家庭都是靠專業賺錢，文化不一樣，有必要酸ㄧ片嗎？", "04/12 11:29", "1"
"Boy-Girl#M.1523498265.A.8AE#00068", "ffgghh2233", "好笑", "04/12 11:29", "0"
"Boy-Girl#M.1523498265.A.8AE#00069", "kapwe", "你家最高尚", "04/12 11:30", "0"
"Boy-Girl#M.1523498265.A.8AE#00070", "joewu8267", "快分手", "04/12 11:31", "0"
"Boy-Girl#M.1523498265.A.8AE#00071", "mericho", "分手，反正妳也會瞧不起他的工作夥伴及朋友", "04/12 11:31", "0"
"Boy-Girl#M.1523498265.A.8AE#00072", "s91156", "你知道我們學校教授還會對學生罵三字經嗎", "04/12 11:31", "0"
"Boy-Girl#M.1523498265.A.8AE#00073", "fchen088", "做工程怎麼了？", "04/12 11:32", "0"
"Boy-Girl#M.1523498265.A.8AE#00074", "a5205205207", "所以你覺得老師>>>>>>>工程？是不是覺得你降低格調，跟他在一起", "04/12 11:33", "0"
"Boy-Girl#M.1523498265.A.8AE#00075", "sean23mimic", "帶他去催眠https//imgur.com/xrjZlRT", "04/12 11:35", "0"
"Boy-Girl#M.1523498265.A.8AE#00076", "smile2359630", "家父老師，我弟還不是在我面前一直三字經。。。", "04/12 11:38", "0"
"Boy-Girl#M.1523498265.A.8AE#00077", "ann7773631", "大家反應過度了吧 我身邊都是老師的家庭真的都不會罵髒話啊只是扯到人家家裡做工程 感覺不太好", "04/12 11:39", "1"
"Boy-Girl#M.1523498265.A.8AE#00078", "chrisbebe996", "我認識有能力的老師一半以上會罵髒話 場合不同而已", "04/12 11:39", "1"
"Boy-Girl#M.1523498265.A.8AE#00079", "zennyruan", "看到樓樓上牛頭帆就笑了", "04/12 11:39", "0"
"Boy-Girl#M.1523498265.A.8AE#00080", "useanddisuse", "反串喔 我爸老師我國罵也是從小罵到大啊 只有在家裡不敢而已", "04/12 11:40", "1"
"Boy-Girl#M.1523498265.A.8AE#00081", "rindesu", "會不會是因為你在旁邊他才這樣罵？", "04/12 11:40", "0"
"Boy-Girl#M.1523498265.A.8AE#00082", "liz0401", "你的高姿態很噁", "04/12 11:42", "0"
"Boy-Girl#M.1523498265.A.8AE#00083", "notype", "(‘_’)", "04/12 11:43", "0"
"Boy-Girl#M.1523498265.A.8AE#00084", "gurucwc", "以前高中數學老師口頭禪：媽你媽的", "04/12 11:44", "0"
"Boy-Girl#M.1523498265.A.8AE#00085", "tchotchke", "欠噓", "04/12 11:44", "0"
"Boy-Girl#M.1523498265.A.8AE#00086", "chmartiny", "個性不合 分手", "04/12 11:45", "0"
"Boy-Girl#M.1523498265.A.8AE#00087", "beefer6282", "?", "04/12 11:45", "0"
"Boy-Girl#M.1523498265.A.8AE#00088", "funso8ni", "什麼觀念", "04/12 11:51", "0"
"Boy-Girl#M.1523498265.A.8AE#00089", "a0922368866", "罵髒話要用英語就沒人會說你俗氣了阿 混蛋叫Mix egg老師呵呵老師啦哈哈哈", "04/12 11:53", "1"
"Boy-Girl#M.1523498265.A.8AE#00090", "emblakenta", "會看場合就好", "04/12 11:53", "0"
"Boy-Girl#M.1523498265.A.8AE#00091", "CALLING", "去找個不罵髒話的同溫層交往不就得了", "04/12 12:01", "0"
"Boy-Girl#M.1523498265.A.8AE#00092", "kobe8112", "他一天沒罵就給他新台幣1萬啊，這麼簡單還要我教你喔", "04/12 12:01", "0"
