"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1524288968.A.B4A#00000", "Callies", "代po<br><br>因為防曬而與女友有爭執<br><br>在前幾天從YOUTUBE看《花姐未播片段》時，志玲姊姊擦防曬在側臉的段落時，我對女友<br>提出，為什麼她的防曬不用抹那麼多?而且看起像你的比較白??她的比較自然???<br><br>女友回覆：因為志玲姐姐只是稍微再補一下，然後她用的是有潤色效果，我的沒潤色且是<br>物理性會有一點泛白的現象，<br><br>可是我還是不懂為什麼女友都經常要補防曬，而且每次都那麼多，所以問她沒有更好的產<br>品嗎？而且其他女生也沒有經常補，或者撲一下粉而已…<br>所以真的有必要經常要補，而且每次都那麼多嗎？<br><br>女友又告知我，因為防曬要達藥一定量，還要定時補擦才能達到防曬效果呀，<br><br>我再問女友：林志玲也沒擦到那樣啊，其他女生像公司的女生還有大姊也沒這樣耶，<br><br>女友再回覆：志玲姐姐在房間已經有擦防曬又上底妝了，只是攝影組沒拍過程，但影片前<br>後應該可以看出她上妝沒，所以在吃早餐擦的當然不用那麼多，其他女生感覺沒常補擦，<br>是因為我比較長時間跟你相處所以你可能感覺我常常補，但我大概二到三小時補擦一次…<br>也可能是習慣不同，如果她們有上潤色的底妝就不適合再抹防曬，這樣妝會花掉，所以她<br>們應該會用粉餅撲或者刷蜜粉，到午休時間再卸掉上防曬吧…我也不知道…<br><br>我對女友說：可是也沒看出效果啊…<br><br>女友問：效果？變白的效果嗎？？　因為我沒在用美白的產品，之前好像有跟你提過，美<br>白的產品有的可能比較刺激所以我就沒在用，也沒打美白針或醫美…<br>擦防曬只是要防曬傷…、曬老，不是要美白，<br><br>據我所知其他女生像公司的女生還有大姊也沒打美白針或醫美…<br>她們也沒曬黑捏，<br><br>女友說：也有可能她們比較天生麗質，基因也有影響吧…<br><br>我對女友說：那為什麼不用其他女生的方式，就不用擦那麼多，補那麼多？<br>女友再回覆：正常防曬就是要差不多擦到１０元還５０元硬幣的量呀，二到三小時補擦一<br>次…才有效果的啊，<br>沒看到她們擦不代表沒有呀，而且她們有化底妝就是適合那樣補吧…　我塗抹太多在臉上<br>會比較悶也可能會過敏，所以想簡單擦防曬就好了…<br><br>我再問女友：可是沒有可能是妳用錯方式，或者用錯產品，導致妳需要這樣做嗎？<br>沒有一種產品不用那麼長補擦嗎？<br><br>女友再回覆：但這防曬真的是比較妥當的，是長輩還有醫師跟網路、ＰＴＴ、YOUTUBE一<br>些資訊來的，其實我以前也沒那麼常補，如果你有印象的話…<br>只是後來督促自己要好好防曬，所以勤勞一點呀…<br><br>我對女友說：為什麼感覺妳聽不進去，就是認定了呢？　那為什麼其他女生就沒曬黑呢？<br><br>女友問我：所以你希望我少擦一點比較沒負擔？還是不希望我太常補防曬？<br><br>我回女友：也沒有，只是希望你可能用錯方式，或者用錯產品…但是妳都聽不進去？<br><br>後來有點不愉快，此事就算不了了之…<br>想問各位網友，<br>有沒有其他推薦的防曬可以延長補擦時間，<br>或者我該怎麼講…女友才能聽入耳？<br><br><br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1524288968.A.B4A#00001", "hsshkisskiss", "1.所以你很白? 2.所以你有專業防曬證照?", "04/21 13:39", "0"
"Boy-Girl#M.1524288968.A.B4A#00002", "cedrus", "我覺得你很囉嗦，強加自己的觀念在女友身上，女友EQ超高", "04/21 13:40", "0"
"Boy-Girl#M.1524288968.A.B4A#00003", "yyc1217", "會流汗呀", "04/21 13:40", "0"
"Boy-Girl#M.1524288968.A.B4A#00004", "Acrosstheuni", "幹你他媽有夠盧洨你是對防曬很了解嗎？？？", "04/21 13:41", "0"
"Boy-Girl#M.1524288968.A.B4A#00005", "Levesque", "為什麼你認為你是對的，女友是錯的，硬要她聽你話", "04/21 13:41", "0"
"Boy-Girl#M.1524288968.A.B4A#00006", "catherine379", "女友真的有理，防曬真的要擦足量，女明星只是拍影，片做做樣子，還有防曬真的不只是為了白，要防曬老。你不懂沒關係，可是我不了解女友補防曬有什麼礙到你地方嗎？詭異", "04/21 13:41", "0"
"Boy-Girl#M.1524288968.A.B4A#00007", "noirskakashi", "那我覺得你應該問錯地方了~XD", "04/21 13:43", "0"
"Boy-Girl#M.1524288968.A.B4A#00008", "Ajisai", "？？你問這些到底是出自於什麼目的可以講清楚嗎？？", "04/21 13:43", "0"
"Boy-Girl#M.1524288968.A.B4A#00009", "ANNE0103", "是有要你出錢還是要你幫補嗎？你到底在盧什麼", "04/21 13:43", "0"
"Boy-Girl#M.1524288968.A.B4A#00010", "Acrosstheuni", "他愛怎麼擦到底乾你屁事？", "04/21 13:43", "0"
"Boy-Girl#M.1524288968.A.B4A#00011", "soretsu", "你先自己做功課確定自己是對的再來跟女友討論，不然只是在強逼別人接納你莫名其妙的觀點。", "04/21 13:43", "1"
"Boy-Girl#M.1524288968.A.B4A#00012", "wiwi951236", "強加自己的價值觀  你女友真辛苦", "04/21 13:43", "0"
"Boy-Girl#M.1524288968.A.B4A#00013", "jespere", "為什麼你會覺得是她聽不進去 而不是你自己聽不進去？", "04/21 13:44", "0"
"Boy-Girl#M.1524288968.A.B4A#00014", "yesterdayslo", "囉嗦又自以為是", "04/21 13:44", "0"
"Boy-Girl#M.1524288968.A.B4A#00015", "jellya0217", "你女友真有耐心，她的觀念是正確的，防曬的確要用到一定的量&定時補擦才會有效果。", "04/21 13:45", "1"
"Boy-Girl#M.1524288968.A.B4A#00016", "Leoona", "你要不要先查點資料＋發在美妝版試試看XD", "04/21 13:46", "0"
"Boy-Girl#M.1524288968.A.B4A#00017", "jidou", "防曬有重要到讓你發文罵?你是防曬專業嗎?你只是想要她聽你的吧，何必為了為了這個罵|||", "04/21 13:46", "1"
"Boy-Girl#M.1524288968.A.B4A#00018", "sn0w", "你防曬系?", "04/21 13:46", "0"
"Boy-Girl#M.1524288968.A.B4A#00019", "yanis351", "不做功課 又自以為XD", "04/21 13:47", "0"
"Boy-Girl#M.1524288968.A.B4A#00020", "shikana", "...女友的擦法是正確的 而且防曬要擦很厚才有效果", "04/21 13:49", "0"
"Boy-Girl#M.1524288968.A.B4A#00021", "Minkoff", "問題很雷,你女友脾氣真好^_^", "04/21 13:50", "0"
"Boy-Girl#M.1524288968.A.B4A#00022", "zazaouo", "你女友是對的", "04/21 13:50", "0"
"Boy-Girl#M.1524288968.A.B4A#00023", "camthalion", "女友超有耐心XD", "04/21 13:50", "0"
"Boy-Girl#M.1524288968.A.B4A#00024", "julie860125", "我想說傳達一下我比較相信的防曬知識～https//youtu.be/ugMGWi1bMUM還有可以搜尋邱品齊醫師～他常常在網路上接受他人專訪，還有畢竟人家是有名的皮膚科醫師，聽起來可信度比較高，他有將市面上的許多防曬乳拿去檢驗，做成一張表格，哪些比較有效跟防曬指標都有介紹～給你參考！", "04/21 13:50", "0"
"Boy-Girl#M.1524288968.A.B4A#00025", "aes5781c", "女友脾氣也太好", "04/21 13:51", "0"
"Boy-Girl#M.1524288968.A.B4A#00026", "inmemory", "你的觀點都來自看到別人好像怎麼做,還要人家聽你的...", "04/21 13:51", "0"
"Boy-Girl#M.1524288968.A.B4A#00027", "LINGINGER", "你很囉嗦", "04/21 13:51", "0"
"Boy-Girl#M.1524288968.A.B4A#00028", "Rebi0807", "你好煩 拿出信用卡刷一車強無敵的防曬給女友後安靜", "04/21 13:52", "0"
"Boy-Girl#M.1524288968.A.B4A#00029", "julie860125", "補）但你女友擦防曬沒有礙到你 你也可以不用管他啦xD只是因為我之前買到貴又沒用的防曬，去海邊還曬黑，後來看了邱品齊醫師的文章才知道自己買到防曬黑效果較差的QQ總之給你參考，你可以推薦你女友看看～", "04/21 13:57", "1"
"Boy-Girl#M.1524288968.A.B4A#00030", "psyche", "因為她的觀念正確，是你聽不進去！我看三分之一就覺得你很煩。是你反串，還是她超有耐心啊？", "04/21 13:58", "1"
"Boy-Girl#M.1524288968.A.B4A#00031", "kenhsu28", "乖...哥教你，這種事情女人比你專業，你就乖乖立正站好等她補完就好，不要露出任何不耐", "04/21 13:58", "1"
"Boy-Girl#M.1524288968.A.B4A#00032", "ai6xu4u86", "你有比她懂是不是啊？你也只是看看，女生背後花多少時間看美妝文章和影片啊，而且拿志玲比？你又沒跟她相處過怎麼知道她做了什麼，而且她基因頂級，保養品也用最頂的，你是要幫她出錢？且每個人基因本來就有差你嫌啥", "04/21 13:59", "1"
"Boy-Girl#M.1524288968.A.B4A#00033", "acetami", "你很煩 防曬系？", "04/21 14:02", "0"
"Boy-Girl#M.1524288968.A.B4A#00034", "kimi1073921", "你超盧 女友居然可以跟你解釋這麼久我真佩服", "04/21 14:02", "0"
"Boy-Girl#M.1524288968.A.B4A#00035", "skinny7984", "所以你嫌她黑?!", "04/21 14:03", "0"
"Boy-Girl#M.1524288968.A.B4A#00036", "catmoonwhite", "你很煩超煩，一直拿其他女生來比，女友沒爆氣修養真好還有女友的防曬觀念是對的！本來就要2.3小時補擦一次，鏡頭上總不可能把所有事情都做給你看吧", "04/21 14:04", "1"
"Boy-Girl#M.1524288968.A.B4A#00037", "civilian", "你超級無敵煩 這樣都能交女朋友？？？？", "04/21 14:06", "0"
"Boy-Girl#M.1524288968.A.B4A#00038", "sinomin", "看到一半就看不下去", "04/21 14:06", "0"
"Boy-Girl#M.1524288968.A.B4A#00039", "Orangecat", "你好煩", "04/21 14:07", "0"
"Boy-Girl#M.1524288968.A.B4A#00040", "kobe8112", "我也沒你這麼歡，為什麼你要這麼歡?跟女友說話前用大腦想想自己說的話，真的很難嗎?還是你的youtube影片是24小時貼身錄影，你也沒快轉?", "04/21 14:07", "0"
"Boy-Girl#M.1524288968.A.B4A#00041", "a515033", "馬的你神煩，男人這麼盧小真的很少見", "04/21 14:08", "0"
"Boy-Girl#M.1524288968.A.B4A#00042", "miconches", "沒做功課又自以為厲害?光用看的就可以嘴人了?", "04/21 14:08", "0"
"Boy-Girl#M.1524288968.A.B4A#00043", "kobe8112", "你女友人真的好，建議你趕快分手出家，讓她遇到真的幸福", "04/21 14:09", "1"
"Boy-Girl#M.1524288968.A.B4A#00044", "seeker06", "女友脾氣真好..話說你有先爬防曬文再去跟女友討論嗎？", "04/21 14:09", "0"
"Boy-Girl#M.1524288968.A.B4A#00045", "willow", "滾啦女友讓給其他不會盧小的好男人好嗎，這篇是不是影片業配啊？看了一肚子火", "04/21 14:10", "0"
"Boy-Girl#M.1524288968.A.B4A#00046", "lunchboxx", "煩死了", "04/21 14:10", "0"
"Boy-Girl#M.1524288968.A.B4A#00047", "qImo", "她擦防曬礙到你？ya配？", "04/21 14:11", "0"
"Boy-Girl#M.1524288968.A.B4A#00048", "gracew0709", "網路可以查的問題伸手排", "04/21 14:11", "0"
"Boy-Girl#M.1524288968.A.B4A#00049", "seeker06", "你盧的程度跟我阿嬤一樣XD", "04/21 14:12", "0"
"Boy-Girl#M.1524288968.A.B4A#00050", "abby2007", "這種人都有女友，各位正常台男真的不用太求偶焦慮", "04/21 14:12", "0"
"Boy-Girl#M.1524288968.A.B4A#00051", "Mrscp", "盧", "04/21 14:12", "0"
"Boy-Girl#M.1524288968.A.B4A#00052", "tracy0620", "到底是誰認定了就聽不進去？你女友沒講錯啊，你怎麼聽不進去？", "04/21 14:12", "1"
"Boy-Girl#M.1524288968.A.B4A#00053", "StayJunkies", "呵呵呵", "04/21 14:18", "0"
"Boy-Girl#M.1524288968.A.B4A#00054", "fidget81", "你的根據只是其他女生“好像”沒這樣做 你自己都不會覺得自己ˋ站不住腳嗎？", "04/21 14:18", "1"
"Boy-Girl#M.1524288968.A.B4A#00055", "wsxq123", "分手啊 你超煩欸 是我一定叫你閉嘴乾你屁事", "04/21 14:19", "0"
"Boy-Girl#M.1524288968.A.B4A#00056", "Phoebe0503", "到底乾你什麼事…", "04/21 14:20", "0"
"Boy-Girl#M.1524288968.A.B4A#00057", "hitomi1128", "不高興就分手，她值得更好的！", "04/21 14:21", "0"
"Boy-Girl#M.1524288968.A.B4A#00058", "jenny789", "你有夠歡 煩死了 自己爬完文再去質疑女友好嗎", "04/21 14:23", "0"
"Boy-Girl#M.1524288968.A.B4A#00059", "a70270a", "煩屎", "04/21 14:27", "0"
"Boy-Girl#M.1524288968.A.B4A#00060", "wagway", "你的觀點比較莫名其妙你的觀點比較莫名其妙，你比較沒知識吧！女友EQ超好", "04/21 14:28", "0"
"Boy-Girl#M.1524288968.A.B4A#00061", "Elisk", "擦個防曬也要管煩死是不是什麼事都要照你的方式做才開心啊", "04/21 14:28", "1"
"Boy-Girl#M.1524288968.A.B4A#00062", "jumisui", "你其實是我媽吧？講的話居然都一樣，是不是還要加上˙要常曬太陽才可以呀？臉天生黃黑已經很煩囉-不好意思啊，就無法天生麗質，不擦防曬臉也很白。好最後來個哭哭”", "04/21 14:30", "1"
"Boy-Girl#M.1524288968.A.B4A#00063", "dddc", "關你屁事", "04/21 14:31", "0"
"Boy-Girl#M.1524288968.A.B4A#00064", "Paradox", "等你先去了解防曬再說好嗎？門外漢又愛自以為是，這是不是反串啊？？你女友配你真的滿浪費的，還要花時間教育你", "04/21 14:31", "0"
"Boy-Girl#M.1524288968.A.B4A#00065", "misa4824", "安耐曬或是理膚寶水刷一車給她 你就可以叫女友閉嘴了", "04/21 14:33", "0"
"Boy-Girl#M.1524288968.A.B4A#00066", "theimmortal", "都給你質疑就好了啊，明明不懂還要懷疑人家", "04/21 14:33", "0"
"Boy-Girl#M.1524288968.A.B4A#00067", "Barbarianww", "防曬就是要一直補啊你女友很勤勞，我是懶得補...然，後你很盧小", "04/21 14:33", "0"
"Boy-Girl#M.1524288968.A.B4A#00068", "heyazure", "噓你沒常識又自以為懂", "04/21 14:34", "0"
"Boy-Girl#M.1524288968.A.B4A#00069", "sunnie80314", "你好盧...", "04/21 14:35", "0"
"Boy-Girl#M.1524288968.A.B4A#00070", "fangkitty", "我是懶得一直補，出門一定會穿長袖外套，攜帶折疊傘跟帽子", "04/21 14:35", "1"
"Boy-Girl#M.1524288968.A.B4A#00071", "kissdodo", "看你在那邊一句來一句去就火大", "04/21 14:36", "0"
"Boy-Girl#M.1524288968.A.B4A#00072", "sixbridge", "老娘擦多少防曬關你屁事XDDDD", "04/21 14:36", "0"
"Boy-Girl#M.1524288968.A.B4A#00073", "kelly2005", "不查資料就自以為 錯的這麽離譜還想要「教育」有正確觀念的人 我覺得這其中展現了好幾種滿差的人格特質", "04/21 14:36", "1"
"Boy-Girl#M.1524288968.A.B4A#00074", "eternal46", "你好煩 女友也太有耐心", "04/21 14:37", "0"
"Boy-Girl#M.1524288968.A.B4A#00075", "dieperson", "住海邊", "04/21 14:38", "0"
