"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1527651829.A.08F#00000", "srime0510", "文長慎入<br>這幾天渾渾噩噩的過去了<br>把自己弄得十分憔悴<br>不管是工作也好還是感情也好像是失去生活重心一般<br><br>幾個禮拜前我在整理東西的時候發現抽屜最裡面藏著一張婦產科的收據<br>我一開始還很擔心的問前女友身體是不是出了問題 有沒有什麼大礙<br>可能是良心過意不去吧<br>前女友很小聲的說她懷孕2個月了<br><br>我當下的感覺不是欣喜而是滿滿的錯愕<br>問她孩子是誰的她也支支吾吾的說不出來<br>聽完之後腦袋一片空白 連前女友講了些什麼都記不得<br>只知道收了行李直接從我們的租屋處逃了出來<br>好在朋友知道我的狀況連忙把我接去他家讓我沒有露宿街頭<br><br>在朋友的車上一直在思考<br>一向排斥婚前性行為的前女友怎麼會突然的懷孕<br>我們根本沒有做過越過線的事<br>而這麼剛好是我兩個月前被教召的時間<br>扣掉前女友的肚子裡是神子在世 而她是聖母的情況那只有另一種可能<br><br>中間前女友一直打來試圖讓我原諒她<br>連她父母都搬出來了<br>而她的父母認為我是不負責任的人<br>都弄出人命了<br>還不惜編了一堆藉口逃避責任<br>但畢竟是自己的親生女兒<br>不管我怎麼解釋永遠都是我的錯甚至要我娶她<br><br>這件事情連我的父母都被驚動了<br>好在他們知道我不是那種人<br>非常支持我的決定也為我出頭<br><br>上禮拜我把前女友找了出來想一次講清楚<br>她仍然試圖挽留我 哭的一把鼻涕一把眼淚<br>一直要我原諒她 是她做錯了<br>但是我完全沒有任何的想法<br>像是看著陌生人一樣    一切都是她自找的<br><br>這幾天我跟公司請了特休<br>到處走走散散心想把自己的心情調整好<br>但是這五年我們一起過的太多太多<br>每每到了一個地方總是會觸景生情想起跟她過過的點滴<br>眼淚總是會不自覺的掉下來<br>心想命運為什麼要如此的對我<br><br>今天是請假的最後一天了<br>情緒還是沒有整理的很完整<br>明天又要面對職場上的瑣事想來就累<br><br>整篇沒有什麼特別的只是想找個地方抒發現在的心情而已 如果有冒犯還請見諒<br><br><br><br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Boy-Girl#M.1527651829.A.08F#00001", "Hakan", "樓下孫燕姿", "05/30 11:45", "0"
"Boy-Girl#M.1527651829.A.08F#00002", "ralph0517", "連她自己父母都沒有誠實講要推到你身上 就是自找的", "05/30 11:46", "0"
"Boy-Girl#M.1527651829.A.08F#00003", "belucky", "拍拍   分手就好", "05/30 11:46", "0"
"Boy-Girl#M.1527651829.A.08F#00004", "j86014", "拍拍，加油", "05/30 11:46", "0"
"Boy-Girl#M.1527651829.A.08F#00005", "Barbarianww", "看標題以為是渣，看了內容只能拍拍你了，恭喜你逃了", "05/30 11:47", "0"
"Boy-Girl#M.1527651829.A.08F#00006", "asdfg5247", "拍拍 不過好綠，但至少是"前"女友了，放下她吧!", "05/30 11:47", "0"
"Boy-Girl#M.1527651829.A.08F#00007", "a5513250", "XD", "05/30 11:48", "0"
"Boy-Girl#M.1527651829.A.08F#00008", "DreamsInWind", "恭喜原po  一個幾天的教召就試出來這個人不值得了", "05/30 11:48", "0"
"Boy-Girl#M.1527651829.A.08F#00009", "makotoyan", "把事實說給她父母聽，而且孕期滿一定時間可以抽羊水證，明小孩不是你的，拍拍", "05/30 11:49", "0"
"Boy-Girl#M.1527651829.A.08F#00010", "kevin921tw", "拍拍，加油", "05/30 11:50", "0"
"Boy-Girl#M.1527651829.A.08F#00011", "poison5566", "幫你QQ", "05/30 11:51", "0"
"Boy-Girl#M.1527651829.A.08F#00012", "Samuellu", "分得好", "05/30 11:51", "0"
"Boy-Girl#M.1527651829.A.08F#00013", "flamer", "拍拍", "05/30 11:51", "0"
"Boy-Girl#M.1527651829.A.08F#00014", "atelier", "一定要讓她父母知道真相 自己闖的禍 背這種鍋不值得，她連真相都不敢跟她父母講了 不要相信任何挽留的話", "05/30 11:52", "0"
"Boy-Girl#M.1527651829.A.08F#00015", "Gesundheit", "拍拍", "05/30 11:52", "0"
"Boy-Girl#M.1527651829.A.08F#00016", "makotoyan", "小心女方會透過親友來情感勒索+抹黑，建議先截對話圖，或找方法自保", "05/30 11:52", "0"
"Boy-Girl#M.1527651829.A.08F#00017", "PaPaMo", "拍拍", "05/30 11:52", "0"
"Boy-Girl#M.1527651829.A.08F#00018", "piwawa", "拍拍", "05/30 11:53", "0"
"Boy-Girl#M.1527651829.A.08F#00019", "sophia810130", "不用擔心父親是誰，驗DNA，誰還能把撫養責任丟到你身上？", "05/30 11:53", "1"
"Boy-Girl#M.1527651829.A.08F#00020", "gg7965977", "綠到一個不行XDDDD", "05/30 11:53", "0"
"Boy-Girl#M.1527651829.A.08F#00021", "PttAlex", "她根本不敢承擔自己惹出的後果，還想要妳一起扛", "05/30 11:53", "0"
"Boy-Girl#M.1527651829.A.08F#00022", "ppccfvy", "還真是   不是不想，是不想跟你", "05/30 11:53", "0"
"Boy-Girl#M.1527651829.A.08F#00023", "dobeqoo", "孩子誰的叫她找誰，不關你事。男人真命苦。", "05/30 11:54", "0"
"Boy-Girl#M.1527651829.A.08F#00024", "rex20032", "加油啊兄弟", "05/30 11:54", "0"
"Boy-Girl#M.1527651829.A.08F#00025", "dragonashco", "幫拍，真他媽爛女人", "05/30 11:54", "0"
"Boy-Girl#M.1527651829.A.08F#00026", "shou666", "拍，加油，自己要保重", "05/30 11:55", "0"
"Boy-Girl#M.1527651829.A.08F#00027", "man30cm", "只能勸你往好處想，至少你不用花錢結婚+幫人養小孩。", "05/30 11:55", "0"
"Boy-Girl#M.1527651829.A.08F#00028", "jane21213", "拍拍", "05/30 11:55", "0"
"Boy-Girl#M.1527651829.A.08F#00029", "sophia810130", "她把責任丟給你，是最簡單的方法，想要把她的錯給你來補救，狐狸的眼淚。自己不知道哪來的小孩，她自己負責。", "05/30 11:56", "1"
"Boy-Girl#M.1527651829.A.08F#00030", "Freeven", "分手就好，拍拍，然後對話紀錄記得保留下來「你沒有碰過她，小孩子不是你的」這種證明你清白的對話一定要留著，將來你的名聲才不會被污衊", "05/30 11:56", "0"
"Boy-Girl#M.1527651829.A.08F#00031", "h1j2k364", "幫拍拍", "05/30 11:56", "0"
"Boy-Girl#M.1527651829.A.08F#00032", "yoyoyo916", "拍拍 爛人就不要管她了", "05/30 11:57", "0"
"Boy-Girl#M.1527651829.A.08F#00033", "diiky", "拍拍~~~~~", "05/30 11:57", "0"
"Boy-Girl#M.1527651829.A.08F#00034", "shiro920", "拍拍 分得好 你值得更好的", "05/30 11:57", "0"
"Boy-Girl#M.1527651829.A.08F#00035", "inugami4777", "加油！", "05/30 11:58", "0"
"Boy-Girl#M.1527651829.A.08F#00036", "koruse", "如果她父母要賴在你頭上，你就堅持驗DNA", "05/30 11:58", "0"
"Boy-Girl#M.1527651829.A.08F#00037", "pudge", "既然你都說前女友了，那也就不必回頭，向前走吧", "05/30 11:58", "0"
"Boy-Girl#M.1527651829.A.08F#00038", "ff20", "應該要高興的", "05/30 11:59", "0"
"Boy-Girl#M.1527651829.A.08F#00039", "gallows30", "恭喜你，擺脫一個渣女", "05/30 11:59", "0"
"Boy-Girl#M.1527651829.A.08F#00040", "orpersephone", "千萬不要心軟扛鍋，她已是過去，一定要放下，加油", "05/30 11:59", "0"
"Boy-Girl#M.1527651829.A.08F#00041", "TanakaSeigi", "約出來講清楚時就要錄音存證了", "05/30 12:00", "0"
"Boy-Girl#M.1527651829.A.08F#00042", "namis77", "她父母一知半解的 她還敢搬出來講 真的臉超腫XD", "05/30 12:01", "0"
"Boy-Girl#M.1527651829.A.08F#00043", "irvinglove", "推文的顏色", "05/30 12:01", "0"
"Boy-Girl#M.1527651829.A.08F#00044", "luke2", "優質", "05/30 12:02", "0"
"Boy-Girl#M.1527651829.A.08F#00045", "claire174", "拍拍 你值得更好的人 還好在你們邁向結婚前先發現 早點分一分才不會浪費時間", "05/30 12:02", "1"
"Boy-Girl#M.1527651829.A.08F#00046", "Ipadhotwater", "她現在會用情緒勒索把你綁住，然後再找親友給你壓力要你吞下去你直接跟她的父母說吧，然後再驗DNA", "05/30 12:02", "0"
"Boy-Girl#M.1527651829.A.08F#00047", "nai17", "拍拍", "05/30 12:02", "0"
"Boy-Girl#M.1527651829.A.08F#00048", "edachien", "沒碰過她，還要你扛也太＿", "05/30 12:03", "0"
"Boy-Girl#M.1527651829.A.08F#00049", "inori712", "拍拍", "05/30 12:03", "0"
"Boy-Girl#M.1527651829.A.08F#00050", "asya116", "這女的不值得留戀啦", "05/30 12:03", "0"
"Boy-Girl#M.1527651829.A.08F#00051", "Ipadhotwater", "別心軟，不然你就要被迫吞下去", "05/30 12:04", "0"
"Boy-Girl#M.1527651829.A.08F#00052", "Gusteau", "這次的有戴正 沒有歪 幫拍拍", "05/30 12:04", "0"
"Boy-Girl#M.1527651829.A.08F#00053", "lchun123", "唉 酸不下去 原PO振作 不要犯傻事 拍拍，現在不要再想女方和小孩了 好好整理自己的心", "05/30 12:04", "0"
"Boy-Girl#M.1527651829.A.08F#00054", "dubstep", "兄弟 拍拍", "05/30 12:04", "0"
"Boy-Girl#M.1527651829.A.08F#00055", "flamer", "話說跟你前一篇文章怎麼好像資訊不太一樣", "05/30 12:04", "0"
"Boy-Girl#M.1527651829.A.08F#00056", "sunkiss5566", "恭喜你兄弟，別當傻瓜哦", "05/30 12:05", "0"
"Boy-Girl#M.1527651829.A.08F#00057", "gh263541", "拍拍 雖然我沒有經歷過 但一定很難過", "05/30 12:05", "0"
"Boy-Girl#M.1527651829.A.08F#00058", "clarinetgirl", "約她父母一起去驗DNA", "05/30 12:05", "0"
"Boy-Girl#M.1527651829.A.08F#00059", "casio0406", "甩了她去找個正常的，交往五年沒性行為不是一般人承受得起，更何況牠....", "05/30 12:06", "1"
"Boy-Girl#M.1527651829.A.08F#00060", "Ipadhotwater", "直接跟她父母講啊，讓他們知道他們女兒真面目，問題是女友有一種要賴在男方身上的感覺", "05/30 12:06", "0"
"Boy-Girl#M.1527651829.A.08F#00061", "dirubest", "無所謂了 反正不干你的事~", "05/30 12:06", "0"
"Boy-Girl#M.1527651829.A.08F#00062", "Haine", "這女的太扯了 還好你沒碰不然還要等生出來才知道嗎，能穿刺的時候還可以人流嗎", "05/30 12:07", "0"
"Boy-Girl#M.1527651829.A.08F#00063", "Ipadhotwater", "她是抓準你會乖乖吞下去才賴你身上嗎？", "05/30 12:08", "0"
"Boy-Girl#M.1527651829.A.08F#00064", "s110", "她想把錯推到妳身上吧", "05/30 12:09", "0"
"Boy-Girl#M.1527651829.A.08F#00065", "mytureheart", "恭喜", "05/30 12:11", "0"
"Boy-Girl#M.1527651829.A.08F#00066", "yuhung", "墮胎依然可以驗DNA喔！你前女友大概不知道吧", "05/30 12:11", "0"
"Boy-Girl#M.1527651829.A.08F#00067", "ae321238", "拍拍", "05/30 12:11", "0"
"Boy-Girl#M.1527651829.A.08F#00068", "Ipadhotwater", "這女的現在只想把錯全推到男方身上吧", "05/30 12:11", "0"
"Boy-Girl#M.1527651829.A.08F#00069", "Warlury", "好婊哦～希望不要生下來，那小孩有這種媽媽可能會學壞。", "05/30 12:12", "1"
"Boy-Girl#M.1527651829.A.08F#00070", "Keyblade", "她不講 你講啊", "05/30 12:12", "0"
"Boy-Girl#M.1527651829.A.08F#00071", "Ipadhotwater", "是覺得你還及她面子的話，下場就是你要全吞，顧及", "05/30 12:13", "0"
"Boy-Girl#M.1527651829.A.08F#00072", "a03520", "再次證明那句話不是不給_，是不給你_", "05/30 12:13", "0"
"Boy-Girl#M.1527651829.A.08F#00073", "me356500", "墮掉東西還是在 可以驗 不用擔心", "05/30 12:13", "0"
"Boy-Girl#M.1527651829.A.08F#00074", "HayaSan", "不要讓她有機會把鍋丟在你身上 該說清楚就說清楚 該保留的證據要保留 要求驗DNA就驗", "05/30 12:13", "1"
"Boy-Girl#M.1527651829.A.08F#00075", "InHanchiao2", "我的天……你為什麼不告訴她父母真相呢？", "05/30 12:13", "0"
"Boy-Girl#M.1527651829.A.08F#00076", "zzzmmp13", "上一篇３月交往兩年 到5月突然就交往五年了 還從學生直接進公司了還有特休呢", "05/30 12:14", "1"
"Boy-Girl#M.1527651829.A.08F#00077", "a0652qj", "好扯 幸好你有提早發現 不過等他肚子大起來你也會知道……感謝爬文XD 真的騙人的哈哈", "05/30 12:14", "1"
"Boy-Girl#M.1527651829.A.08F#00078", "ak69628", "標題改成”前”吧！另外查了你之前有回一篇和女友交往2，年沒什麼性生活的，如今卻，想開點吧！然後保留證據", "05/30 12:14", "0"
"Boy-Girl#M.1527651829.A.08F#00079", "gs051233", "怎麼情報跟上一篇不同？", "05/30 12:14", "0"
"Boy-Girl#M.1527651829.A.08F#00080", "SihannaH", "雖然現在的你很痛苦，但未來的你會感謝自己當初的這個決定", "05/30 12:14", "1"
"Boy-Girl#M.1527651829.A.08F#00081", "harry7319", "一樓啥梗", "05/30 12:14", "0"
"Boy-Girl#M.1527651829.A.08F#00082", "MurMur", "三月快畢業 現在變上班族然後有特休?", "05/30 12:15", "0"
"Boy-Girl#M.1527651829.A.08F#00083", "qwe00489", "幻想文是你", "05/30 12:16", "0"
"Boy-Girl#M.1527651829.A.08F#00084", "asdfg5247", "回樓上 綠光啦幹 youtube一下好ㄇ，啊靠回錯，樓樓樓樓上", "05/30 12:16", "0"
"Boy-Girl#M.1527651829.A.08F#00085", "Ipadhotwater", "對耶，你的文章時間點怪怪的", "05/30 12:16", "0"
"Boy-Girl#M.1527651829.A.08F#00086", "MurMur", "三月女友家保守連過夜都不行 現在就突然有租屋處了?", "05/30 12:17", "0"
"Boy-Girl#M.1527651829.A.08F#00087", "ak69628", "2個月就找到工作了?", "05/30 12:17", "0"
"Boy-Girl#M.1527651829.A.08F#00088", "panex0845", "帽子戴好 都歪了", "05/30 12:18", "0"
"Boy-Girl#M.1527651829.A.08F#00089", "GimO", "雖然過去五年浪費在婊子身上，但至少現在認清了真相，感謝國防部，讚嘆國防部。", "05/30 12:18", "1"
"Boy-Girl#M.1527651829.A.08F#00090", "melody0530", "驚悚 前後矛盾的身分", "05/30 12:18", "0"
"Boy-Girl#M.1527651829.A.08F#00091", "zzzmmp13", "哪間公司三月快畢業五月底就有特休 可以推薦一下嗎", "05/30 12:19", "0"
"Boy-Girl#M.1527651829.A.08F#00092", "dianivy", "都是前任了，她要流掉或是保住都與你無關", "05/30 12:19", "0"
"Boy-Girl#M.1527651829.A.08F#00093", "HayaSan", "什麼原來是幻想文喔…", "05/30 12:19", "0"
"Boy-Girl#M.1527651829.A.08F#00094", "buckwheats", "反串的意圖是想幹什麼？？？肥宅不要妄想了", "05/30 12:20", "0"
"Boy-Girl#M.1527651829.A.08F#00095", "GIGAADSL", "雖然有點悲傷但還是恭喜你", "05/30 12:20", "0"
"Boy-Girl#M.1527651829.A.08F#00096", "aa2294", "排斥婚前性行為還懷孕...會不會是不得已的被...撿屍之類？", "05/30 12:20", "1"
"Boy-Girl#M.1527651829.A.08F#00097", "MurMur", "交往兩年突然變五年 你劈腿?還是時空飛人??????????", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00098", "u48652004", "就分開阿～～以後又不甘你的事，不是不給X，是不給你X....叫她父母自己面對吧", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00099", "susuqi", "這裡也開始流行幻想文？", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00100", "nvidiam", "上一篇3月還是學生 這篇已在工作請特休還教召？", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00101", "zzzmmp13", "滾去低能卡會有很多愛心", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00102", "DDDDRR", "我剛進去公司第一天就有7天特休了，嘻嘻", "05/30 12:21", "0"
"Boy-Girl#M.1527651829.A.08F#00103", "nk930043", "台女就是劍 被綠了還想怪到你身上 真是可悲", "05/30 12:22", "0"
"Boy-Girl#M.1527651829.A.08F#00104", "yuhung", "原來是幻想文", "05/30 12:22", "0"
"Boy-Girl#M.1527651829.A.08F#00105", "eqer", "原來是幻想文", "05/30 12:22", "0"
"Boy-Girl#M.1527651829.A.08F#00106", "unwillingto", "有些公司真的一進去就有 真的少見多怪，說不通的都有理由解釋  可能認識5年交往2年", "05/30 12:23", "0"
"Boy-Girl#M.1527651829.A.08F#00107", "Yuijian", "先幫QQ", "05/30 12:23", "0"
"Boy-Girl#M.1527651829.A.08F#00108", "nk930043", "原來是幻想文 干…", "05/30 12:24", "0"
"Boy-Girl#M.1527651829.A.08F#00109", "machiner", "幹嘛 又不是你的 擔心什麼 難道對方父母逼你娶他們養出來的小婊子嗎", "05/30 12:24", "1"
"Boy-Girl#M.1527651829.A.08F#00110", "mnmmmQ", "https//i.imgur.com/le5dY6I.jpg", "05/30 12:24", "0"
"Boy-Girl#M.1527651829.A.08F#00111", "zxcasd328", "寫小說喔", "05/30 12:24", "0"
"Boy-Girl#M.1527651829.A.08F#00112", "Eland", "兩年變五年 你時光機哪裡買的？", "05/30 12:24", "0"
"Boy-Girl#M.1527651829.A.08F#00113", "ashes0305", "拍拍", "05/30 12:25", "0"
"Boy-Girl#M.1527651829.A.08F#00114", "syu20730", "？？？？？？", "05/30 12:25", "0"
"Boy-Girl#M.1527651829.A.08F#00115", "jageillolin", "不是不給幹，只是不給你幹", "05/30 12:26", "0"
"Boy-Girl#M.1527651829.A.08F#00116", "daydreamX", "3月學生，5月上班族，2個月前教召？", "05/30 12:26", "0"
"Boy-Girl#M.1527651829.A.08F#00117", "nacy204327", "一查ID就知道唬爛 時光飛逝阿 三個月當三年月", "05/30 12:26", "0"
"Boy-Girl#M.1527651829.A.08F#00118", "jerkingoff", "加油！", "05/30 12:26", "0"
"Boy-Girl#M.1527651829.A.08F#00119", "liorio", "幻想文幫防騙", "05/30 12:27", "0"
"Boy-Girl#M.1527651829.A.08F#00120", "mnmmmQ", "https//i.imgur.com/snSNuS2.jpg", "05/30 12:27", "0"
"Boy-Girl#M.1527651829.A.08F#00121", "zzzmmp13", "3月學生 兩個月前教召 幻想文騙推很好玩?", "05/30 12:27", "0"
"Boy-Girl#M.1527651829.A.08F#00122", "jerkingoff", "可惡 竟然是幻想文", "05/30 12:28", "0"
"Boy-Girl#M.1527651829.A.08F#00123", "phoinixa", "我也想要時光機", "05/30 12:28", "0"
"Boy-Girl#M.1527651829.A.08F#00124", "ja1295", "對話時候故意釣她 要她自己說孩子不是你的  讓她父母知道", "05/30 12:28", "1"
"Boy-Girl#M.1527651829.A.08F#00125", "unwillingto", "教召可能是 1.先當完兵2.才讀書3.再工作", "05/30 12:28", "0"
"Boy-Girl#M.1527651829.A.08F#00126", "SCUEDDY", "小心女方把孩了流掉，再來抹黑你，來個死無對證", "05/30 12:29", "0"
"Boy-Girl#M.1527651829.A.08F#00127", "perlmanchris", "拍拍", "05/30 12:29", "0"
"Boy-Girl#M.1527651829.A.08F#00128", "MurMur", "a完了 這ID幻想文", "05/30 12:29", "0"
"Boy-Girl#M.1527651829.A.08F#00129", "DHdog5566", "push", "05/30 12:30", "0"
"Boy-Girl#M.1527651829.A.08F#00130", "JHC24", "好綠 直接跟她父母說吧", "05/30 12:30", "0"
"Boy-Girl#M.1527651829.A.08F#00131", "gingeryu", "到底小孩是誰的啊 @@", "05/30 12:31", "0"
"Boy-Girl#M.1527651829.A.08F#00132", "justme7979", "三月說交往兩年多 五月說 已經五年 XD", "05/30 12:31", "0"
"Boy-Girl#M.1527651829.A.08F#00133", "a129924", "拔拔", "05/30 12:31", "0"
"Boy-Girl#M.1527651829.A.08F#00134", "belucky", "情報怪怪的   兩年變五年", "05/30 12:31", "0"
"Boy-Girl#M.1527651829.A.08F#00135", "jasterliang", "醒醒吧，左手不會懷孕", "05/30 12:31", "0"
"Boy-Girl#M.1527651829.A.08F#00136", "SCUEDDY", "原來是幻想文", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00137", "GRIPIT", "是幻想文的話就噓，幻想文再噓噓噓啦乾", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00138", "vince4687", "果然最近PTT素質堪憂XDDDD", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00139", "digodi", "幻想", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00140", "g987669", "扶正ㄥ", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00141", "tom50512", "幻想文", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00142", "mojia", "拍拍", "05/30 12:32", "0"
"Boy-Girl#M.1527651829.A.08F#00143", "erichui1011", "外商第一年10天特休以上一大堆", "05/30 12:33", "0"
"Boy-Girl#M.1527651829.A.08F#00144", "creakcreak", "幹  加油", "05/30 12:33", "0"
"Boy-Girl#M.1527651829.A.08F#00145", "a053616", "反串文故意要讓大家黑台女吼", "05/30 12:33", "0"
"Boy-Girl#M.1527651829.A.08F#00146", "w6504lw6504l", "低能幻想文 怒噓", "05/30 12:33", "0"
"Boy-Girl#M.1527651829.A.08F#00147", "shiro920", "反串", "05/30 12:33", "0"
"Boy-Girl#M.1527651829.A.08F#00148", "codyDL", "騙我", "05/30 12:34", "0"
"Boy-Girl#M.1527651829.A.08F#00149", "a8289ss", "加油 你值得更好的", "05/30 12:34", "0"
"Boy-Girl#M.1527651829.A.08F#00150", "Yuijian", "補噓", "05/30 12:34", "0"
"Boy-Girl#M.1527651829.A.08F#00151", "twinkle36111", "幻想", "05/30 12:34", "0"
"Boy-Girl#M.1527651829.A.08F#00152", "arthur7463", "幻想？", "05/30 12:34", "0"
"Boy-Girl#M.1527651829.A.08F#00153", "slgavg", "靠邀 教招才幾天", "05/30 12:35", "0"
"Boy-Girl#M.1527651829.A.08F#00154", "char2357", "。", "05/30 12:35", "0"
"Boy-Girl#M.1527651829.A.08F#00155", "bill03027", "拍拍", "05/30 12:35", "0"
"Boy-Girl#M.1527651829.A.08F#00156", "white381520", "五年沒打過炮？？", "05/30 12:35", "0"
