"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1530192773.A.1CA#00000", "skytowerlll", "※ 引述《yoga5566 (宥嘉5566)》之銘言：<br>: 我支持你<br>: 原文我們可以看到，男主角先說「幹」<br>: 然後女主角說「操你媽」<br><br><br>要說"罵" 這回事,<br>原文(截圖內容)是女方先開罵的, 只是她罵的不是髒字.<br><br>男方是因為女方連續好幾句的罵, 接著才罵髒字.<br>而女方在男方罵髒字之後, 也回罵了X你媽的.<br><br>要比EQ修養,<br>是要看誰先開飆, 還是誰先罵髒字, 還是有沒有罵出髒字?<br>綜觀來看, 兩個人都是被激到就會罵髒字的性格阿.<br><br>男方因為女方先開譙, 所以罵.<br>女方因為被男方用髒字反譙, 所以罵.<br>明明半斤八兩...<br><br>再說回旅遊的事情都女方在處理這件事.<br>不就女方自己先霸氣的"謊"稱訂了遊輪.<br>又說是要安排一個旅程送男方.<br>話講那麼滿, 結果是要男方跟著做功課?<br><br>何況出去玩這種事, 別說都是為了想帶對方出去放鬆啦.<br>難道不是自己也想出去玩?<br>所以結果就是女方處理訂票,行程.<br>說了謊、話講滿了, 阿就去圓阿.<br>不然就不要講得好像自己要為對方準備一個行程一樣.....<br><br><br>那男方做了什麼?<br>確定要去日本後, 問了有什麼好玩的 (做功課)<br>當時女方在旁邊,<br>男方就和女方討論他所得到的資訊.<br>這個當下, 男方並沒有進一步確認廉航到底會不會比較省錢.<br>女方也沒有確認, 僅以自己的想法回說 算起來不見得比較划算.<br><br>後來又發生女方跟男方說 :<br>"基本上我是完全不考慮遊輪,覺得無趣花時間也不算便宜"<br><br><br>也因為其實沒有實際做過確認,<br>又加上女方表示她自己根本不會想考慮遊輪.<br>所以後來姊夫傳廉航資訊過來時, 男方覺得可以做進一步確認,<br>他將資訊傳給女方, 希望女方可以參考.  (就只是做了這個舉動)<br><br><br>而女方收到訊息後,  其實也根本沒參考.<br>男方問 : 買的到嗎?<br>女方   : 不知道, 我只知道遊輪下訂退掉不知道要多少錢 (所以其實還是不知道)<br>男方說 : 那就不用了.<br><br>沒有確認過的東西,又加上對方表示自己不會想搭遊輪.<br>男方傳個資訊做參考,　這有什麼好爆氣或該受指責的？<br><br>想一想女方所感到不舒服的部分.<br>可能原因　：　<br>1. 自己覺得自己的心意是想給男方一個遊輪之旅,　結果發現男方不領情<br>2. 自己覺得自己規劃的行程, 被男友看成一個　較浪費錢,又在日本玩得少的行程.<br>3. 覺得訂好的東西還要改,很麻煩.<br><br>哪一個原因不能好好講,　而偏要去譙對方？<br>總之女方就是一個情緒上來,  就譙男方.<br>站在男方角度, 就提供個資訊做參考而已. 也沒說一定要認真去研究.<br>女方回個不知道退遊輪要多少錢, 男方就同意了. (這個對話只花了8分鐘)<br><br>接著就是女方一陣譙, 男方因而罵髒字, 女方也接續罵髒字.<br>誰也不讓誰.<br><br>如果女方不接續罵髒字, 也不會吵成這樣.<br>如果男方沒有因為女方幹譙而罵髒字, 也不會吵成這樣.<br>如果女方沒有先幹譙別人, 問題好好溝通, 也不會吵成這樣.<br>如果男方沒有提出廉航資訊做參考,女方就不會譙男方,也就不會吵成這樣(?)<br>如果男方沒有做功課去問日本怎麼玩,就不會知道廉航,也就不會吵成這樣(?)<br><br>問題有很多環節阿,<br>看是要往前推算到 有沒有罵髒字;誰先罵髒字;誰先罵人;<br>或該不該提供資訊,該不該做功課問去日本怎麼玩(?)<br><br>--<br>", "", ""
"Boy-Girl#M.1530192773.A.1CA#00001", "june0804", "你有看到全文嗎 她訂之前有在三跟那個爛前男友確認，才下訂，腦包前男友 硬貼ㄧ個廉航連結。又不溝通，罵幹。", "06/28 21:41", "1"
"Boy-Girl#M.1530192773.A.1CA#00002", "s9415154", "看了你這篇我又回去看了原文跟原PO回文 你根本亂講一通何況女方打了一大串主要是想說自己現在的感受想法你要說這是罵也行啦 但男方連個屁都放不出來直接罵幹我是不知道這樣你還想護航什麼", "06/28 21:42", "1"
"Boy-Girl#M.1530192773.A.1CA#00003", "viviya", "不是 郵輪有啥好做功課的？你肯定沒研究過", "06/28 21:45", "0"
"Boy-Girl#M.1530192773.A.1CA#00004", "vmgcjo", "女方罵了一長串 男方罵了幹 女方回罵了 操你娘 兩方都沒品", "06/28 21:46", "1"
"Boy-Girl#M.1530192773.A.1CA#00005", "bearKB", "我也覺得女方先罵的...", "06/28 21:48", "0"
"Boy-Girl#M.1530192773.A.1CA#00006", "vmgcjo", "當男方說 那就不用了 已經代表結案了 是女生咬著不放手，然後發飆了一連串不是髒話的罵 男生智障 只會罵幹女生看到了 也更為低能 居然回 要操人家母親 低能無誤", "06/28 21:50", "0"
"Boy-Girl#M.1530192773.A.1CA#00007", "kobe8112", "女方這樣叫罵一長串，是有多玻璃心啊XDDD", "06/28 21:51", "0"
"Boy-Girl#M.1530192773.A.1CA#00008", "kobe8112", "我還覺得男生說「反正是去定了不是」是在諷刺勒，能夠認真解讀成是要操人家母親的，不知道IQ分數QQ", "06/28 21:53", "0"
"Boy-Girl#M.1530192773.A.1CA#00009", "vmgcjo", "智障 配上 低能 也難怪兩個之前會在一起", "06/28 21:53", "0"
