"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1531826853.A.FFB#00000", "nyxqqqwer", "昨天我跟我室友一起去參加聯誼活動<br>大家都聊得很開心<br>過程中有位女同學問起大家畢業後的打算<br>有的人說想考國考  有的人說想去大公司闖闖<br>我沒什麼特別的打算  回答：想待在家或出國玩<br>聯誼活動結束後<br>我私訊了一個姑且算是滿可愛的女生<br>想跟他多認識認識<br>結果他嫌我沒有上進心<br>說與我談戀愛不會有結果<br>不願與我多聊<br>我問他上進心是什麼<br>他回答我：要有穩定的工作 有辦法養家<br>奇怪了  我在家收我爸媽房子的租金<br>月收入30多萬  為啥被說沒辦法養家？<br><br>你們覺得上進心到底是啥？<br>是有上進心重要  還是有錢重要？<br><br>--<br>", "", ""
"Boy-Girl#M.1531826853.A.FFB#00001", "kllara", "嗯，要是是我我也不要，雖然有錢，但也不是自己的，有爸養當然是加分，但自己也應該有生活的目標，也不能覺得靠爸是應該，畢竟你爸媽的錢是你爸媽的，不是你的", "07/17 19:31", "1"
"Boy-Girl#M.1531826853.A.FFB#00002", "rogergon", "去掉你爸媽的資產，你剩下什麼能力養活自己呢？", "07/17 19:32", "0"
"Boy-Girl#M.1531826853.A.FFB#00003", "kllara", "但我猜對方不知道你有這等財力，要是知道或許欣然接受", "07/17 19:33", "0"
"Boy-Girl#M.1531826853.A.FFB#00004", "wdclatin", "靠爸然後想趁機婊女生都說上進心都是錢，你覺得可愛的，女生會喜歡你嗎。覺得有錢就人生勝利了嗎", "07/17 19:34", "0"
"Boy-Girl#M.1531826853.A.FFB#00005", "rogergon", "有錢是好事，但是坐吃山空的道理自古皆然。", "07/17 19:35", "0"
"Boy-Girl#M.1531826853.A.FFB#00006", "rogergon", "三十萬多了一堆分母後其實也還好。", "07/17 19:37", "0"
"Boy-Girl#M.1531826853.A.FFB#00007", "ryan81215", "靠人人倒 要酸其它異性前先掂掂斤兩吧～", "07/17 19:40", "0"
"Boy-Girl#M.1531826853.A.FFB#00008", "bulcas", "幫爸媽收租，那錢是你爸媽的又不是你的，在秋幾點的？", "07/17 19:41", "0"
"Boy-Girl#M.1531826853.A.FFB#00009", "ccu1002", "靠爸很大聲 呵", "07/17 19:41", "0"
"Boy-Girl#M.1531826853.A.FFB#00010", "wdclatin", "空有錢然後無所事事還沒有人生目標，找個等著繼承遺產，然後推輪椅的大概還行吧", "07/17 19:46", "0"
"Boy-Girl#M.1531826853.A.FFB#00011", "civilian", "你看臉 對方看錢 感情市場不就這樣?啊抱歉 也不是你賺的耶", "07/17 19:46", "0"
"Boy-Girl#M.1531826853.A.FFB#00012", "CorpsDeity", "還在以為這年頭女生是看錢？你先照照鏡子，然後家裡這麼有錢，用在哪裡知道吧？", "07/17 19:47", "1"
"Boy-Girl#M.1531826853.A.FFB#00013", "catycaty520", "你是連D的後代？", "07/17 19:47", "0"
"Boy-Girl#M.1531826853.A.FFB#00014", "cady69", "你怎麼不早說啊？早點說她就不是這樣回了", "07/17 19:48", "0"
"Boy-Girl#M.1531826853.A.FFB#00015", "catycaty520", "連D也會發文說他很有上進心嗎XD", "07/17 19:49", "0"
"Boy-Girl#M.1531826853.A.FFB#00016", "aidansky0989", "只剩錢的窮光蛋，跟這種咖生活有何樂趣，當飯票可以男友不行", "07/17 19:53", "1"
"Boy-Girl#M.1531826853.A.FFB#00017", "Litfal", "明明條件這麼好，怎麼不花點錢充實自己呢", "07/17 19:53", "0"
"Boy-Girl#M.1531826853.A.FFB#00018", "Latte5566", "上進跟收入是不同詞彙好嗎...", "07/17 19:53", "0"
"Boy-Girl#M.1531826853.A.FFB#00019", "suiminkusuri", "我猜原po大概會說大家都眼紅他有爸媽的房子可以賺，錢ㄏㄏ", "07/17 20:04", "0"
"Boy-Girl#M.1531826853.A.FFB#00020", "cheetahspeed", "月收三十萬還要被羞辱 口憐", "07/17 20:07", "0"
"Boy-Girl#M.1531826853.A.FFB#00021", "paul0404", "啃老族還想酸女生，先回去買棟房子自己收租金再來講好嘛", "07/17 20:10", "1"
"Boy-Girl#M.1531826853.A.FFB#00022", "IyonNokia", "你有這樣的資源為什麼不多充實自己？", "07/17 20:17", "0"
"Boy-Girl#M.1531826853.A.FFB#00023", "h2a4", "沒有經過一番歷練…即使再有錢…有些事情你是不會明白的", "07/17 20:19", "0"
"Boy-Girl#M.1531826853.A.FFB#00024", "gymfantasy", "日子過這麼爽還參加聯誼幹嘛  直接學李宗瑞呀", "07/17 20:22", "0"
"Boy-Girl#M.1531826853.A.FFB#00025", "Totoro0802", "結論就是你沒上進心", "07/17 20:23", "0"
"Boy-Girl#M.1531826853.A.FFB#00026", "VoV", "月收30萬還淪落到去聯誼,難怪被女生說不上進", "07/17 20:25", "0"
"Boy-Girl#M.1531826853.A.FFB#00027", "t19960804", "30萬拿去喝茶都喝到你吐  聯誼個屌毛", "07/17 20:26", "0"
"Boy-Girl#M.1531826853.A.FFB#00028", "guowei616", "當然錢重要 去酒店包場灑錢不會膩 ？", "07/17 20:27", "0"
