"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1531916032.A.F1D#00000", "ccu1002", "代po<br><br>我是個事業有成的男人<br><br>最近有個三十多歲的女生一直想跟我在一起<br><br>她長得不好看就算了<br><br>還很自卑一直說自己恐龍阿姨（雖然是事實啦…）<br><br>讓我很無言==<br><br>而且又很煩很盧<br><br>我朋友還說她好像一直在ptt上發文<br><br>感覺真的不太舒服<br><br>有什麼辦法讓她完全放下嗎？<br><br>謝謝<br><br>-----<br>Sent from JPTT on my Samsung SM-N9208.<br><br>--<br>", "", ""
"Boy-Girl#M.1531916032.A.F1D#00001", "sakura3034", "…，…逼居版最近是都沒人在管了？", "07/18 20:16", "0"
"Boy-Girl#M.1531916032.A.F1D#00002", "fish10241", "先說是不是反串", "07/18 20:16", "0"
"Boy-Girl#M.1531916032.A.F1D#00003", "oneeee", "..", "07/18 20:18", "0"
"Boy-Girl#M.1531916032.A.F1D#00004", "soranospace", "跟前面幾篇是一樣的嗎......？！", "07/18 20:18", "0"
"Boy-Girl#M.1531916032.A.F1D#00005", "audzzz", "現在ptt反串真的很難笑", "07/18 20:20", "0"
"Boy-Girl#M.1531916032.A.F1D#00006", "yaokut", "有，換你跟他在一起，反正你跟她差不多，剛好配一對", "07/18 20:22", "0"
"Boy-Girl#M.1531916032.A.F1D#00007", "phmm307", "一樣", "07/18 20:27", "0"
"Boy-Girl#M.1531916032.A.F1D#00008", "cywangtw1990", "我覺得跟這位代Po的在一起好像很剛好", "07/18 20:29", "0"
"Boy-Girl#M.1531916032.A.F1D#00009", "orz811017", "左一超啦 煩死了", "07/18 20:35", "0"
"Boy-Girl#M.1531916032.A.F1D#00010", "yaokut", "已婚，是不能這樣的，可以她也願意放過我了 >\\\\<。但相信版上認為你們很合的人不少 XD", "07/18 20:35", "1"
"Boy-Girl#M.1531916032.A.F1D#00011", "rie779", "都有能代PO的交情了 為你的朋友兩肋插刀也很合理", "07/18 20:37", "0"
"Boy-Girl#M.1531916032.A.F1D#00012", "yuhung", "就你是不是很愛用IG看女生清涼照？", "07/18 20:38", "0"
"Boy-Girl#M.1531916032.A.F1D#00013", "wdclatin", "你們很配啊", "07/18 20:44", "0"
"Boy-Girl#M.1531916032.A.F1D#00014", "fatb", "最近釣魚反串文真的有點多", "07/18 20:48", "0"
"Boy-Girl#M.1531916032.A.F1D#00015", "Ariettina", "這篇反串也太嫩了 小鬼就是小鬼..", "07/18 20:57", "0"
"Boy-Girl#M.1531916032.A.F1D#00016", "minaminojill", "BG版最近是怎樣，噓不完欸", "07/18 21:08", "0"
"Boy-Girl#M.1531916032.A.F1D#00017", "aniki255", "反串還一直忍不住要嗆推文，還是快點開學吧", "07/18 21:09", "0"
"Boy-Girl#M.1531916032.A.F1D#00018", "babylove5566", "這個反串不太好笑", "07/18 21:24", "0"
"Boy-Girl#M.1531916032.A.F1D#00019", "carefreeman", "半斤八兩", "07/18 21:30", "0"
"Boy-Girl#M.1531916032.A.F1D#00020", "realnofish", "扣連，要這樣刷存在感", "07/18 21:48", "0"
"Boy-Girl#M.1531916032.A.F1D#00021", "namis77", "要不要一起約 去治療", "07/18 21:50", "0"
"Boy-Girl#M.1531916032.A.F1D#00022", "tank1998", "推", "07/18 21:51", "0"
"Boy-Girl#M.1531916032.A.F1D#00023", "lovefion", "暑假到了", "07/18 21:59", "0"
"Boy-Girl#M.1531916032.A.F1D#00024", "colorfulsky", "。", "07/18 22:01", "0"
"Boy-Girl#M.1531916032.A.F1D#00025", "lchun123", "我覺得你j樣不好", "07/18 22:06", "0"
"Boy-Girl#M.1531916032.A.F1D#00026", "tracy0620", "哈哈哈哈哈哈哈", "07/18 22:08", "0"
"Boy-Girl#M.1531916032.A.F1D#00027", "asco12781111", "在一起！在一起！在一起！", "07/18 22:11", "0"
"Boy-Girl#M.1531916032.A.F1D#00028", "batboylin", "跟噓", "07/18 22:18", "0"
"Boy-Girl#M.1531916032.A.F1D#00029", "nisa5566", "哈哈哈哈哈哈哈哈哈哈哈哈哈，今日最好笑誰轉一下就可板ㄚ", "07/18 22:38", "0"
"Boy-Girl#M.1531916032.A.F1D#00030", "nisa5566", "我是懶得改 不是要推你耶，我覺得喇 你484在路上亂撿紅包", "07/18 22:40", "0"
"Boy-Girl#M.1531916032.A.F1D#00031", "seedboxs", "等等被纏上 傻傻的", "07/18 22:41", "0"
"Boy-Girl#M.1531916032.A.F1D#00032", "a44642", "喔", "07/18 22:43", "0"
"Boy-Girl#M.1531916032.A.F1D#00033", "elisiselisis", "廢到不忍笑", "07/18 23:04", "0"
"Boy-Girl#M.1531916032.A.F1D#00034", "SakuraYui", "可憐反串", "07/18 23:14", "0"
"Boy-Girl#M.1531916032.A.F1D#00035", "PP121", "給噓尊重", "07/18 23:18", "0"
"Boy-Girl#M.1531916032.A.F1D#00036", "ccu1002", "幹 大家都覺得不好笑喔", "07/18 23:25", "0"
"Boy-Girl#M.1531916032.A.F1D#00037", "SUPERDINO", "看人耍智障好笑嗎，再說說你那個", "07/18 23:30", "0"
"Boy-Girl#M.1531916032.A.F1D#00038", "bio2133", "暑假嗎？白目不好笑", "07/18 23:31", "0"
"Boy-Girl#M.1531916032.A.F1D#00039", "Justin890820", "師爺你來解釋解釋 什麼叫好笑", "07/18 23:40", "0"
"Boy-Girl#M.1531916032.A.F1D#00040", "orzkk88", "暑假到了", "07/18 23:47", "0"
"Boy-Girl#M.1531916032.A.F1D#00041", "ninie403", "反串不好笑就已經夠糟了  還嗆人真的只能噓", "07/18 23:54", "0"
"Boy-Girl#M.1531916032.A.F1D#00042", "Litfal", "今晚是怎麼回事", "07/19 00:11", "0"
"Boy-Girl#M.1531916032.A.F1D#00043", "hermit13", "放暑假沒事做哦？", "07/19 00:12", "0"
"Boy-Girl#M.1531916032.A.F1D#00044", "mizard001", "滾", "07/19 00:18", "0"
"Boy-Girl#M.1531916032.A.F1D#00045", "tomakai", "橄", "07/19 00:22", "0"
"Boy-Girl#M.1531916032.A.F1D#00046", "KMOOO", "來這邊尋求協助，又推文嗆聲，這是你應有的態度嗎？你爸媽跟你一樣這麼沒教養喔", "07/19 00:34", "1"
"Boy-Girl#M.1531916032.A.F1D#00047", "Cain13", "放暑假很無聊想刷存在感要反串也想有趣一點的", "07/19 00:42", "0"
"Boy-Girl#M.1531916032.A.F1D#00048", "bowl", "求關注嗎", "07/19 00:42", "0"
"Boy-Girl#M.1531916032.A.F1D#00049", "charming1990", "\在一起/\在一起/\在一起/", "07/19 00:47", "0"
"Boy-Girl#M.1531916032.A.F1D#00050", "sabrinalin", "想反串結果被噓爆 笑死", "07/19 02:55", "0"
"Boy-Girl#M.1531916032.A.F1D#00051", "yu312", "在一起", "07/19 03:38", "0"
"Boy-Girl#M.1531916032.A.F1D#00052", "lattebear", "暑假到了", "07/19 04:17", "0"
"Boy-Girl#M.1531916032.A.F1D#00053", "chick11", "七月到了", "07/19 07:32", "0"
"Boy-Girl#M.1531916032.A.F1D#00054", "eric9981020", "慢走不送", "07/19 07:35", "0"
"Boy-Girl#M.1531916032.A.F1D#00055", "penny841028", "BG版最近是沒人管了是不是！", "07/19 08:10", "0"
"Boy-Girl#M.1531916032.A.F1D#00056", "ret121", "這回文還真嗆", "07/19 08:11", "0"
