"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1532767127.A.8DC#00000", "originbook", "網址好讀版：<br>http://spacedandan.blogspot.com/2018/07/blog-post.html<br><br><br><br>話說前幾天得知一個消息，我一位認識很久的男生朋友，他的女友終於「似乎」真的下定<br><br>決心與他分手了，為什麼我要加個「似乎」呢？(沒辦法，分分合合太多次，身為雙方<br><br>友人朋友的我，已經到達一種喝茶在旁邊看戲的心態XD)<br><br>由於跟男女雙方都算有點交情，我只好當個局外人比較恰當，靠太近被這場風暴掃中，<br><br>也許冤親變事主，就有點蝦囉！<br><br><br><br>大致上說明一下男女雙方的條件，男生方面呢，應該算男生裡面長得帥的，加上嘴巴甜+薪<br><br>水不錯+工作環境女生遠多於男生，說明到這裡，我想不用我說大家也能清楚，這男生的桃<br><br>花「非常多」，再加上男生的防守範圍很廣，以淡淡的角度來看就是一位可以像大谷翔平<br><br>一<br>樣雙刀流，加上從一壘守到三壘，再從內野守到外野那類型的球員。如果我今天是個棒球<br><br>教練，那他是位不可多得的好手，但....情場上，就是另一種狀況啦。<br><br><br><br><br>下面我列三種男生的類型，建議女生如果碰到這種男生，最好是離得遠遠的，趕快逃跑吧<br><br>！<br><br>1、會使用暴力的人<br><br>基本上，這種人不是只有男生才有這種症頭，也有女生會如此。這種人平常情緒好的時候<br><br>會讓你覺得他是個完美情人，體貼又溫柔。逢年過節就帶你去吃好穿好，還會做一些讓你<br><br>感動到不行的小浪漫。但是可怕的就是這種人生氣的時候，會完全變了一個人，變成另一<br><br>種你不認識的生物。彷彿照到月亮變身的狼人一樣，進入狂暴模式，動手又動腳，大致上<br><br>來說，只煽你耳光算是小case，打到你變成鼻青臉腫，頭破血流，折手斷骨真的一點不誇<br><br>張。<br><br><br><br>還有一種暴力也是暴力，就是「言語暴力」，我認識一位女生，平常嬌美可愛，溫柔可人<br><br>。<br><br>生起氣來的時候，滿口三字經問候你全家，把你祖先八代，爸爸媽媽叔叔伯伯阿姨所有親<br><br>戚全罵了個遍，真的讓我傻眼！<br><br><br>不然就是講超酸的話，罵你不上進不爭氣，不像個男人等等，我想言語暴力就不用一一列<br><br>舉。<br><br><br>2、遲遲不給承諾的男人<br><br>像我那位條件很好的男生朋友，說實話，他真的沒有騙過女友要跟她結婚。我想，他應該<br><br>是小時候的家庭背景環境因素，他對結婚有種恐懼感。但是如果女方是想要有婚姻類型的<br><br>女生，建議早早就跟男生斷絕往來吧，雖然我知道好男人不好找，但試圖去想要感化對方<br><br>讓他願意進入婚姻也是種不切實的想法。男人從來不是因為被誰感化到想結婚，而且有天<br><br>突然他自己就想結婚，有了進入婚姻的念頭。而女生的年紀，是一種致命的現實。<br><br>隨著女生的年紀增長，身價的下滑是種自然演化上的結果。別跟我說什麼林志玲、徐若瑄<br><br>的身價有多好多好之類。人家這兩位，相比於年輕的時候，身價已經掉很多啦！！<br><br><br><br>3、金錢觀有問題的男人<br><br>其實這是個挺深奧的課題，認真討論起來，可能要來個三千字論說文。但我想，我就說得<br><br>簡單一點好了，不好好努力工作，整天做發財白日夢的男生，建議女生還是早早換個人比<br><br>較實際。基本上，我見過幾種特徵的男生具有這種現象。<br><br>a.遊手好閒<br><br>明明好手好腳，身體健康，卻不去好好找個正經工作，每天上他個8小時班，忍受老闆上司<br><br>8小時的靠北靠腰，一被主管念兩句，隔天離職信就丟到主管臉上，「林北不用受你的氣，<br><br>沒有聽你在說蛤小，林北也過得好好的」。事實上，就是明明沒找好下一個頭路，<br><br>離職馬上就要啃老或靠另一半養活自己，自認是陶淵明轉世，不用為五斗米折腰，<br><br>喝水吃空氣就會飽的外星人。這種人基本上只是吃不了一點點的苦，<br><br>受了一點連折磨都稱不上的挫折，就以為自己是這世上最了不起的人，<br><br>可能應該幫他出一本傳記，收錄在世界名人錄裡面。<br><br>女生如果不是自己經濟能力非常ok，又願意當這種人的再生父母的話，<br><br>最好也是先離得遠遠的。<br><br><br>b.老想著如果做了啥事就會突然變成有錢人<br><br>我知道，我每次看了 《阿甘正傳》，看到阿甘開著一艘破船，出海捕蝦，<br><br>正好有個超級颱風把阿甘平常停船港口的船全部打爛，只剩下阿甘一艘船可以用，<br><br>然後他就因此捕到很多蝦，變成了百萬富翁。每看一次，我就覺得扯爆了。<br><br><br>但現實生活裡真的有這種人，以為只要參加了某種行業，找到了某種明星商品，馬上沒幾<br><br>個月就變成有錢人。我不能跟你說這不會成真，但是這種機率基本上，跟中樂透差不多。<br><br>每天去尋找這種機會的人，跟尋寶差不多，我可以很實在的說，<br><br>這種人絕對不是結婚生子的好對象，除非女生打算跟他從事同樣的事，<br><br>然後把所有可能的後果先了解一遍，不要發生了再到網路上發文抱怨。<br><br><br><br>c.認為創業成功前，失敗個幾次是難免的<br><br>在某雜誌上，看了雷軍創立小米之前，也曾經有創業失敗的例子。<br><br>戴勝益也是失敗了好幾次，才成功的創立了王品集團。<br><br>老實說吧，如果聽信了報章雜誌那種極為片面又不完整的資訊，就以為自己會是下個雷軍<br><br>，那就是作夢。早早去睡覺隔天的精神會比較好。一件事情的成功，<br><br>都有所謂的「先決條件」，而先決條件不是隨隨便便就能夠符合的。<br><br>就像看看《格雷的50道陰影》作作白日夢是可以，但是想變成安娜嫁給格雷那種男人，<br><br>還是先惦惦自己的斤兩。<br><br><br>d.沒有儲蓄的觀念<br><br>賺多少錢，就花多少錢，以卡養卡，以債養債。我見過一個最扯的例子就是，<br><br>以公司資產負債表方式衡量自己財產的人。要記住，公司跟人是不一樣的，<br><br>並不是所有的財報數字看起來是正數，就代表沒有負債。人是會老會生病，<br><br>一個又老又生病的「人」，是沒有銀行願意貸款給這種對象的。<br><br><br>大致上，金錢觀跟價值觀也脫不了關係，女生要好好觀察自己對象這方面的價值觀是否與<br><br>自己差異過大，如果答案是「是」的話，建議也早點放生，青春小鳥是不等人的。<br><br><br>以上小小對女生的建議，希望女生都能找到自己合適的另一半，享受人生的幸福快樂。<br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1532767127.A.8DC#00001", "Ariettina", "老實說這是常識，女生腦子不要進水影響判斷力比較重要", "07/28 16:53", "1"
"Boy-Girl#M.1532767127.A.8DC#00002", "isaq", "推ㄌㄡㄕㄤ", "07/28 16:58", "0"
"Boy-Girl#M.1532767127.A.8DC#00003", "fly820822", "反正愛情會使人盲目", "07/28 17:00", "0"
"Boy-Girl#M.1532767127.A.8DC#00004", "win55135", "所以對女性不適用？", "07/28 17:03", "0"
"Boy-Girl#M.1532767127.A.8DC#00005", "panvincent", "這已經是人的問題 根本跟愛情無關了啦", "07/28 17:04", "0"
"Boy-Girl#M.1532767127.A.8DC#00006", "sam86716", "這不管男女都是吧 屁話哦", "07/28 17:07", "0"
"Boy-Girl#M.1532767127.A.8DC#00007", "as2s2ss2s", "下次你發在自己臉書就好", "07/28 17:14", "0"
"Boy-Girl#M.1532767127.A.8DC#00008", "fivesixnodie", "哈哈哈哈哈哈", "07/28 17:15", "0"
"Boy-Girl#M.1532767127.A.8DC#00009", "cascade", "改一下內文吧 徐若瑄幾年前早就結婚生子啦", "07/28 17:16", "0"
