"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1533567408.A.CDD#00000", "vuizi", "姊姊我最近因為想看媽媽咪呀回來了～<br><br>但是週遭姊妹都是拉著男友去看姊姊我找不到人<br><br>加上不習慣一個人去看電影<br><br>於是就用交友app發了個約會簡單說了下想看電影同時說明不用男方請<br><br>可能因為我頭貼放得比較清涼<br><br>沒多久就蠻多人約的<br><br><br><br>由於平時上班同事幾乎都年過30了<br><br>我這次特別挑了一個24的弟弟結伴（好像變年輕了ＸＤ）<br><br>我們邊吃爆米花邊把電影看完後<br><br>本來在結尾播放工作人員那段我就想走了<br><br>結果那弟弟特別堅持要聽完後面的音樂<br><br>雖然說萍水相逢我不太用理他<br><br>不過考慮到我個人是蠻喜歡和人討論劇情內容的<br><br>最後我還是耐著性子等完<br><br>中間順便聊了下劇情和等等可不可以陪我買宵夜之類的<br><br>突然發現！！！<br><br><br><br>電影後面有彩蛋！<br><br>姊一個開心給了他Line<br><br>但還是希望下次有機會出去看電影這位弟弟不要在那麽龜毛了ＸＤ<br><br>--<br>", "", ""
"Boy-Girl#M.1533567408.A.CDD#00001", "xyzgod999", "讚 留言 分享", "08/06 22:58", "0"
"Boy-Girl#M.1533567408.A.CDD#00002", "oneeee", "？", "08/06 22:59", "0"
"Boy-Girl#M.1533567408.A.CDD#00003", "pttforfun", "再", "08/06 23:01", "0"
"Boy-Girl#M.1533567408.A.CDD#00004", "saranight", "等到最後才走不算什麼龜毛吧？", "08/06 23:02", "0"
"Boy-Girl#M.1533567408.A.CDD#00005", "gox1117", "當你個版", "08/06 23:02", "0"
"Boy-Girl#M.1533567408.A.CDD#00006", "namis77", "有人習慣整部看完才是完整的電影，你沒那習慣 下次約其他活動", "08/06 23:13", "1"
"Boy-Girl#M.1533567408.A.CDD#00007", "codyDL", "我也來噓", "08/06 23:28", "0"
"Boy-Girl#M.1533567408.A.CDD#00008", "mindy201", "我就是習慣能看完片尾的人啊(盡量)，只是每個人習慣都不同，不然把弟弟介紹給我好了。你們以後約其他活動+1", "08/06 23:33", "1"
"Boy-Girl#M.1533567408.A.CDD#00009", "rainsstar", "公主起手式餒，人家一個你沒預期的習慣就先說人家龜毛", "08/06 23:41", "1"
"Boy-Girl#M.1533567408.A.CDD#00010", "kotohira", "這哪算什麼龜毛 這男的應該是有事先調查好了，要讓妳看一下彩蛋驚喜 結果被你講龜毛 幫QQ", "08/06 23:43", "0"
"Boy-Girl#M.1533567408.A.CDD#00011", "UKnowWhoIam", "龜毛？", "08/06 23:52", "0"
"Boy-Girl#M.1533567408.A.CDD#00012", "jganet", "24的弟弟那個大姐姐很急。要去廁所嗎", "08/07 00:05", "0"
"Boy-Girl#M.1533567408.A.CDD#00013", "Derrick906", "ㄏㄏ", "08/07 00:07", "0"
"Boy-Girl#M.1533567408.A.CDD#00014", "MaryJanexx", "重點到底是什麼==", "08/07 00:12", "0"
"Boy-Girl#M.1533567408.A.CDD#00015", "kobe8112", "希望這位阿姨中文重修一下，「再」跟「在」都分不清楚..", "08/07 00:14", "1"
"Boy-Girl#M.1533567408.A.CDD#00016", "assess", "龜毛點在哪？", "08/07 00:21", "0"
"Boy-Girl#M.1533567408.A.CDD#00017", "philandsam", "公主說別人龜毛 呵呵", "08/07 00:22", "0"
"Boy-Girl#M.1533567408.A.CDD#00018", "dieperson", "??", "08/07 00:24", "0"
"Boy-Girl#M.1533567408.A.CDD#00019", "milk05027", "？", "08/07 00:33", "0"
"Boy-Girl#M.1533567408.A.CDD#00020", "takoii", "莫名其妙", "08/07 00:50", "0"
"Boy-Girl#M.1533567408.A.CDD#00021", "appleon", "看完片尾製作名單是對這部作品的禮貌", "08/07 00:52", "0"
"Boy-Girl#M.1533567408.A.CDD#00022", "yeeroyuy", "喔", "08/07 00:55", "0"
"Boy-Girl#M.1533567408.A.CDD#00023", "greenjr", "把電影看完叫龜毛？你才龜毛，你全家都龜毛", "08/07 00:58", "0"
"Boy-Girl#M.1533567408.A.CDD#00024", "foolsan", "無言 當專版嗎？", "08/07 01:14", "0"
"Boy-Girl#M.1533567408.A.CDD#00025", "ccu1002", "??", "08/07 01:18", "0"
