"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1533686834.A.CDC#00000", "x8109199", "早上起來肚子很餓，想說趁吃早餐前吃個水果止飢。<br><br>正當在替水果脫衣時，女友躺在床上醒來<br><br>睡眼惺忪的對著我說<br><br>「我要抱抱。」<br><br>還沒咬第一口的飢餓感充上頭腦，打壞了冷靜<br><br>「不要，我不想抱妳」<br><br>轉頭吃水果。<br><br>然後就吵架了...<br><br><br><br>女友覺得我太苛刻，可以抱完她再去吃水果。<br><br><br>而我覺得在做事情時要因為突如其來的抱抱，<br><br>得馬上放下手邊事情抱她後再繼續<br><br><br>她知道我有再看ptt的習慣，來問看看板上大家怎麼看待這件事情。<br><br><br>究竟是女方太公主，還是男方太王子<br><br>謝謝大家<br><br><br>補充一下<br><br>當時會這麼回話是因為女友用命令的語氣和我說<br><br>在當下感受到我是不被尊重才這樣回答的。<br><br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1533686834.A.CDC#00001", "JustWinslow", "暑假住一起嗎", "08/08 08:09", "0"
"Boy-Girl#M.1533686834.A.CDC#00002", "linafan", "那你就去抱水果當女友吧", "08/08 08:11", "0"
"Boy-Girl#M.1533686834.A.CDC#00003", "gayponpon", "想不到比「不要，我不想抱妳」更婉轉的回答嗎=  =?", "08/08 08:12", "0"
"Boy-Girl#M.1533686834.A.CDC#00004", "yaokut", "說一句：好，等我一下。吃口水果再去抱抱，會怎樣啊？？", "08/08 08:12", "0"
"Boy-Girl#M.1533686834.A.CDC#00005", "alloutof", "不能講「我先吃水果再抱」嗎？？這問題都能扯公主然後上來公審真是開了眼界", "08/08 08:14", "1"
"Boy-Girl#M.1533686834.A.CDC#00006", "needtoknow", "情商很低 一邊處理水果也能過去給她抱一下啊，這麼不甘願交什麼女友啊", "08/08 08:15", "0"
"Boy-Girl#M.1533686834.A.CDC#00007", "james1993730", "有沒有可能平常類似事情發生很多次才會這樣回", "08/08 08:15", "0"
"Boy-Girl#M.1533686834.A.CDC#00008", "codyDL", "在啦", "08/08 08:16", "0"
"Boy-Girl#M.1533686834.A.CDC#00009", "james1993730", "那麼想抱幹嘛不自己過去抱", "08/08 08:17", "0"
