"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1533847178.A.BBD#00000", "ccu1002", "代 po<br><br>我目前是個高二的女孩子<br><br>也是學校的校花<br><br>學校超多男生追我<br><br>根據那些男生的說法我美麗的程度已到達"人神共憤"的境界<br><br>所以學校很多女生都看我不爽（她們很嫉妒XDD）<br><br>而他<br><br>是學校的校草<br><br>台英混血 精緻的五官  高挺的鼻樑  一百八的身高 精壯的身材  體育課業都超好<br><br>是學校班聯會的主席 也是全校女生心目中的男神與愛慕對象<br><br>我跟他本來是朋友<br><br>有一天<br><br>他突然在朋友面前和我告白<br><br>我有點嚇到  所以沒有給他答覆<br><br>後來他跟我說他不會放棄  他想永遠守護著我<br><br>之後因為他追我的關係很多女生開始中傷我欺負我<br><br>所以我很難過<br><br>有一天朝會他要上去講台講學校一些事務<br><br>結果他上去竟然說叫全校的女生不要再欺負我了<br><br>說我是很善良的好女生<br><br>最後他大叫我的名字<br><br>然後說我愛你<br><br>整個操場開始鼓動<br><br>全校的人都叫我答應他<br><br>我就點頭說好<br><br>之後我們就交往了  他對我很好  常常買一些很貴的禮物送我<br><br>雖然他超帥<br><br>但還是很專情  他常說我是他的小公主<br><br>讓我很煩惱的是<br><br>最近他突然跟我說  他大學要回英國  他其實是英國貴族<br><br>因為他爸爸和台灣女生結婚所以他爺爺很生氣<br><br>所以就來台灣住<br><br>後來他爸爸和爺爺關係重修舊好<br><br>所以要回英國了<br><br>他問我要不要跟他一起回去<br><br>一起去讀貴族學校  住在他們家的大城堡<br><br>他說他想和我永遠在一起  我決定要去英國了  好煩惱哦…<br><br>大家可以給我一些建議嗎…<br><br><br><br>-----<br>Sent from JPTT on my Samsung SM-N9208.<br><br>--<br>", "", ""
"Boy-Girl#M.1533847178.A.BBD#00001", "hatehess", "醒了沒", "08/10 04:42", "0"
"Boy-Girl#M.1533847178.A.BBD#00002", "ztodyjekxz", "做夢？", "08/10 04:42", "0"
"Boy-Girl#M.1533847178.A.BBD#00003", "molamolajump", "哪部？", "08/10 04:43", "0"
"Boy-Girl#M.1533847178.A.BBD#00004", "suiminkusuri", "不是打個代po就不算幻想文好嗎", "08/10 04:45", "0"
"Boy-Girl#M.1533847178.A.BBD#00005", "x8109199", "D?", "08/10 04:45", "0"
"Boy-Girl#M.1533847178.A.BBD#00006", "wedman", "我說那個暑假..", "08/10 04:52", "0"
"Boy-Girl#M.1533847178.A.BBD#00007", "Cats", "明知山有虎 偏向虎山行", "08/10 04:55", "0"
"Boy-Girl#M.1533847178.A.BBD#00008", "tracy0620", "洗文章沒關係，但寫些有營養的好不？", "08/10 04:59", "0"
"Boy-Girl#M.1533847178.A.BBD#00009", "greensh", "英國的貴族不會住城堡 要瞎掰也做點功課啦", "08/10 05:02", "0"
"Boy-Girl#M.1533847178.A.BBD#00010", "absu", "做夢？", "08/10 05:07", "0"
"Boy-Girl#M.1533847178.A.BBD#00011", "BisouBisou", "我快笑死XDDDDDDDDDDDDDDDDDDD", "08/10 05:14", "0"
"Boy-Girl#M.1533847178.A.BBD#00012", "gox1117", "哪部", "08/10 05:18", "0"
"Boy-Girl#M.1533847178.A.BBD#00013", "j2720888", "我剛剛去八卦版以為到男女 現在來男女以為在八卦", "08/10 05:23", "0"
"Boy-Girl#M.1533847178.A.BBD#00014", "kelosh22", "哪部啊???", "08/10 05:27", "0"
"Boy-Girl#M.1533847178.A.BBD#00015", "penny841028", "這又是那部連續劇劇情？", "08/10 05:27", "0"
"Boy-Girl#M.1533847178.A.BBD#00016", "mm0107386", "媽的廢文", "08/10 05:30", "0"
"Boy-Girl#M.1533847178.A.BBD#00017", "aa852093", "。", "08/10 05:31", "0"
"Boy-Girl#M.1533847178.A.BBD#00018", "cwjing", "暑假幻想文真的很多", "08/10 05:32", "0"
"Boy-Girl#M.1533847178.A.BBD#00019", "joey9688", "現在是講個代po就可以幻想加嘴炮了是不是，https//i.imgur.com/vgU1Ak9.jpg", "08/10 05:34", "0"
