"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1535346408.A.E1D#00000", "dopamine5566", "友人問題幫忙詢問<br><br>朋友目前是個學生和他女友（剛畢業）交往1年左右<br>最近剛好是畢業生找工作的時期<br>他女友投了許多履歷<br>目前嚮往一分工作<br>但距離男方大約騎車要20分鐘<br><br>男生很苦惱<br>因為他離不太開上課地點<br>20分鐘以學生來說真的太遠<br><br>而且女友剛出社會這個時期<br>又讓男生充滿不安<br><br>想請問<br>一個在上班一個還在唸書的戀愛會不會很困難<br>這種距離和時間的困擾會不會變成一種阻礙<br><br>希望大家分享經驗<br>感恩<br><br>--<br>", "", ""
"Boy-Girl#M.1535346408.A.E1D#00001", "dancelight", "騎車20分鐘……這是反串嗎", "08/27 13:08", "0"
"Boy-Girl#M.1535346408.A.E1D#00002", "hiimsinging", "我多想跟我男友只離20分鐘遠呀...", "08/27 13:09", "0"
"Boy-Girl#M.1535346408.A.E1D#00003", "lovecatbaby", "20分鐘騎車對學生太遠？我看了什麼", "08/27 13:10", "0"
"Boy-Girl#M.1535346408.A.E1D#00004", "sanadayasu", "人生有幾個20分鐘可以浪費 分", "08/27 13:10", "0"
"Boy-Girl#M.1535346408.A.E1D#00005", "a0184103a018", "騎車20分鐘有很遠嗎，想分手怎樣都可以是藉口", "08/27 13:10", "0"
"Boy-Girl#M.1535346408.A.E1D#00006", "XOEX", "20分鐘超近好嗎= =", "08/27 13:10", "0"
"Boy-Girl#M.1535346408.A.E1D#00007", "phmm307", "成熟又有點錢的單身上司是很危險的", "08/27 13:14", "0"
"Boy-Girl#M.1535346408.A.E1D#00008", "ponpon55837", "想分手 連騎車20分鐘的距離也能當成藉口", "08/27 13:14", "0"
"Boy-Girl#M.1535346408.A.E1D#00009", "oneeee", "20分鐘???????????", "08/27 13:16", "0"
"Boy-Girl#M.1535346408.A.E1D#00010", "CHRISTINAYEN", "看不太懂...本來同居變成分開住嗎???", "08/27 13:26", "0"
"Boy-Girl#M.1535346408.A.E1D#00011", "MurMur", ".....................................................", "08/27 13:27", "1"
"Boy-Girl#M.1535346408.A.E1D#00012", "jakey0619", "反串嗎???", "08/27 13:27", "0"
"Boy-Girl#M.1535346408.A.E1D#00013", "kk0716", "20分鐘 是三小?剛畢業是指國中畢業嗎? 這問題大概國中水準", "08/27 13:32", "1"
"Boy-Girl#M.1535346408.A.E1D#00014", "lousen0068", "反串", "08/27 13:33", "0"
"Boy-Girl#M.1535346408.A.E1D#00015", "star1023", "反串", "08/27 13:37", "0"
"Boy-Girl#M.1535346408.A.E1D#00016", "m0630821", "林老師才20分鐘遠個屁", "08/27 13:39", "0"
"Boy-Girl#M.1535346408.A.E1D#00017", "wolf123", "20分鐘?! 超近..", "08/27 13:40", "0"
"Boy-Girl#M.1535346408.A.E1D#00018", "hsiehtin1", "反串", "08/27 13:43", "0"
"Boy-Girl#M.1535346408.A.E1D#00019", "macchiato416", "才20分鐘", "08/27 13:51", "0"
"Boy-Girl#M.1535346408.A.E1D#00020", "LuciusMalfoy", "嚮往一份工作 是應徵上了嗎 然後騎車20分叫遠?!", "08/27 13:58", "0"
"Boy-Girl#M.1535346408.A.E1D#00021", "pikachuuuuuu", "我快笑死 這真的不是反串嗎", "08/27 14:02", "0"
"Boy-Girl#M.1535346408.A.E1D#00022", "ashley96973", "20分鐘真的很近 是很正常的距離吧?", "08/27 14:10", "0"
"Boy-Girl#M.1535346408.A.E1D#00023", "ishinq9327", "這篇來搞笑的嗎", "08/27 14:12", "0"
"Boy-Girl#M.1535346408.A.E1D#00024", "ethanol", "20分鐘太遠的話只能找同棟的住戶交往了", "08/27 14:14", "0"
"Boy-Girl#M.1535346408.A.E1D#00025", "csimiami", "推樓上同棟住戶，哈哈哈", "08/27 14:21", "0"
"Boy-Girl#M.1535346408.A.E1D#00026", "toyland", "我男友跟我台北桃園的距離，都可以每週見面約會，你20分鐘是遠3小", "08/27 14:25", "1"
"Boy-Girl#M.1535346408.A.E1D#00027", "holayu", "20分鐘是在反串？？？？", "08/27 14:31", "0"
"Boy-Girl#M.1535346408.A.E1D#00028", "joyce702", "20分鐘國小生應該也不算太遠....", "08/27 14:31", "0"
"Boy-Girl#M.1535346408.A.E1D#00029", "hellosnake", "本魯以前從學校接女友回家，再回自己家，車程一個半，小時，持續了二年多，20分是在遠幾點的", "08/27 14:32", "0"
