"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1536462863.A.AB0#00000", "smile00062", "手機排版請見諒<br><br>各位30cm E奶大家好<br><br>小弟目前跟女友是外宿大學生，前天去寵物店買黃金鼠飼料時看到有領養貓，女友本身就<br>好想養但從小家中經濟不允許。<br><br>現在住外面給他抓到這個機會他當然不想放過，他說大學我們都有額外打工的收入、領養<br>也比較沒那麼花錢，打針比較便宜等等的。<br><br>雖然我是認為養貓花費沒那麼簡單，光一次醫院就不知道幾張小朋友了，他又不可能不生<br>病又沒健保@@，就算經濟考量ok但我們租屋處公告就是不能養，於是女友堅持要偷偷養。<br><br><br>好，若被發現以房東個性200%會被趕出去，我女友也說這是種愛貓表現，在怎麼樣都要負<br>責，還說之後也願意自己搬出去住自己養，我不用負擔貓的費用。<br><br>就這樣鬧了不久，他朋友也說先養再說，不能的話在看吧，這句話成為壓倒駱駝最後一根<br>稻草。<br><br>呃...我認為我想的萬全又周到啊，是不是我錯了啊<br><br>--<br>", "", ""
"Boy-Girl#M.1536462863.A.AB0#00001", "alternate", "真的沒那麼容易  千萬不要有先養再說的想法", "09/09 11:15", "0"
"Boy-Girl#M.1536462863.A.AB0#00002", "namis77", "不要殘害貓咪好嗎", "09/09 11:16", "0"
"Boy-Girl#M.1536462863.A.AB0#00003", "xs691827", "光是偷偷養那邊就已經表示她根本沒仔細考慮怎麼處理貓，的大小事了，到時候80%會要求你幫忙，不幫就是你沒愛心，這樣被她養的貓也是蠻可憐的", "09/09 11:17", "0"
"Boy-Girl#M.1536462863.A.AB0#00004", "xam", "跟她說先拿5000養貓基金出來,然後之後每個月再500+", "09/09 11:18", "0"
"Boy-Girl#M.1536462863.A.AB0#00005", "Yafans", "什麼叫先養再說= =養寵物就跟生小孩一樣，都應該理性考慮清楚才是負責表現", "09/09 11:20", "1"
"Boy-Girl#M.1536462863.A.AB0#00006", "Lahti", "幫房東QQ 幫有機會被領養的貓QQ", "09/09 11:21", "0"
"Boy-Girl#M.1536462863.A.AB0#00007", "Yafans", "這種人不要養貓，一定有狀況就放生送走甚至棄養貓貓", "09/09 11:22", "0"
"Boy-Girl#M.1536462863.A.AB0#00008", "alternate", "覺得你女友根本沒有好好規劃  想養貓就是個衝動，光是堅持要偷偷養就已經很不負責任了", "09/09 11:23", "0"
"Boy-Girl#M.1536462863.A.AB0#00009", "r5252", "千萬不要養，若不幸分手了，貓怎麼辦？", "09/09 11:34", "0"
"Boy-Girl#M.1536462863.A.AB0#00010", "Anyotw", "自己去看一下獸醫院價目表，沒經濟能力不要鬧", "09/09 11:34", "0"
"Boy-Girl#M.1536462863.A.AB0#00011", "sun0513218", "養貓前要預估好飼料以及貓砂的花費，如果生病又是另一筆開銷", "09/09 11:38", "1"
"Boy-Girl#M.1536462863.A.AB0#00012", "luvcat", "沒錢就不要養啦！貓生病一次5千起跳，你們有多少5千可以，花？前期買東西跟結紮打針那些的也要8千吧要養就要房東同意，這是最基本的吧？趕出去貓要睡哪？你自己吃得了苦貓沒辦法一直換環境跟你一起吃苦欸！牠值得更好的主人", "09/09 11:45", "0"
"Boy-Girl#M.1536462863.A.AB0#00013", "modolacy", "噓女友 千萬不要養 我家這邊一堆學生養狗養貓 結果一畢，業就都放生在這裡等死 這邊都快變動物園了 超沒水準 還放狗亂大便不清", "09/09 11:46", "0"
"Boy-Girl#M.1536462863.A.AB0#00014", "LaplaceDemon", "這種不負責任的個性要好好考慮", "09/09 11:48", "0"
"Boy-Girl#M.1536462863.A.AB0#00015", "sarutobi", "學生不要養好嗎，我家的貓醫藥費花了近十萬你們負擔得，了？閣下女友太天真了", "09/09 11:49", "0"
"Boy-Girl#M.1536462863.A.AB0#00016", "sarah1314", "噓女生…一時興起養，有考慮養到最後嗎…馬的…不要到，時候棄養", "09/09 11:49", "0"
"Boy-Girl#M.1536462863.A.AB0#00017", "yuki901201", "覺得要嘛就是找一個能養的，偷養讓人感覺很差", "09/09 11:50", "0"
"Boy-Girl#M.1536462863.A.AB0#00018", "nacy204327", "有事 房東就說不准養了是聽不懂國語？？？", "09/09 11:50", "0"
"Boy-Girl#M.1536462863.A.AB0#00019", "misssquid", "這種人用講的不會聽，建議他去朋友家被貓抓一次，鏟貓，砂，到醫院看價目表，再勸她。", "09/09 11:50", "0"
"Boy-Girl#M.1536462863.A.AB0#00020", "beerbelly", "被趕出去是愛貓表現？？在說啥？？", "09/09 11:51", "0"
"Boy-Girl#M.1536462863.A.AB0#00021", "lucky123820", "先叫他找到可養貓的租屋處再來討論下一步", "09/09 11:52", "0"
"Boy-Girl#M.1536462863.A.AB0#00022", "singrain", "不要養，不要養，不要養。以她現在的心態只是自我滿足，看過太多大學生情侶養寵物最後寵物沒有好結果的。她現在連自己人生都還不能負責，要拿什麼負責其他生命的一輩子", "09/09 11:52", "1"
"Boy-Girl#M.1536462863.A.AB0#00023", "mapxu664", "你女友只能思考十分鐘後發生的事", "09/09 11:52", "0"
"Boy-Girl#M.1536462863.A.AB0#00024", "hilotsubomi", "一開始養貓開銷就一堆。貓砂貓飼料罐頭都不便宜。夏，日容易掉毛。會抓家具會咬鞋子。飼主不在家可能會叫。還要買逗貓器材讓牠玩耍。看病時也需購買外出用貓包。相關醫療費都貴。剛開始的預防針。接下來可能的感冒長蟲發霉腸胃炎........。會吐毛的話還要買化毛膏。還有其他營養補給。然後最煩的是也不方便出遠門。去個兩天以上一定牽腸掛肚。", "09/09 11:52", "0"
"Boy-Girl#M.1536462863.A.AB0#00025", "hilotsubomi", "你如果不够愛貓。看到地上床上屎尿。被貓打破掉的東，西。抓爛的物品。飛舞的貓毛。應該很難愛下去。", "09/09 11:54", "0"
"Boy-Girl#M.1536462863.A.AB0#00026", "encoreb00124", "靠北 樓上你早點推文我就不用回了", "09/09 11:55", "0"
"Boy-Girl#M.1536462863.A.AB0#00027", "h0180102002", "覺得只是一股腦想滿足心中的慾望  後續解決問題的方，法都沒有 這樣叫愛貓？", "09/09 11:56", "0"
"Boy-Girl#M.1536462863.A.AB0#00028", "fiercy", "性情凶暴不親人、破壞傢俱、不明原因亂便溺、睡覺時大叫吵鬧、生病花大錢這些種種，最壞的可能她都考慮過了能接受嗎？勸你不要妥協，或是借這個事件好好看清楚考這個人，生命不是用隨便的心態來對待", "09/09 12:01", "1"
"Boy-Girl#M.1536462863.A.AB0#00029", "ismydear", "放心 喵尿喵屎她一定不會清", "09/09 12:01", "0"
"Boy-Girl#M.1536462863.A.AB0#00030", "s8900117", "學生還是先不要 寵物生病就麻煩了 你們分手時也是", "09/09 12:02", "0"
