"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1536832728.A.A1F#00000", "j0588", "※ 引述《Hermess (取之有道)》之銘言：<br>: 可惡。沒想到她竟然同時誘惑你。而且還找個有幻想女友的人！她都不知道三從四德怎<br>麼<br>: 寫嗎！？<br>: 出來決鬥！抽牌啊！<br>: 你如果抽到五張黑暗大法師。今晚的權利我就讓給你吧！<br>: https://i.imgur.com/XgM6DPT.jpg<br>: 話說你不要在一直執迷不悟了。其實大家是在救你。你現在狀態就跟匯款給假車禍詐騙<br>集<br>: 團的歐巴桑一樣。覺得警察都在害你。<br>: 純粹就只是你不知世事。這是一種新型態的拉客方法。天知地知小黃牠媽也知。就你不<br>知<br>: 道。還在堅持工讀生。<br><br>謝謝苦口婆心啦<br>不過就已經在前面講過了<br>本肥根本沒打算被騙好嗎<br><br>後來只是有點好奇，是不是真的如鄉民所講，就只是工讀生的機器制式回應<br>恰巧不久前又被賴，就直接問了<br>看起來是有個真人在的<br><br>http://imgur.com/a/1eGgMZB<br><br>大家對本肥的忠言，不管是不是誤會，本肥都虛心接受啦<br><br>--<br>", "", ""
"Boy-Girl#M.1536832728.A.A1F#00001", "myps6312", "還不快刷個卡匯個幾萬過去？", "09/13 18:07", "0"
"Boy-Girl#M.1536832728.A.A1F#00002", "snowtree", "還在回 真的沒救了  你還是回公務員板回文 外面的世界，很可怕的", "09/13 18:09", "0"
"Boy-Girl#M.1536832728.A.A1F#00003", "Kuromi0929", "所以不打算被騙的話，繼續發文是為了什麼？", "09/13 18:13", "0"
"Boy-Girl#M.1536832728.A.A1F#00004", "sheoldark", "所以你混過哪？ XD", "09/13 18:14", "0"
"Boy-Girl#M.1536832728.A.A1F#00005", "snowtree", "混那裡 講出來讓大家笑一笑啊 對了 公務員上班可以上ptt嗎", "09/13 18:15", "1"
"Boy-Girl#M.1536832728.A.A1F#00006", "namis77", "到底是戳破幾項一般成見..這東西就沒什麼好玩的..時間太，多還不如看學術研究文章才是真的能實驗", "09/13 18:28", "0"
"Boy-Girl#M.1536832728.A.A1F#00007", "book2381", "國中生才嗆混那的，哈哈", "09/13 18:30", "0"
"Boy-Girl#M.1536832728.A.A1F#00008", "tsaisyou", "果然又開新戰場了，必噓", "09/13 18:32", "0"
"Boy-Girl#M.1536832728.A.A1F#00009", "orz1234567", "智商真的堪憂喔，而且真的有夠閒XD暈了又死不承認有夠丁能", "09/13 18:33", "0"
"Boy-Girl#M.1536832728.A.A1F#00010", "kimos", "國中生 還要很中二才會嗆混哪裡  XDDD", "09/13 18:35", "0"
"Boy-Girl#M.1536832728.A.A1F#00011", "doghouse", "所以你幹嘛不問你女朋友?", "09/13 18:44", "0"
"Boy-Girl#M.1536832728.A.A1F#00012", "vrokm867", "反串", "09/13 18:46", "0"
"Boy-Girl#M.1536832728.A.A1F#00013", "sai713", "幫補血", "09/13 18:54", "0"
"Boy-Girl#M.1536832728.A.A1F#00014", "namis77", "幼稚又沒戰力..", "09/13 18:55", "0"
"Boy-Girl#M.1536832728.A.A1F#00015", "Meatroll0326", "有笑有推", "09/13 19:02", "0"
"Boy-Girl#M.1536832728.A.A1F#00016", "orz1234567", "不用您操心，我也不會跟您女友標準一樣的XD", "09/13 19:05", "0"
"Boy-Girl#M.1536832728.A.A1F#00017", "orz1234567", "我很常換大頭貼餒> < 而且我不需要加油啊QQ我媽生給，我的，不覺得有什麼不好欸", "09/13 19:19", "0"
"Boy-Girl#M.1536832728.A.A1F#00018", "namis77", "好像才剛學會看片片的小學生...女友很後悔吧", "09/13 19:21", "0"
"Boy-Girl#M.1536832728.A.A1F#00019", "bluelunakiss", "我開始同情你女友了...前提是真的存在的話", "09/13 19:25", "0"
"Boy-Girl#M.1536832728.A.A1F#00020", "Kona72956", "加油 我學長就是這樣找到他現在的老婆的", "09/13 19:30", "0"
"Boy-Girl#M.1536832728.A.A1F#00021", "musashi023", "從頭笑到尾。原來是文組公務員，難怪這樣聰明cc", "09/13 19:33", "0"
"Boy-Girl#M.1536832728.A.A1F#00022", "mutzy52000", "還敢下來阿冰鳥", "09/13 19:39", "0"
"Boy-Girl#M.1536832728.A.A1F#00023", "Muratlo", "你好無聊喔…………", "09/13 19:46", "0"
"Boy-Girl#M.1536832728.A.A1F#00024", "SheenaRingo0", "可憐", "09/13 19:53", "0"
"Boy-Girl#M.1536832728.A.A1F#00025", "abcd1111", "這一系列到底是怎樣", "09/13 19:58", "0"
"Boy-Girl#M.1536832728.A.A1F#00026", "abc45229", "id前看到星星就可以直接砍了...花啥鬼研究精神....", "09/13 20:00", "0"
"Boy-Girl#M.1536832728.A.A1F#00027", "z19940204", "截圖都把名字都切斷了,確定是同個人 ？", "09/13 20:03", "0"
"Boy-Girl#M.1536832728.A.A1F#00028", "a989876", "真可憐", "09/13 20:03", "0"
"Boy-Girl#M.1536832728.A.A1F#00029", "tsaisyou", "可以把您擔心的部分放在您的智商上", "09/13 20:05", "0"
"Boy-Girl#M.1536832728.A.A1F#00030", "daisy72113", "混哪？彌敦道9號？", "09/13 20:05", "0"
"Boy-Girl#M.1536832728.A.A1F#00031", "olen0622", "大家噓你是你態度又問題 蠢就蠢還來酸人丟不丟臉，幾歲阿不敢報?", "09/13 20:22", "0"
"Boy-Girl#M.1536832728.A.A1F#00032", "kimos", "看之前發文就不知哪個法律學店畢業 然後現在30出頭吧  科，科", "09/13 20:29", "0"
"Boy-Girl#M.1536832728.A.A1F#00033", "olen0622", "原來活到30還能這麼幼稚 笑一笑就算了結果惱羞開始嗆人EQ還真好", "09/13 20:30", "1"
"Boy-Girl#M.1536832728.A.A1F#00034", "aa474747", "路過幫噓", "09/13 20:31", "0"
"Boy-Girl#M.1536832728.A.A1F#00035", "miss80423", "幫補噓", "09/13 20:34", "0"
"Boy-Girl#M.1536832728.A.A1F#00036", "missingkid", "你真的有女友嗎", "09/13 20:39", "0"
"Boy-Girl#M.1536832728.A.A1F#00037", "w05241030", "簽到ww", "09/13 20:40", "0"
"Boy-Girl#M.1536832728.A.A1F#00038", "zorrolee", "好啦給推，我覺得原po蠻有梗的", "09/13 20:41", "0"
"Boy-Girl#M.1536832728.A.A1F#00039", "teddyeee", "我以為虛心接受是有器度的，可是看你回文好像看不出個，屎", "09/13 20:41", "0"
"Boy-Girl#M.1536832728.A.A1F#00040", "ssh1122", "我以為這是常識", "09/13 20:42", "0"
