"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1536926761.A.FC0#00000", "j0588", "※ 引述《weel99699 (涼麵)》之銘言：<br>: 看到大家聊的好熱絡，<br>: 我來分享一下機器人的軟件包，<br>: 我是寫python的，<br>: 有個第三方資料庫叫做chatbot，<br>: 在github上面星星超多，<br>: 基本上這些超級死板的機器人89不離10，<br>: 都是用類似的程式弄出來的，<br>: 要測試也很簡單，<br>: 你就問一些生僻的用詞，<br>: 就會發現他的回覆馬上露餡，<br>: 大概4jam<br><br>好吧，我挑起的還是自己來做一個了結好了。<br><br>最後證實是詐騙集團盜用照片在詐騙，不是機器人程式。至於詐騙集團為什麼拿得到當事<br>人的一堆未公開照片，無法求證。<br><br>已通知到照片本人，照片本人也已在她的直播頁放上真正的LINE連結，以防有其他人搞不<br>清楚受騙。<br><br>總之謝謝大家，雖然本人不乏與騙子交手經驗，但這次一時也難辨真假，是該虛心檢討。<br><br><br>各位對我的批評指教，在此全虛心接受。<br>各位對我的批評指教，在此全虛心接受。<br>各位對我的批評指教，在此全虛心接受。<br><br>有興趣的，可點連結看拆穿騙局經過<br><br>http://imgur.com/a/Lzb4B88<br><br><br>由於自己鬧了個大笑話，代表自己還不成熟，暫時不上ptt了。<br><br><br>--<br>", "", ""
"Boy-Girl#M.1536926761.A.FC0#00001", "kmtboxer", "重點不是你成不成熟，而是你回文太自以為最後又被打臉....很多被詐騙騙到都你這種的，就是覺得自己遇到一定不一樣，笑死", "09/14 20:09", "1"
"Boy-Girl#M.1536926761.A.FC0#00002", "namis77", "我好嫉妒～～～", "09/14 20:09", "0"
"Boy-Girl#M.1536926761.A.FC0#00003", "cchou0114", "這是詐騙不是常識嗎...", "09/14 20:26", "0"
"Boy-Girl#M.1536926761.A.FC0#00004", "Lydia66", "路過補血，但我覺得你不必對版友這麼嗆，宅男宅女有惹到你？酸別人宅男宅女不考慮道個歉嗎？", "09/14 20:27", "0"
"Boy-Girl#M.1536926761.A.FC0#00005", "superlilo555", "知恥近乎勇 補血", "09/14 20:39", "0"
"Boy-Girl#M.1536926761.A.FC0#00006", "asas38862002", "沒差，玩玩就好，別太相信網路世界的東西", "09/14 21:02", "0"
"Boy-Girl#M.1536926761.A.FC0#00007", "zombie51012", "不要生氣 蟒芬", "09/14 21:25", "0"
"Boy-Girl#M.1536926761.A.FC0#00008", "w01010108", "喔喔 現在又大人有大量，不跟鄉民計較了不然你去吉看看啊講的好像你官司一定贏一樣笑死", "09/14 21:30", "0"
"Boy-Girl#M.1536926761.A.FC0#00009", "shinyoun", "阿就機器人啊= =", "09/14 21:33", "0"
"Boy-Girl#M.1536926761.A.FC0#00010", "Xamd", "認真問，怎麼都看你siu乳人比較多？是不是這版的人都太凶凶？有沒有傷到你？要拔要呼呼？", "09/14 21:34", "1"
"Boy-Girl#M.1536926761.A.FC0#00011", "suiminkusuri", "不是說要當流氓 要改行了哦", "09/14 21:36", "0"
"Boy-Girl#M.1536926761.A.FC0#00012", "bluemoon2006", "噗 沒騙到你真可惜", "09/14 21:56", "0"
"Boy-Girl#M.1536926761.A.FC0#00013", "d000032002", "感覺很好的詐騙案例，補血", "09/14 22:37", "0"
"Boy-Girl#M.1536926761.A.FC0#00014", "Muratlo", "你還是暫時不要來這了…社會很恐怖的，不適合你~", "09/14 22:40", "0"
"Boy-Girl#M.1536926761.A.FC0#00015", "Kona72956", "哈哈哈 你感覺很老", "09/14 23:30", "0"
"Boy-Girl#M.1536926761.A.FC0#00016", "rickey1270", "是能告啥……自以為是到極點", "09/14 23:45", "0"
"Boy-Girl#M.1536926761.A.FC0#00017", "Awesomelouis", "丟臉", "09/15 00:05", "0"
"Boy-Girl#M.1536926761.A.FC0#00018", "bluestickies", "得饒人處且饒人，沒必要一直嘲笑別人吧，指推文", "09/15 00:22", "0"
"Boy-Girl#M.1536926761.A.FC0#00019", "CycleEnergy", "去看看這位前幾篇底下的回文再來說 還饒咧 他自找的", "09/15 01:05", "1"
"Boy-Girl#M.1536926761.A.FC0#00020", "dragonashco", "知恥近乎勇，現實生活不要這麼蠢就好", "09/15 01:35", "0"
"Boy-Girl#M.1536926761.A.FC0#00021", "dieperson", "嗚嗚", "09/15 01:38", "0"
"Boy-Girl#M.1536926761.A.FC0#00022", "pp096127", "呵呵呵呵", "09/15 01:50", "0"
"Boy-Girl#M.1536926761.A.FC0#00023", "pptsuck", "這有些是真人喔 我朋友真的跟一個女生出去吃飯但沒下文，還是希望你不要太早放棄 女生可能在賭氣吧畢竟被懷疑一定會心理不舒服 加油！！別理那些酸你的人 他們真的只是嫉妒而已", "09/15 02:04", "0"
"Boy-Girl#M.1536926761.A.FC0#00024", "piyieen", "可憐", "09/15 02:31", "0"
"Boy-Girl#M.1536926761.A.FC0#00025", "CCY1023", "哈哈哈哈哈哈哈", "09/15 04:25", "0"
"Boy-Girl#M.1536926761.A.FC0#00026", "drroku", "好氣喔，你自己看看你上一篇回覆版友的留言 到底是誰比較酸", "09/15 05:06", "0"
"Boy-Girl#M.1536926761.A.FC0#00027", "CAFIZA", "人家跟你講實話你自己又要堅持己見反駁人家不然就是酸回去是幾年幾班出來講嗎？", "09/15 06:17", "1"
"Boy-Girl#M.1536926761.A.FC0#00028", "h965715", "7pupu餒", "09/15 06:25", "0"
"Boy-Girl#M.1536926761.A.FC0#00029", "ShuHaoLin", "難怪會被騙...跟匯錢給歪果仁的大媽滿像的", "09/15 06:33", "0"
"Boy-Girl#M.1536926761.A.FC0#00030", "sallyhelp", "看你自導自演還蠻好笑的，可悲到很好笑，是不是現實上太邊緣才會想來網路上創造新人格阿", "09/15 06:37", "1"
"Boy-Girl#M.1536926761.A.FC0#00031", "bowtibetan", "笑", "09/15 06:40", "0"
"Boy-Girl#M.1536926761.A.FC0#00032", "superprada", "真是服了你，還裝自己有女友，很有經驗的樣子，結果一開始就暈船，還嘴硬", "09/15 06:52", "0"
"Boy-Girl#M.1536926761.A.FC0#00033", "Whosedada", "這是在演哪一齣", "09/15 06:58", "0"
"Boy-Girl#M.1536926761.A.FC0#00034", "soooooooo", "有笑有推 居然不是反串", "09/15 07:02", "0"
