"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1538039199.A.43A#00000", "ddteton", "文章只講台女不好<br>確實不好<br><br>改一下說法吧<br>不然一堆人崩潰<br><br>越女真的沒比較好<br>其實好的台女真的很多<br>只是沒認識或沒機會<br><br>想說越女大家說娶了問題很多<br>來男女版問一下<br>應該沒錯吧<br><br>可能是好的不會出聲<br><br>出聲通常是秀下限的而已<br>推噓文也是<br><br>我確實是只講台女不好的<br><br>但是沒必要崩潰收尋我<br>跟捏造我的條件吧<br><br>說我窮<br>所以其他人很有錢<br><br>然後<br>越女會很可憐怎樣的<br><br>我也懶得回了<br>希望你們家不是這樣<br><br>文章不改<br>省得有人說我偷改要做什麼<br>業配失敗<br>之類的幻想<br><br><br>本魯<br><br>幾個親戚有娶越南新娘<br><br>大都是互相介紹的<br><br>有一個還娶到超正的<br><br>三十幾娶19的<br><br>又乖會做家事幫忙做工賺錢<br><br>每個月只要三千寄回越南<br><br>本來還領低收入輔助<br><br>現在做工收入還不錯<br><br> 娶正妹<br><br>反而是人生勝利組了吧<br><br><br><br>不好意思跟長輩父母說<br><br>有偷偷去問仲介<br><br>半年就好<br><br>去一次胡志明三萬<br><br>沒成也當作去玩<br><br>可以有一百個以上能挑<br><br>不太可能沒好的<br><br>挑好連婚禮辦到好<br><br>才三十幾萬<br><br><br>網站有照片<br><br>他說不用在那挑<br><br>漂亮很快就被選走隔幾天就沒了<br><br><br>而且台灣女生一個月給他兩萬<br><br>還被嫌少<br><br>越南給她一萬就  腦公好棒棒<br><br>又漂亮<br><br><br>雖然顧不好一樣會跑掉<br><br>像海倫清桃也是<br><br>http://i.imgur.com/RLQYINR.jpg<br>但是至少是白紙一張過來<br><br>沒有什麼前男友糾纏之類<br><br>有看到婚友社的在PTT發文<br><br>台女其實是什麼都想要<br><br><br>要錢要職位好聽又要長相<br><br><br>前幾天跟女性朋友聊天<br><br>本魯做工  月入六位數<br><br>但她只聽到做工說這以後<br><br><br>沒錢途<br><br><br>也太直接了<br><br>我蛤了一下<br><br>她才說比較不穩定<br><br>可能本魯做人失敗<br><br><br><br>另一個朋友開通訊行<br><br>賺賺賠賠 問他有六位數嗎？<br><br>他說不太可能<br><br>但是那女生朋友還是突然冒出一句<br><br>有前途<br><br><br>雖然應該不是每個台女都這樣啦<br><br><br>不過我想大概也差不多<br><br>有點姿色或沒有<br><br>都在那邊等的很多<br><br>等到三十幾再來找人回收<br><br><br>前天附近鐵板燒<br><br>看到一個正妹帶小孩<br><br>剛好一起進去<br><br>結果不是吃飯的<br><br><br>居然是跟裡面一個肥宅的小孩<br><br>一講話才知道是越南的<br><br>常吃很確定他不是老闆<br><br><br>感覺娶越南新娘一本萬利<br><br>不知道有沒有過來人說一下<br><br>有什麼壞處嗎？<br><br><br>分享一下<br><br>有稍微挑一下的照片<br><br>雖然醜的也不少<br><br>但是畢竟能挑<br><br>http://i.imgur.com/yJ4zfdU.jpg<br>http://i.imgur.com/6B4Rvwi.jpg<br>http://i.imgur.com/iqTe2OD.jpg<br>http://i.imgur.com/T96FjPw.jpg<br>http://i.imgur.com/ajn0fGr.jpg<br>http://i.imgur.com/QS1LEbR.jpg<br>http://i.imgur.com/i2WvUtv.jpg<br>http://i.imgur.com/5EUy3tc.jpg<br>http://i.imgur.com/9gfrxVQ.jpg<br>http://i.imgur.com/dXM9VXS.jpg<br>http://i.imgur.com/G6qzsqU.jpg<br>-----<br>Sent from JPTT on my Samsung SM-N950F.<br><br>--<br>", "", ""
"Boy-Girl#M.1538039199.A.43A#00001", "bbbing", "政治不正確", "09/27 17:07", "0"
"Boy-Girl#M.1538039199.A.43A#00002", "yaokut", "善待對方，跟哪國人結婚，有差嗎？", "09/27 17:08", "0"
"Boy-Girl#M.1538039199.A.43A#00003", "ddteton", "除了語言不通跟另外一半工作可能比較低階以外，想不到有什麼缺點", "09/27 17:10", "0"
"Boy-Girl#M.1538039199.A.43A#00004", "gen001", "要版友幫你選妃至少也編號一下", "09/27 17:11", "0"
"Boy-Girl#M.1538039199.A.43A#00005", "CycleEnergy", "別只看臉然後把對方R20兼女僕用就好", "09/27 17:11", "0"
"Boy-Girl#M.1538039199.A.43A#00006", "ga014388", "不要想到用錢來解決自己的感情問題，仲介的話千萬不能信。國與國的經濟是一回事，婚姻又是一回事。再者目前越南女生如果願意外嫁的，首選是韓國了我指的是因為經濟因素而外嫁", "09/27 17:13", "0"
"Boy-Girl#M.1538039199.A.43A#00007", "philandsam", "為什麼你會覺得娶到正妹就是人生勝利組？你對人生的，評價也太貧乏了吧", "09/27 17:15", "0"
"Boy-Girl#M.1538039199.A.43A#00008", "ddteton", "好幾個親戚娶了，也確實如此仲介其實沒有說太多有點跩拽的樣子只有費用跟流程講比較久那邊婚照還有幾個超正妹", "09/27 17:18", "0"
"Boy-Girl#M.1538039199.A.43A#00009", "ga014388", "你知道越南仲介婚姻是違法的嗎？", "09/27 17:19", "0"
