"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1539445666.A.E5A#00000", "william2001", "很奇怪，異性緣不錯的我除了會吸引單身的女生以外，<br><br>然後也吸引到幾個原本來有男友的女生，<br><br>目前至少有3個是這樣子，<br><br><br>其中有1位上星期還主動跟我借前面沒人坐的椅子，<br><br>偷看我很久，終於和我講了第1句話，她笑得很開心，<br><br>我只是回答：嗯！可以啊！<br><br><br>她常和她男友出雙入對，有時侯我會發現她的眼神會盯著我看，<br><br>在餐廳裡選我前面的桌子坐，但女生一定會選能夠看著我的那張椅子，<br><br><br>另一個我原本以為男生很少來，可能已經分了，<br><br>因為他來陪她的頻率很低，<br><br>所以她有很多空檔不斷地接近我，<br><br>常選擇坐我同一排位置，通常是我選好位置後，<br><br>她才選擇坐附近，因為次數很多次了，<br><br>我確定不是我的幻覺。<br><br><br>我看書時有時侯會感受到她的目光，<br><br><br>若沒坐同一排，就常常坐我背後那一排，總之離我很近，<br><br>對我笑得很燦爛，<br><br><br>然而昨天那個男的又出現了坐她旁邊，<br><br>所以我今天沒有理她，<br><br>這兩位唸的學校還不錯呢！<br><br><br>第3個也是在餐廳選位置時都會選擇我附近，能夠面對我的那張椅子，時會偷看<br><br>著我。<br><br><br>那麼該怎麼處理呢？走過去趁她們男友不在時，果斷拒絕嗎？<br><br>我是覺得很奇怪？為何這年代這樣子的女生越來越多。<br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1539445666.A.E5A#00001", "christina258", "又在幻想", "10/13 23:48", "0"
"Boy-Girl#M.1539445666.A.E5A#00002", "king12272", "又來作夢啦？", "10/13 23:48", "0"
"Boy-Girl#M.1539445666.A.E5A#00003", "johnny", "醒醒吧", "10/13 23:49", "0"
"Boy-Girl#M.1539445666.A.E5A#00004", "wer90156", "看醫生", "10/13 23:49", "0"
"Boy-Girl#M.1539445666.A.E5A#00005", "jason72830", "不要幻想 有男友的女生每天找我聊半年過去 也還是朋友", "10/13 23:50", "1"
"Boy-Girl#M.1539445666.A.E5A#00006", "jason72830", "交個朋友有何不妥 人家只是欣賞我 不代表要拋棄男友啊", "10/13 23:53", "1"
"Boy-Girl#M.1539445666.A.E5A#00007", "st9760916", "人帥真好", "10/13 23:54", "0"
"Boy-Girl#M.1539445666.A.E5A#00008", "hoos891405", "人生三大錯覺", "10/13 23:57", "0"
"Boy-Girl#M.1539445666.A.E5A#00009", "ukustar", "哪裡的餐廳？我也去那裡吃飯看看", "10/13 23:58", "0"
"Boy-Girl#M.1539445666.A.E5A#00010", "christina258", "在她們沒開口剛你告白前都是錯覺啊==，*跟", "10/14 00:02", "0"
"Boy-Girl#M.1539445666.A.E5A#00011", "dawn5566", "純看不講話的話，你也不能幹嘛啊，別管這些了", "10/14 00:05", "0"
"Boy-Girl#M.1539445666.A.E5A#00012", "a13045423", "想看照片", "10/14 00:07", "0"
"Boy-Girl#M.1539445666.A.E5A#00013", "jason72830", "不要做奇怪舉動 女性都很被動只要你不主動 她也只會笑", "10/14 00:07", "1"
"Boy-Girl#M.1539445666.A.E5A#00014", "iLeyaSin365", "我倒是反問 ，如果都是八九十公斤的醜女你怎麼處理?恐怕你也懶得問。這種問題， 不管是真帥哥也好，裝逼也好，都讓人不悅啦!真是欲蓋彌彰的司馬昭之心。  。", "10/14 00:09", "1"
"Boy-Girl#M.1539445666.A.E5A#00015", "jason72830", "我是不知道對方 有沒有意思 但有意思也不代表要幹嘛", "10/14 00:09", "0"
"Boy-Girl#M.1539445666.A.E5A#00016", "christina258", "放大絕耶 不爽為何不能看 你要不要設不公開算了 笑死", "10/14 00:13", "1"
"Boy-Girl#M.1539445666.A.E5A#00017", "jason72830", "抱歉我沒有帥成這樣 只是她們會買東西或飲料請我而已但我吃了 喝了也沒怎樣 做自己就應該不會發生什麼事了", "10/14 00:15", "1"
"Boy-Girl#M.1539445666.A.E5A#00018", "grass30630", "所以你po這篇想表達什麼，除了冷處理之外有別的選擇？", "10/14 00:24", "0"
"Boy-Girl#M.1539445666.A.E5A#00019", "pininfarina", "一定要拒絕過來人勸你", "10/14 00:26", "0"
"Boy-Girl#M.1539445666.A.E5A#00020", "Freeven", "冷處理", "10/14 00:38", "0"
"Boy-Girl#M.1539445666.A.E5A#00021", "maryg", "女森回：看看或接近不代表有意思，就只是靠近帥哥很有趣", "10/14 00:44", "0"
"Boy-Girl#M.1539445666.A.E5A#00022", "Pooh123", "看你這回應，是要處理啥？", "10/14 00:47", "0"
"Boy-Girl#M.1539445666.A.E5A#00023", "iLeyaSin365", "看你文最後還說打算趁人家男友不在，走過去斷然拒，絕... 這種行為很自大， 就算明星也不太會這麼做。", "10/14 00:52", "0"
"Boy-Girl#M.1539445666.A.E5A#00024", "jay3u7218", "有自信是不錯啦", "10/14 00:56", "0"
"Boy-Girl#M.1539445666.A.E5A#00025", "CoNsTaR", "國小二年級？", "10/14 00:57", "0"
"Boy-Girl#M.1539445666.A.E5A#00026", "mimiasd0722", "看留言 你很氣", "10/14 00:58", "0"
"Boy-Girl#M.1539445666.A.E5A#00027", "tom282f3", "看完回文傻眼 要處理自己的問題可以不用上來發文喔兄弟", "10/14 00:58", "1"
"Boy-Girl#M.1539445666.A.E5A#00028", "mm0107386", "醒醒", "10/14 01:01", "0"
"Boy-Girl#M.1539445666.A.E5A#00029", "zacharyxxxxx", "忘記吃藥？", "10/14 01:04", "0"
"Boy-Girl#M.1539445666.A.E5A#00030", "philandsam", "下次麻煩先跟大家報告一下你坐哪裡 不然一不小心坐得離你近一點、多瞟你幾眼就被當成是暗戀你 那就麻煩了", "10/14 01:04", "1"
"Boy-Girl#M.1539445666.A.E5A#00031", "MEBBG", "嗚嗚 羨慕", "10/14 01:05", "0"
"Boy-Girl#M.1539445666.A.E5A#00032", "lulalalulala", "笑死", "10/14 01:12", "0"
"Boy-Girl#M.1539445666.A.E5A#00033", "christina258", "有夠玻璃心 嚶嚶 人家好歹也4女森耶", "10/14 01:13", "0"
"Boy-Girl#M.1539445666.A.E5A#00034", "marktseng", "你回文都說是浪費時間 連聊都不會聊了 那你有什麼好煩惱的？？？？", "10/14 01:13", "1"
"Boy-Girl#M.1539445666.A.E5A#00035", "givemeahand", "你是不是現實生活很空虛很無助很孤單 ?來這發洩一下也是好事啦", "10/14 01:13", "1"
"Boy-Girl#M.1539445666.A.E5A#00036", "adam12031203", "拜託，別再幻想了……", "10/14 01:13", "0"
"Boy-Girl#M.1539445666.A.E5A#00037", "tomopo110705", "小心仙人跳", "10/14 01:16", "0"
"Boy-Girl#M.1539445666.A.E5A#00038", "suiminkusuri", "看完只覺得你好像一直在偷偷觀察女生蠻噁的==", "10/14 01:17", "0"
"Boy-Girl#M.1539445666.A.E5A#00039", "brook03123", "左轉低能卡 很適合你", "10/14 01:17", "0"
"Boy-Girl#M.1539445666.A.E5A#00040", "cloud1030", "三大錯覺?", "10/14 01:28", "0"
"Boy-Girl#M.1539445666.A.E5A#00041", "te6432764579", "打架打架打架", "10/14 01:37", "0"
"Boy-Girl#M.1539445666.A.E5A#00042", "markkao456", "靠北啊給我去撞牆壁", "10/14 01:41", "0"
"Boy-Girl#M.1539445666.A.E5A#00043", "pllaayer", "哈哈哈，謝謝你幫我醒酒", "10/14 01:48", "0"
