"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1539857626.A.DB5#00000", "evangl569", "這也不是瞧不起～而是男生有進步嗎？<br><br>有人每天都在成長～但有人還是在原地踏步<br><br>成長的人 本來就會像換工作一樣 越找越好的<br><br>因此我非常討厭聽到有人說 女生現實<br><br>這不是現實 而是讓自己過的更好<br><br>門當戶對才是這個世界的現實<br><br>今天妳成長了 價值觀變了 消費能力不同了<br><br>但你的老公 或男朋友卻是一樣收入 思想一樣沒進步<br><br>同時他已經無法滿足你的需求 那換個伴侶不是很正常的嗎？難道要雙方持續痛苦下去？<br><br>愛情 可不是辦家家酒哦<br><br>--<br>", "", ""
"Boy-Girl#M.1539857626.A.DB5#00001", "WaLaGiGi", "同意,像是很多女性老了不懂得保養或培養技能,導致伴侶去選擇較年輕貌美又好滿足的對象,也是女性不求進步所致)", "10/18 18:19", "1"
"Boy-Girl#M.1539857626.A.DB5#00002", "abian9487", "1樓突破盲腸", "10/18 18:20", "0"
"Boy-Girl#M.1539857626.A.DB5#00003", "firework2", "我也覺得男孩紙創業有成後 應該趕快換一個配得上自己，的女孩兒 ^_^", "10/18 18:20", "0"
"Boy-Girl#M.1539857626.A.DB5#00004", "aarzbrv", "有人犧牲了原本可以只讓自己進步的空間，以成就他人，結果還要被他人怪罪不求進步，這類他人是不是從小所受的", "10/18 18:35", "0"
"Boy-Girl#M.1539857626.A.DB5#00005", "aarzbrv", "教育包括要理所當然地過河拆橋呢？這類他人如果被在下，得知有類似的想法與事蹟，甭說是否有機會親近成為伴侶了甚至還會提醒周遭所有認識的人特別留意這類過河拆橋人士", "10/18 18:37", "0"
"Boy-Girl#M.1539857626.A.DB5#00006", "masewa", "女孩兒一定要過的更好，利用完馬上過河拆橋", "10/18 18:37", "0"
"Boy-Girl#M.1539857626.A.DB5#00007", "aarzbrv", "，既然這類他人可以恣意拋棄無剩餘價值的伴侶，難保今後不會對其他周遭所認識的人採取如此手段。這種卑鄙的人格", "10/18 18:40", "1"
"Boy-Girl#M.1539857626.A.DB5#00008", "aarzbrv", "甚至是看板《Boy-Girl》外的其他許多看板該重視的話題！", "10/18 18:42", "1"
"Boy-Girl#M.1539857626.A.DB5#00009", "aarzbrv", "就算沒伴侶或不想當人伴侶的，請先學會當人好嗎？", "10/18 18:44", "0"
"Boy-Girl#M.1539857626.A.DB5#00010", "aarzbrv", "還有覺得門當戶對非常重要的網友，相信可以成為身在印度且支持種性制度者的隊友，沒錯吧？", "10/18 18:49", "1"
"Boy-Girl#M.1539857626.A.DB5#00011", "NSRC", "反串文吧", "10/18 18:56", "0"
"Boy-Girl#M.1539857626.A.DB5#00012", "reemir", "我非常讚同您的觀點，您如此高尚的價值觀真是世所罕有，所以您的伴侶應該也跟您是門當戶對的，真的要好好珍惜啊。因為從晉朝一直活到現在的人我真是一生都沒見過", "10/18 19:11", "0"
"Boy-Girl#M.1539857626.A.DB5#00013", "namis77", "這比較像在描述背叛那方的觀點", "10/18 19:19", "0"
"Boy-Girl#M.1539857626.A.DB5#00014", "osmanthusjo", "要進步3小，薪水你給的喔?主管考核嗎?", "10/18 19:32", "0"
"Boy-Girl#M.1539857626.A.DB5#00015", "teajimmy", "嘿嘿", "10/18 20:09", "0"
"Boy-Girl#M.1539857626.A.DB5#00016", "wdclatin", "呵呵", "10/18 20:12", "0"
"Boy-Girl#M.1539857626.A.DB5#00017", "enemyli", "真的 有錢就要定期更換女朋友 畢竟她的外貌沒跟上男森口袋的成長", "10/18 20:28", "1"
"Boy-Girl#M.1539857626.A.DB5#00018", "suzume", "你是反串還是智商堪慮", "10/18 20:41", "0"
"Boy-Girl#M.1539857626.A.DB5#00019", "iwanttosleep", "1樓突破盲腸", "10/18 20:42", "0"
