"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1541142224.A.0D1#00000", "freshguy", "  在PTT似乎有這樣的現象，多數人覺得劈腿就是所謂的終身惡習，<br><br> 很多人在認識人會寫明有劈腿紀錄的不要。<br><br>  一般鄉民也會說，有交往但是看到更喜歡的就劈了，未來跟你在一起看到更好的<br><br> 肯定也會....<br><br><br>  坦白說我覺得這個論調還蠻無腦的...<br><br>  結果鄉民認為，煙癮酒癮這種成癮性和物質基礎的習慣可以戒<br><br>  更生人可以改過，重返社會<br><br>  胖子可以養成好習慣運動減肥<br><br><br>  霸特，人生最智障的就是這個霸特...<br><br>  霸特...劈腿就是死罪，一輩子的人格缺陷，絕對不可以原諒，絕對不可能改？<br><br>  至於劈腿這個詞的定義就很微妙了~~<br><br>  如果在有男友的情況下養工具人說是朋友，在跟男友大吵後換男友...<br><br>  定義上好像不是劈腿喔，因為又沒有交兩個男友<br><br>  那如果男生在有女友的情況下跟一個學妹保持良好關係，分手以後很快補位，<br><br>  這也不是劈腿啊，因為女友一職都只有一個。<br><br><br>  所以「劈腿勿入」這個篩選的有效性在哪？(況且誰會跟你說我有劈腿過)<br><br><br>  另外我是覺得，很多事情包括劈腿，很多都是情境因素，你去一間公司，<br><br> 老闆很少會懷疑「這傢伙是從低薪的公司來我這裡，該不會有人加薪他就跑了」<br><br> 可是在感情上人就會懷疑「他有過不良紀錄，該不會有更優的他就跑了」<br><br><br><br>  說穿了這種心態只是反映出自己在情感上的不安全感，投射怪罪到「對方不專情」<br><br> 自己畫靶出來的原因。講白點，良禽擇木而棲，無論男女，未婚階段都有資格<br><br> 要求自己最大的幸福而離開(就算已婚也是啦)。我的想法是真正對感情有把握的人<br><br> 是在徹底了解對方隨時都能認識更好的情形下，有把握維繫感情。而且我始終認為，<br><br> 劈腿要停止，會比戒菸戒酒或習慣性開車超速更容易改。<br><br>--<br>", "", ""
"Boy-Girl#M.1541142224.A.0D1#00001", "sosevil", "所以你是因為劈腿被人看不上來哭哭嗎?", "11/02 15:05", "0"
"Boy-Girl#M.1541142224.A.0D1#00002", "freshguy", "不4 ㄎㄎ", "11/02 15:12", "0"
"Boy-Girl#M.1541142224.A.0D1#00003", "adamsas1995", "自己不專情怪到對方沒有安全感邏輯何在？", "11/02 15:12", "0"
"Boy-Girl#M.1541142224.A.0D1#00004", "kimchimars", "劈腿爛的地方不在不專情吧，在於沒有讓對方明白現在，的狀況，說各種謊想換大可直接離開提分手，為何要重疊又不說明白？", "11/02 15:16", "0"
"Boy-Girl#M.1541142224.A.0D1#00005", "m0630821", "危險性比較高是真的", "11/02 15:18", "0"
"Boy-Girl#M.1541142224.A.0D1#00006", "bilibo", "喔 所以? 你想要鄉民給你什麼答案?", "11/02 15:20", "0"
"Boy-Girl#M.1541142224.A.0D1#00007", "wdclatin", "劈腿怪別人沒安全感？狗改不了", "11/02 15:21", "0"
"Boy-Girl#M.1541142224.A.0D1#00008", "BGK", "我某任前任，我跟她在一起是我橫刀奪愛然後她劈腿前女友；後來也是一樣的模式，她跟別的男人交往，把我甩了；供原PO參考", "11/02 15:22", "1"
"Boy-Girl#M.1541142224.A.0D1#00009", "aoefps", "等你小孩出生，另一半劈腿拋家棄子，你再回頭看自己寫的，文章……", "11/02 15:22", "0"
"Boy-Girl#M.1541142224.A.0D1#00010", "king12272", "有些事做就好了 不用特別說出來，如果你/妳的個性 談吐 外表 經濟能力都有一定的高度 被劈腿這件事大概很難發生在你/妳身上", "11/02 15:25", "0"
"Boy-Girl#M.1541142224.A.0D1#00011", "i9100", "經驗談而已,只有沒出軌的女人,沒有只出軌一次的女人", "11/02 15:25", "0"
"Boy-Girl#M.1541142224.A.0D1#00012", "suiminkusuri", "最近怎麼一堆吃屎有什麼不對文", "11/02 15:31", "0"
"Boy-Girl#M.1541142224.A.0D1#00013", "Eland", "不要再合理化了 良禽擇木而棲無可厚非 但養工具人或是跟學妹保持良好關係 那就是吃相難看了", "11/02 15:33", "1"
"Boy-Girl#M.1541142224.A.0D1#00014", "devilkool", "根據認識的人的經驗的確是一朝劈腿終身劈腿", "11/02 15:35", "0"
"Boy-Girl#M.1541142224.A.0D1#00015", "inin3301", "前女友劈腿跟我 又劈腿跟別人", "11/02 15:38", "0"
"Boy-Girl#M.1541142224.A.0D1#00016", "Minkoff", "煙癮酒癮物質成癮犯罪都有改正的機會，有些成功有些失敗，當然劈腿也是。君不見板上多少是給了機會被反覆劈腿或是戒不掉菸酒折磨到身心俱疲的人。我想大部分的抽煙喝酒劈腿當下都是個人的選擇，並沒有人逼迫你。為自己曾經的選擇負責，或展現出誠意修正別人的觀感。就算別人不接受有劈腿前科的人也請尊重他，畢竟人的思考模式大多還是慣性的。", "11/02 15:40", "1"
