"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1541679834.A.95A#00000", "rechin0917", "想當初我們會在一起是因為你被你前男友傷很重<br><br>而我在你失戀後剛好出現在你生命中<br><br>沒多久我們就在一起了<br><br>我一直以為我沒那麼愛你<br><br>我一直以為你要離開對我來說無關緊要<br><br>我一直以為你在我生命中可有可無<br><br>於是我漸漸的因為生活中的忙碌而忽略了你<br><br>現在這結局我也是罪有應得吧哈哈<br><br><br>誰說男生剛分手會跟中樂透一樣開心的<br><br>我常常逛bg版<br><br>每次看到小生回文我都會os:啊不就分手嗎<br><br>我一直以為我很堅強<br><br>我今天才發現那不是我堅強<br><br>而是我對每一任女友都是毫不在乎<br><br>分手了當然不痛<br><br>而今天我懂那些曾被我傷害過的女孩們他們的心情了<br><br>真的是自作自受哈哈這就是報應吧<br><br><br>我花了一天把我們的line對話看了一次<br><br>你傳照片給我我卻冷冷說了句「摁」<br><br>你每天都問我今天過得怎麼樣 一直關心我<br><br>但在你說你很累的時候我卻連一句還好嗎都沒說過<br><br>我真的是很垃圾哈哈<br><br><br>我想哭胸口很悶<br><br>但是我卻哭不出來<br><br>我不知道我為什麼一直大笑<br><br>我真的覺得我要瘋掉了<br><br>可能造孽造太多連用哭來發洩都不被允許了吧xdd<br><br><br>回過頭來看看我們發生過的點點滴滴<br><br>再看看妳和你前男友的點點滴滴<br><br>我變成了我當初最討厭最瞧不起的那種男人<br><br>真的是完全一模一樣啊<br><br><br>突然看到你花暑假時間織給我的超長圍巾<br><br>看看沙發看看這間空蕩蕩的房子<br><br>我或許能明白為什麼我爸在離婚後會想把這間房子賣掉了<br><br>現在連我都想叫我爸賣掉了呢<br><br>長輩們說得沒錯年輕人別把女生帶回家<br><br>像現在到處都有你的身影<br><br>有家卻不想回去 那間房子再也不會有人開著燈等我回家了<br><br><br>寶貝祝你幸福<br><br>--<br>", "", ""
"Boy-Girl#M.1541679834.A.95A#00001", "GGrunrundela", "看到毫不在乎沒錯 就現世報", "11/08 20:26", "0"
"Boy-Girl#M.1541679834.A.95A#00002", "xyzgod999", "東西丟的掉 回憶忘不了", "11/08 20:28", "0"
"Boy-Girl#M.1541679834.A.95A#00003", "laugh8562", "其實可以發在FB就好", "11/08 20:29", "0"
"Boy-Girl#M.1541679834.A.95A#00004", "DiningZoo", "現世報+1", "11/08 20:30", "0"
"Boy-Girl#M.1541679834.A.95A#00005", "StayJunkies", "嘻嘻嘻好口憐哦哦哦", "11/08 20:30", "0"
"Boy-Girl#M.1541679834.A.95A#00006", "david1124", "可撥", "11/08 20:31", "0"
"Boy-Girl#M.1541679834.A.95A#00007", "jise51103", "恭喜開竅", "11/08 20:40", "0"
"Boy-Girl#M.1541679834.A.95A#00008", "redwhisper", "活該啦", "11/08 20:44", "0"
"Boy-Girl#M.1541679834.A.95A#00009", "Sandvich", "??", "11/08 20:48", "0"
"Boy-Girl#M.1541679834.A.95A#00010", "gto200255", "那就賣房子吧！", "11/08 20:54", "0"
"Boy-Girl#M.1541679834.A.95A#00011", "suiminkusuri", "還敢叫寶貝嘔嘔嘔", "11/08 20:55", "0"
"Boy-Girl#M.1541679834.A.95A#00012", "McNUGGETS", "呵呵 好可憐哦", "11/08 20:55", "0"
"Boy-Girl#M.1541679834.A.95A#00013", "jasonmoon", "趕快賣", "11/08 20:58", "0"
"Boy-Girl#M.1541679834.A.95A#00014", "yggyygy", "寶貝寶貝寶貝嘔～寶貝寶貝寶貝嘔～", "11/08 20:58", "0"
"Boy-Girl#M.1541679834.A.95A#00015", "ydna666666", "阿不就分手嗎", "11/08 20:59", "0"
"Boy-Girl#M.1541679834.A.95A#00016", "Paradox", "哈哈哈哈哈所以？", "11/08 21:03", "0"
"Boy-Girl#M.1541679834.A.95A#00017", "harry7319", "讚 留言 分享", "11/08 21:06", "0"
"Boy-Girl#M.1541679834.A.95A#00018", "owowow", "活該喔！", "11/08 21:07", "0"
"Boy-Girl#M.1541679834.A.95A#00019", "cattus", "嗯", "11/08 21:09", "0"
"Boy-Girl#M.1541679834.A.95A#00020", "catycaty520", "希望你痛定思痛 別再自私傷害別人", "11/08 21:10", "0"
"Boy-Girl#M.1541679834.A.95A#00021", "GGrunrundela", "真的嘔嘔嘔嘔嘔嘔嘔鞥鞥鞥鞥鞥嘔嘔嘔嘔", "11/08 21:11", "0"
"Boy-Girl#M.1541679834.A.95A#00022", "LastSun", "嘔嘔嘔嘔嘔嘔嘔嘔嘔", "11/08 21:14", "0"
"Boy-Girl#M.1541679834.A.95A#00023", "Francise", "假文青什麼，罪有應得", "11/08 21:16", "0"
"Boy-Girl#M.1541679834.A.95A#00024", "ctrt100", "不會自己開燈哦笑笑、就是現世報唷欸嘿", "11/08 21:19", "0"
"Boy-Girl#M.1541679834.A.95A#00025", "philandsam", "當初不懂得珍惜 失去才在那邊哭的人 最不值得同情 被人毫不在乎傷害的感覺怎麼樣啊~？", "11/08 21:21", "1"
"Boy-Girl#M.1541679834.A.95A#00026", "s32214", "噢噢噢噢", "11/08 21:24", "0"
"Boy-Girl#M.1541679834.A.95A#00027", "lucid1994", "哈哈", "11/08 21:30", "0"
"Boy-Girl#M.1541679834.A.95A#00028", "pacos", "裝啥文青", "11/08 21:30", "0"
