"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1543949189.A.D5F#00000", "dreamingyou", "剛剛看完howhow求婚覺得不小心有點感動<br><br>也有點感慨<br><br>這麼多年來 我發現幸福情侶的要件 就是女生要長得好看<br><br>男生才會疼惜<br><br>(噓我前請記住這是充分非必要條件 就是女生長得好看男生會疼惜<br><br>不等於 男生疼惜的女生一定長得好看 邏輯一定要弄清楚)<br><br><br>不然 看了很多對幸福情侶的例子 根本沒有女生是長得醜的<br><br>因為女生長得醜的話 就算男生一開始覺得還可以 或者是腦衝之類的接受了<br><br>隨著時間過去 熱情消褪 然後生活上一些磨擦 很快就厭倦這女的<br><br>但是漂亮女生 畢竟難找 生完氣也很容易消氣 如果個性也還不錯 男生當然會想娶<br><br><br>大家同意嗎?<br><br>--<br>", "", ""
"Boy-Girl#M.1543949189.A.D5F#00001", "Basket0205", "不同意", "12/05 02:56", "0"
"Boy-Girl#M.1543949189.A.D5F#00002", "ian81131", "那如果有天女生老了呢？不好看了呢 這樣成了嗎？", "12/05 02:56", "0"
"Boy-Girl#M.1543949189.A.D5F#00003", "sone10613", "不同意，是因為妳看到的例子都是名人吧？當然漂亮啊", "12/05 03:20", "0"
"Boy-Girl#M.1543949189.A.D5F#00004", "qr1348", "在這裏提長相你也蠻有種的 這個社會說實話的會被討厭的～～", "12/05 05:05", "1"
"Boy-Girl#M.1543949189.A.D5F#00005", "qDaniel", "反例太多了吧...傻眼邏輯", "12/05 05:28", "0"
"Boy-Girl#M.1543949189.A.D5F#00006", "jidou", "年輕時有可能，可是人總會老", "12/05 05:38", "0"
"Boy-Girl#M.1543949189.A.D5F#00007", "takomalu", "要件 不就必要條件的簡稱嗎？不過情人眼裡出西施 有的人的對象他很喜歡 別人覺得還好", "12/05 05:44", "0"
"Boy-Girl#M.1543949189.A.D5F#00008", "guepard", "醜女好慘", "12/05 05:48", "0"
"Boy-Girl#M.1543949189.A.D5F#00009", "DrNTU", "好看不好看都是依靠打扮運動 不是天生的 沒啥好抱怨，如果不能花點心思把自己用的好看 憑什麼男生要疼惜你", "12/05 06:32", "0"
"Boy-Girl#M.1543949189.A.D5F#00010", "Derrick906", "...", "12/05 06:33", "0"
"Boy-Girl#M.1543949189.A.D5F#00011", "gto200255", "欠噓", "12/05 06:40", "0"
"Boy-Girl#M.1543949189.A.D5F#00012", "shia198908", "不同意", "12/05 07:15", "0"
"Boy-Girl#M.1543949189.A.D5F#00013", "CorpsDeity", "男生就不用好看？每天被朋友姊妹指指點點說男朋友很，醜會覺得幸福？", "12/05 07:19", "0"
"Boy-Girl#M.1543949189.A.D5F#00014", "mangomuachee", "真的欠噓，按到推……", "12/05 07:22", "0"
"Boy-Girl#M.1543949189.A.D5F#00015", "Minkoff", "長相頂多在初期吃香而已，對長期並無助益。", "12/05 07:29", "0"
"Boy-Girl#M.1543949189.A.D5F#00016", "lanretee", "在一起久了外表根本沒差了好嗎...", "12/05 07:44", "0"
"Boy-Girl#M.1543949189.A.D5F#00017", "akpaz", "個性還重要，很", "12/05 07:46", "0"
"Boy-Girl#M.1543949189.A.D5F#00018", "camperilike", "看過「很多」對幸福情侶 ，不代表看過「全部」幸福，情侶，所以無法以「你認為的很多」代表「全體」。因此，你犯了「以偏概全」的邏輯錯誤。", "12/05 07:47", "0"
"Boy-Girl#M.1543949189.A.D5F#00019", "imjungyi923", "可憐，個性差在那裡怪長相法律念成這樣也是不簡單", "12/05 07:49", "0"
"Boy-Girl#M.1543949189.A.D5F#00020", "ankoppt", "不同意", "12/05 07:51", "0"
"Boy-Girl#M.1543949189.A.D5F#00021", "t9441006", "可悲國考仔", "12/05 07:56", "0"
"Boy-Girl#M.1543949189.A.D5F#00022", "abcd1111", "欠", "12/05 07:58", "0"
"Boy-Girl#M.1543949189.A.D5F#00023", "Tartarsauce", "真像你想的那樣的話，這世界早就只剩正妹帥哥", "12/05 08:05", "0"
"Boy-Girl#M.1543949189.A.D5F#00024", "ava28052283", "什麼低智商言論", "12/05 08:05", "0"
"Boy-Girl#M.1543949189.A.D5F#00025", "hom0625", "同意 長得太醜根本吃不下去", "12/05 08:06", "0"
"Boy-Girl#M.1543949189.A.D5F#00026", "kk01tw2010", "長得好，被家暴的也是有，那樣幸福嗎，反推", "12/05 08:07", "0"
"Boy-Girl#M.1543949189.A.D5F#00027", "whoatppt", "不 同 意", "12/05 08:09", "0"
"Boy-Girl#M.1543949189.A.D5F#00028", "JD56", "同意", "12/05 08:09", "0"
"Boy-Girl#M.1543949189.A.D5F#00029", "LilyHsu", "你想到的都是藝人的例子，女生當然長得好看，路上的女生幸不幸福，你看到了嗎……簡單來說就是樣本數太少", "12/05 08:10", "1"
"Boy-Girl#M.1543949189.A.D5F#00030", "peheart", "在講什麼", "12/05 08:13", "0"
"Boy-Girl#M.1543949189.A.D5F#00031", "LuciusMalfoy", "男生要帥又溫柔體貼 女生才會疼惜", "12/05 08:15", "0"
"Boy-Girl#M.1543949189.A.D5F#00032", "qazsunnyboy", "不同意！很多女友老婆漂亮的，男生還外遇的一堆", "12/05 08:17", "0"
"Boy-Girl#M.1543949189.A.D5F#00033", "LuciusMalfoy", "看到ID 你到底放過你女友了沒", "12/05 08:21", "0"
"Boy-Girl#M.1543949189.A.D5F#00034", "Laurara", "有些是...愛情長跑男生一直不想結婚 就是熱戀期過了嫌另一半醜沒心動...身邊漂亮個性好的朋友 男生幾乎都一有工作就急著想娶外遇是人的個性好新鮮或怕寂寞 但人都想跟真愛結婚", "12/05 08:24", "1"
"Boy-Girl#M.1543949189.A.D5F#00035", "gcobc36329", "倖存者偏差", "12/05 08:25", "0"
"Boy-Girl#M.1543949189.A.D5F#00036", "astrorice", "看爸媽同不同意吧呵呵", "12/05 08:28", "0"
"Boy-Girl#M.1543949189.A.D5F#00037", "joy25881371", "會有這樣想法的人好悲哀......", "12/05 08:35", "0"
"Boy-Girl#M.1543949189.A.D5F#00038", "tofu41", "我很多普妹朋友被捧的跟公主一樣，給你參考", "12/05 08:41", "0"
"Boy-Girl#M.1543949189.A.D5F#00039", "laipo888", "地圖砲欸...", "12/05 08:42", "0"
"Boy-Girl#M.1543949189.A.D5F#00040", "thasi", "XD 想知道你周遭沒有一般朋友嗎，一般人長相都是普通的 但幸福快樂很多呦", "12/05 08:44", "0"
"Boy-Girl#M.1543949189.A.D5F#00041", "Ariettina", "邏輯前提就錯了還在談邏輯 笑死", "12/05 08:47", "0"
"Boy-Girl#M.1543949189.A.D5F#00042", "kkk258", "所以怪你爸媽比較快", "12/05 08:48", "0"
"Boy-Girl#M.1543949189.A.D5F#00043", "mqhung", "外表吃前期，要維持下去還是得看內在啊！", "12/05 08:49", "0"
"Boy-Girl#M.1543949189.A.D5F#00044", "hbooreo", "被家暴的女星請出列", "12/05 08:50", "0"
"Boy-Girl#M.1543949189.A.D5F#00045", "KevinJay", "對方好不好看見仁見智吧", "12/05 08:54", "0"
"Boy-Girl#M.1543949189.A.D5F#00046", "minutee", "可憐", "12/05 08:57", "0"
"Boy-Girl#M.1543949189.A.D5F#00047", "eevelyn", "完全不同意，長期相處還是靠個性吧", "12/05 09:00", "0"
"Boy-Girl#M.1543949189.A.D5F#00048", "ihfreud", "共三小", "12/05 09:00", "0"
"Boy-Girl#M.1543949189.A.D5F#00049", "joinlove1234", "噓，噓噓", "12/05 09:05", "0"
"Boy-Girl#M.1543949189.A.D5F#00050", "ttv", "女生要長得好看", "12/05 09:06", "0"
"Boy-Girl#M.1543949189.A.D5F#00051", "joise53", "不同意耶～", "12/05 09:08", "0"
"Boy-Girl#M.1543949189.A.D5F#00052", "qwemnb", "好奇你幾歲？所謂的幸福情侶都是在哪邊看到的？", "12/05 09:09", "0"
"Boy-Girl#M.1543949189.A.D5F#00053", "assess", "也有正的被劈腿好嗎", "12/05 09:11", "0"
"Boy-Girl#M.1543949189.A.D5F#00054", "Miracle1012", "你根本是情場失敗者在這邊哭訴吧", "12/05 09:21", "0"
"Boy-Girl#M.1543949189.A.D5F#00055", "holayu", "真相拿出來啦，此ID必噓", "12/05 09:24", "0"
"Boy-Girl#M.1543949189.A.D5F#00056", "eunice1110xp", "不同意", "12/05 09:24", "0"
"Boy-Girl#M.1543949189.A.D5F#00057", "duziererder", "不同意", "12/05 09:28", "0"
"Boy-Girl#M.1543949189.A.D5F#00058", "Buu", "一下說要件 一下充分非必要 想清楚在發文好嗎 廢文", "12/05 09:37", "0"
