"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1544514531.A.C50#00000", "jazz801030", "小弟的朋友有個暗戀對象<br><br>但一開始都沒人知道<br><br>在沒戀愛經驗下的他莽撞的告白了<br><br>當然最後是被拒絕了啦<br><br>可是從暗戀告白到失敗完全都沒人知道<br><br>之後女主角也當什麼事都沒發生過一樣<br><br>直到有天大家一起出去玩<br><br>他當著女主角在場<br><br>說他跟女主角告白過<br><br>還把過程跟心境鉅細彌遺的跟大家交待一遍<br><br>說他當時有爬告白文<br><br>但是他覺得別人的意見都沒用<br><br>之後就推算一下女主角洗完澡<br><br>準備耍廢的時間<br><br>（他們其實不熟，不知道怎麼算的）<br><br>直接密女主角表示<br><br>我很喜歡妳這樣的女生<br><br>乖乖的 很上進 很努力<br><br>雖然妳孤僻了一點<br><br>但我會改變妳<br><br>我就決定喜歡妳了<br><br>妳以後不用擔心沒人喜歡妳<br><br>我喜歡妳<br><br>像這種<br><br>朕 今晚就決定翻妳牌式的霸氣告白<br><br>不知道是否有人其實很吃這套？<br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1544514531.A.C50#00001", "laugh8562", "有病要看醫生", "12/11 15:49", "0"
"Boy-Girl#M.1544514531.A.C50#00002", "gtrx", "??", "12/11 15:51", "0"
"Boy-Girl#M.1544514531.A.C50#00003", "j3nx177808", "就不喜歡了 帶給別人困擾而已", "12/11 15:51", "0"
"Boy-Girl#M.1544514531.A.C50#00004", "maroondragon", "這他們三小告白 太自以為是了吧", "12/11 15:53", "0"
"Boy-Girl#M.1544514531.A.C50#00005", "assess", "有病要看醫生", "12/11 15:54", "0"
"Boy-Girl#M.1544514531.A.C50#00006", "TYisBRoKen", "先承認你就是你朋友", "12/11 15:55", "0"
"Boy-Girl#M.1544514531.A.C50#00007", "yoyoman001", "結論呢?不是被打槍了嗎", "12/11 15:56", "0"
"Boy-Girl#M.1544514531.A.C50#00008", "civilian", "我猜女主角會跟閨蜜抱怨哪來的神經病", "12/11 16:01", "0"
"Boy-Girl#M.1544514531.A.C50#00009", "Cayota", "這不是霸氣  這是87", "12/11 16:01", "0"
