"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1545397137.A.3A1#00000", "tomatojing", "第一次自己一個人看電影，因為悲傷<br><br>但，我希望你在......<br><br>多希望 因為有你我會沒有悲傷....<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Boy-Girl#M.1545397137.A.3A1#00001", "kissdodo", "好喔 我幫你按讚", "12/21 21:12", "0"
"Boy-Girl#M.1545397137.A.3A1#00002", "etvalen", "當你個板？", "12/21 21:14", "0"
"Boy-Girl#M.1545397137.A.3A1#00003", "simonfz", "比黃昏更加昏暗的東西", "12/21 21:18", "0"
"Boy-Girl#M.1545397137.A.3A1#00004", "justin81828", "不小心按成噓", "12/21 21:27", "0"
"Boy-Girl#M.1545397137.A.3A1#00005", "mscp", "你個板？", "12/21 21:28", "0"
"Boy-Girl#M.1545397137.A.3A1#00006", "k1207152", "比個版還要個版的發文", "12/21 21:38", "0"
"Boy-Girl#M.1545397137.A.3A1#00007", "chi710536", "早點睡", "12/21 21:55", "0"
"Boy-Girl#M.1545397137.A.3A1#00008", "albuca0603", "加油唷，離開自我中心的小宇宙唷。", "12/21 22:17", "0"
"Boy-Girl#M.1545397137.A.3A1#00009", "QuantumHsia", "?", "12/21 22:19", "0"
"Boy-Girl#M.1545397137.A.3A1#00010", "belucky", "fb文", "12/21 22:22", "0"
"Boy-Girl#M.1545397137.A.3A1#00011", "kleindai", "個版？", "12/21 22:32", "0"
"Boy-Girl#M.1545397137.A.3A1#00012", "jhcleader", "一曰道，二曰天，三曰地，四曰將，五曰法", "12/21 22:43", "0"
"Boy-Girl#M.1545397137.A.3A1#00013", "seanpeng117", "閱", "12/21 22:43", "0"
"Boy-Girl#M.1545397137.A.3A1#00014", "horusman", "我都不知道一個人看幾次電影了...", "12/21 22:50", "0"
"Boy-Girl#M.1545397137.A.3A1#00015", "shalalalan", "?", "12/21 22:55", "0"
"Boy-Girl#M.1545397137.A.3A1#00016", "is2586537", "訂閱 分享 按讚", "12/21 22:59", "0"
