"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1545501342.A.0AB#00000", "iLeyaSin365", "這幾天很忙 比如前幾天搞檸檬切蕃茄我真的很累<br><br>我真的不需 面對這些事但為了生活環境不得不處理<br><br>除了忙<br>同時 我也好像心中注意著另外一個人<br><br>女人的直覺<br>是正確的 的確我是比較少想到她了<br><br>哇，才一個禮拜對她不聞不問 她就知道...<br><br><br>先是找我問說 想知道現在我在幹什麼<br><br>又問我是不是在跟別人聊天<br><br>然後 最後就問「很想知道在我心中她是不是重要」<br><br>我有點猶豫要不要告訴他我的"機掰回答"<br>反問他你什麼時候開始思考這件事的<br>她就說 算了， 不回答也沒關係<br><br>就不聊了<br><br><br>我是不是 做錯了什麼<br><br><br>雖然我不是故意要報復的 但覺得前陣子情況就是反過來啊....<br>我現在雖然不算不喜歡她<br>只是沒那麼在意了啊~<br>雖然說互動少接觸層級低<br>但這其實不算主要原因<br>( 主要原因有兩個， 但也都算是可以處理掉的因素)<br>我也不是說很認真想跟她分開<br><br>只是不在意<br><br>這樣會有事嗎<br><br>--<br>", "", ""
"Boy-Girl#M.1545501342.A.0AB#00001", "kasumishu", "到底在講什麼", "12/23 01:57", "0"
"Boy-Girl#M.1545501342.A.0AB#00002", "w4a2y4", "講中文", "12/23 01:59", "0"
"Boy-Girl#M.1545501342.A.0AB#00003", "tank1998", "樓下你怎麼看", "12/23 01:59", "0"
"Boy-Girl#M.1545501342.A.0AB#00004", "VincentQQ", "一個禮拜 也太誇張", "12/23 02:02", "0"
"Boy-Girl#M.1545501342.A.0AB#00005", "KMTRIP", "不想看 回去重寫", "12/23 02:03", "0"
"Boy-Girl#M.1545501342.A.0AB#00006", "o1579o", "0分", "12/23 02:03", "0"
"Boy-Girl#M.1545501342.A.0AB#00007", "VincentQQ", "先噓再看完 超痛苦 工撒小，這id不是太意外 突然發現", "12/23 02:04", "0"
"Boy-Girl#M.1545501342.A.0AB#00008", "jidou", "自己都知道自己機掰了，還能說什麼?", "12/23 02:05", "0"
"Boy-Girl#M.1545501342.A.0AB#00009", "SidMax", "XDDDDDD是在共三小", "12/23 02:09", "0"
