"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1545878592.A.EB5#00000", "Nodens", "如題<br><br>之前聊天都好好的<br><br>很愛撒嬌那種<br><br>她有男友<br><br>自己也沒有做出什麼踰矩的行為<br><br>上個月 直接人間蒸發<br><br>不讀不回<br><br>最後跟她聊天<br><br>有說自己心情很差~~<br><br>共同好友都問我她發生什麼事情<br><br>所有人發的訊息她都不讀不回<br><br>本魯每一個禮拜發一次訊息<br><br>發了四次<br><br>全都石沉大海<br><br>思考很久<br><br>想要直接放生了 = =<br><br>根據以前她的朋友說法<br><br>有不讀不回的前科在<br><br>沒想到這次發生在我身上<br><br>覺得她這樣做 有點過份<br><br>價值觀問題吧<br><br>不讀不回 自己是接受不了<br><br>大家有相同的案例嗎？<br><br><br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1545878592.A.EB5#00001", "nacy204327", "有男友你還期待什麼？", "12/27 10:44", "0"
"Boy-Girl#M.1545878592.A.EB5#00002", "Joker3", "你接受不了又怎樣????", "12/27 10:45", "0"
"Boy-Girl#M.1545878592.A.EB5#00003", "TooAooT", "不想聊了也不行？她對你有什麼責任嗎？怎麼不想想自己有沒有踩到對方地雷", "12/27 10:47", "0"
"Boy-Girl#M.1545878592.A.EB5#00004", "civilian", "有男友 所以你在期待什麼==", "12/27 10:47", "0"
"Boy-Girl#M.1545878592.A.EB5#00005", "bbbing", "甚麼R20", "12/27 10:51", "0"
"Boy-Girl#M.1545878592.A.EB5#00006", "joaoio", "...", "12/27 10:53", "0"
"Boy-Girl#M.1545878592.A.EB5#00007", "ynoq", "不讀不回叫前科 顆顆", "12/27 10:54", "0"
"Boy-Girl#M.1545878592.A.EB5#00008", "molunjojo", "那你發bg幹嘛", "12/27 10:56", "0"
"Boy-Girl#M.1545878592.A.EB5#00009", "EiMv", "女生幹麻用R20 = =　還是你的對象是男的？", "12/27 10:56", "0"
"Boy-Girl#M.1545878592.A.EB5#00010", "abby9160", "既然當好友那就錯版了", "12/27 10:57", "0"
"Boy-Girl#M.1545878592.A.EB5#00011", "greensh", "現在工具人有這麼好當 不再繼續聊天互動就可以自稱聊天工具啊？？？不能接受就不要再來往 硬把自己貼上聊天工具的標籤 滿犯賤的", "12/27 11:01", "1"
"Boy-Girl#M.1545878592.A.EB5#00012", "Litfal", "你不就是在意人家 反應才會那麼大", "12/27 11:01", "0"
"Boy-Girl#M.1545878592.A.EB5#00013", "suaygiho", "自以為之前聊天聊得好好的，人家只是可憐你才回的", "12/27 11:03", "0"
"Boy-Girl#M.1545878592.A.EB5#00014", "sophia810130", "你喜歡她才會覺得自己是聊天工具人。是朋友就只會覺得朋友有難或低潮所以沒有回話。", "12/27 11:05", "1"
"Boy-Girl#M.1545878592.A.EB5#00015", "dragonashco", "請問你哪位? 自己的感受不要強加到別人身上", "12/27 11:06", "0"
"Boy-Girl#M.1545878592.A.EB5#00016", "talk5566", "你連R20都不如", "12/27 11:06", "0"
"Boy-Girl#M.1545878592.A.EB5#00017", "askdrlin", "有男友還期待啥啊 朋友各自忙各自的不回很正常", "12/27 11:07", "0"
"Boy-Girl#M.1545878592.A.EB5#00018", "jacket", "你知道什麼叫R20嗎", "12/27 11:07", "0"
"Boy-Girl#M.1545878592.A.EB5#00019", "s6h0a5n1e2", "標題+內文我以為來到甲版", "12/27 11:10", "0"
"Boy-Girl#M.1545878592.A.EB5#00020", "SSglamr", "甲....對方跟你聊天打手槍 但有他有男友了", "12/27 11:14", "0"
"Boy-Girl#M.1545878592.A.EB5#00021", "sophia810130", "有些小男生心機很重，有個男的也是，說要當朋友，還問我為什麼不能跟他聊天，結果轉身公審我把他當聊天工具人，他好慘，讓別人罵我綠茶婊～賤人～。看到一堆男的超愛講自己是工具人，結果是自己硬要巴著女生，得不到就開始標榜自己是受害者。男生不會跟不喜歡的女生聊天？那就是男生在騙女生說只是朋友啊，這是男生自己不老實。", "12/27 11:15", "1"
"Boy-Girl#M.1545878592.A.EB5#00022", "yoyoman001", "好啦 看一看你的簽名檔，"這件事情我只跟你講喔QQ" 你是第15896345知道的人", "12/27 11:21", "0"
"Boy-Girl#M.1545878592.A.EB5#00023", "sophia810130", "女生聊天就是這樣啊，我只跟你講不代表喜歡，只是不想讓某些人知道這件事，不像男生見面聊女人聊電動聊車然後就沒話了。我有女生朋友打來每次都說我只跟你說喔，她也沒愛慕我啊", "12/27 11:27", "1"
"Boy-Girl#M.1545878592.A.EB5#00024", "r60705", "有男友還在期待什麼？把他當好朋友需要放生？你就是喜歡人家嘛", "12/27 11:32", "0"
"Boy-Girl#M.1545878592.A.EB5#00025", "offstage", "用餐完畢把免洗筷丟垃圾筒不是常識嗎，難道你會洗乾淨放身上？有些女生比較聰明，知道一些話題或私事不能跟女生朋友講，所以跟男生反而放得開。", "12/27 11:36", "1"
"Boy-Girl#M.1545878592.A.EB5#00026", "Ariettina", "蠢", "12/27 11:37", "0"
"Boy-Girl#M.1545878592.A.EB5#00027", "polaris12", "你現在在男女版發文，應該就在越舉的黑色地帶了，今天是你同樣相處模式的男生，我想你也不會上來發文了", "12/27 11:37", "1"
"Boy-Girl#M.1545878592.A.EB5#00028", "hoos891405", "請搜尋：情緒垃圾桶", "12/27 11:38", "0"
"Boy-Girl#M.1545878592.A.EB5#00029", "Czong4102", "請別浪費時間 不如去幫助其他更需要被幫助的人", "12/27 11:41", "0"
"Boy-Girl#M.1545878592.A.EB5#00030", "closa", "本來就沒在一起，何來放生之說？", "12/27 11:42", "0"
