"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1547312881.A.618#00000", "ccdo", "阿姐我是七年級台灣東部人<br><br>雖然我們家人沒明講，不過我猜我們家族以前應該是原住民某族的<br><br>所以我們家的小孩，男女都一樣，從小骨架跟漢草都比同齡層更寬更大更壯，雄性/雌性<br><br>特徵也比其他一般人明顯<br><br>像我們家的男生 站到人群裡 就是很明顯比其他男生更寬更大更壯 更MAN更像男人就對了<br><br>我們家的女生 站到人群裡 也是很明顯前凸後翹 比其他女生更像優質的媽媽就對了 嘻嘻<br><br><br>後來搬到南部這大都市<br><br>也很明顯發現其他人的身材/漢草/骨架/雄性或雌性特徵都比我們家的窄/小/瘦弱/不明顯<br><br>簡言之<br><br>男生沒有男生該有的雄性樣子<br><br>女生沒有女生該有的雌性樣子<br><br>所以我們家的人後來都還是嫁/娶其他貌似也有原住民血統的東部人 嘻嘻<br><br><br>男女點就是<br><br>自從我們搬來南部這大都市之後<br><br>被大都市的人的開放程度給嚇到了<br><br>我哥(3哥跟4哥)跟我就常常被第一次見面認識的人 聊個一次天 之後就約泡咖啡<br><br>我3哥長得像電影賽德克巴萊裡的年輕莫那魯道跟庹宗康的混合體<br><br>我4哥長得像彭于晏跟館長的混合體<br><br>我長得像哪個明星 為了隱私 暫時先不講<br><br>反正我3哥4哥跟我就常被都市人約泡咖啡就對了<br><br><br>但我們就算當時都沒有交往對象 也一律把這些外面的野花野草的泡咖啡邀請給推掉了<br><br>1.我們東部郊區長大的小孩可是很保守的<br><br>  我們身體髮膚受之父母與家族 豈可隨意給外人糟蹋<br><br>  更何況我們家族的人最重視家庭與感情了 交往/結婚/家庭可是一輩子最重要的事<br><br>2.再加上很重要的原因就是我上面講半天的:<br><br>  那些來約泡咖啡的人身材/體格/漢草/雄性或雌性特徵不明顯<br><br>  我總覺得那些男生根本是男孩 不像男人 MAN的程度連我哥我弟我爸的一半都不到<br><br>  我3哥4哥也覺得那些女生根本是女孩 不像女人<br><br>3.反正最後我們沒跟那些人泡過咖啡就對了<br><br>  我3哥4哥後來分別娶太太 都是一看就是很優質的媽媽身材體格的太太<br><br>  我後來交的男朋友現在的先生也是 那種一看就是很MAN的男人的型<br><br><br>4.所以說啊<br><br>  講了半天<br><br>  我就是想問大家<br><br>  假設你就是想跟異性約泡咖啡<br><br>  但是那個異性的身材/體格/漢草/雄性或雌性特徵就是像男孩女孩一樣<br><br>  沒有男人女人該有的樣子<br><br>  這樣子你還做得下去嗎???<br><br>  我們家的人已經用行動證明，你值得更好的吧？<br><br><br><br>你說說看啊？<br><br>--<br>", "", ""
"Boy-Girl#M.1547312881.A.618#00001", "tmtm39", "錯版?", "01/13 01:10", "0"
"Boy-Girl#M.1547312881.A.618#00002", "RaiGend0519", "妳想說妳長得像的是不是年輕時的白冰冰？", "01/13 01:12", "0"
"Boy-Girl#M.1547312881.A.618#00003", "a567896666", "青菜蘿蔔", "01/13 01:13", "0"
"Boy-Girl#M.1547312881.A.618#00004", "nikiyoo", "認真回：可以唷：）", "01/13 01:18", "0"
"Boy-Girl#M.1547312881.A.618#00005", "trolkin", "只改兩個字 真的很認真)", "01/13 01:18", "0"
"Boy-Girl#M.1547312881.A.618#00006", "abby9160", "你不行就讓別人來，很簡單的道理", "01/13 01:19", "0"
"Boy-Girl#M.1547312881.A.618#00007", "makelove0938", "每個人審美觀又不相同", "01/13 01:20", "0"
"Boy-Girl#M.1547312881.A.618#00008", "SaintsRow", "ㄛ", "01/13 01:31", "0"
"Boy-Girl#M.1547312881.A.618#00009", "BIOGeminiRed", "你想說你像ALin還是徐若瑄？", "01/13 01:33", "0"
