"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1547737024.A.2CF#00000", "womantalk", "我晚上去買飲料的時候意外遇到我的女友<br><br>我第一次在圖書館外面遇到她 灑花<br><br>她就排在我的前面<br><br>她好像有察覺到我的存在 一直偷看我<br><br>不過我們之間還是保持著純純的愛<br><br>還沒有講過話或是任何肢體碰觸<br><br><br><br>我看她點了一杯60元波霸紅茶拿鐵微糖少冰<br><br>我有一點不高興<br><br>我平常都喝30元的四季春無糖少冰<br><br>我認為飲料喝超過50塊就是浪費錢<br><br>我開始思考這樣的女生真的適合當女友嗎?  以後結婚她要怎麼持家?<br><br>我有點苦惱<br><br>這是我第一次對我們的感情產生懷疑<br><br>--<br>", "", ""
"Boy-Girl#M.1547737024.A.2CF#00001", "fallforyou11", "= =", "01/17 22:58", "0"
"Boy-Girl#M.1547737024.A.2CF#00002", "Menstop", "遇到左手？", "01/17 22:58", "0"
"Boy-Girl#M.1547737024.A.2CF#00003", "North4use", "樓下你會被怎樣", "01/17 22:59", "0"
"Boy-Girl#M.1547737024.A.2CF#00004", "agneswhat", "不適合", "01/17 23:00", "0"
"Boy-Girl#M.1547737024.A.2CF#00005", "ian81131", "花到你的錢？", "01/17 23:01", "0"
"Boy-Girl#M.1547737024.A.2CF#00006", "tiiyuway", "這邊也八卦化了嗎？？", "01/17 23:02", "0"
"Boy-Girl#M.1547737024.A.2CF#00007", "ljh2217", "是花到你的錢了膩 一杯珍珠鮮奶茶都喝不得  可悲台男", "01/17 23:05", "0"
"Boy-Girl#M.1547737024.A.2CF#00008", "mysecretid", "其實還滿好笑的XD 但還是要噓", "01/17 23:07", "0"
"Boy-Girl#M.1547737024.A.2CF#00009", "bsmile602", "你幹嘛嫌棄你另外一個人格", "01/17 23:09", "0"
"Boy-Girl#M.1547737024.A.2CF#00010", "bebe1985", "希望你女友不要隨便放生你", "01/17 23:14", "0"
"Boy-Girl#M.1547737024.A.2CF#00011", "Reneeeating", "笑死", "01/17 23:16", "0"
"Boy-Girl#M.1547737024.A.2CF#00012", "sosevil", "不知所云", "01/17 23:16", "0"
"Boy-Girl#M.1547737024.A.2CF#00013", "Howard61313", "看起來她不知道你的存在耶", "01/17 23:18", "0"
"Boy-Girl#M.1547737024.A.2CF#00014", "memory790987", "掛號了嗎", "01/17 23:22", "0"
"Boy-Girl#M.1547737024.A.2CF#00015", "zhong0408", "左右眼互看 鬥雞眼", "01/17 23:27", "0"
"Boy-Girl#M.1547737024.A.2CF#00016", "TtTt4", "幻想戀愛", "01/17 23:28", "0"
"Boy-Girl#M.1547737024.A.2CF#00017", "a567896666", "你到底來幹嘛的", "01/17 23:28", "0"
"Boy-Girl#M.1547737024.A.2CF#00018", "tracy0620", "花到你的錢了嗎？", "01/17 23:31", "0"
"Boy-Girl#M.1547737024.A.2CF#00019", "yayaputin", "哈哈哈  反推", "01/17 23:36", "0"
"Boy-Girl#M.1547737024.A.2CF#00020", "osmanthusjo", "發廢文?", "01/17 23:37", "0"
"Boy-Girl#M.1547737024.A.2CF#00021", "iamlegend188", "反串文筆還這麼爛，可憐", "01/17 23:39", "0"
"Boy-Girl#M.1547737024.A.2CF#00022", "cygnus17", "有病", "01/17 23:39", "0"
"Boy-Girl#M.1547737024.A.2CF#00023", "urbanita", "廢到笑", "01/17 23:43", "0"
"Boy-Girl#M.1547737024.A.2CF#00024", "abree726", "有笑給推", "01/17 23:45", "0"
"Boy-Girl#M.1547737024.A.2CF#00025", "vuvu000", "蠻好笑的", "01/17 23:52", "0"
"Boy-Girl#M.1547737024.A.2CF#00026", "aamomi", "有笑給推", "01/17 23:59", "0"
"Boy-Girl#M.1547737024.A.2CF#00027", "namis77", "不要隨便一個客人就當女友好嗎，警察北北就是他", "01/18 00:59", "0"
"Boy-Girl#M.1547737024.A.2CF#00028", "lillianyo", "XD", "01/18 01:11", "0"
"Boy-Girl#M.1547737024.A.2CF#00029", "kotohira", "XDDDDD 幹 廢到笑", "01/18 01:11", "0"
"Boy-Girl#M.1547737024.A.2CF#00030", "demo68", "？", "01/18 01:12", "0"
"Boy-Girl#M.1547737024.A.2CF#00031", "snatz", "無聊", "01/18 01:12", "0"
"Boy-Girl#M.1547737024.A.2CF#00032", "diverse101", "我也有個幻想男友", "01/18 01:16", "0"
"Boy-Girl#M.1547737024.A.2CF#00033", "kyu02031020", "觀落陰看到的？", "01/18 01:21", "0"
"Boy-Girl#M.1547737024.A.2CF#00034", "philandsam", "並不是願意看你的漂亮女生就代表是女朋友好嗎", "01/18 01:31", "0"
"Boy-Girl#M.1547737024.A.2CF#00035", "sarai201130", "笑死", "01/18 01:32", "0"
"Boy-Girl#M.1547737024.A.2CF#00036", "onlythat2002", "她拿星巴克，你會不會覺得你在演瘋狂亞洲富豪？", "01/18 02:06", "0"
"Boy-Girl#M.1547737024.A.2CF#00037", "koala11234", "下一篇如果荒島只有五十元以上的飲料…", "01/18 02:07", "0"
"Boy-Girl#M.1547737024.A.2CF#00038", "BardxBaymax", "....", "01/18 02:20", "0"
"Boy-Girl#M.1547737024.A.2CF#00039", "ld3067498", "..", "01/18 02:22", "0"
"Boy-Girl#M.1547737024.A.2CF#00040", "toty1101", "乾", "01/18 02:34", "0"
"Boy-Girl#M.1547737024.A.2CF#00041", "jidou", "60元也可以公審......", "01/18 02:38", "0"
"Boy-Girl#M.1547737024.A.2CF#00042", "astrorice", "認真回 珍珠奶茶通常都做一餐 很飽", "01/18 02:45", "0"
"Boy-Girl#M.1547737024.A.2CF#00043", "marinechen", "還挺好笑的", "01/18 02:48", "0"
"Boy-Girl#M.1547737024.A.2CF#00044", "guepard", "有笑有推", "01/18 02:49", "0"
"Boy-Girl#M.1547737024.A.2CF#00045", "unicum6", "?", "01/18 02:58", "0"
"Boy-Girl#M.1547737024.A.2CF#00046", "damngirl", "哈哈哈這故事蠻有趣可追", "01/18 03:08", "0"
"Boy-Girl#M.1547737024.A.2CF#00047", "burger13784", "不行", "01/18 03:22", "0"
"Boy-Girl#M.1547737024.A.2CF#00048", "learnpig", "重度三幻患者", "01/18 03:39", "0"
"Boy-Girl#M.1547737024.A.2CF#00049", "father7", "不忍噓", "01/18 03:49", "0"
"Boy-Girl#M.1547737024.A.2CF#00050", "morimori1771", "傻眼", "01/18 04:05", "0"
"Boy-Girl#M.1547737024.A.2CF#00051", "a9111898", "幹你屁事？", "01/18 04:08", "0"
"Boy-Girl#M.1547737024.A.2CF#00052", "johnny5411", "ㄏㄏ", "01/18 04:20", "0"
"Boy-Girl#M.1547737024.A.2CF#00053", "b7368789", "笑了", "01/18 04:26", "0"
"Boy-Girl#M.1547737024.A.2CF#00054", "letiziach", "我想喝珍珠不行膩", "01/18 04:48", "0"
"Boy-Girl#M.1547737024.A.2CF#00055", "amsterdamDK", "柏拉圖式愛情", "01/18 06:15", "0"
"Boy-Girl#M.1547737024.A.2CF#00056", "oesos", "摳鬼", "01/18 06:28", "0"
"Boy-Girl#M.1547737024.A.2CF#00057", "Derrick906", "好可憐", "01/18 06:31", "0"
"Boy-Girl#M.1547737024.A.2CF#00058", "bernie90006", "沒講過話 第一次遇到 不是網友就是陌生人 ====", "01/18 06:59", "0"
"Boy-Girl#M.1547737024.A.2CF#00059", "anana77", "你好可怕", "01/18 07:26", "0"
"Boy-Girl#M.1547737024.A.2CF#00060", "steven4314", "這超有才，你要堅持下去,很有梗", "01/18 07:42", "0"
"Boy-Girl#M.1547737024.A.2CF#00061", "Kumasa", "太廢又沒笑點", "01/18 07:59", "0"
"Boy-Girl#M.1547737024.A.2CF#00062", "kagura5566", "30也太奢侈 麥香就夠了", "01/18 08:06", "0"
"Boy-Girl#M.1547737024.A.2CF#00063", "Aukillexz", "左手跟右手還能各買一杯飲料？發票算兩張還一張", "01/18 08:10", "0"
"Boy-Girl#M.1547737024.A.2CF#00064", "tabitoo1125", "就可已死......咦？不是？", "01/18 08:10", "0"
"Boy-Girl#M.1547737024.A.2CF#00065", "mintsgirl", "沒錢喝三小飲料", "01/18 08:19", "0"
"Boy-Girl#M.1547737024.A.2CF#00066", "goulina", "快點分手遠離那女孩", "01/18 08:20", "0"
"Boy-Girl#M.1547737024.A.2CF#00067", "boundfor", "窮人百事哀", "01/18 08:23", "0"
"Boy-Girl#M.1547737024.A.2CF#00068", "aaa40004151", "...", "01/18 08:24", "0"
"Boy-Girl#M.1547737024.A.2CF#00069", "JinneeHeaven", "小氣吝嗇", "01/18 08:26", "0"
"Boy-Girl#M.1547737024.A.2CF#00070", "mathedu", "之前圖書館也是你嗎？", "01/18 08:31", "0"
"Boy-Girl#M.1547737024.A.2CF#00071", "jameslee0928", "沒喝過手搖杯？", "01/18 08:44", "0"
"Boy-Girl#M.1547737024.A.2CF#00072", "ohyawhite", "無言...", "01/18 08:46", "0"
