"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1547945931.A.BB9#00000", "AzVie", "先講好不喜勿入<br><br>要看就別噓<br><br><br><br><br>根據大姊我多年來對18歲-38歲適婚年齡女孩兒們的觀察<br><br>有一個小結論<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>宅女通常很像宅男<br><br>不只是生活方式/習慣/喜好像而已<br><br>連外表/聲音/身材/穿著....哇幾乎都超級像<br><br><br>大姊我最近才認識一個新客戶<br><br>新客戶就是個宅女 從沒交過男友 好像有養寵物<br><br>重點是 聲音很像男生的聲音<br><br>我都有點懷疑是不是原本男生變性成女生的<br><br>看起來就像是個宅男戴假髮啊<br><br><br>所以說<br><br>如果女孩兒照鏡子的時候<br><br>發現自己如果把長髮往後撥開之後 跟妳常常嫌棄的宅男其實差不多<br><br>那就要好好自省一下了<br><br><br>這邊說的自省<br><br>也不是說要怎樣<br><br>就是要認知到<br><br>1. 可以繼續做自己啊 但就不要妄想可以交到非宅男的男友<br><br>2. 改變自己 未來可以選擇的可能會變更多<br><br><br>開始為台灣的未來擔憂了<br><br>現在老齡化又少子化<br><br>一堆宅男宅女互相嫌棄又找不到別的對象<br><br>應該要請立法委員立法<br><br>規定台灣國籍的人 超過三十歲若還沒結婚生子<br><br>政府就要強制像徵兵一樣把人送去相親營受訓 在裡面找到對象為止才能出來<br><br>然後每個家庭都要生兩個小孩以上<br><br>要不然<br><br>以後台灣都沒有台灣人了<br><br>--<br>", "", ""
"Boy-Girl#M.1547945931.A.BB9#00001", "mason710", "噓你那句「要看就別噓」，回贈你一句「怕噓就別po」", "01/20 09:00", "0"
"Boy-Girl#M.1547945931.A.BB9#00002", "doS16", "還好我頭髮撩起來還是很好看", "01/20 09:01", "0"
"Boy-Girl#M.1547945931.A.BB9#00003", "HsiangMing", "http//i.imgur.com/DFrmMjU.jpg", "01/20 09:01", "0"
"Boy-Girl#M.1547945931.A.BB9#00004", "qi3qi3", "沒看內容，純推一樓！", "01/20 09:01", "0"
"Boy-Girl#M.1547945931.A.BB9#00005", "kosuzu", "超過30一定要結婚是住在是北韓吧", "01/20 09:02", "0"
"Boy-Girl#M.1547945931.A.BB9#00006", "momoforever", "功3小", "01/20 09:03", "0"
"Boy-Girl#M.1547945931.A.BB9#00007", "nono1234", "笑了", "01/20 09:13", "0"
"Boy-Girl#M.1547945931.A.BB9#00008", "grass30630", "還敢叫人別噓", "01/20 09:14", "0"
"Boy-Girl#M.1547945931.A.BB9#00009", "mysecretid", "洗文大師", "01/20 09:15", "0"
