"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1548004019.A.58E#00000", "louiseju", "（再更）<br>忘了說我沒有非要我家拿頂安全帽<br>明明一頂最便宜不過一兩百！！<br><br>（更）<br>昨天太累了所以有點細節沒交代清楚<br>因為之前也有發生過類似的事<br>他那次二話不說就回我家拿<br>但這次他直接說還是今天不要見面了<br>所以我才生氣<br>我們不是那麼常見面<br>每次見面時間我都很珍惜<br><br>像男生的部分是我比較粗心<br>常需要對方直接說他想要我幫他做什麼<br>需要對方最直接的目的不然我真的猜不出來對方心裡的想法<br>可是不知道為什麼交到的都很喜歡用暗示或一些小動作跟我表達自己的不滿<br><br><br>每個留言我都有看<br>但我不會回文所以統一回在這裡<br>不過關於最後一個問題<br>沒有人回啊～～<br><br>——————————————————————<br><br>首po 文筆不好請見諒<br><br>最近被男友抱怨他感受不到我的在乎<br>我仔細反省了自己似乎也被前男友這樣抱怨過<br>我在感情裡真的比較被動又很像男生<br><br><br>不過在這段感情裡我為了避免上一段感情犯的錯已經盡力改善自己的缺點了<br>但我可能真的不懂什麼是在乎<br><br><br>這次吵架的點只不過是明天他要來載我下班<br>然後我的安全帽在我家所以他叫我帶去公司（我們沒住一起<br>可是明天會下雨我搭公車上班還要撐傘不方便就不想帶<br><br>然後男友就抱怨說每次都是他來找我<br>他覺得很累<br><br>但明明上週末是我去找他還住他家！！！<br>只不過這週他回南部去了我一個人在家快樂的找自己的事情做<br>沒有一直關注手機<br>明天也不想帶安全帽<br>他就說我不在乎他！！<br><br>我也才兩天享受一下自己的時間有錯嗎？<br>重點是<br>男友還沒畢業<br>現在是寒假也沒什麼課業壓力<br>時間又多<br>我就不懂他幹嘛不去我家拿安全帽再過來就好<br>究竟是我不關心他還是只是他懶了<br><br>現在我們吵不出個所以然決定明天見面再溝通<br><br><br>請大家提供一點自己的看法<br>如果是我的問題也歡迎強力的鞭我<br>樂意接受任何指教<br>也請大家分享一下都是如何表達自己對男/女朋友的在乎提供我參考一下<br>我看看我有沒有哪些沒做好的<br>感謝你們<br><br>--<br>", "", ""
"Boy-Girl#M.1548004019.A.58E#00001", "K118H", "看不懂有什麼好吵", "01/21 01:20", "0"
"Boy-Girl#M.1548004019.A.58E#00002", "icedvd", "文章中看起來是你比較自私一點沒錯", "01/21 01:20", "0"
"Boy-Girl#M.1548004019.A.58E#00003", "aerolite", "那個…他要載妳下班還得先去妳家拿安全帽？", "01/21 01:26", "0"
"Boy-Girl#M.1548004019.A.58E#00004", "lmfhahha", "蛤???接你還要先去你家幫你帶安全帽?滿頭問號耶", "01/21 01:29", "0"
"Boy-Girl#M.1548004019.A.58E#00005", "camix", "明天下雨他要先騎車到你家拿安全帽再載你...要兩段車程還要穿脫雨衣滿麻煩的", "01/21 01:30", "1"
"Boy-Girl#M.1548004019.A.58E#00006", "abby9160", "可以多買一個安全帽..看起來你沒有很想見他是真的", "01/21 01:30", "0"
"Boy-Girl#M.1548004019.A.58E#00007", "jidou", "實例太少，可是你比較自我，不願意為了他人而讓自己麻煩，", "01/21 01:31", "0"
"Boy-Girl#M.1548004019.A.58E#00008", "Levesque", "文章中提到獨處時你是“快樂、享受”的，你是不是比較喜歡獨處啊", "01/21 01:31", "1"
"Boy-Girl#M.1548004019.A.58E#00009", "lmfhahha", "你懶得帶安全帽就直接約你家見啊。是他非要接你還是你一定要他接?", "01/21 01:31", "1"
