"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1548553207.A.DAE#00000", "sumade", "※ 引述《aJan5566 (包金56)》之銘言：<br>: 我有兩個朋友，<br>: 男方曾是女方的前輩，女方是被學校派到公司的建教班實習學生，<br>: 男方對女方有好感，但女方不知情，<br>: 偶爾他們也會約出去吃飯（約4次，AA制），<br>: 男方也曾經贈送女方一些繪圖工具，市價約6000～8000元，並強調這是自己用不上的物品。<br>: 當女方實習結束要離開公司時，男方跟女方告白，<br>: 女方拒絕了他，並說只把他當成是前輩看，<br>: 而後他便把女方聯絡資訊刪除並封鎖。<br>: 然而過了三年後，男方剛好轉換到女方的公司就職，<br>: 兩人也僅有公事上的往來。<br>: 過了幾個月，男方因不適應此間公司，<br>: 又另外找到新的工作要離開了。<br>: 離開前找女方談話，<br>: 跟他說明之前送他的工具，<br>: 不是二手物品是新品，<br>: 並要求女方將支付工具的費用，<br>: 女方也就直接掏錢給他了。<br>: 女方跟我表示他因為這件事心情有點不好，<br>: 男方也跟我表示這樣做明明天經地義<br>: 到～～～底，誰的問題比較大呢？<br><br>的確這男生問題很大<br><br>你要說他人渣也行  垃圾也好  小弟我都覺得十分合情合理<br><br>但是  然後呢<br><br>一個人都願意做出這種下三濫的行為了<br><br>你覺得他會在意別人對他的指責嗎<br><br><br>文中提到  女方表示他因為這件事心情有點不好<br><br>心情不好的原因  是因為遇到一個爛人做了一件鳥事<br><br>事實上  女生可不可以阻止這一切的發生<br><br>當然可以  俗話說無功不受祿<br><br>法律都明文規定  三十塊以上的東西就叫賄選了<br><br>前輩送的那些東西  就算我不是本科系  一看也知道不是幾十塊就可以打發的<br><br>那為什麼還會收  不外乎一個字  就是貪嘛<br><br><br>就像台灣明明已經發生過很多吸金案的案例在那<br><br>卻還是有那麼多人上當  這種案例老是層出不窮<br><br>的確犯案的人很壞  但他再壞  你如果不貪  怎樣也騙不了你<br><br>不用扯說人家前輩就說東西用不到  收下來也不會怎樣吧<br><br>東西用不到  基本上就是引你掉入陷阱的話術<br><br>不然東西用不到  可以丟掉  可以捐贈  或者那麼多人  為什麼偏偏要送你<br><br><br>所以為了自保  為了避免麻煩  當然要拒絕餽贈<br><br>人會送東西  大概就兩個重點<br><br>一個是身份  家人情人朋友<br><br>家人情人就不用說了  但就算朋友之間送東西  絕對也要有一定的交情<br><br>像這種只出去吃過四次飯的  是哪門子的屁交情<br><br>另一個重點是情境<br><br>一般來說就是逢年過節  或是婚喪喜慶<br><br>但從原文看來  只是到公司上班而已  完全看不出需要收禮的理由<br><br><br>至於要怎麼拒絕  其實也不難<br><br>一般而言  把責任推給第三者就好<br><br>最簡單的就是  我爸媽說無功不受祿  不能亂收別人的禮物<br><br>假如對方是正常人  聽到這裡就會知難而退了<br><br>但世風日下  有正常人當然也會有不正常的<br><br>為了說服你  一定會在話術上再動手腳<br><br>拿這個人來說  就以用不到當幌子  來讓你覺得收下是ok的<br><br>這時候很簡單  你就說你要我收下也沒關係  但是我覺得有人比我更需要這東西<br><br>我幫你捐給公益團體  會寫你的名字  福報會迴向給你<br><br><br>前面不是說到  把責任推給第三者就好<br><br>雖然當下禮物是你收的  但你有讓他知道你會將東西轉送給公益團體<br><br>此時利益的糾結  就是他和公益團體之間的事  跟你無關了<br><br>只要沒有利益的糾結  他想在你身上做文章  也找不到施力點了<br><br><br>大家都成年人  念了十幾年的書<br><br>什麼東西能收  什麼東西不能收  心裡都清楚的很<br><br>別說朋友了  就算關係較親密的情人<br><br>交往第一天時  我也明白表明立場  禮物金額的限制<br><br>小弟我不管是交朋友談戀愛都保持一樣的信念<br><br>重點在於做事和心態  會讓你覺得交我這朋友(男友)是值得的<br><br>假如過程中你覺得不值得  可能我們沒有交友(戀愛)的緣份<br><br>又或者我努力的還不夠  那你離開我也是笑笑的  下次再努力就好<br><br><br>同樣的我看待朋友或情人也是一樣的標準<br><br>要看你適不適合當朋友還是情人  我自然有我的觀察<br><br>日常生活的小事  可以拿來當線索的太多了<br><br>送禮這種刻意的行為  既然不是你的本意  自然也沒有觀察的必要<br><br>奉勸各位  太注重刻意的行為  到頭來只是讓自己多難過而已<br><br>謝謝大家<br><br>--<br>", "", ""
"Boy-Girl#M.1548553207.A.DAE#00001", "beebeebee", "推啊", "01/27 09:57", "0"
"Boy-Girl#M.1548553207.A.DAE#00002", "opas1216", "我覺得下面敘述貪我不是很能認同，說真的有人東西通常，不是特別熟的一般都會先拒絕，但是後面送東西的人往往會補一句，這東西放我家可能也是堆著生灰塵不然也是丟掉，受贈方：那不然我多少跟你買，贈予方：誒呀不用了啦。", "01/27 10:20", "0"
"Boy-Girl#M.1548553207.A.DAE#00003", "Duroc", "喜歡這篇邏輯，大推！", "01/27 10:22", "0"
"Boy-Girl#M.1548553207.A.DAE#00004", "hymmmmm", "貪...", "01/27 10:28", "0"
"Boy-Girl#M.1548553207.A.DAE#00005", "mj2124", "如果是我就買一個一模一樣的還他，哈哈哈，才不要給錢", "01/27 10:31", "0"
"Boy-Girl#M.1548553207.A.DAE#00006", "mj2124", "emmm，同事表明二手用不到收下其實還好，至於超過30塊，不是候選人不適用", "01/27 10:51", "0"
"Boy-Girl#M.1548553207.A.DAE#00007", "opas1216", "話術還要破解，接收個贈與搞得像諜對諜，我看乾脆以後，不認識的送東西就先寫個贈與契約", "01/27 10:52", "0"
"Boy-Girl#M.1548553207.A.DAE#00008", "mj2124", "至於這種怪人，就算他幫你捐給公益團體搞不好也會向你收，錢，因為他是幫你捐的", "01/27 10:53", "0"
"Boy-Girl#M.1548553207.A.DAE#00009", "ebey30918", "無功不受祿 噓的真的吃飽太閒", "01/27 10:55", "0"
"Boy-Girl#M.1548553207.A.DAE#00010", "opas1216", "我看以後不是很熟的送我東西我都先叫他丟垃圾桶，我在去撿好了，不然我怕被人家說貪", "01/27 10:56", "1"
"Boy-Girl#M.1548553207.A.DAE#00011", "osmanthusjo", "你要這樣講，弱勢團體也不敢收你東西了。被講成這樣不想收了生活真累，送的人沒事找別人麻煩，別人還要極度防禦", "01/27 11:07", "1"
"Boy-Girl#M.1548553207.A.DAE#00012", "osmanthusjo", "難怪有的人寧願餓死也不去申請補助，道德都拿來只要求收的人，怎不去要求愛亂送的?", "01/27 11:14", "1"
"Boy-Girl#M.1548553207.A.DAE#00013", "ali810622", "東西用不到 當然先找認識剛好用得到的人收啊 邏輯很爛欸我有個耳機一直找不到 買新的以後才找到 就給我那個時候的女友用了 分手後用不到的東西還是用不到啊 跟她要回來意義在哪", "01/27 11:14", "1"
"Boy-Girl#M.1548553207.A.DAE#00014", "ali810622", "在我看來，這種送東西的人就是想要有對等的回報，得不到要回來單純報復行為而已", "01/27 11:22", "1"
"Boy-Girl#M.1548553207.A.DAE#00015", "takoQAQ", "推", "01/27 11:22", "0"
"Boy-Girl#M.1548553207.A.DAE#00016", "rondo21", "他就說用不到，前輩、學長姐弟妹之間不是很常出現這樣子的這樣傳授？這樣也可以扯到女生貪？根本強詞奪理", "01/27 11:40", "1"
"Boy-Girl#M.1548553207.A.DAE#00017", "babyMclaren", "你這樣說就是不符合民情，課本什麼的很多都學長傳承", "01/27 11:40", "0"
"Boy-Girl#M.1548553207.A.DAE#00018", "ali810622", "好啦 蘇美給你補推 可是除非贈與看起來背後有隱藏什麼（路邊送東西拐你做課程那種） 不然一般人也不太會拒絕吧", "01/27 11:50", "1"
"Boy-Girl#M.1548553207.A.DAE#00019", "tsuki0826", "所以贈予版的人都是 貪 ？", "01/27 11:58", "0"
"Boy-Girl#M.1548553207.A.DAE#00020", "civilian", "哈哈哈哈哈 這is 不意外啦，Id", "01/27 11:59", "0"
"Boy-Girl#M.1548553207.A.DAE#00021", "panda80911", "說貪的確是有點言重了，只能說女生有點太過單純而已，但是那個男的也真的是很幼稚。", "01/27 12:00", "1"
"Boy-Girl#M.1548553207.A.DAE#00022", "nevikw39", "補血", "01/27 12:11", "0"
"Boy-Girl#M.1548553207.A.DAE#00023", "a963", "恭喜你在整個事件裡面被你抓到可以鞭的一個點！但是又超級，薄弱的呢！這篇往GIVE版轉一下嘛", "01/27 12:17", "0"
"Boy-Girl#M.1548553207.A.DAE#00024", "joinlove1234", "又在檢討被害人。 做人不能單純一點嗎？什麼事情都要去揣摩猜測別人的用心會不會太累了", "01/27 12:20", "1"
"Boy-Girl#M.1548553207.A.DAE#00025", "a963", "而且他們這樣叫沒有交情XDDD 他們至少還認識欸 give的都是乞丐了你要不要直接說沒有三等親 沒有歃血為盟結拜兄弟 就亂收禮物的都是貪？交情XDDDD", "01/27 12:21", "1"
"Boy-Girl#M.1548553207.A.DAE#00026", "sana37", "推Ali 男方心態根本有問題", "01/27 12:22", "0"
"Boy-Girl#M.1548553207.A.DAE#00027", "onaconflict", "呵呵", "01/27 12:28", "0"
"Boy-Girl#M.1548553207.A.DAE#00028", "fff0722", "學業上 工作上 一堆傳承的東西好嗎 前輩這樣照顧我 我也這樣照顧後輩", "01/27 12:28", "1"
"Boy-Girl#M.1548553207.A.DAE#00029", "sone10613", "幾千的東西對方前輩堅持要送你，你會不收？這度量難怪", "01/27 12:29", "1"
"Boy-Girl#M.1548553207.A.DAE#00030", "jasmine77", "你沒朋友沒學長姐學弟妹？送教科書送顯微鏡什麼都很常見", "01/27 12:48", "0"
"Boy-Girl#M.1548553207.A.DAE#00031", "linda010786", "邏輯？", "01/27 12:54", "0"
"Boy-Girl#M.1548553207.A.DAE#00032", "mathrew", "工三小，我幾乎沒噓過你，但是這篇看不下去", "01/27 12:55", "0"
"Boy-Girl#M.1548553207.A.DAE#00033", "ko782", "很久沒看你被噓爆", "01/27 12:55", "0"
"Boy-Girl#M.1548553207.A.DAE#00034", "God12345566", "這篇太誇張，明明就完全是男生的問題，不爽不要買啊", "01/27 13:01", "1"
"Boy-Girl#M.1548553207.A.DAE#00035", "dontaskme", "嘻嘻 腦補王也有這天啊", "01/27 13:05", "0"
"Boy-Girl#M.1548553207.A.DAE#00036", "catycaty520", "收禮=貪？你買東西買最便宜是不是也是貪?三小邏輯", "01/27 13:09", "0"
"Boy-Girl#M.1548553207.A.DAE#00037", "Daisyyy", "ID正確", "01/27 13:13", "0"
"Boy-Girl#M.1548553207.A.DAE#00038", "dawn5566", "你這太扯", "01/27 13:24", "0"
"Boy-Girl#M.1548553207.A.DAE#00039", "yuhung", "蝦？", "01/27 13:25", "0"
"Boy-Girl#M.1548553207.A.DAE#00040", "pacos", "前輩送的你敢不收", "01/27 13:43", "0"
"Boy-Girl#M.1548553207.A.DAE#00041", "SWALLOW0716", "來，這是我家的垃圾，送你了幫我丟一下，什麼你收了？這包垃圾價值三千 ，還我", "01/27 13:50", "1"
"Boy-Girl#M.1548553207.A.DAE#00042", "karol1995", "都強調是用不到了，正常社交沒理由再三拒絕吧", "01/27 13:51", "0"
"Boy-Girl#M.1548553207.A.DAE#00043", "philandsam", "你為什麼要一直把你的價值觀強加在別人身上？", "01/27 14:00", "0"
"Boy-Girl#M.1548553207.A.DAE#00044", "DRnebula", "這篇不行", "01/27 14:09", "0"
"Boy-Girl#M.1548553207.A.DAE#00045", "husky36", "呃...我還不是送學妹一套7、8000的國考書，就真的單純考完用不到，而且我們還真的沒有特別好，現在也沒再聯絡了啊。這三小爛邏輯", "01/27 14:10", "1"
