"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1550118839.A.FB0#00000", "diefishfish", "雄中學霸綠慘了？鄉民爆台大醫科女無縫接軌學長<br><br>還記得去年超勵志的雄女「黑馬」馮琪淯考上台大醫學系的故事嗎？當時馮女喊話在台<br>大等雄中學霸男友當她學弟，兩人宛如偶像劇般勵志故事感動不少人，但如今卻傳出馮<br>琪淯已與學霸男友分手，還「無縫接軌」學長，讓網友驚呼：完全跟著劇本走！<br><br>雄女生上台大醫 雄中男友相約來年當學弟<br><br>去年8月大學指考放榜，高雄女中學生馮琪淯考上台大醫學系的故事超勵志！馮琪淯高一<br>校排名400多名，卻一路衝到錄取台大醫學系，因她與雄中的魏姓男友相約一起上台大醫<br>學系當同學，交往時把讀書當約會；結果馮如願考上，學霸男友雖也上台大，但非醫學<br>系，決定重考，馮琪淯也喊話等男友當她學弟，還說不擔心遠距離，允諾會時常回高雄<br>陪男友讀書。<br><br>不過現在有網友在PTT爆料，指馮琪淯已經與魏姓學霸男友分手，還無縫接軌與學長在一<br>起，也引爆網友議論。<br><br>13日有網友在C_Chat版發表《有高中男生跟大學女生交往成功的嗎》一文，提到雄中跟<br>雄女高材生交往，女生上台大醫男生重考的故事，有網友在推文寫道「台大醫這對分了<br>啦，女生還無縫跟學長在一起，現實哪那麼好」、「說的有依據嗎? 真的被鄉民料中?」<br>、「她同學我學弟那聽來的，應該能算依據吧」，立刻引爆討論。<br><br>有網友說「剛剛刷了一下女方ig照片都沒了 估計是掰了」、「台女本色 要堅強 哈哈哈<br>哈哈」、「這沒有綠帽才是驚人吧 人性是經不起考驗的」；更多網友說「完全不意外」<br>、「完全照著劇本走」、「劇本都寫好了 照著演就對了」、「事實證明雖然版上很酸很<br>現實但都發生了！」。<br><br>不過也有網友幫女生說話，認為「上大學後分手很正常，沒必要評價醫科雄女」、更有<br>網友發文「台男可以不要再開雄女失智列車了嗎= =?」，說拜託台男們可不可以不要這<br>麼可悲，一直丟台男的臉，一直酸這種事只是不斷凸顯台男的求偶焦慮、仇女心態和幼<br>稚心理。<br><br>https://www.chinatimes.com/realtimenews/20190214001645-260402<br><br>中時電子報<br><br>--<br>", "", ""
"Boy-Girl#M.1550118839.A.FB0#00001", "nerdhobbies", "死魚冷飯炒夠了沒", "02/14 12:38", "0"
"Boy-Girl#M.1550118839.A.FB0#00002", "dusted", "沒品的窺探好管閒事垃圾話題", "02/14 12:41", "0"
"Boy-Girl#M.1550118839.A.FB0#00003", "enuj", "吼...其實你是記者本人是否?", "02/14 12:45", "0"
"Boy-Girl#M.1550118839.A.FB0#00004", "fimbkk", "新聞已經沒東西可以報了嗎？？？？", "02/14 12:45", "0"
"Boy-Girl#M.1550118839.A.FB0#00005", "CJ2048", "私底下講講笑笑哭哭 就算了 幹嘛上新聞… 沒得抄了喔", "02/14 12:48", "0"
"Boy-Girl#M.1550118839.A.FB0#00006", "abyepi", "無聊", "02/14 12:51", "0"
"Boy-Girl#M.1550118839.A.FB0#00007", "ko782", "只不過是路人甲乙一直報是怎樣", "02/14 12:53", "0"
"Boy-Girl#M.1550118839.A.FB0#00008", "opop1133", "台女不意外 但也不用二次傷害他們", "02/14 13:09", "0"
"Boy-Girl#M.1550118839.A.FB0#00009", "GummyBear13", "把新聞點閱率建在別人的痛苦上 他們又不是公眾人物，有夠噁心", "02/14 13:15", "0"
