"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1550411472.A.EDE#00000", "happyplus", "抱歉我認錯我不是故意要發雞排的QQ 自己剁掉<br><br>但還是有喔..會再公布地點<br><br>記者勿抄<br><br><br><br>我就是女孩子現在的先生 這幾年女生晚上哭著醒來(偶爾尖叫)都是我顧的<br><br>我打從心底不同意這個男生和他父母的處理模式<br><br>有鄉民問說 為什麼在這個浪頭發 有沒有什麼陰謀<br><br>第一 我從來沒看過我太太這麼恍神心情這麼低落糟糕到想要自殺一樣<br>     這個心結不解不行，解鈴還須繫鈴人，我除了幫忙倒水拍背蓋被子偶爾出錢給她<br>     買點東西 我沒辦法處理 一定得要男生 和當時主要處理的成年人出面 才有機會<br><br>第二 為什麼我選在公開的場合講<br>     這種事情私底下講對方都是很皮的啦 沒有點壓力真的不行 我承認我跟鄉民借了<br>     輿論壓力，但我的內文已經非常保護男生了<br><br>第三 醫學系的學生一定要學會承擔錯誤，改正反省，這大家沒意見吧<br><br>第四 對女生造成二度傷害<br>     要傷害他可能要先over my dead body<br>     所有的內容我都跟我太太商量過了她也同意，她還把幾句我本來比較激烈的話<br>     刪除了...<br><br>最後 我還是簡單交代一下事情的發展 總之是男生做了一件錯事，這件事情後來由母親<br>     代為處理，但是手法非常粗糙，中間的過程聽了實在令人難以置信。(但男生已經<br>     願意道歉什麼事情我就按照我答應他的不再提) 我相信中間的許多傷害，或者也許<br>     對大家來說可能是誤會(我覺得不是) 是應該要透過充分雙方家長的會談和正確的<br>     對男孩 和女孩 的輔導，才是正確的。<br><br>還有 我想跟曾經受傷過的人說(男生或女生)，當你受到傷害 請不要害怕說出口，不要怕<br>     被異樣的眼光看待，很多不是你的錯，說出來才有人能正確地幫助你<br><br>我永遠無法忘記 我太太在我懷裡哭著跟我說這些事的那天<br><br>好啦其實我也是很生氣啦..<br><br>這件事情就等男生道歉完就算落幕了<br><br>謝謝大家<br><br><br><br>--<br>", "", ""
"Boy-Girl#M.1550411472.A.EDE#00001", "girlo", "妳直接站內他就好啦...-_-", "02/17 21:52", "0"
"Boy-Girl#M.1550411472.A.EDE#00002", "asthedew", "...跑錯地方了吧", "02/17 21:54", "0"
"Boy-Girl#M.1550411472.A.EDE#00003", "PR58", "你知道八卦人比較多嗎", "02/17 21:55", "0"
"Boy-Girl#M.1550411472.A.EDE#00004", "kiergh", "這發在八卦應該已經爆了", "02/17 21:56", "0"
"Boy-Girl#M.1550411472.A.EDE#00005", "nk930043", "這篇會爆  先備份了", "02/17 21:56", "0"
"Boy-Girl#M.1550411472.A.EDE#00006", "BWhite245", "卡八卦", "02/17 21:57", "0"
"Boy-Girl#M.1550411472.A.EDE#00007", "Klan", "登入次數不夠貼八卦吧", "02/17 21:57", "0"
"Boy-Girl#M.1550411472.A.EDE#00008", "GooglePlus", "樓下轉八卦", "02/17 21:57", "0"
"Boy-Girl#M.1550411472.A.EDE#00009", "osmanthusjo", "!!!!!!!", "02/17 21:58", "0"
"Boy-Girl#M.1550411472.A.EDE#00010", "CJ2048", "卡位", "02/17 21:58", "0"
"Boy-Girl#M.1550411472.A.EDE#00011", "TANEKI", "卡一個", "02/17 21:59", "0"
"Boy-Girl#M.1550411472.A.EDE#00012", "YALEMY", "發在八卦才對啦 凶宅們會立刻幫你推爆", "02/17 21:59", "0"
"Boy-Girl#M.1550411472.A.EDE#00013", "harrylin1158", "誰來幫轉 不然就推爆", "02/17 22:00", "0"
"Boy-Girl#M.1550411472.A.EDE#00014", "justmetain", "！！", "02/17 22:01", "0"
