"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1551524891.A.A37#00000", "freeread", "女主角不是我<br><br>是我一位好朋友<br><br>同時有兩位公務員追求她<br><br>兩位她都很喜歡<br><br>其中一位高考及格 工作數年了 月薪大約五萬上下 但家境比較清寒<br><br>未來預計無法繼承超過百萬的財產<br><br>另外一位 只有初等及格 月薪大約三萬上下 但家境好<br><br>父母已用他的名字陸陸續續置產兩千萬以上的不動產 父母未來還會繼續贈與給他<br><br>兩位都對她很好<br><br>若考慮到未來很實際的金錢問題<br><br>你們會建議我朋友怎麼選擇<br><br><br>--<br>", "", ""
"Boy-Girl#M.1551524891.A.A37#00001", "p580ir190", "當然置產2000萬，繳房貸想繳到往生嗎", "03/02 19:10", "0"
"Boy-Girl#M.1551524891.A.A37#00002", "tellthe", "可以講一下個性嗎？= =不知道為什麼很想噓", "03/02 19:11", "0"
"Boy-Girl#M.1551524891.A.A37#00003", "ILOVEluee", "看品格  先多相處先", "03/02 19:11", "0"
"Boy-Girl#M.1551524891.A.A37#00004", "ts012108", "至少都是公務員了 就看人就好吧 選喜歡的就好", "03/02 19:13", "0"
"Boy-Girl#M.1551524891.A.A37#00005", "ILOVEluee", "對了  這篇我只看到錢跟職業  跟一個人在一起沒那麼簡單", "03/02 19:13", "1"
"Boy-Girl#M.1551524891.A.A37#00006", "forhhtem", "個性不用考慮?  還是只要物質就夠了?", "03/02 19:14", "0"
"Boy-Girl#M.1551524891.A.A37#00007", "AMGC43", "這不是 O2 版的讀姊嗎 ??", "03/02 19:17", "0"
"Boy-Girl#M.1551524891.A.A37#00008", "fbiciamib123", "你只想到錢的差別 心中自有定數", "03/02 19:24", "0"
"Boy-Girl#M.1551524891.A.A37#00009", "aikotoba", "小孩子才選擇 當然是全都要", "03/02 19:25", "0"
"Boy-Girl#M.1551524891.A.A37#00010", "sabishikuma", "喔！讀姐要發大心文了嗎！", "03/02 19:26", "0"
"Boy-Girl#M.1551524891.A.A37#00011", "antiwash5566", "40幾歲老女人的話我唯一支持2000萬", "03/02 19:26", "0"
"Boy-Girl#M.1551524891.A.A37#00012", "ponpon55837", "抱歉 內容看了想噓而已 沒什麼意思", "03/02 19:27", "0"
"Boy-Girl#M.1551524891.A.A37#00013", "wea567", "又是你", "03/02 19:29", "0"
"Boy-Girl#M.1551524891.A.A37#00014", "jidou", "選票文表示都不喜歡", "03/02 19:30", "0"
"Boy-Girl#M.1551524891.A.A37#00015", "tsaiss", "87", "03/02 19:32", "0"
"Boy-Girl#M.1551524891.A.A37#00016", "li118", "月薪5萬真的不算多", "03/02 19:39", "0"
