"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1551605449.A.2C8#00000", "jay580", "大家好<br>我是現在在國外唸書的女生<br>最近被朋友指控玩弄他的感情 想聽聽大家的看法<br><br>[文長慎入]<br>Ａ男是系上的同學<br>因為在台灣念大學 所以會說中文<br>學期開始後很快就熟絡<br>後來他向我告白 但我直接拒絕並告訴他我們不可能<br>到了下學期 我要搬家 他幫了我很多忙<br>然後我們越走越近<br>曾經單獨旅行過 週末晚上有時候也會一起看電影然後過夜<br>在其他同學眼裡我們大概是情侶<br>只是我從來沒有答應要在一起<br>在這期間我有認真考慮過交往<br>也是真心的對他好<br>但覺得不是女朋友<br>很多時候他要請我吃飯或送禮物 我都會拒絕<br>並直接跟他說我連你女朋友都不是<br>我不想要你有一天後悔幫別人養老婆<br><br>第二學期結束後 我回臺灣幾週<br>在台灣的時候我認真想了一下我們的關係<br>我覺得他並不是我喜歡的類型<br>若是答應跟他交往只可能是因為他對自己很好<br>因此回到歐洲後 跟他說我的想法<br>然後希望不要再維持這種曖昧的關係<br>因為我不希望他一直覺得自己有機會<br>自從我跟他說了這樣的話後<br>他很不能接受 並且情緒很低落了很久<br>在這時候我還是有試圖關心他並希望他能走出這樣的低潮<br><br>約莫三個月後 我請Ｂ男幫忙搬家<br>（Ｂ男宿舍社和我大概是走路三分鐘的距離<br>Ｂ男之前也說喜歡我過 但是沒有甚麼追求的行為<br>連私下聊天都幾乎沒有 我當時以為他不是認真的）<br>在這次搬家後 我跟Ｂ男越走越近<br>在最近聽研討會的時候 Ｂ男坐在我旁邊<br>期間他想要借筆 但我不給他<br>他就抓著我的手寫字 然後被後面的Ａ男看到<br>Ａ男氣到暫時離開研討會<br>又隔兩天 因為我要去其他城市一段時間<br>要寄行李 需要等貨運公司到家裡拿<br>但我還有一些學校的行政流程要跑<br>請住在附近又剛好感冒不去實驗室的Ｂ男來幫我看家<br>以免我去學校的時候行李公司來<br>下午Ａ男沒事的時候跑到我家附近晃然後看我在不在家<br>（他從二月多偶爾就會故意從我家院子外經過<br>那邊根本沒有路 都是草坪）<br>於是當天他就看到Ｂ男單獨在我家<br>他非常的生氣並且質問我為什麼不請他幫忙<br><br>在我要離開去其他城市的前一晚<br>Ａ男快十二點打電話給我 一直質問我和Ｂ男的關係<br>後來還搭最後一班車到我家來找我<br>一開始我沒有讓他進房間 只在門口和他說話<br>我知道他已經情緒失控 他之前也曾經失控過<br>之後他強行進來並把我壓在床上<br>繼續質問我和Ｂ男的關係<br>放開我後卻不願意離開我家<br>於是我走到附近的Ｂ男家<br>Ｂ男聽到他把我壓在床上 說要過來和Ａ男談談<br>但Ａ男完全失控 一直指著Ｂ男罵 You just a piece of shxt<br>原本想就到Ｂ男家休息 但Ａ男不願意放我走<br>還和Ｂ男有小衝突<br>Ａ男就在我家鬧了整個晚上<br>然後一直控訴我玩弄他的感情 踐踏他的自尊<br>到了早上五六點 Ａ男趴在我桌上哭<br>安撫後一陣子後才搭電車回家 結束鬧劇<br><br>不好意思打了一長串<br>想請問大家的意見 我這樣有算玩弄Ａ男的感情嗎<br>我們沒有交往 但他卻一直指控我不顧他的心情很快和別的男生走近<br>然後指控Ｂ男和我調情不顧朋友道義<br><br>先謝謝大家的意見<br><br>--<br>", "", ""
"Boy-Girl#M.1551605449.A.2C8#00001", "xpandxp", "4", "03/03 17:34", "0"
"Boy-Girl#M.1551605449.A.2C8#00002", "anlick", "他情緒管理有問題 別太把他話放心上  不算玩弄", "03/03 17:37", "0"
"Boy-Girl#M.1551605449.A.2C8#00003", "osmanthusjo", "這沒什麼好問的，根本沒交往，他敢進來壓你你就該報警了，學校你也要準備了", "03/03 17:39", "1"
"Boy-Girl#M.1551605449.A.2C8#00004", "NSRC", "妳，不該從沒興趣的人　得到好處，然後又拒絕某些事　用來，填平　妳心中的罪惡感", "03/03 17:41", "0"
"Boy-Girl#M.1551605449.A.2C8#00005", "osmanthusjo", "以後沒交往，不要跟人家單獨過夜", "03/03 17:42", "0"
"Boy-Girl#M.1551605449.A.2C8#00006", "NSRC", "還有，不要刪文", "03/03 17:43", "0"
"Boy-Girl#M.1551605449.A.2C8#00007", "Ajisai", "不能理解和A旅行過夜是哪招 還有B抓著你的手寫字又是哪招?如果這會讓你真的生氣 B是不敢的 就你不會生氣啊所以B敢", "03/03 17:44", "1"
"Boy-Girl#M.1551605449.A.2C8#00008", "s6h0a5n1e2", "養工具人技術高超 小的佩服，但衝進來壓到床上真的不優 工具要有工具的樣子", "03/03 17:45", "0"
"Boy-Girl#M.1551605449.A.2C8#00009", "catycaty520", "單方說詞很難講啦 誰知道你有沒有在過程中一直釋放，讓他以為有機會的暗示 就算妳認定沒有 對方可能就是人生三大錯覺認定有 妳也是有理說不清", "03/03 17:48", "0"
