"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1560512484.A.E38#00000", "jack730", "如題<br><br>公司來了一個“已婚”的女生<br><br>跟她相處半年多（因為業務需要）<br><br>逐漸被吸引，<br><br>但自己明知對方的身份<br><br>卻不能忘掉，<br><br>之前在認識女生的過程中，<br><br>只要有男友的，自己都會<br><br>默默等待時間沖掉感覺<br>（完全不行動）。<br><br>但這次，似乎比較久，<br><br>而且絲毫沒有變淡的跡象。<br><br>真的很痛苦，<br><br>上班時看到她跟其他男同事<br><br>說話，竟然會吃醋，<br><br>睡覺時，有時都會夢到她。<br><br>現在，我真的好想直接寫一封<br><br>信，跟她說對她的感覺。<br><br>雖然知道不會有任何的變化，<br><br>但至少可以把自己想要說的說出來<br><br>我想應該不會那麼痛苦吧。<br><br>但以後可能會很尷尬……<br><br>我該怎麼辦~<br><br>--<br>", "", ""
"Boy-Girl#M.1560512484.A.E38#00001", "bill1992", "小劇場好多", "06/14 19:43", "0"
"Boy-Girl#M.1560512484.A.E38#00002", "yummy0408", "寫信的話會有變化吧？只要她拿信給主管看、給她老公看，肯定會有些「變化」。", "06/14 19:43", "0"
"Boy-Girl#M.1560512484.A.E38#00003", "winken2004", "尻個槍冷靜一下 這麼會暈", "06/14 19:43", "0"
"Boy-Girl#M.1560512484.A.E38#00004", "Minkoff", "跟同事講話都會吃醋就想想她老公啊......", "06/14 19:44", "0"
"Boy-Girl#M.1560512484.A.E38#00005", "celephone", "人家跟你來電嗎? 莫名吃醋好可怕", "06/14 19:45", "0"
"Boy-Girl#M.1560512484.A.E38#00006", "GarfieldCxT", "人妻刺激  綠色推文送給對方老公，樓下幫支援迪奇圖", "06/14 19:47", "0"
"Boy-Girl#M.1560512484.A.E38#00007", "ForgerEames", "2樓的建議其實是不錯的解法，公司把你調職（甚至解，僱）的話，可能你就會醒了。", "06/14 19:48", "0"
"Boy-Girl#M.1560512484.A.E38#00008", "louise609", "好像我同事，但那女的沒已婚，是男的已婚", "06/14 19:49", "0"
"Boy-Girl#M.1560512484.A.E38#00009", "chuyy", "不要，再鬧了，人家對你，應該沒意思", "06/14 19:54", "0"
"Boy-Girl#M.1560512484.A.E38#00010", "superian318", "樓上她老公", "06/14 19:57", "0"
"Boy-Girl#M.1560512484.A.E38#00011", "yeu0319", "https//i.imgur.com/E52ck9g.jpg", "06/14 19:58", "0"
"Boy-Girl#M.1560512484.A.E38#00012", "shiaobai", "對方已婚你就自己閃遠吧", "06/14 20:00", "0"
