"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1560868095.A.1E0#00000", "grower", "可能是興趣的關係，跟公司一位男同事慢慢開始熱絡起來<br>因為我們喜歡的東西相同<br>沒加班的時候就會一起去健身、打籃球  回家有空就一起組隊玩手遊<br>不知不覺就開始稱兄道地，變成哥們了<br><br>同事年紀雖然只大我1歲，但他已婚，擁有一個漂亮的模特兒老婆，現在懷孕準備要生了<br>他個性很大方，常辦聚會邀請大家一起看球賽，所以我也認識他的老婆<br>偶爾跟他們一起出去玩，他們在IG放閃的同時，我也常出現在他們的照片中<br><br>就在上個月我跟男友吵得很兇，開始會跟男同事訴苦...<br>那時變得越來越依賴他...慢慢變成我的心靈支柱<br><br>有一次下班後一起去健身，回程下大雨他就提議送我回家，路上我和他抱怨最近工作上的<br>困難心情難免沈重，到了家門口又停車聊了一會，才覺得輕鬆許多。<br><br>就在我要離開的時候他把嘴湊了上來，我起初是驚訝，但也沒有反抗，我才發現我似乎是<br>愛上他了，後來我們就一起回我家了…………<br><br>我知道這段關係是不正常的....從來沒想過要傷害他的家庭...<br>我知道，我才是應該離開的第三者...但看到他跟老婆在IG放閃...<br>心理免不了吃醋嫉妒，甚至總是一個人難受的哭<br>我不知道該怎麼辦ˊˋ...<br><br>是不是要離職才能擺脫迷失的自己，只求不要害到他的工作跟家庭就好<br>大家可以給我一點建議嗎?<br><br>--<br>", "", ""
"Boy-Girl#M.1560868095.A.1E0#00001", "jidou", "你的問題很大，而且你管不住自己，離職也是一個方法", "06/18 22:30", "0"
"Boy-Girl#M.1560868095.A.1E0#00002", "mrlunase", "離開他，如果沒辦法控制自己的感情就是離職，不然到最後你會更放不下，傷得更重", "06/18 22:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00003", "pandaswepp", "這根本阿翔謝忻吧", "06/18 22:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00004", "missmiso", "最好抽身離開 小心被告", "06/18 22:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00005", "sallyhelp", "這不是阿翔跟謝忻的劇情嗎…", "06/18 22:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00006", "suiminkusuri", "左轉介入別人感情還自以為受害者板", "06/18 22:32", "0"
"Boy-Girl#M.1560868095.A.1E0#00007", "pennyea618", "天啊快停止 你還有良知", "06/18 22:34", "0"
"Boy-Girl#M.1560868095.A.1E0#00008", "angelicwing", "如果版友跟妳說離開，然後徹底斷開連結，妳就能下定決心去做嗎？妳也知道自己是第三者，該怎麼做其實心裡有底了。然後，請好好想想你的男友，如果走不下去請分手回歸單身；如果還想跟男友走下去，請好好處理問題。", "06/18 22:36", "1"
"Boy-Girl#M.1560868095.A.1E0#00009", "jidou", "我完全忘記男友了|||你到底有沒有處理男友?", "06/18 22:38", "0"
"Boy-Girl#M.1560868095.A.1E0#00010", "businesschou", "在老婆懷孕時偷吃的男生跟明知道對方有老婆甚至待，產中還黏上去的女生一樣噁心", "06/18 22:46", "0"
"Boy-Girl#M.1560868095.A.1E0#00011", "dragonashco", "哥們個屁，小三就是噁心，少在那邊裝模作樣", "06/18 22:47", "0"
"Boy-Girl#M.1560868095.A.1E0#00012", "Ravenl", "跟對方講清楚 真的喜歡就不要錯過了 人生只有一次", "06/18 22:51", "0"
"Boy-Girl#M.1560868095.A.1E0#00013", "angelicwing", "對了，真心給妳的建議就是：「如果妳選擇吃屎，那就去吃吧，沒人逼妳吃屎，不要怪別人」。", "06/18 22:53", "1"
"Boy-Girl#M.1560868095.A.1E0#00014", "Derrick906", "你真棒讚讚讚", "06/18 23:02", "0"
"Boy-Girl#M.1560868095.A.1E0#00015", "osmanthusjo", "反串什麼，他不是已經開記者會跟你切割了嗎", "06/18 23:05", "0"
"Boy-Girl#M.1560868095.A.1E0#00016", "boyzone66", "你早就知道自己的情慾不能控制了 不是嗎 光是兩人單獨出去的開始 你就可以拒絕了", "06/18 23:07", "1"
"Boy-Girl#M.1560868095.A.1E0#00017", "nvidiachen", "這就是謝忻阿翔吧", "06/18 23:09", "0"
"Boy-Girl#M.1560868095.A.1E0#00018", "jyekid", "你是不是謝昕?    想讓鄉民查IP 對照她的本尊", "06/18 23:12", "0"
"Boy-Girl#M.1560868095.A.1E0#00019", "zxvc", "建議離職吧。原po內心不堅定，離職可能是唯一辦法。", "06/18 23:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00020", "costh15", "滿滿的友宜", "06/18 23:27", "0"
"Boy-Girl#M.1560868095.A.1E0#00021", "qlwkejrhtg", "虧妳還認識他老婆，這種事你也幹得出來", "06/18 23:57", "0"
"Boy-Girl#M.1560868095.A.1E0#00022", "a0652qj", "小三你好", "06/19 00:05", "0"
"Boy-Girl#M.1560868095.A.1E0#00023", "shinowang", "只求不要害到他的工作和家庭？那妳害他就好阿", "06/19 00:08", "0"
"Boy-Girl#M.1560868095.A.1E0#00024", "devilmanamon", "趕快救妳的通告吧謝忻", "06/19 00:15", "0"
"Boy-Girl#M.1560868095.A.1E0#00025", "winken2004", "反串?", "06/19 00:15", "0"
"Boy-Girl#M.1560868095.A.1E0#00026", "hahapova", "哥們就是最噁心的東西", "06/19 00:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00027", "cancboy", "垃圾", "06/19 00:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00028", "zoru6", "這在演阿翔謝忻的故事嗎", "06/19 00:20", "0"
"Boy-Girl#M.1560868095.A.1E0#00029", "wtw1106", "噁心", "06/19 00:22", "0"
"Boy-Girl#M.1560868095.A.1E0#00030", "heureuxsou", "哥們真的噁心", "06/19 00:22", "0"
"Boy-Girl#M.1560868095.A.1E0#00031", "givemeakiss", "大辣辣", "06/19 00:26", "0"
"Boy-Girl#M.1560868095.A.1E0#00032", "BenBrode", "我不會罵你噁心虛偽的拉嘰，#越想越不對勁 怕", "06/19 00:29", "0"
"Boy-Girl#M.1560868095.A.1E0#00033", "shna", "雙方都很有問題～他不避嫌，然後妳也一樣", "06/19 00:30", "0"
"Boy-Girl#M.1560868095.A.1E0#00034", "joe2233344", "給你三小建議？給我斷乾淨", "06/19 00:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00035", "davidchiang", "你已經暗自拿他跟你男友比 一切都是自找的", "06/19 00:34", "0"
"Boy-Girl#M.1560868095.A.1E0#00036", "efbnm753", "謝忻 為什麼不選王少偉？", "06/19 00:35", "0"
"Boy-Girl#M.1560868095.A.1E0#00037", "f117202", "滾", "06/19 00:38", "0"
"Boy-Girl#M.1560868095.A.1E0#00038", "fatfree", "不懂避嫌就是噁心", "06/19 00:39", "0"
"Boy-Girl#M.1560868095.A.1E0#00039", "SaoirseH", "ㄜ，你問題也是滿大 在內心戲什麼", "06/19 00:39", "0"
"Boy-Girl#M.1560868095.A.1E0#00040", "Corobot", "你被當空氣", "06/19 00:40", "0"
"Boy-Girl#M.1560868095.A.1E0#00041", "ddlink23", "難過的時候，翻翻刑事通姦跟民事侵害配偶權的法條，不夠的話，再翻翻相關判決有沒有覺得問題很簡單啊^_^", "06/19 00:41", "0"
"Boy-Girl#M.1560868095.A.1E0#00042", "w05241030", "先備份，這樣被告的時候比較方便", "06/19 00:42", "0"
"Boy-Girl#M.1560868095.A.1E0#00043", "sinben", "必取，“我知道這段關係是不正常的....從來沒想過要傷害他的家庭...” 這種話根本是說給自己聽的 噁心", "06/19 00:43", "0"
"Boy-Girl#M.1560868095.A.1E0#00044", "ccayong", "不只是第三者 你自己也出軌啊 兩個人都很不負責任", "06/19 00:43", "0"
"Boy-Girl#M.1560868095.A.1E0#00045", "tellthe", "我的天阿趁老婆懷孕的時候跟女同事上床，好噁爛的男人，他只是現在老婆不行你又一臉很好下手不吃可惜而已，快停止不要裝傻了", "06/19 00:48", "1"
"Boy-Girl#M.1560868095.A.1E0#00046", "tckuo", "現在不走,等出事元配告妳+男方切割,屆時妳還是得走", "06/19 00:48", "0"
"Boy-Girl#M.1560868095.A.1E0#00047", "Aukillexz", "時空切割刀", "06/19 00:50", "0"
"Boy-Girl#M.1560868095.A.1E0#00048", "KMTRIP", "你憑什麼吃醋？", "06/19 00:57", "0"
"Boy-Girl#M.1560868095.A.1E0#00049", "sukai1010", "欠幹的婊子都這種的", "06/19 01:02", "0"
"Boy-Girl#M.1560868095.A.1E0#00050", "jjunontw", "https//i.imgur.com/Rkz8GwN.jpg", "06/19 01:03", "0"
"Boy-Girl#M.1560868095.A.1E0#00051", "YHEY10", "嘔嘔嘔嘔嘔", "06/19 01:06", "0"
"Boy-Girl#M.1560868095.A.1E0#00052", "favorite709", "禍源甲？", "06/19 01:06", "0"
"Boy-Girl#M.1560868095.A.1E0#00053", "pp096127", "你自己就知道誰有問題了  是在問心酸的？", "06/19 01:10", "0"
"Boy-Girl#M.1560868095.A.1E0#00054", "wassabi", "建議你找記者偷拍把事情鬧大 看能不能小三上位", "06/19 01:19", "0"
"Boy-Girl#M.1560868095.A.1E0#00055", "hunter6126", "不想傷害？怎麼每個人說詞都一樣", "06/19 01:22", "0"
"Boy-Girl#M.1560868095.A.1E0#00056", "daniel50506", "超噁 你有男友+你認識他老婆 我沒看過更噁的，我認真的 我道德標準有夠低了 如果你沒看過他老婆就算了如果你單身就算了 你這種就是全宇宙最噁", "06/19 01:32", "0"
"Boy-Girl#M.1560868095.A.1E0#00057", "Sauter", "所以男友咧", "06/19 01:53", "0"
"Boy-Girl#M.1560868095.A.1E0#00058", "kaeun421", "你在反串喔", "06/19 01:54", "0"
"Boy-Girl#M.1560868095.A.1E0#00059", "s37166117", "滾", "06/19 02:14", "0"
"Boy-Girl#M.1560868095.A.1E0#00060", "leonard6666", "不是反串的話 就真的無藥可救了", "06/19 03:24", "0"
"Boy-Girl#M.1560868095.A.1E0#00061", "liang94313", "噓反串", "06/19 03:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00062", "dirtyroot", "色呦你XD", "06/19 04:25", "0"
"Boy-Girl#M.1560868095.A.1E0#00063", "kissung", "念阿彌陀佛求生極樂世界", "06/19 04:40", "0"
"Boy-Girl#M.1560868095.A.1E0#00064", "aababy", "你讓他的世界下雨", "06/19 05:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00065", "KSWang", "哥們？ 男女沒有這種感情 騙自己 只是沒機會發生而已", "06/19 06:27", "0"
"Boy-Girl#M.1560868095.A.1E0#00066", "ann1206", "真糟...", "06/19 06:28", "0"
"Boy-Girl#M.1560868095.A.1E0#00067", "hit0123", "時事創作文", "06/19 06:36", "0"
"Boy-Girl#M.1560868095.A.1E0#00068", "anchorman13", "小三是要給什麼建議，賤男女都管不住自己的精子跟卵子了，當然繼續玩好玩滿被告通姦，賠錢了事。", "06/19 07:00", "1"
"Boy-Girl#M.1560868095.A.1E0#00069", "anchorman13", "等以後妳結婚懷孕，妳老公繼續給你戴綠帽，不斷循環下去。", "06/19 07:02", "1"
"Boy-Girl#M.1560868095.A.1E0#00070", "dantezero", "Ptt上就是有這種吃飽沒事幹的人", "06/19 07:24", "0"
"Boy-Girl#M.1560868095.A.1E0#00071", "greenbird542", "反串吧 不是的話我只想說 你超噁的", "06/19 07:27", "0"
"Boy-Girl#M.1560868095.A.1E0#00072", "Mochi223", "無言", "06/19 07:39", "0"
"Boy-Girl#M.1560868095.A.1E0#00073", "ZathanaZ", "下地獄吧", "06/19 08:12", "0"
"Boy-Girl#M.1560868095.A.1E0#00074", "iamwind7954", "妳姓謝嗎？", "06/19 08:35", "0"
"Boy-Girl#M.1560868095.A.1E0#00075", "momo1119", "笑死", "06/19 08:39", "0"
"Boy-Girl#M.1560868095.A.1E0#00076", "RlexCY37", "男 + 男？ 時事梗？ 標題就有答案", "06/19 08:51", "0"
"Boy-Girl#M.1560868095.A.1E0#00077", "q076262018", "？", "06/19 09:01", "0"
"Boy-Girl#M.1560868095.A.1E0#00078", "ganjuro", "你484姓謝?", "06/19 09:02", "0"
"Boy-Girl#M.1560868095.A.1E0#00079", "kileess", "謝有男友？", "06/19 09:05", "0"
"Boy-Girl#M.1560868095.A.1E0#00080", "toty1101", "夭壽喔～～別被顏值騙了", "06/19 09:09", "0"
"Boy-Girl#M.1560868095.A.1E0#00081", "saiya", "ID錯誤", "06/19 09:13", "0"
"Boy-Girl#M.1560868095.A.1E0#00082", "alice711004", "請問你是不是姓謝？", "06/19 09:20", "0"
"Boy-Girl#M.1560868095.A.1E0#00083", "Pflanzen", "狐狸精ㄏㄏ", "06/19 09:29", "0"
"Boy-Girl#M.1560868095.A.1E0#00084", "Lawlight", "Ptt dcard化了", "06/19 09:35", "0"
"Boy-Girl#M.1560868095.A.1E0#00085", "a884874", "摸著良心想想妳的男友", "06/19 09:47", "0"
"Boy-Girl#M.1560868095.A.1E0#00086", "Joyeeee", "廢", "06/19 09:52", "0"
"Boy-Girl#M.1560868095.A.1E0#00087", "penchiman", "Boring", "06/19 09:53", "0"
"Boy-Girl#M.1560868095.A.1E0#00088", "Matix1211", "請記者幫你拍張跟阿翔謝忻ㄧ樣唯美的定情照！", "06/19 09:55", "0"
"Boy-Girl#M.1560868095.A.1E0#00089", "bomeichu", "一開始就不該求異性同事安慰，就不會有日久生情的問題，一開始就不夠避嫌", "06/19 10:13", "1"
"Boy-Girl#M.1560868095.A.1E0#00090", "momoko5116", "小三有病啊 明知道錯還繼續 白癡", "06/19 10:55", "0"
"Boy-Girl#M.1560868095.A.1E0#00091", "sailo", "你是謝忻？", "06/19 12:20", "0"
"Boy-Girl#M.1560868095.A.1E0#00092", "Elrinna46", "有第三者版謝謝", "06/19 12:20", "0"
"Boy-Girl#M.1560868095.A.1E0#00093", "zi62007", "妳姓謝?", "06/19 12:26", "0"
"Boy-Girl#M.1560868095.A.1E0#00094", "gtsandevo", "沒辦法啊 你就愛給人抽幹 一定是你男友對你不夠好唷", "06/19 12:46", "0"
"Boy-Girl#M.1560868095.A.1E0#00095", "gtsandevo", "記得曝光時再哭哭回去求原諒唷", "06/19 12:48", "0"
"Boy-Girl#M.1560868095.A.1E0#00096", "forbiddens", "只打炮做愛不行嗎", "06/19 13:00", "0"
"Boy-Girl#M.1560868095.A.1E0#00097", "chun5566", "不要瞎掰ㄌ", "06/19 16:00", "0"
"Boy-Girl#M.1560868095.A.1E0#00098", "squirel0206", "小三沒有未來，你說呢", "06/19 16:17", "0"
"Boy-Girl#M.1560868095.A.1E0#00099", "revorea", "....", "06/19 16:48", "0"
"Boy-Girl#M.1560868095.A.1E0#00100", "debbieeelai", "反串？", "06/19 17:00", "0"
"Boy-Girl#M.1560868095.A.1E0#00101", "say29217074", "反串給推", "06/19 17:09", "0"
"Boy-Girl#M.1560868095.A.1E0#00102", "realnofish", "建議你少看點娛樂新聞，或是去第三者板取暖，噓當X子還要立牌坊", "06/19 18:04", "1"
"Boy-Girl#M.1560868095.A.1E0#00103", "msconcerto", "謝小姐4你？", "06/19 20:13", "0"
"Boy-Girl#M.1560868095.A.1E0#00104", "carlos159357", "@@”，你在影射？", "06/19 20:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00105", "sck921", "好玩嗎？", "06/19 22:20", "0"
"Boy-Girl#M.1560868095.A.1E0#00106", "likat", "不要做缺德事吧", "06/19 23:36", "0"
"Boy-Girl#M.1560868095.A.1E0#00107", "qwejoezxc33", "滾 母豬", "06/20 01:47", "0"
"Boy-Girl#M.1560868095.A.1E0#00108", "l890709", "你的同事叫阿翔？", "06/20 16:48", "0"
"Boy-Girl#M.1560868095.A.1E0#00109", "zz8826319", "愛情沒有誰對誰錯，不惜粉身碎骨的去追求妳要的吧。", "06/20 17:41", "0"
"Boy-Girl#M.1560868095.A.1E0#00110", "Rybban", "他開X3嗎？沒有快分手", "06/20 20:37", "0"
"Boy-Girl#M.1560868095.A.1E0#00111", "DATION", "妳沒救了 掰掰", "06/21 00:51", "0"
"Boy-Girl#M.1560868095.A.1E0#00112", "yoneko", "妳是不是姓謝", "06/24 22:31", "0"
"Boy-Girl#M.1560868095.A.1E0#00113", "zzz71084482", "不小心滑進去", "06/24 22:37", "0"
"Boy-Girl#M.1560868095.A.1E0#00114", "heyhair87", "謝忻4ni?", "06/24 23:17", "0"
"Boy-Girl#M.1560868095.A.1E0#00115", "babylove5566", "希望這件事情有天原封不動的回到已婚的妳身上唷 啾咪", "06/24 23:44", "1"
"Boy-Girl#M.1560868095.A.1E0#00116", "yui0802", "離職，不管男生妳也管不住自己，484姓謝？", "06/24 23:45", "0"
"Boy-Girl#M.1560868095.A.1E0#00117", "iverson3781", "噁", "06/24 23:48", "0"
"Boy-Girl#M.1560868095.A.1E0#00118", "yaieki", "妳姓謝喔?反串的吧", "06/24 23:50", "0"
"Boy-Girl#M.1560868095.A.1E0#00119", "kawhi123", "最一開始就要避嫌就不會有後續！這就是鐵錚錚的異性沒有純友誼的例子", "06/24 23:53", "1"
"Boy-Girl#M.1560868095.A.1E0#00120", "Ensidia", "姓謝吧", "06/25 00:09", "0"
"Boy-Girl#M.1560868095.A.1E0#00121", "Acce0912", "謝忻", "06/25 00:15", "0"
"Boy-Girl#M.1560868095.A.1E0#00122", "roger2232", "嘔嘔嘔嘔嘔", "06/25 00:24", "0"
"Boy-Girl#M.1560868095.A.1E0#00123", "pingupink", "噁噁噁", "06/25 00:26", "0"
"Boy-Girl#M.1560868095.A.1E0#00124", "redrick8899", "不忍噓 覺得妳男朋友和他老婆很可憐", "06/25 00:36", "0"
"Boy-Girl#M.1560868095.A.1E0#00125", "wawa13579", "嘔嘔嘔嘔嘔 會上床的哥們嗎", "06/25 00:36", "0"
"Boy-Girl#M.1560868095.A.1E0#00126", "AzakaH", "好兄弟，好棒棒^^", "06/25 00:43", "0"
"Boy-Girl#M.1560868095.A.1E0#00127", "color3258", "他一定還有別的人啦 嘻嘻 而且他做的事是其實性騷擾耶說不定他還有什麼官司耶 嘻嘻", "06/25 00:49", "1"
"Boy-Girl#M.1560868095.A.1E0#00128", "color3258", "這種亂親人碰人的 到底哪來的自信啊 不怕被告喔", "06/25 00:58", "0"
"Boy-Girl#M.1560868095.A.1E0#00129", "color3258", "你不覺得這種愛亂碰人的很怪嗎？到底哪來的想法覺得自己可以亂碰人 而且他還有另一半耶對這種容易跑法院的妳冷靜點吧 還有其實妳也是容易吃官司的人 知道嗎", "06/25 01:01", "1"
"Boy-Girl#M.1560868095.A.1E0#00130", "ass812882", "避嫌很難？少在那邊演什麼小劇場覺得自己委屈", "06/25 01:02", "0"
"Boy-Girl#M.1560868095.A.1E0#00131", "littlesthing", "男的大概只是老婆懷孕總會有段時間不可以碰才找上你這嘴邊肉 醒醒吧", "06/25 01:06", "1"
"Boy-Girl#M.1560868095.A.1E0#00132", "p23j8a4b9z", "公豬母豬交配嘔嘔嘔", "06/25 01:08", "0"
"Boy-Girl#M.1560868095.A.1E0#00133", "chumeeyee", "吐爆", "06/25 01:18", "0"
"Boy-Girl#M.1560868095.A.1E0#00134", "homebox0923", "謝忻4ni?", "06/25 01:30", "0"
"Boy-Girl#M.1560868095.A.1E0#00135", "chrisrs0215", "謝小姐直接出來接通告了吧", "06/25 01:44", "0"
"Boy-Girl#M.1560868095.A.1E0#00136", "ianna", "我不相信妳從來沒想過耶……先前的互動早就超過同事範圍了，現在喊冤到底在冤什麼，你真的一點也不冤枉呀。", "06/25 01:45", "1"
"Boy-Girl#M.1560868095.A.1E0#00137", "edward4904", "他老婆是不是叫Grace？", "06/25 02:12", "0"
"Boy-Girl#M.1560868095.A.1E0#00138", "nondelivery", ""吃醋嫉妒"?? 妳什麼資格啊??", "06/25 02:15", "0"
"Boy-Girl#M.1560868095.A.1E0#00139", "oorflumpool", "嘔嘔嘔嘔", "06/25 04:53", "0"
"Boy-Girl#M.1560868095.A.1E0#00140", "ostracize", "公狗你也喜歡?!", "06/25 04:59", "0"
"Boy-Girl#M.1560868095.A.1E0#00141", "ostracize", "https//www.youtube.com/watch?v=PlNIIZx1P2w", "06/25 05:09", "0"
"Boy-Girl#M.1560868095.A.1E0#00142", "jacky6374", "令人作嘔", "06/25 05:37", "0"
"Boy-Girl#M.1560868095.A.1E0#00143", "achieve", "反串？", "06/25 05:41", "0"
"Boy-Girl#M.1560868095.A.1E0#00144", "kllara", "妳愛他，他卻不愛你，沒看阿翔出事時切割的多快多乾脆", "06/25 06:29", "0"
"Boy-Girl#M.1560868095.A.1E0#00145", "sasa520", "又一個情非得已愛上已婚男的，不要把自己當悲劇女主角，先前就知道人家有老婆還小孩要生了，噁", "06/25 06:36", "1"
"Boy-Girl#M.1560868095.A.1E0#00146", "unreal", "玩玩而已 講難聽點出來賣的都要收錢 你呢，貪圖這個 之後分的時候你會更慘 連工作一起不保", "06/25 07:58", "0"
