"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1560951698.A.DFD#00000", "sexKinscy", "前幾天用揪ＸＡＰＰ約了一個女生去一個法國餐廳吃飯，長得乾乾淨淨，很好相處，不是說特別漂亮，但是越看越耐看那種。<br><br>入座後，我就看到我正對面坐了一個看起來就是男生都會覺得正的女生<br>(雖然已經在約會了還是會喵到正妹，真是男性本能)<br>大旁分長髮，又高又瘦 腿又長，男伴長也得很不錯，心裡正想著真是人生勝利組時，就看到女生叫男伴幫他拍照，連拍了三次， 可能是照得不好吧，女生就把手機給搶了過來，開始破口大罵。<br><br>長的漂亮有氣質怎麼講話這麼沒水準，那男生的祖宗十八代都被她罵一輪，外加三字經，越講越大聲，其實桌距很遠我還是聽得有夠清楚， 一晚上大概把我一年聽到的髒話扣打都聽完了。<br><br>三字經女越罵越大聲，法籍侍酒師還打算用法式浪漫化解這尷尬，偷偷從桌邊遞了一枝玫瑰給男生，但三字經女依然超級不爽。<br><br>好歹也是家米其林餐廳， 吃個飯被打擾成這樣實在不舒服，以前我一定就會上前去請他們有點公德心， 但今天是我跟這女孩第一次吃飯，怕嚇著她就忍了下來...<br><br>殊不知，和我吃飯的那個女生緩緩站了起來，我以為她要去洗手間 ，結果她竟然走去那桌， 笑著不知道說了什麼就走回來，然後那三字經女就氣沖沖地走了。<br><br>我問她說了什麼？ 她只輕輕笑著說，她請對方自重。<br>我只能說她太帥了．．．曾經我也很喜歡那種外型的女生， 但後來發現大多數都難伺候(我遇到的都是，但我相信還是有好的)<br>工作已經好累，我實在不想給自己再找另一個工作，讓自己下班放假也好累，我現在真的覺得，有個個性好的女友才真的值得羨慕。<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Boy-Girl#M.1560951698.A.DFD#00001", "fatetwister", "來 噓文刷起來，幻想文葉配不用錢的", "06/19 21:47", "0"
"Boy-Girl#M.1560951698.A.DFD#00002", "leslieFann", "零分", "06/19 21:51", "0"
"Boy-Girl#M.1560951698.A.DFD#00003", "wei071188", "噓排版", "06/19 21:53", "0"
"Boy-Girl#M.1560951698.A.DFD#00004", "chieshing", "如你所願", "06/19 21:56", "0"
"Boy-Girl#M.1560951698.A.DFD#00005", "Freeven", "業配技巧有夠爛", "06/19 21:56", "0"
"Boy-Girl#M.1560951698.A.DFD#00006", "serenayo", "有夠假的劇情", "06/19 22:00", "0"
"Boy-Girl#M.1560951698.A.DFD#00007", "fallforyou11", "...", "06/19 22:08", "0"
"Boy-Girl#M.1560951698.A.DFD#00008", "cashmere", "這腳本不行請重寫謝謝", "06/19 22:09", "0"
"Boy-Girl#M.1560951698.A.DFD#00009", "meloxxl", "這蝦餃", "06/19 22:10", "0"
"Boy-Girl#M.1560951698.A.DFD#00010", "RachelMcAdam", "你先告訴我台北哪一間法式米其林有法籍品酒師", "06/19 22:11", "0"
"Boy-Girl#M.1560951698.A.DFD#00011", "kight91062", "請自重哪有什麼殺傷力", "06/19 22:14", "0"
"Boy-Girl#M.1560951698.A.DFD#00012", "shallmin", "Bye", "06/19 22:17", "0"
"Boy-Girl#M.1560951698.A.DFD#00013", "afk3113", "文筆太過浮誇做作", "06/19 22:27", "0"
"Boy-Girl#M.1560951698.A.DFD#00014", "soooooooo", "滾 這家一直爛業配", "06/19 22:42", "0"
"Boy-Girl#M.1560951698.A.DFD#00015", "rz759", "第一句就ya一波", "06/19 22:57", "0"
"Boy-Girl#M.1560951698.A.DFD#00016", "realnofish", "好可悲，業配還只有這種水準", "06/19 23:01", "0"
"Boy-Girl#M.1560951698.A.DFD#00017", "dawn5566", "請自重", "06/19 23:02", "0"
"Boy-Girl#M.1560951698.A.DFD#00018", "kevinmade", "你的故事很浪漫", "06/19 23:12", "0"
"Boy-Girl#M.1560951698.A.DFD#00019", "gavin1903", "不夜配很難嗎？", "06/19 23:13", "0"
"Boy-Girl#M.1560951698.A.DFD#00020", "snoopy5151", "丁", "06/19 23:14", "0"
"Boy-Girl#M.1560951698.A.DFD#00021", "rondyfox", "這種場合講請自重絕對會被髒話回擊！", "06/19 23:16", "0"
"Boy-Girl#M.1560951698.A.DFD#00022", "grass30630", "這文是只有花兩分鐘構思的嗎", "06/19 23:21", "0"
"Boy-Girl#M.1560951698.A.DFD#00023", "ADEMAIN", "建議你換工作", "06/19 23:23", "0"
"Boy-Girl#M.1560951698.A.DFD#00024", "fox128309", "噓到你不見", "06/19 23:38", "0"
"Boy-Girl#M.1560951698.A.DFD#00025", "kkk690713", "陳小姐請自重", "06/19 23:44", "0"
"Boy-Girl#M.1560951698.A.DFD#00026", "paulshain04", "葉配爛", "06/19 23:47", "0"
"Boy-Girl#M.1560951698.A.DFD#00027", "paulfrankpk", "故事編的很爛", "06/19 23:59", "0"
"Boy-Girl#M.1560951698.A.DFD#00028", "r83you", "業配也想爆文？超爛的技巧啦", "06/20 00:00", "0"
"Boy-Girl#M.1560951698.A.DFD#00029", "johnny30489", "請自重。     工衫小槓", "06/20 00:02", "0"
"Boy-Girl#M.1560951698.A.DFD#00030", "sukai1010", "菜到爆的業配", "06/20 00:05", "0"
"Boy-Girl#M.1560951698.A.DFD#00031", "fz6s", "哪一部", "06/20 00:06", "0"
"Boy-Girl#M.1560951698.A.DFD#00032", "beggar104", "幻想文？", "06/20 00:10", "0"
"Boy-Girl#M.1560951698.A.DFD#00033", "weibrother", "馬上下載", "06/20 00:13", "0"
"Boy-Girl#M.1560951698.A.DFD#00034", "alexmusic", "浪費我時間膩", "06/20 00:14", "0"
"Boy-Girl#M.1560951698.A.DFD#00035", "FLCH", "睡前看這個", "06/20 00:19", "0"
"Boy-Girl#M.1560951698.A.DFD#00036", "q076262018", "？", "06/20 00:30", "0"
"Boy-Girl#M.1560951698.A.DFD#00037", "Cottonz", "劇情浮誇", "06/20 00:47", "0"
"Boy-Girl#M.1560951698.A.DFD#00038", "femlro", "這企劃一定沒去過法式餐廳", "06/20 00:48", "0"
"Boy-Girl#M.1560951698.A.DFD#00039", "Cactusman", "公關公司太爛，扣分", "06/20 00:52", "0"
"Boy-Girl#M.1560951698.A.DFD#00040", "iou861007", "==", "06/20 00:59", "0"
"Boy-Girl#M.1560951698.A.DFD#00041", "miffy83724", "請自重！", "06/20 01:06", "0"
"Boy-Girl#M.1560951698.A.DFD#00042", "oneoneeight", "這文筆真爛！", "06/20 01:10", "0"
"Boy-Girl#M.1560951698.A.DFD#00043", "joe2233344", "業配成這樣真的很可憐", "06/20 01:45", "0"
"Boy-Girl#M.1560951698.A.DFD#00044", "DRnebula", "這是反串黑吧 66666", "06/20 01:47", "0"
"Boy-Girl#M.1560951698.A.DFD#00045", "stetho", "明明正的有教養 普的罵髒話", "06/20 01:58", "0"
"Boy-Girl#M.1560951698.A.DFD#00046", "morevg2427", "閉嘴", "06/20 02:25", "0"
"Boy-Girl#M.1560951698.A.DFD#00047", "haseg", "爛", "06/20 03:10", "0"
"Boy-Girl#M.1560951698.A.DFD#00048", "oosoom", "這故事有夠爛", "06/20 03:25", "0"
"Boy-Girl#M.1560951698.A.DFD#00049", "lylianna", "你也請自重", "06/20 03:51", "0"
"Boy-Girl#M.1560951698.A.DFD#00050", "leolivein", "來", "06/20 04:38", "0"
"Boy-Girl#M.1560951698.A.DFD#00051", "Zumi", "業配技巧超差wwwwww", "06/20 05:15", "0"
"Boy-Girl#M.1560951698.A.DFD#00052", "aiko7575", "你這是不是去什麼阿六論壇抄來的文章再塞上葉佩", "06/20 05:37", "0"
"Boy-Girl#M.1560951698.A.DFD#00053", "zxcv4321", "?", "06/20 06:35", "0"
"Boy-Girl#M.1560951698.A.DFD#00054", "lplplplp", "google一下別家業配好買", "06/20 06:51", "0"
"Boy-Girl#M.1560951698.A.DFD#00055", "dantezero", "帥尼老木", "06/20 07:43", "0"
