"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1561287427.A.303#00000", "RiverE", "我本身非常喜歡這樣的高馬尾<br>https://i.imgur.com/xN6eXUM.jpg<br>或是清爽的短髮<br>https://i.imgur.com/PnuCNrH.jpg<br>但是女友懶得整理頭髮，<br>通常隨手抓個all back低馬尾出門。<br><br>也和她溝通過，<br>all back會讓我想到小時候欺負我的異母姐姐，<br>或是好好打理頭髮的話，<br>她想在街上kiss我才有自信配合，<br>可惜她不為所動。<br><br>這就算了，<br>我看看街上頂著我喜歡髮型的女生，<br>女友就會吃醋。<br><br>實在是無奈，<br>只好打算把彼此的距離拉遠點，<br>免得為這個問題吵起來...<br><br><br>--<br>", "", ""
"Boy-Girl#M.1561287427.A.303#00001", "jezi1878", "閱", "06/23 19:01", "0"
"Boy-Girl#M.1561287427.A.303#00002", "Aquarius126", "你的問題", "06/23 19:02", "0"
"Boy-Girl#M.1561287427.A.303#00003", "angelicwing", "所以你對女友的感情輕微到髮型就能影響了？那你怎麼，不一開始就照愛綁高馬尾或是清爽短髮的交往就好？", "06/23 19:05", "0"
"Boy-Girl#M.1561287427.A.303#00004", "ITASA", "你可以學幫她綁頭髮 看她接不接受", "06/23 19:08", "0"
"Boy-Girl#M.1561287427.A.303#00005", "unicum6", "............", "06/23 19:08", "0"
"Boy-Girl#M.1561287427.A.303#00006", "angelicwing", "你可以跟女友溝通路上看髮型這件事不用到吃醋，但是，管到女友髮型甚至說出「要綁我喜歡的髮型我才有自信跟妳在街上親親抱抱」，你在乎的根本是自己啊，女友只是被你當作襯托。髮型沒照你喜歡的可以扯到其他人身上也很牽強，路上多的是all back低馬尾，那些人在你眼裡都是異母姐姐嗎？", "06/23 19:09", "0"
"Boy-Girl#M.1561287427.A.303#00007", "RiverE", "以前的女友也會要求我改進自己的條件，我以為這是很正常，的事?", "06/23 19:09", "0"
"Boy-Girl#M.1561287427.A.303#00008", "tozai", "一下為了不吃藥 一下為了髮型-_-", "06/23 19:09", "0"
"Boy-Girl#M.1561287427.A.303#00009", "shinowang", "欺負你的異母姐姐... 你是仙杜瑞拉嗎", "06/23 19:10", "0"
"Boy-Girl#M.1561287427.A.303#00010", "amazgo", "能不能放了女友？", "06/23 19:10", "0"
"Boy-Girl#M.1561287427.A.303#00011", "jacklin515", "你的English非常的good", "06/23 19:10", "0"
"Boy-Girl#M.1561287427.A.303#00012", "RiverE", "異母姐姐的故事是上一代的問題我就不說了，但只要看到all，back女生我就會感到不適是真的", "06/23 19:12", "0"
"Boy-Girl#M.1561287427.A.303#00013", "shinowang", "那你就去心理治療阿", "06/23 19:13", "0"
"Boy-Girl#M.1561287427.A.303#00014", "RiverE", "謝謝，我有去心理治療過了，無效", "06/23 19:14", "0"
"Boy-Girl#M.1561287427.A.303#00015", "angelicwing", "你會說那是上一代的事情，但是看到相似髮型會不適，或許需要尋找專業的幫忙破除，否則女友只是綁了她覺得輕鬆的髮型就得被你疏離，實在無辜。", "06/23 19:15", "0"
"Boy-Girl#M.1561287427.A.303#00016", "Sanish", "你們約會都開車嗎?還是大眾交通工具? 不然戴安全帽怎麼綁?", "06/23 19:16", "1"
"Boy-Girl#M.1561287427.A.303#00017", "shinowang", "不同學派治療方式不一樣 再換過嘗試看看", "06/23 19:16", "0"
"Boy-Girl#M.1561287427.A.303#00018", "angelicwing", "你應該先治療好自己，不是強求女友該為你如何，然後，她沒照做就得被冷落，畢竟那是她的頭髮，她有自主權（連父母都沒權利管到髮型不是？）這不是她該被你冷淡的原因。", "06/23 19:19", "0"
"Boy-Girl#M.1561287427.A.303#00019", "winken2004", "幫你", "06/23 19:30", "0"
"Boy-Girl#M.1561287427.A.303#00020", "willy1103", "男人不配合罪該萬死，女人不配合是自主權，拜託，連這點改變都不願意，真的有把你看得重要？反正我是信了", "06/23 19:33", "0"
"Boy-Girl#M.1561287427.A.303#00021", "mj2124", "閱", "06/23 19:34", "0"
"Boy-Girl#M.1561287427.A.303#00022", "willy1103", "我歷任女友只要染怪異顏色我一講都是隔天就染回來了", "06/23 19:37", "0"
"Boy-Girl#M.1561287427.A.303#00023", "angelicwing", "沒有喔，我太太也沒管過我，這是男女同理的，不覺得，女友可以干涉過多，所以我也說了關於「女友看髮型吃醋」這點，女友不用為這個吃醋。", "06/23 19:37", "0"
"Boy-Girl#M.1561287427.A.303#00024", "assess", "你問題很大，知道嗎", "06/23 19:38", "0"
"Boy-Girl#M.1561287427.A.303#00025", "RiverE", "謝謝willy，我真羨慕對我原文持反對意見的大大們，感覺在您們心中另一半應該都沒有缺點", "06/23 19:40", "1"
"Boy-Girl#M.1561287427.A.303#00026", "BrownPAN", "你有把你看到那個髮型就痛苦得不能自己的情況跟她講嗎?她聽到之後反應是?講了 然後她不理你", "06/23 19:40", "0"
"Boy-Girl#M.1561287427.A.303#00027", "willy1103", "慘了，你這樣回要被炮城灰了", "06/23 19:41", "0"
"Boy-Girl#M.1561287427.A.303#00028", "BrownPAN", "那其實她也不是很在乎你的創傷 當然 她也沒有背負你創傷傷的必要 但同樣的你也沒有必要去忍受一個漠視你創傷的人 你去找一個願意包容你這種創傷的人吧那她也不知道你創傷這麼重的事啊你為什麼不敢講呢?怕失去她嗎?", "06/23 19:42", "1"
"Boy-Girl#M.1561287427.A.303#00029", "RiverE", "嗯，我跟她說異母姐姐的事，不過她沒有細問，我也不想硬是跟她說清楚這樣", "06/23 19:42", "1"
"Boy-Girl#M.1561287427.A.303#00030", "s150695a", "不過是髮型就不能在街上kiss? 你根本也沒多愛吧 無聊，放她一馬好嗎 神經病", "06/23 19:44", "0"
"Boy-Girl#M.1561287427.A.303#00031", "willy1103", "這種事男人習慣自己承受，又不是小男生", "06/23 19:44", "0"
"Boy-Girl#M.1561287427.A.303#00032", "RiverE", "也不是不敢講，只是覺得如果心理治療無效的話，少提起可，能會好一點", "06/23 19:45", "0"
"Boy-Girl#M.1561287427.A.303#00033", "BrownPAN", "都已經嚴重到看到類似髮型就不適 還調適咧 他就調適不過來啊你自己單方面因為這方面要跟她冷淡 老實說走不久的", "06/23 19:45", "1"
"Boy-Girl#M.1561287427.A.303#00034", "BrownPAN", "還不如破釜沉舟 認真地跟她談清楚 好好地去面對它 心理治療搞不好才會有效果", "06/23 19:47", "1"
"Boy-Girl#M.1561287427.A.303#00035", "willy1103", "說實在又不是侵入性像隆乳，換髮型而已", "06/23 19:50", "0"
"Boy-Girl#M.1561287427.A.303#00036", "BrownPAN", "...看到你之前的貼文 你本身要處理的問題很多 只能說加，油了 從好好面對自己開始吧", "06/23 19:50", "0"
"Boy-Girl#M.1561287427.A.303#00037", "RiverE", "willy大說到男人自己承受，真的準，哈哈", "06/23 19:51", "0"
"Boy-Girl#M.1561287427.A.303#00038", "mj2124", "連髮型都管有事嗎", "06/23 19:51", "0"
"Boy-Girl#M.1561287427.A.303#00039", "BrownPAN", "看你自己想看的 聽你自己想聽的 那不算面對 是逃避啊", "06/23 19:52", "0"
"Boy-Girl#M.1561287427.A.303#00040", "RiverE", "pan大，那我就賭一把吧，看看她能不能接受我把故事說完，哈我知道，也有心理準備，謝謝！", "06/23 19:54", "0"
"Boy-Girl#M.1561287427.A.303#00041", "willy1103", "加油吧，如果過程她愛聽不聽，你應該明白這代表什麼", "06/23 19:55", "0"
"Boy-Girl#M.1561287427.A.303#00042", "aa474747", "控制慾太強", "06/23 20:12", "0"
"Boy-Girl#M.1561287427.A.303#00043", "zx35880127", "有事嗎？？？？？？？", "06/23 20:13", "0"
"Boy-Girl#M.1561287427.A.303#00044", "pepsi0u74", "你自己綁高馬尾不會嗎", "06/23 20:19", "0"
"Boy-Girl#M.1561287427.A.303#00045", "ryuri", "你女友眼睛是瞎了嗎", "06/23 20:22", "0"
"Boy-Girl#M.1561287427.A.303#00046", "ll1117", "你喜歡的是那兩張臉好嗎？不用五四三一堆", "06/23 20:26", "0"
"Boy-Girl#M.1561287427.A.303#00047", "akpaz", "......", "06/23 20:29", "0"
"Boy-Girl#M.1561287427.A.303#00048", "iamlegend188", "喔", "06/23 20:32", "0"
"Boy-Girl#M.1561287427.A.303#00049", "sandy123433", "三小", "06/23 20:38", "0"
"Boy-Girl#M.1561287427.A.303#00050", "GREATID", "其實是你不夠帥，不然女友會配合的", "06/23 20:41", "0"
"Boy-Girl#M.1561287427.A.303#00051", "jeremiah81", "閱", "06/23 20:44", "0"
"Boy-Girl#M.1561287427.A.303#00052", "asdhse", "髮型價值觀不合，分手", "06/23 20:44", "0"
"Boy-Girl#M.1561287427.A.303#00053", "Totoro0802", "滾辣", "06/23 20:48", "0"
"Boy-Girl#M.1561287427.A.303#00054", "emmacc", "快跟她分手，記得要講真實的分手原因哦，想看你女友上來發文嘻嘻", "06/23 20:53", "1"
"Boy-Girl#M.1561287427.A.303#00055", "NSRC", "我想　性別對調，就變成不體貼、不用心　台男悲歌　ＱＱ～～", "06/23 20:55", "1"
"Boy-Girl#M.1561287427.A.303#00056", "RiverE", "我也是很久沒上這了，懷念以前蘇美還在的時候...XD", "06/23 21:03", "0"
"Boy-Girl#M.1561287427.A.303#00057", "chocoislove", "原來是蘇美粉", "06/23 21:04", "0"
"Boy-Girl#M.1561287427.A.303#00058", "RiverE", "你誤會了，蘇美看到我的文，我覺得他會罵我，但是會有理，有據像那種只留閱，或是滾啦，看了只能搖頭", "06/23 21:05", "0"
"Boy-Girl#M.1561287427.A.303#00059", "SUZIKU", "關你屁事 不配合你想分就分啊", "06/23 21:17", "0"
"Boy-Girl#M.1561287427.A.303#00060", "NTUHandsome", "You講的一口good english", "06/23 21:19", "0"
"Boy-Girl#M.1561287427.A.303#00061", "RiverE", "我是不太懂，怎麼有兩個人講到english的問題？", "06/23 21:21", "0"
"Boy-Girl#M.1561287427.A.303#00062", "tearsforfear", "跟我男友一樣無聊 最近再考慮分手惹 給你參考", "06/23 21:23", "0"
"Boy-Girl#M.1561287427.A.303#00063", "RiverE", "如果english是想諷刺all back低馬尾，那是電視看到的名詞，，還是我改說大嬸味馬尾兩位才看得懂？無聊至極", "06/23 21:26", "0"
"Boy-Girl#M.1561287427.A.303#00064", "rexagi1988", "改進？不好意思請問低馬尾是有多不思進取了嗎？還是你喜歡的就是最好？才是進步？這種廢文連蘇美都懶得鳥啦", "06/23 21:27", "1"
"Boy-Girl#M.1561287427.A.303#00065", "jezi1878", "給你一個 閱  字  是想給你意見都懶  就是自己心理的問，題 不克服怪誰", "06/23 21:28", "0"
"Boy-Girl#M.1561287427.A.303#00066", "RiverE", "令堂的問題我沒什麼興趣", "06/23 21:35", "0"
"Boy-Girl#M.1561287427.A.303#00067", "nba687668", "我以為會為了髮型搞這種事只有國小情侶", "06/23 21:35", "0"
"Boy-Girl#M.1561287427.A.303#00068", "nba687668", "我覺得這算是嚴重控制欲 所以被噓正常 因為你的語氣只，讓大家覺得你幫問題推給別人", "06/23 21:37", "0"
"Boy-Girl#M.1561287427.A.303#00069", "nba687668", "最好笑的事以前誰欺負你對你造成的陰影 你女朋友沒有義務幫你承擔 自己解決或分手兩種選擇好嗎", "06/23 21:39", "1"
"Boy-Girl#M.1561287427.A.303#00070", "RiverE", "李小姐嗎？我覺得您文章閱讀能力需要加強", "06/23 21:41", "0"
