"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1521872982.A.9BB#00000", "forsakesheep", "注意一下：<br><br>#1QjU8h-u (C_Chat) [公告] 最能代表作品的一句話<br><br>活動二持續時間到18：30<br><br>活動一-一句話講完特定作品到14：30為止<br><br>以下更正：<br><br>因原本公告文章不夠明確，改從寬認定<br><br>重複發文、重複作品、標題不符規定、非ACG作品、刪文重發、內文不符者以及其他違規者<br><br>刪文不列入計算，發文前請先看好規則好嗎？<br><br>其餘活動文章鎖定，待板主統計後收入精華區<br><br>活動結束後發文者，水桶3天<br><br>--<br>", "", ""
"C_Chat#M.1521872982.A.9BB#00001", "roywow", "下台啦 幹 破活動", "03/24 14:29", "0"
"C_Chat#M.1521872982.A.9BB#00002", "thundelet", "好 你自桶吧", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00003", "dWoWb", "會不會壓哨發文啊...", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00004", "poor147", "這三小活動?", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00005", "Problem001", "洩漏隱板資訊88888888", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00006", "s2637726", "幹嗎的下台啦", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00007", "uiue", "可以開始發優文了", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00008", "an94mod0", "時間都不會看", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00009", "JoeGibsonJr", "幫houseman1104回 會出事", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00010", "tn1983", "...", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00011", "BillyQQ", "我現在修文來的及嗎", "03/24 14:30", "0"
"C_Chat#M.1521872982.A.9BB#00012", "GOBS", "可以不要推廣廢文嗎 還是對廢物來說這很難?", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00013", "shadowdio", "嘔嘔嘔嘔嘔", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00014", "xsc", "你M那麼快 少說給人機會刪文啊", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00015", "smart0eddie", "WHAT", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00016", "dragon327", "^_^", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00017", "tomji3g4go6", "你的版主生涯也可以停了", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00018", "gfhnrtjpoiuy", "下台啦 你先自桶半年再說", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00019", "murmur38", "帶頭發廢文 拉線又拉歪 笑死", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00020", "stan1231", "=========你只說不警告刪文ㄛ========== 桶屁桶阿", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00021", "zizc06719", "???????????????????????????????????????????????????公告後禁止不符活動規則之文章，若有違規不警告刪文發文前請先看好規則好嗎？", "03/24 14:31", "1"
"C_Chat#M.1521872982.A.9BB#00022", "brightwish", "板規自己訂個三振下台規則吧 不然不聽人話的當了板主很麻煩", "03/24 14:31", "1"
"C_Chat#M.1521872982.A.9BB#00023", "NARUTO", "罷免啦 就你上台後爭議最多，亂水桶還不認錯", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00024", "ZERGSON31", "我覺得蠻優的啊 最好每週一次，下次我一定投你", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00025", "kuninaka", "你為什麼要自作主張發動廢文活動？冤獄不下台，還亂搞活動 洗版洗到人家不能好好看版有夠誇張的 版主推廣廢文洗版 搞啥阿", "03/24 14:31", "0"
"C_Chat#M.1521872982.A.9BB#00026", "gemini9527", "一堆廢文佔版面 看了有夠賭爛，補噓", "03/24 14:32", "0"
"C_Chat#M.1521872982.A.9BB#00027", "wishxuso", "ㄜ…", "03/24 14:32", "0"
"C_Chat#M.1521872982.A.9BB#00028", "SSZZ77", "滾啦", "03/24 14:32", "0"
"C_Chat#M.1521872982.A.9BB#00029", "angdafa", "智障活動", "03/24 14:32", "0"
"C_Chat#M.1521872982.A.9BB#00030", "s2637726", "拉基我看的多 沒看過這麼拉基的", "03/24 14:32", "0"
"C_Chat#M.1521872982.A.9BB#00031", "JoeGibsonJr", "我覺得 這種活動偶爾一次其實可以 不過你可能要先站穩板主位置再來發", "03/24 14:32", "1"
"C_Chat#M.1521872982.A.9BB#00032", "kuninaka", "你以為你是幼稚園園長喔，有人可以簡介一下為啥版主發動這個爛活動的事由嗎", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00033", "NARUTO", "forsakesheep就是你害我無辜被水桶", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00034", "roywow", "西洽史上最爛活動+最爛版主", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00035", "linzero", "重複作品有時候不是發文者的錯吧，不過可以自刪吧", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00036", "rp20031219", "亂源幹", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00037", "badend8769", "原來前版主都還能繼續看隱版哦== 這麼方便", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00038", "st890284", "這到底什麼爛活動", "03/24 14:33", "0"
"C_Chat#M.1521872982.A.9BB#00039", "same60710", "根本XX活動", "03/24 14:34", "0"
"C_Chat#M.1521872982.A.9BB#00040", "allanbrook", "因為他爽", "03/24 14:34", "0"
"C_Chat#M.1521872982.A.9BB#00041", "dr45jfga", "廢文洗版", "03/24 14:34", "0"
"C_Chat#M.1521872982.A.9BB#00042", "yumyun", "笨 這種時候就是要自主延長活動 讓本版正式成為廢文版", "03/24 14:34", "0"
"C_Chat#M.1521872982.A.9BB#00043", "mapulcatt", "糙森的自助餐 嘔嘔嘔嘔嘔", "03/24 14:34", "0"
"C_Chat#M.1521872982.A.9BB#00044", "brightwish", "皇上喜歡阿 喜歡一個梗哪有什麼理由，禁廢文也好 開放也罷 問題在於標準全看皇上喜好 扯", "03/24 14:34", "0"
