"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1522691289.A.9DA#00000", "Topest", "秉持著有看過才評論的原則 小妹我看到這部討論那麼激烈 於是也跑去補完<br>心得大概就像原po標題一樣 非常普通<br><br>首先人設方面，如同許多作品一般，每個主要腳色都有自己的陰霾<br>而隨著劇情發展而慢慢改變，找回自我<br>大概就像<br>純真熱血智障型主角+待救贖A+待救贖B+待救贖C<br><br>劇情方面，老實說，以一般正常人而言<br>就是看著她們討論「何謂朋友」這種尷尬的問題<br>偶爾尷尬一下倒是還好，但這部花了近7成的時間圍繞在這議題上...<br>快轉鍵實在是按不停啊<br><br>而感情處理上也幾乎都充滿了矯情<br>甚至比前幾天討論被大家酸的未聞花名還矯情，實在不知道這兩部評價怎麼差這麼多<br><br>不過也不是沒有優點<br>題材新鮮，極地小知識，劇情流暢都算是可以接受的<br>比較感動的點大概就是打開媽媽電腦那斷吧<br>有當初air觀鈴在海邊叫媽媽一樣，感情爆發出來QQ<br><br>結論這部捧太高，大概就像未聞花名一樣<br>是個清晰青春的微熱血片吧<br><br><br>--<br>", "", ""
"C_Chat#M.1522691289.A.9DA#00001", "LiNcUtT", "/ID", "04/03 01:51", "0"
"C_Chat#M.1522691289.A.9DA#00002", "lturtsamuel", "未聞的問題就是做太過了 南極有嗎", "04/03 01:51", "0"
"C_Chat#M.1522691289.A.9DA#00003", "LiNcUtT", "a ID 才對 再噓一次", "04/03 01:53", "0"
"C_Chat#M.1522691289.A.9DA#00004", "asteea", "......", "04/03 01:56", "0"
"C_Chat#M.1522691289.A.9DA#00005", "starguardian", "到底哪裡尷尬?  小朋友?", "04/03 01:56", "0"
"C_Chat#M.1522691289.A.9DA#00006", "WeiMinChen", "看引戰專用id裝理性才尷尬呢", "04/03 01:57", "0"
"C_Chat#M.1522691289.A.9DA#00007", "a652723894", "笑惹 專黑就承認好嗎 每篇黑的都有你", "04/03 02:02", "0"
"C_Chat#M.1522691289.A.9DA#00008", "herry8710", "我跟你一樣喜歡巨人  但是你這篇不行", "04/03 02:10", "0"
"C_Chat#M.1522691289.A.9DA#00009", "jeeplong", "小妹", "04/03 02:16", "0"
"C_Chat#M.1522691289.A.9DA#00010", "sharkshana", "太弱了 小妹弟 再練練吧 演的太過了", "04/03 02:16", "0"
"C_Chat#M.1522691289.A.9DA#00011", "echojames", "噓ID，幹按錯，", "04/03 02:19", "0"
"C_Chat#M.1522691289.A.9DA#00012", "echojames", "這次應該沒錯了", "04/03 02:21", "0"
"C_Chat#M.1522691289.A.9DA#00013", "Syoshinsya", "閱", "04/03 02:23", "0"
"C_Chat#M.1522691289.A.9DA#00014", "GKki2012", "看你認真打這麼多字的份上 推一下好了", "04/03 02:26", "0"
"C_Chat#M.1522691289.A.9DA#00015", "v985210", "好", "04/03 02:27", "0"
"C_Chat#M.1522691289.A.9DA#00016", "yiefaung", "棒", "04/03 02:31", "0"
"C_Chat#M.1522691289.A.9DA#00017", "dyolf", "其實看到小妹就可以噓了XD", "04/03 02:42", "0"
"C_Chat#M.1522691289.A.9DA#00018", "ts02890855", "是引戰ID呢", "04/03 02:47", "0"
"C_Chat#M.1522691289.A.9DA#00019", "kevin79416", "快轉看完當作補完，你吃飯也是只吃一口當作一餐嗎", "04/03 03:05", "0"
"C_Chat#M.1522691289.A.9DA#00020", "proherla", "快轉沒辦法看出全貌的，不過蠻多橋段很刻意沒錯，就像，刻意想講道理、情感的感覺，但還是看得很舒服", "04/03 03:13", "0"
"C_Chat#M.1522691289.A.9DA#00021", "WeiMinChen", "樓上 a一下這篇的id 實在不用講這麼多", "04/03 03:14", "0"
"C_Chat#M.1522691289.A.9DA#00022", "proherla", "太認真了哈哈，今天推一個非宅友看，他也很多感觸呢", "04/03 03:16", "0"
"C_Chat#M.1522691289.A.9DA#00023", "WeiMinChen", "補", "04/03 03:17", "0"
"C_Chat#M.1522691289.A.9DA#00024", "pc820", "嗯嗯", "04/03 03:23", "0"
"C_Chat#M.1522691289.A.9DA#00025", "sPRingFALL28", "成全", "04/03 03:26", "0"
"C_Chat#M.1522691289.A.9DA#00026", "jim924211", "88", "04/03 04:12", "0"
"C_Chat#M.1522691289.A.9DA#00027", "yuta02", "哦是哦", "04/03 04:42", "0"
"C_Chat#M.1522691289.A.9DA#00028", "Malchut", "答應我別再秀下限了", "04/03 04:56", "0"
"C_Chat#M.1522691289.A.9DA#00029", "neyuki", "因為他沒朋友才會尷尬,大家別這樣QQ", "04/03 05:10", "0"
"C_Chat#M.1522691289.A.9DA#00030", "Jazz1001", "沒壞", "04/03 05:30", "0"
"C_Chat#M.1522691289.A.9DA#00031", "n0029480300", "尷尬??? 還有未聞才是矯情到我看到不下去", "04/03 06:35", "0"
"C_Chat#M.1522691289.A.9DA#00032", "HD19", "咬", "04/03 06:37", "0"
"C_Chat#M.1522691289.A.9DA#00033", "poolfish", "『快轉鍵實在是按不停』那就別看了………", "04/03 06:40", "0"
"C_Chat#M.1522691289.A.9DA#00034", "ELV420", "跟風噓", "04/03 06:56", "0"
"C_Chat#M.1522691289.A.9DA#00035", "a060119", "跟上", "04/03 07:19", "0"
"C_Chat#M.1522691289.A.9DA#00036", "remsuki", "這心得大概下下吧", "04/03 07:25", "0"
"C_Chat#M.1522691289.A.9DA#00037", "deathy", "非常同情只會為黑而黑的人", "04/03 07:40", "0"
"C_Chat#M.1522691289.A.9DA#00038", "larry504527", "ㄏㄏ", "04/03 07:50", "0"
"C_Chat#M.1522691289.A.9DA#00039", "maple2378", "你們這樣噓他 之後他就會崩潰狂發南極反串文囉ㄏㄏ", "04/03 07:58", "0"
"C_Chat#M.1522691289.A.9DA#00040", "boyce02", ".", "04/03 08:11", "0"
"C_Chat#M.1522691289.A.9DA#00041", "ire5566", "可撥", "04/03 08:37", "0"
"C_Chat#M.1522691289.A.9DA#00042", "Expend", "比未聞矯情？好吧，你可以去看世間情了", "04/03 09:15", "0"
"C_Chat#M.1522691289.A.9DA#00043", "martintp6", "無言", "04/03 09:16", "0"
"C_Chat#M.1522691289.A.9DA#00044", "Expend", "這部超多細節被你無視只在意搞友情那大概看什麼對你都是矯情吧", "04/03 09:17", "1"
"C_Chat#M.1522691289.A.9DA#00045", "leonodin", "反串就噓", "04/03 09:18", "0"
"C_Chat#M.1522691289.A.9DA#00046", "qwe1487738", "快轉叫補番?", "04/03 09:35", "0"
"C_Chat#M.1522691289.A.9DA#00047", "Absolue", "廢文快轉", "04/03 09:53", "0"
"C_Chat#M.1522691289.A.9DA#00048", "battlecat", "。", "04/03 09:55", "0"
"C_Chat#M.1522691289.A.9DA#00049", "rul284dl", "唉", "04/03 09:57", "0"
"C_Chat#M.1522691289.A.9DA#00050", "mnbvcxz2411", "看到id給尊重", "04/03 10:39", "0"
"C_Chat#M.1522691289.A.9DA#00051", "bryan861111b", "這餌我吃定了", "04/03 10:49", "0"
"C_Chat#M.1522691289.A.9DA#00052", "Litan", "一直快轉你乾脆別看了", "04/03 11:00", "0"
"C_Chat#M.1522691289.A.9DA#00053", "Sangheili", "耶", "04/03 11:09", "0"
"C_Chat#M.1522691289.A.9DA#00054", "Malchut", "朕知道了", "04/03 12:13", "0"
"C_Chat#M.1522691289.A.9DA#00055", "w74132003", "噓", "04/03 13:00", "0"
"C_Chat#M.1522691289.A.9DA#00056", "jokercin", "好啦乖", "04/03 13:15", "0"
"C_Chat#M.1522691289.A.9DA#00057", "kimmj", "好喔", "04/03 14:35", "0"
"C_Chat#M.1522691289.A.9DA#00058", "qsc810148", "這樣也一篇喔", "04/05 13:50", "0"
"C_Chat#M.1522691289.A.9DA#00059", "h07880201", "廢文好好洗", "04/13 05:16", "0"
