"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1523441584.A.BAF#00000", "heykate", "以前說真的蠻喜歡刀劍的<br><br>結果這次看了刀劍外傳之後真的覺得不怎麼樣<br><br>從女主角一開始冒失鬼+一個牛逼隊友<br><br>就覺得又她媽是一個海鮮，跟來自深淵的莉可一樣<br><br>爛就算了，如果有打過線上遊戲的話都懂<br><br>爛就她媽給我聽CALL，還在那邊一直抱怨<br><br>聽她抱怨我真的很想跑去她房間把她VR摘掉痛扁她= =<br><br><br>遊戲策略方面我沒辦法評價，畢竟策略都是結果論<br><br>結果是好的，那策略就是好的...<br><br><br>敵人太爛確實有點，但還能體諒<br><br>這樣才能顯示主角威能<br><br><br>但你女主角突然開外掛我真的看傻眼<br><br>阿操，你前面小跑步不是才跌倒嗎?<br><br>怎麼突然大跑就順起來了??? 超級出戲<br><br>而且是衝鋒槍，我講真的<br><br>如果你是狙擊槍很準，我就覺得還好<br><br>女生+衝鋒槍，我真的不能夠接受<br><br>https://i.imgur.com/SEbxWog.jpg<br>一般來說女生就是好好放放法術，補補血，遠距離也可以很屌<br><br>如果說你要做女生比男生強的設定也可以<br><br>但很明顯刀劍就是以"現在"不遠的未來作為設定<br><br>從戰爭或當兵勞力輸出等等，都是男生>女生<br><br>真的很難入戲<br><br><br>這次刀劍外掛是不是開過頭了?<br><br>大家怎麼看這次刀劍?<br><br>--<br>", "", ""
"C_Chat#M.1523441584.A.BAF#00001", "sai007788", "沒認真看可以不要看", "04/11 18:14", "0"
"C_Chat#M.1523441584.A.BAF#00002", "mayolane", "這個性別74～", "04/11 18:14", "0"
"C_Chat#M.1523441584.A.BAF#00003", "walhalla", "沒見過中國人玩PUBG?", "04/11 18:15", "0"
"C_Chat#M.1523441584.A.BAF#00004", "zjes40604", "釣起來  釣起來", "04/11 18:15", "0"
"C_Chat#M.1523441584.A.BAF#00005", "s21917", "後半段的性別歧視是不是有點嚴重啊，補個噓", "04/11 18:15", "0"
"C_Chat#M.1523441584.A.BAF#00006", "yeary2k", "你不要這樣，女主角明明就很可愛，怎麼可以揍他", "04/11 18:16", "0"
"C_Chat#M.1523441584.A.BAF#00007", "ayubabbit", "https//i.imgur.com/fAih8MA.png", "04/11 18:16", "0"
"C_Chat#M.1523441584.A.BAF#00008", "jason991225", "嗯", "04/11 18:16", "0"
"C_Chat#M.1523441584.A.BAF#00009", "Adlem", "朕聽到了", "04/11 18:17", "0"
"C_Chat#M.1523441584.A.BAF#00010", "ck6a83", "從文章一開始就很嚴重了，什麼後半段", "04/11 18:17", "0"
"C_Chat#M.1523441584.A.BAF#00011", "bladesinger", "歐，那你可以不要看", "04/11 18:17", "0"
"C_Chat#M.1523441584.A.BAF#00012", "linmo791017", "喔", "04/11 18:18", "0"
"C_Chat#M.1523441584.A.BAF#00013", "TheNeet", "拔草", "04/11 18:19", "0"
"C_Chat#M.1523441584.A.BAF#00014", "roc074", "呵呵", "04/11 18:20", "0"
"C_Chat#M.1523441584.A.BAF#00015", "ArdyChai", "封你為性別騎士", "04/11 18:21", "0"
"C_Chat#M.1523441584.A.BAF#00016", "a2334436", "呵呵", "04/11 18:22", "0"
"C_Chat#M.1523441584.A.BAF#00017", "zeyoshi", "都是m在指揮啊 靠一張嘴的男人", "04/11 18:23", "0"
"C_Chat#M.1523441584.A.BAF#00018", "ahangah", "人家至少有回應有溝通，怎麼說人家爛呢", "04/11 18:23", "0"
"C_Chat#M.1523441584.A.BAF#00019", "coon182", "黑77粉是你？", "04/11 18:27", "0"
"C_Chat#M.1523441584.A.BAF#00020", "john91018", "衝鋒槍怎麼不適合女生了？輕便好攜帶、射速高、後座力低，比起步槍來說女生好操作多了好嗎？狙擊槍尤其是反器材步槍，女生要扛那個我才覺得扯", "04/11 18:27", "1"
"C_Chat#M.1523441584.A.BAF#00021", "littledemon", "開釣", "04/11 18:28", "0"
"C_Chat#M.1523441584.A.BAF#00022", "shinobunodok", "我SAO黑覺得這篇不行", "04/11 18:29", "0"
"C_Chat#M.1523441584.A.BAF#00023", "amwsofab", "釣", "04/11 18:30", "0"
"C_Chat#M.1523441584.A.BAF#00024", "Stat14", "川原粉開釣", "04/11 18:30", "0"
"C_Chat#M.1523441584.A.BAF#00025", "SOSxSSS", "你一定沒看過青春機關槍，不然你大概就會覺得這個不錯了", "04/11 18:31", "1"
"C_Chat#M.1523441584.A.BAF#00026", "Kowdan", "爛餌", "04/11 18:33", "0"
"C_Chat#M.1523441584.A.BAF#00027", "WTFCN", "好", "04/11 18:36", "0"
"C_Chat#M.1523441584.A.BAF#00028", "lanjack", "這餌爛到連食腐生物都他媽的不會吃", "04/11 18:41", "0"
"C_Chat#M.1523441584.A.BAF#00029", "rxsmalllove", "？？", "04/11 18:44", "0"
"C_Chat#M.1523441584.A.BAF#00030", "ThreekRoger", "就是速度太快叫他慢慢走才跌倒", "04/11 18:45", "0"
"C_Chat#M.1523441584.A.BAF#00031", "jinnia38929", "ID", "04/11 18:45", "0"
"C_Chat#M.1523441584.A.BAF#00032", "wifi", "看到喜歡刀劍 然後嫌外傳開外掛我就笑了XDD", "04/11 18:47", "0"
"C_Chat#M.1523441584.A.BAF#00033", "chelseasfox", "沒壞", "04/11 18:48", "0"
"C_Chat#M.1523441584.A.BAF#00034", "jeff666", "這人不是來釣魚的嗎", "04/11 18:55", "0"
"C_Chat#M.1523441584.A.BAF#00035", "polanco", "滾回八卦好嗎", "04/11 18:55", "0"
"C_Chat#M.1523441584.A.BAF#00036", "a866101841", "你為自己取的外號真棒", "04/11 18:55", "0"
"C_Chat#M.1523441584.A.BAF#00037", "AuSHsu", "給尊重", "04/11 18:56", "0"
"C_Chat#M.1523441584.A.BAF#00038", "jileen", "…", "04/11 18:57", "0"
"C_Chat#M.1523441584.A.BAF#00039", "HD19", "超可憐", "04/11 18:59", "0"
"C_Chat#M.1523441584.A.BAF#00040", "j53815102", "戰都沒得戰  技術太差", "04/11 19:01", "0"
"C_Chat#M.1523441584.A.BAF#00041", "WayneChan", "勾直餌鹹", "04/11 19:16", "0"
"C_Chat#M.1523441584.A.BAF#00042", "islandape", "id正確", "04/11 19:17", "0"
"C_Chat#M.1523441584.A.BAF#00043", "dannyko", "又是你阿", "04/11 19:20", "0"
"C_Chat#M.1523441584.A.BAF#00044", "s8300355", "==", "04/11 19:31", "0"
"C_Chat#M.1523441584.A.BAF#00045", "ijk12345", "下去", "04/11 19:35", "0"
"C_Chat#M.1523441584.A.BAF#00046", "as702877530", "我覺得你開口閉口就是女生怎樣怎樣的不太好", "04/11 19:42", "0"
"C_Chat#M.1523441584.A.BAF#00047", "MFultz", "啊刀劍不就是來看開掛的 不然看這幹嘛？", "04/11 19:46", "0"
"C_Chat#M.1523441584.A.BAF#00048", "Jiajun0724", "你要黑SAO我是能理解 但胡亂說一堆我就???", "04/11 19:50", "0"
"C_Chat#M.1523441584.A.BAF#00049", "wiydluck", "我還以為來到八卦版了", "04/11 19:56", "0"
"C_Chat#M.1523441584.A.BAF#00050", "kisc32950", "釣魚?", "04/11 19:57", "0"
"C_Chat#M.1523441584.A.BAF#00051", "sars7125889", "標準亂黑", "04/11 20:24", "0"
"C_Chat#M.1523441584.A.BAF#00052", "heybro", "文雄這樣不行= =", "04/11 20:31", "0"
"C_Chat#M.1523441584.A.BAF#00053", "WBS0615", "你還是捏GG自殺好了", "04/11 20:33", "0"
"C_Chat#M.1523441584.A.BAF#00054", "k5545332", "丁", "04/11 20:54", "0"
"C_Chat#M.1523441584.A.BAF#00055", "dddc", "你應該切入的點是 這種像PUBG開加速器的怎麼還這麼多人看", "04/11 20:54", "0"
"C_Chat#M.1523441584.A.BAF#00056", "a7904120", "欸黑", "04/11 20:56", "0"
"C_Chat#M.1523441584.A.BAF#00057", "padfone1", "滾", "04/11 21:04", "0"
"C_Chat#M.1523441584.A.BAF#00058", "sunnybody907", "沒黑漆漆就是神", "04/11 21:11", "0"
"C_Chat#M.1523441584.A.BAF#00059", "sheep0121", "女生不能拿衝鋒槍？這是遊戲耶，一堆漫畫女角都拿重武器了", "04/11 22:42", "1"
"C_Chat#M.1523441584.A.BAF#00060", "sheep0121", "外傳小說沒看，但看動畫覺得女主會贏，很大部分是因為策略問題，再來因為職業隊明顯就是來練經驗的，不是以贏遊戲為主要目的，女角那速度一看就是遊戲技能的關係吧", "04/11 22:45", "1"
"C_Chat#M.1523441584.A.BAF#00061", "Abby530424", "Go Go P90 Rush B Cyka Blyat!按到推了抱歉 補一下", "04/11 23:23", "0"
"C_Chat#M.1523441584.A.BAF#00062", "chiuming23", "說真的，這是在反串吧？", "04/12 00:27", "0"
"C_Chat#M.1523441584.A.BAF#00063", "happsey", "爛餌", "04/12 02:30", "0"
"C_Chat#M.1523441584.A.BAF#00064", "TaiwanPriest", "反串？ 看過之前的作品 不是早該知道原本設定就這樣", "04/12 08:16", "1"
"C_Chat#M.1523441584.A.BAF#00065", "TaiwanPriest", "何況寫外傳的時雨澤 還已經將GGO接近真正槍戰遊戲了", "04/12 08:24", "1"
"C_Chat#M.1523441584.A.BAF#00066", "Riorley", "Hi", "04/12 10:16", "0"
"C_Chat#M.1523441584.A.BAF#00067", "narukamis", "我喜歡閃軌 相較之下空零碧主角開掛過頭 的感覺XD", "04/12 10:21", "0"
"C_Chat#M.1523441584.A.BAF#00068", "red2010", "我也不喜歡，但是更討厭看到海鮮這個詞", "04/12 16:42", "0"
"C_Chat#M.1523441584.A.BAF#00069", "DaYehNO1", "海鮮是三小，回去八卦", "05/25 12:22", "0"
"C_Chat#M.1523441584.A.BAF#00070", "JJJZZs", "你應該發到suck", "06/05 17:16", "0"
