"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1524380984.A.D84#00000", "sdtgfsrt", "https://www.youtube.com/watch?v=P4Bfu6577G0&<br>先附上連結 不喜勿點<br><br><br>沒想到先前被稱為台灣米津玄師的聖結石<br>竟然也開始當聲優了!<br>真是多才多藝<br>也在台灣動畫界也貢獻上了一份心力<br>請大家多支持<br><br>--<br>", "", ""
"C_Chat#M.1524380984.A.D84#00001", "s32244153", "88888888888 保重", "04/22 15:10", "0"
"C_Chat#M.1524380984.A.D84#00002", "diabolica", "bang", "04/22 15:10", "0"
"C_Chat#M.1524380984.A.D84#00003", "dWoWb", "CD樓下幫", "04/22 15:10", "0"
"C_Chat#M.1524380984.A.D84#00004", "qaz223gy", "樓下幫", "04/22 15:11", "0"
"C_Chat#M.1524380984.A.D84#00005", "Owada", "幹", "04/22 15:11", "0"
"C_Chat#M.1524380984.A.D84#00006", "alonelykid", "幹", "04/22 15:11", "0"
"C_Chat#M.1524380984.A.D84#00007", "dripcoffee", "http//i.imgur.com/YDWeH13.jpg", "04/22 15:11", "0"
"C_Chat#M.1524380984.A.D84#00008", "elvis222", "BANG", "04/22 15:11", "0"
"C_Chat#M.1524380984.A.D84#00009", "sulecandys", "所以以後也可以在西恰發bang哥的文了", "04/22 15:12", "0"
"C_Chat#M.1524380984.A.D84#00010", "KagamiRaito", "真的不想嘴 bang", "04/22 15:12", "0"
"C_Chat#M.1524380984.A.D84#00011", "SOSxSSS", "笑了", "04/22 15:12", "0"
"C_Chat#M.1524380984.A.D84#00012", "OldYuanshen", "台灣米津玄師是誰喊的  太會招黑了吧", "04/22 15:13", "0"
"C_Chat#M.1524380984.A.D84#00013", "tosakashiron", "看一次大bang噓一次", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00014", "acmpomelo", "幫松岡&米津QQ", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00015", "WAVEHzen", "三小，這種咖拿來比松岡？", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00016", "Flashpill", "台灣松岡禎丞是什麼鬼...", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00017", "stu99417", "星", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00018", "akun710191", "個人認為引戰 嘻嘻", "04/22 15:14", "0"
"C_Chat#M.1524380984.A.D84#00019", "Tsai07", "這種動畫是給什麼年齡層的人看的??", "04/22 15:15", "0"
"C_Chat#M.1524380984.A.D84#00020", "ire5566", "噁", "04/22 15:15", "0"
"C_Chat#M.1524380984.A.D84#00021", "jk952840", "台灣米津與松崗的完美融合", "04/22 15:15", "0"
"C_Chat#M.1524380984.A.D84#00022", "whosu", "好喔", "04/22 15:15", "0"
"C_Chat#M.1524380984.A.D84#00023", "ithil1", "松岡呢", "04/22 15:16", "0"
"C_Chat#M.1524380984.A.D84#00024", "ken890126", "XDDDDDD", "04/22 15:16", "0"
"C_Chat#M.1524380984.A.D84#00025", "dWoWb", "18-34看這個", "04/22 15:16", "0"
