"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1524644309.A.22C#00000", "WOODOM", "復仇者3雷<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>我先說結論<br><br>我就是薩諾斯<br><br><br><br><br>這集很多人說喜歡薩諾斯<br><br>是的、我也喜歡我也愛<br><br>但我不是這種程度而已<br><br>而是<br><br>我就是薩諾斯、薩諾斯根本就是我<br><br><br><br>不可諱言<br><br>薩諾斯從根本的思維上、就是與我完全一致<br><br>他的思想思考思慮思脈思能<br><br>全部跟我完美同步<br><br>注意!! 是完美同步!  不是一般的同步而已 是完美<br><br>令人震驚的同步率<br><br><br><br><br><br>同步到什麼地步<br><br>我看電影時、我竟然可以同時從嘴裡講出跟他一模一樣的台詞<br><br>毫秒不差<br><br>你以為這樣就沒了嗎???<br><br>錯!<br><br><br>我已經同步到、我甚至跟他同時露出一樣的表情<br><br>然後說出一樣的台詞<br><br>這已經完美一體了<br><br>連我朋友都被我嚇到<br><br><br><br>這除非是兩個靈魂完美契合的衝擊<br><br>不然不可能發生<br><br>而我在復仇者聯盟3裡面<br><br>跟薩諾斯完美衝擊了<br><br><br><br>那為什麼我跟薩諾斯如此相似呢<br><br>殺一半救全部<br><br>如果有這種按鈕<br><br>我秒按<br><br>我從來不聽什麼我要救全部這種屁話<br><br>誰來跟我講都一樣<br><br>殺生為護生、斬業非斬人<br><br>這才是真理<br><br>所以薩諾斯今天要做的事<br><br>我一樣會做、而且是秒做<br><br><br><br>美國超級英雄<br><br>一直以來、我都覺得是個屁<br><br>全部都只是沒有線的木偶人<br><br>直到今天<br><br>才出了一個、真正有靈性的角色<br><br><br><br>那就是薩諾斯<br><br>也就是我<br><br><br>結案<br><br>--<br>", "", ""
"C_Chat#M.1524644309.A.22C#00001", "YouKnowMe", "看標題就值得一個222222", "04/25 16:18", "0"
"C_Chat#M.1524644309.A.22C#00002", "AdomiZA", "當哥點的尊重", "04/25 16:19", "0"
"C_Chat#M.1524644309.A.22C#00003", "polanco", "快去看病", "04/25 16:19", "0"
"C_Chat#M.1524644309.A.22C#00004", "xsc", "當哥瘋了喔", "04/25 16:19", "0"
"C_Chat#M.1524644309.A.22C#00005", "boyce02", ".", "04/25 16:19", "0"
"C_Chat#M.1524644309.A.22C#00006", "woaifafewen", "給尊重", "04/25 16:20", "0"
"C_Chat#M.1524644309.A.22C#00007", "tomuy", "笑惹 當哥給尊重", "04/25 16:20", "0"
"C_Chat#M.1524644309.A.22C#00008", "OrzJ", "你先戴手套?", "04/25 16:21", "0"
"C_Chat#M.1524644309.A.22C#00009", "keerily", "這就是你腳抖個不停的原因嗎，當哥美國隊長真的那麼強 我戴無限手套就敢跟他打", "04/25 16:21", "0"
"C_Chat#M.1524644309.A.22C#00010", "arrakis", "所以你不但光頭還戽斗?", "04/25 16:21", "0"
"C_Chat#M.1524644309.A.22C#00011", "Hunternine", "若薩斯是會上PTT發文喔中文還這麼六", "04/25 16:22", "0"
"C_Chat#M.1524644309.A.22C#00012", "angelegg", "掌門防雷給推", "04/25 16:23", "0"
"C_Chat#M.1524644309.A.22C#00013", "doyouknowhow", "XDDDDDD", "04/25 16:23", "0"
"C_Chat#M.1524644309.A.22C#00014", "yuizero", "測試一下2", "04/25 16:23", "0"
