"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1531817203.A.EA7#00000", "ILoveMegumin", "媽的咧<br><br>一直斷 一直斷<br><br>bgd平常打起來有點當<br><br>我還能容忍<br><br>但為什麼要挑在全場ss 開3火 結算時給我斷線<br><br>幹 不爽啦<br><br>如果是中間斷 拎北還沒那麼氣<br><br>要打活動p還給我這樣搞<br><br>好啊<br><br>等下我就戳整場 操<br><br>有本事其他4個人自己想辦法打到s<br><br>我就放置啦<br><br>阿 對了 如果怕遇到我<br><br>然後不想被我戳 記得角色放丸山彩<br><br>看到彩我的心情才能平復<br><br>懂？<br><br>--<br>", "", ""
"C_Chat#M.1531817203.A.EA7#00001", "glthe1", "有病就該看醫生", "07/17 16:47", "0"
"C_Chat#M.1531817203.A.EA7#00002", "Lupin97", "FB?", "07/17 16:47", "0"
"C_Chat#M.1531817203.A.EA7#00003", "gaym19", "肝我屁事", "07/17 16:47", "0"
"C_Chat#M.1531817203.A.EA7#00004", "Wolverin5566", "錯版囉", "07/17 16:47", "0"
"C_Chat#M.1531817203.A.EA7#00005", "firezeus", "左轉HATE版", "07/17 16:47", "0"
"C_Chat#M.1531817203.A.EA7#00006", "mk4188623", "你怎麼不去專版發", "07/17 16:48", "0"
"C_Chat#M.1531817203.A.EA7#00007", "peterturtle", "要抱怨去個版抱怨", "07/17 16:48", "0"
"C_Chat#M.1531817203.A.EA7#00008", "a195732684", "非洲網路震怒", "07/17 16:48", "0"
"C_Chat#M.1531817203.A.EA7#00009", "gn005066", "BGD火不是多到不用錢嗎", "07/17 16:48", "0"
"C_Chat#M.1531817203.A.EA7#00010", "lsps9151014", "喔", "07/17 16:48", "0"
"C_Chat#M.1531817203.A.EA7#00011", "LipaCat5566", "菜雞別亂", "07/17 16:49", "0"
"C_Chat#M.1531817203.A.EA7#00012", "helloLOLI", "水啦！", "07/17 16:49", "0"
"C_Chat#M.1531817203.A.EA7#00013", "devilkool", "菜逼八不知道黑特板喔", "07/17 16:49", "0"
"C_Chat#M.1531817203.A.EA7#00014", "redDest", "左轉邊板", "07/17 16:49", "0"
"C_Chat#M.1531817203.A.EA7#00015", "cmw610634", "滾", "07/17 16:49", "0"
"C_Chat#M.1531817203.A.EA7#00016", "distantblc", "你哪位", "07/17 16:50", "0"
"C_Chat#M.1531817203.A.EA7#00017", "kopune", "多課幾單 贊助擴充伺服器阿", "07/17 16:50", "0"
"C_Chat#M.1531817203.A.EA7#00018", "juzowa", "按讚搶頭香", "07/17 16:50", "0"
"C_Chat#M.1531817203.A.EA7#00019", "asakura0907", "當你個版喔", "07/17 16:51", "0"
"C_Chat#M.1531817203.A.EA7#00020", "WongTakashi", "我連線連得超順超爽 HAHAHA UCCU", "07/17 16:51", "0"
"C_Chat#M.1531817203.A.EA7#00021", "addbot1024", "錯版了吧 左轉黑特版才對", "07/17 16:51", "0"
"C_Chat#M.1531817203.A.EA7#00022", "clock0220", "滾 廢啊", "07/17 16:51", "0"
"C_Chat#M.1531817203.A.EA7#00023", "anumber", "偶像價值不足囉 請充值", "07/17 16:52", "0"
"C_Chat#M.1531817203.A.EA7#00024", "KONosic", "可撥", "07/17 16:52", "0"
