"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1533607016.A.CD2#00000", "max0815", "※ 引述《jason841207 (夜羽大人腳下小守護進程)》之銘言：<br>廢文恕刪,告訴你我的結論：<br><br>應該要退出,而且最好即刻退出.因為她的不敬業行為已經嚴重傷害角色.<br><br>沒有人說一定要尊敬學姊,但是不管你尊敬與否,表面樣子都該做一下.<br>看看在場所有人都在配合比動作時,妳一個人在那臭臉發呆能看嗎?<br><br>沒錯,跑去韓國和台灣撈錢後又要馬上幹這個鳥工作很不爽,但這可以表現出來嗎?<br>其他人有比妳閒嗎?為什麼粕谷可以滿臉笑容,妳卻滿臉結屎?其實不爽做可以不要做,<br>我相信排在後面的人還多到八條街,不敬業還可以護航,真要感嘆這個世道淪喪.<br><br>當初水團最大的敗筆就是選了好幾個既沒熱情,又沒敬業精神,只想拿這個當跳板去當<br>偶像或演員的假聲優,小宮更是裡面最惡劣的其中之一.以為自己演了部不怎麼紅的<br>特攝片,當兩三個小配角,就覺得自己是水團的霸主,在裡面經常擺老擺臭臉,完全就像<br>是水團休息室的氣氛大師.<br><br>其實仔細想想,黑澤大小姐真的非需要這個人來配音嗎?小宮長相普普,配音功力不行,<br>舞蹈歌唱能力也都是一般人水準,根本沒有非他不可的必要性.我覺得現在聲優界一堆<br>正妹都可以輕鬆取代她,官方如果知道亡羊補牢,知道要止血的話,最好趕快把她踢掉,<br>免得黑澤大小姐人氣變得和她的姆咪妹妹一樣.<br><br><br>--<br>", "", ""
"C_Chat#M.1533607016.A.CD2#00001", "aigis", "哪幾個沒熱情啊 好奇 求說明", "08/07 10:05", "0"
"C_Chat#M.1533607016.A.CD2#00002", "brian040818", "都準備交替了還換角", "08/07 10:13", "0"
"C_Chat#M.1533607016.A.CD2#00003", "michaelchen1", "雖然最近沒在追不過看來的確是不敬業啊！", "08/07 10:16", "0"
"C_Chat#M.1533607016.A.CD2#00004", "tuanlin", "一個人的大炎上", "08/07 10:16", "0"
"C_Chat#M.1533607016.A.CD2#00005", "nut7470", "大師早", "08/07 10:17", "0"
"C_Chat#M.1533607016.A.CD2#00006", "b79205", "笑死了  台灣粉很重要嗎", "08/07 10:18", "0"
"C_Chat#M.1533607016.A.CD2#00007", "lighten26", "炎上（線香）", "08/07 10:18", "0"
"C_Chat#M.1533607016.A.CD2#00008", "Augustus5", "大濕上工啦 真準時呢", "08/07 10:19", "0"
"C_Chat#M.1533607016.A.CD2#00009", "KurosawaBuby", "看到最後一句前我其實是想按推ㄉ", "08/07 10:19", "0"
"C_Chat#M.1533607016.A.CD2#00010", "TWKaner", "閱", "08/07 10:23", "0"
"C_Chat#M.1533607016.A.CD2#00011", "Kenqr", "幻想夠了嗎", "08/07 10:27", "0"
"C_Chat#M.1533607016.A.CD2#00012", "a10311113", "太口怕惹", "08/07 10:34", "0"
"C_Chat#M.1533607016.A.CD2#00013", "BIGP", "大師出現啦！", "08/07 10:36", "0"
"C_Chat#M.1533607016.A.CD2#00014", "jason841207", "大...大師親回啊 請受我一拜", "08/07 10:40", "0"
"C_Chat#M.1533607016.A.CD2#00015", "xian", "你4不4有個朋友叫賣火柴的小女孩", "08/07 10:41", "0"
"C_Chat#M.1533607016.A.CD2#00016", "w7654321", "每日炎上", "08/07 10:47", "0"
"C_Chat#M.1533607016.A.CD2#00017", "lordmi", "這篇有達到なんJ酸民的戰意，決定不噓了", "08/07 10:53", "0"
"C_Chat#M.1533607016.A.CD2#00018", "gread", "一人炎上大濕", "08/07 10:59", "0"
"C_Chat#M.1533607016.A.CD2#00019", "j95638", "竟敢嘴我姆咪 給懶人包就原諒你", "08/07 11:00", "0"
"C_Chat#M.1533607016.A.CD2#00020", "littledemon", "好了啦", "08/07 11:02", "0"
"C_Chat#M.1533607016.A.CD2#00021", "SaberMyWifi", "這串我一直看成小宮山先生", "08/07 11:03", "0"
"C_Chat#M.1533607016.A.CD2#00022", "vwvwbg", "炎上的顏色", "08/07 11:05", "0"
"C_Chat#M.1533607016.A.CD2#00023", "liyikisen", "有這麼崇高的使命大師沒去當記者真的太可惜了，從這篇文看來大師已經具備了記者需要的條件了w", "08/07 11:08", "0"
"C_Chat#M.1533607016.A.CD2#00024", "piyo0604", "一樓回的為什麼我看不懂(？", "08/07 11:09", "0"
"C_Chat#M.1533607016.A.CD2#00025", "ringtweety", "喔 是種族歧視大師啊", "08/07 11:11", "0"
"C_Chat#M.1533607016.A.CD2#00026", "kotori0723", "大師來啦  準時上班呦", "08/07 11:14", "0"
"C_Chat#M.1533607016.A.CD2#00027", "laechan", "黑澤朋世印象中是其它團的,不太可能跨團啦......", "08/07 11:15", "0"
"C_Chat#M.1533607016.A.CD2#00028", "umpro30", "真可撥", "08/07 11:17", "0"
"C_Chat#M.1533607016.A.CD2#00029", "amateuruser", "桶哥的文耶", "08/07 11:18", "0"
"C_Chat#M.1533607016.A.CD2#00030", "iPadAir2", "╮(╯▽╰)╭", "08/07 11:19", "0"
"C_Chat#M.1533607016.A.CD2#00031", "brianoj", "煩死了滾辣", "08/07 11:22", "0"
"C_Chat#M.1533607016.A.CD2#00032", "CaTCurry", "真抱歉啊我就是喜歡這個聲音才成為黛雅推的", "08/07 11:24", "0"
"C_Chat#M.1533607016.A.CD2#00033", "wingthink", "一個人的炎上wwwwwww，而且有紗聲音跟本人形象真的很適合姐姐", "08/07 11:24", "0"
"C_Chat#M.1533607016.A.CD2#00034", "gread", "LL只有追肥皂 水團虹團沒興趣 可是還是要噓你一人炎上大濕", "08/07 11:25", "1"
"C_Chat#M.1533607016.A.CD2#00035", "yishi0501", "一個人的炎上：）可惡按成推，當幫補血好了（", "08/07 11:30", "0"
"C_Chat#M.1533607016.A.CD2#00036", "AirPenguin", "不要以人廢言啊 某些角度來看講的也沒錯", "08/07 11:33", "0"
"C_Chat#M.1533607016.A.CD2#00037", "littledemon", "補噓一個人炎上", "08/07 11:35", "0"
"C_Chat#M.1533607016.A.CD2#00038", "Serio", "大炎上啦(ONE MAN)", "08/07 11:38", "0"
"C_Chat#M.1533607016.A.CD2#00039", "ted80519", "炎上", "08/07 11:40", "0"
"C_Chat#M.1533607016.A.CD2#00040", "Serio", "然後有才華的多點工作 就變沒熱情 不就又要成功人士再炎上?", "08/07 11:40", "1"
"C_Chat#M.1533607016.A.CD2#00041", "v789678901", "大師黑的不錯，這麼討厭水團還要逼著自己看討厭的人的推特和看生放送，真的是辛苦大師了ww", "08/07 11:44", "1"
"C_Chat#M.1533607016.A.CD2#00042", "akun710191", "好了啦==", "08/07 11:44", "0"
"C_Chat#M.1533607016.A.CD2#00043", "wryyyyyyyy", "呵", "08/07 11:48", "0"
"C_Chat#M.1533607016.A.CD2#00044", "wingthink", "不然你找個更適合的例子，不要只丟名字喔，請拿出裝扮跟聲音讓我聞香一下wwwww啊，我先說，因為對我來說黑澤呆雅=arisa，所以你拿誰出來都是咘咘ㄉㄟ死挖的", "08/07 11:51", "1"
"C_Chat#M.1533607016.A.CD2#00045", "jason841207", "連呆雅都不懂看來你是真的沒了解過水團Www", "08/07 11:57", "0"
"C_Chat#M.1533607016.A.CD2#00046", "AmberFei", "幫炎上", "08/07 12:04", "0"
"C_Chat#M.1533607016.A.CD2#00047", "kashiwa27", "大濕就有尊重過藝人本名的隱私權嗎www", "08/07 12:05", "0"
"C_Chat#M.1533607016.A.CD2#00048", "tuanlin", "哇靠 你也知道要尊重別人的名字喔", "08/07 12:07", "0"
"C_Chat#M.1533607016.A.CD2#00049", "wingthink", "要你舉例又講不出來wwwww我想用甚麼暱稱稱呼是你管得著的嗎？", "08/07 12:10", "1"
"C_Chat#M.1533607016.A.CD2#00050", "tom11725", "幹go busters是惹到你了嗎", "08/07 12:11", "0"
"C_Chat#M.1533607016.A.CD2#00051", "liyikisen", "我批評幻想是尊重 你名字打錯就是不尊重w", "08/07 12:13", "0"
"C_Chat#M.1533607016.A.CD2#00052", "gread", "雖然我不確定是不是這樣 呆雅是日文讀音", "08/07 12:13", "0"
