"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1534434650.A.FE2#00000", "sasaki3630", "http://i1.hdslb.com/bfs/archive/4cbd49749ec93525ac967dda183e8e741a06657b.jpg<br>FGO兩個月沒五星<br><br>最近存的60多抽<br><br>只有3四星 1五星禮裝<br><br>梅林大爆死<br><br><br>都曬不了卡了<br><br><br>想刪Game去日服了QQ<br><br>有誰比我非ㄇ?<br><br><br>--<br>", "", ""
"C_Chat#M.1534434650.A.FE2#00001", "Tohkachan", "你見過大酋長了嗎", "08/16 23:51", "0"
"C_Chat#M.1534434650.A.FE2#00002", "GAIEGAIE", "60多抽沒有算啥爆死", "08/16 23:51", "0"
"C_Chat#M.1534434650.A.FE2#00003", "jason5678tw", "600抽再來靠杯", "08/16 23:51", "0"
"C_Chat#M.1534434650.A.FE2#00004", "roywow", "60笑死", "08/16 23:52", "0"
"C_Chat#M.1534434650.A.FE2#00005", "qaz223gy", "600抽再說吧", "08/16 23:52", "0"
"C_Chat#M.1534434650.A.FE2#00006", "bbo9527", "去看看懶貓再說", "08/16 23:52", "0"
"C_Chat#M.1534434650.A.FE2#00007", "p200404", "看看懶貓再來講", "08/16 23:52", "0"
"C_Chat#M.1534434650.A.FE2#00008", "wxfreedom", "先去看懶貓台好嗎", "08/16 23:52", "0"
"C_Chat#M.1534434650.A.FE2#00009", "knight714", "沒看過懶貓台沒資格喊非", "08/16 23:53", "0"
"C_Chat#M.1534434650.A.FE2#00010", "davidex", "懶貓：你算哪根蔥", "08/16 23:53", "0"
"C_Chat#M.1534434650.A.FE2#00011", "glthe1", "無課有的玩就不錯了哭三小", "08/16 23:53", "0"
"C_Chat#M.1534434650.A.FE2#00012", "truthseer", "黑人問號", "08/16 23:53", "0"
"C_Chat#M.1534434650.A.FE2#00013", "money1992922", "60？", "08/16 23:53", "0"
"C_Chat#M.1534434650.A.FE2#00014", "keirto", "懶貓正在親身表演真正的非", "08/16 23:54", "0"
"C_Chat#M.1534434650.A.FE2#00015", "sarspieya521", "干我屁事 滾", "08/16 23:54", "0"
"C_Chat#M.1534434650.A.FE2#00016", "babylina", "ㄏㄏ", "08/16 23:54", "0"
"C_Chat#M.1534434650.A.FE2#00017", "davidex", "而且你存這麼少 我從上次福袋存到現在都破百了www", "08/16 23:55", "0"
"C_Chat#M.1534434650.A.FE2#00018", "boris", "GBF送100抽0SSR 憤怒", "08/16 23:55", "0"
"C_Chat#M.1534434650.A.FE2#00019", "superpaden", "??", "08/16 23:55", "0"
"C_Chat#M.1534434650.A.FE2#00020", "wsxwsx77889", "蛤？", "08/16 23:55", "0"
"C_Chat#M.1534434650.A.FE2#00021", "YaLingYin", "大酋長面前說臉黑???", "08/16 23:56", "0"
"C_Chat#M.1534434650.A.FE2#00022", "r12121313", "非是吧", "08/16 23:56", "0"
"C_Chat#M.1534434650.A.FE2#00023", "akbba", "滾", "08/16 23:57", "0"
"C_Chat#M.1534434650.A.FE2#00024", "jasonx105", "先去看懶貓台", "08/16 23:57", "0"
