"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1535962302.A.2C9#00000", "joug", "能否再掀旋風？《動物朋友2》電視動畫釋出宣傳影片<br><br><br><br>今日於日本展開的「動物朋友 LIVE ～PPP LIVE～」中正式公開新作電視動畫《動物朋友<br> 2》的宣傳影片，預告片中可見完全不同於第一季的3D畫風。<br><br><br><br>《動物朋友》前身是由 Nexon 開發及發行的手機遊戲，劇中描述失去記憶的主角，結識<br>傑帕力公園的動物朋友並受到幫助，抵達藏有自己身世之謎圖書館的故事，由於引人入勝<br>的故事劇情以及相當洗腦的台詞，吸引大批粉絲喜愛，成為 2017 年冬季番的大黑馬。<br><br>不過第一季動畫播到最後，卻爆發知名動畫《動物朋友》撤換 たつき導演事件，一夕間<br>便成為網上的熱門討論話題， 角川透過《動物朋友》官方網站，正式對外發布聲明，由<br><br>於聲明內容太過避重就輕，解釋原委又有諸多矛盾，反而激起網友更多的不滿。 角川動<br>畫雖然後來與製作公司八百萬社（ヤオヨロズ）的進行協商但最後仍破局，最後八百萬社<br><br>社長福原慶匡於去年底在個人 Twitter 發文表示，《動物朋友》第二季確定更換製作團<br>隊。<br><br>除了動畫外，《動物朋友》也將推出Nintendo Switch版的小遊戲，玩法將以各類傳統益<br>智遊戲為主，預計將在今年秋天發售，官方定價1080日圓（約新台幣300元）。但原本爆<br>紅的 《動物朋友》由於上述事件近兩年未能趁勝追擊，能否重回過往聲勢還有待觀察。<br><br><br>https://youtu.be/Jb94vH0VAek<br>https://game.ettoday.net/article/1250103.htm<br><br>動物朋友已死<br><br><br>角川:我們才是動物朋友!<br><br><br>--<br>", "", ""
"C_Chat#M.1535962302.A.2C9#00001", "Nuey", "不能   自己下去好嗎", "09/03 16:12", "0"
"C_Chat#M.1535962302.A.2C9#00002", "gaym19", "掀起逆風", "09/03 16:13", "0"
"C_Chat#M.1535962302.A.2C9#00003", "mk3pmk3p", "幹你角川!!!", "09/03 16:13", "0"
"C_Chat#M.1535962302.A.2C9#00004", "lav1147", "FYK", "09/03 16:14", "0"
"C_Chat#M.1535962302.A.2C9#00005", "Kadokawa", "樓下FYK", "09/03 16:14", "0"
"C_Chat#M.1535962302.A.2C9#00006", "tanyuki", "幹你角川", "09/03 16:14", "0"
"C_Chat#M.1535962302.A.2C9#00007", "cycy771489", "好FYK", "09/03 16:15", "0"
"C_Chat#M.1535962302.A.2C9#00008", "F0314", "FYK 垃圾偽作 滾!", "09/03 16:15", "0"
"C_Chat#M.1535962302.A.2C9#00009", "joy82926", "影片2.3萬負評www", "09/03 16:16", "0"
"C_Chat#M.1535962302.A.2C9#00010", "knight714", "FYK", "09/03 16:16", "0"
"C_Chat#M.1535962302.A.2C9#00011", "a060119", "先FYK再說", "09/03 16:16", "0"
"C_Chat#M.1535962302.A.2C9#00012", "qaz223gy", "FYK", "09/03 16:18", "0"
"C_Chat#M.1535962302.A.2C9#00013", "none049", "FYK", "09/03 16:21", "0"
"C_Chat#M.1535962302.A.2C9#00014", "jeans1020", "FYK", "09/03 16:21", "0"
"C_Chat#M.1535962302.A.2C9#00015", "ak47123121", "FYK", "09/03 16:21", "0"
"C_Chat#M.1535962302.A.2C9#00016", "joey19870429", "FYK 開另一個google帳號再按一次負評", "09/03 16:21", "0"
"C_Chat#M.1535962302.A.2C9#00017", "ks3290", "不能", "09/03 16:22", "0"
"C_Chat#M.1535962302.A.2C9#00018", "shuten", "皮諾可  這個直接電死", "09/03 16:22", "0"
"C_Chat#M.1535962302.A.2C9#00019", "davy012345", "FYK", "09/03 16:24", "0"
"C_Chat#M.1535962302.A.2C9#00020", "ADYex", "FYK", "09/03 16:24", "0"
"C_Chat#M.1535962302.A.2C9#00021", "comettsanyue", "拒看", "09/03 16:27", "0"
"C_Chat#M.1535962302.A.2C9#00022", "aaaaooo", "角川這個播放數還這麼高 我覺得可以", "09/03 16:28", "0"
"C_Chat#M.1535962302.A.2C9#00023", "LANJAY", "FYK", "09/03 16:28", "0"
"C_Chat#M.1535962302.A.2C9#00024", "secundus", "。", "09/03 16:32", "0"
"C_Chat#M.1535962302.A.2C9#00025", "fantasygod", "幫忙", "09/03 16:34", "0"
"C_Chat#M.1535962302.A.2C9#00026", "DivineSX", "FYK", "09/03 16:35", "0"
"C_Chat#M.1535962302.A.2C9#00027", "billy56", "還我jabari parker", "09/03 16:35", "0"
"C_Chat#M.1535962302.A.2C9#00028", "puma1011", "？", "09/03 16:37", "0"
"C_Chat#M.1535962302.A.2C9#00029", "Jerrybow", "不要瞎掰好嗎", "09/03 16:38", "0"
"C_Chat#M.1535962302.A.2C9#00030", "ghostxx", "FYK", "09/03 16:39", "0"
"C_Chat#M.1535962302.A.2C9#00031", "wuxin", "FYK", "09/03 16:40", "0"
"C_Chat#M.1535962302.A.2C9#00032", "as305602", "FYK", "09/03 16:40", "0"
"C_Chat#M.1535962302.A.2C9#00033", "UniversalGod", "FYK", "09/03 16:40", "0"
"C_Chat#M.1535962302.A.2C9#00034", "bobby4755", "QQ", "09/03 16:41", "0"
"C_Chat#M.1535962302.A.2C9#00035", "sectionnine", "並沒有", "09/03 16:43", "0"
"C_Chat#M.1535962302.A.2C9#00036", "Hazelburn", "FYK", "09/03 16:46", "0"
"C_Chat#M.1535962302.A.2C9#00037", "Ben40", "幹你角川", "09/03 16:46", "0"
"C_Chat#M.1535962302.A.2C9#00038", "qaz223gy", "不能", "09/03 16:50", "0"
"C_Chat#M.1535962302.A.2C9#00039", "adk147852", "並沒有", "09/03 16:52", "0"
"C_Chat#M.1535962302.A.2C9#00040", "yangzhe", "辦不到", "09/03 16:52", "0"
"C_Chat#M.1535962302.A.2C9#00041", "dr45jfga", "滾", "09/03 16:55", "0"
"C_Chat#M.1535962302.A.2C9#00042", "wowdogewow", "不能，滾，FYK", "09/03 16:56", "0"
"C_Chat#M.1535962302.A.2C9#00043", "tim860628", "FYK", "09/03 16:58", "0"
"C_Chat#M.1535962302.A.2C9#00044", "Cyjustin", "FYK", "09/03 17:02", "0"
"C_Chat#M.1535962302.A.2C9#00045", "lia1062001", "FYK", "09/03 17:12", "0"
