"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1536025941.A.5A4#00000", "hoanbeh", "《動物朋友》新作電視動畫 釋出首波宣傳影片 劇中團體成員徵選同步展開中<br><br>（GNN 記者 Akito 報導） 2018-09-02 20:09:41<br><br>今日於日本展開的「動物朋友 LIVE ～PPP LIVE～」，宣布《動物朋友》新作電視動畫《<br>動物朋友 2》的宣傳影片，並且釋出將展開劇中團體徵選的消息。<br><br>https://p2.bahamut.com.tw/M/2KU/32/547681c5e6bf89e15917f8fbc61253g5.JPG<br>《動物朋友》第一季動畫中，故事描述因為神秘物質「砂之星」的關係，在「傑帕力公園<br>」內的動物全部變成了女孩子的姿態。而在動物園內，忽然出現了一位迷路的女孩、他將<br>與藪貓共同展開探險之旅，並且認識各種動物朋友。<br><br>https://youtu.be/Jb94vH0VAek<br>而作品雖然在先前引起許多風波，但官方製作新作電視動畫的腳步依舊持續進行，今日所<br>公開的，就是新作電視動畫《動物朋友 2》的首波宣傳影片。<br><br>https://p2.bahamut.com.tw/M/2KU/33/baf86b1835a8298b27bb88d35f1253h5.JPG<br>此外，官方也同時宣布，將展開劇中團體的徵選活動，不論過去是否有相關演藝經驗，只<br>要尚未所屬於任何經紀公司，16 至 20 歲間的女性皆可參加徵選，選上的成員將有機會<br>成為劇中的活動團體。<br><br>目前官方尚未公布關於《動物朋友 2》更多資訊，對於本作有興趣的人，可注意後續相關<br>報導。<br><br>https://gnn.gamer.com.tw/5/167695.html<br><br>--<br>", "", ""
"C_Chat#M.1536025941.A.5A4#00001", "sealwow", "角川朋友", "09/04 09:53", "0"
"C_Chat#M.1536025941.A.5A4#00002", "yangjam", "我先 FYK", "09/04 09:54", "0"
"C_Chat#M.1536025941.A.5A4#00003", "Sechslee", "？", "09/04 09:55", "0"
"C_Chat#M.1536025941.A.5A4#00004", "fantasygod", "跟上！", "09/04 09:56", "0"
"C_Chat#M.1536025941.A.5A4#00005", "rich3826", "FYK", "09/04 09:56", "0"
"C_Chat#M.1536025941.A.5A4#00006", "chrisjeremy", "FYK", "09/04 09:56", "0"
"C_Chat#M.1536025941.A.5A4#00007", "roywow", "嘔嘔嘔嘔", "09/04 09:58", "0"
"C_Chat#M.1536025941.A.5A4#00008", "Ben40", "FYK", "09/04 09:59", "0"
"C_Chat#M.1536025941.A.5A4#00009", "Lueyueue", "FYK", "09/04 10:01", "0"
"C_Chat#M.1536025941.A.5A4#00010", "curd24865", "FYK", "09/04 10:02", "0"
"C_Chat#M.1536025941.A.5A4#00011", "a060119", "還敢下來啊 角川", "09/04 10:03", "0"
"C_Chat#M.1536025941.A.5A4#00012", "cmw610634", "Fyk", "09/04 10:05", "0"
