"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1537084927.A.BD9#00000", "EggGirl5566", "在什麼時候會出啊<br><br>距離二期也過了快兩年吧<br><br>原作量應該足夠<br><br>今年劇場版也大賣<br><br>我猜最快明年應該會有三期的消息吧<br><br>--<br>", "", ""
"C_Chat#M.1537084927.A.BD9#00001", "KagamiRaito", "???????????????????????????????", "09/16 16:03", "0"
"C_Chat#M.1537084927.A.BD9#00002", "cmw610634", "騙", "09/16 16:03", "0"
"C_Chat#M.1537084927.A.BD9#00003", "coon182", "這ID", "09/16 16:04", "0"
"C_Chat#M.1537084927.A.BD9#00004", "Erichikaunkr", "補來源就推回來", "09/16 16:04", "0"
"C_Chat#M.1537084927.A.BD9#00005", "ntupeter", "標題放假消息這可以桶吧?", "09/16 16:04", "0"
"C_Chat#M.1537084927.A.BD9#00006", "ldt1025", "預你", "09/16 16:04", "0"
"C_Chat#M.1537084927.A.BD9#00007", "tf010714", "很故意喔", "09/16 16:05", "0"
"C_Chat#M.1537084927.A.BD9#00008", "symetyr", "反詐騙", "09/16 16:05", "0"
"C_Chat#M.1537084927.A.BD9#00009", "m142434", "反詐騙", "09/16 16:05", "0"
"C_Chat#M.1537084927.A.BD9#00010", "benevolencer", "嘔嘔嘔嘔嘔", "09/16 16:05", "0"
"C_Chat#M.1537084927.A.BD9#00011", "xyz90605", "騙三小", "09/16 16:05", "0"
"C_Chat#M.1537084927.A.BD9#00012", "tLuesuGi", "????????????", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00013", "akisumi", "不用寫信告訴我水桶冷不冷", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00014", "cmw610634", "造謠關三天拉幹", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00015", "marchcharlie", "這麼故意", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00016", "eric10902", "掰掰", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00017", "justwe5566", "？？？", "09/16 16:06", "0"
"C_Chat#M.1537084927.A.BD9#00018", "gj4vm6vu4", "=  =", "09/16 16:07", "0"
"C_Chat#M.1537084927.A.BD9#00019", "k960608", "詐騙", "09/16 16:08", "0"
"C_Chat#M.1537084927.A.BD9#00020", "lin08080", "標題詐欺", "09/16 16:08", "0"
"C_Chat#M.1537084927.A.BD9#00021", "meowchen", "詐欺??", "09/16 16:10", "0"
"C_Chat#M.1537084927.A.BD9#00022", "jasonx105", "反詐騙", "09/16 16:10", "0"
"C_Chat#M.1537084927.A.BD9#00023", "zjes40604", "幫補血http//jin115.com/archives/52232946.html，http//jin115.com/archives/52232946.html", "09/16 16:10", "0"
"C_Chat#M.1537084927.A.BD9#00024", "ryanmulee", "噓不附來源，還恰民以為被騙", "09/16 16:12", "0"
"C_Chat#M.1537084927.A.BD9#00025", "Kaiii0618", "來了來了來了", "09/16 16:15", "0"
"C_Chat#M.1537084927.A.BD9#00026", "tf010714", "2020年太久了", "09/16 16:15", "0"
"C_Chat#M.1537084927.A.BD9#00027", "yuizero", "標題詐騙", "09/16 16:16", "0"
"C_Chat#M.1537084927.A.BD9#00028", "louiss72", "幫補血", "09/16 16:16", "0"
"C_Chat#M.1537084927.A.BD9#00029", "coon182", "損血", "09/16 16:17", "0"
"C_Chat#M.1537084927.A.BD9#00030", "arrenwu", "老兄 你這太欠噓了", "09/16 16:17", "0"
"C_Chat#M.1537084927.A.BD9#00031", "deathslipkno", "幫補血", "09/16 16:18", "0"
"C_Chat#M.1537084927.A.BD9#00032", "bear11037", "關三天 騙我", "09/16 16:19", "0"
"C_Chat#M.1537084927.A.BD9#00033", "yuizero", "我再補一刀", "09/16 16:20", "0"
"C_Chat#M.1537084927.A.BD9#00034", "gcobm14719", "我看你是", "09/16 16:20", "0"
"C_Chat#M.1537084927.A.BD9#00035", "fash5896", "…", "09/16 16:22", "0"
"C_Chat#M.1537084927.A.BD9#00036", "heinse", "幫補紅血", "09/16 16:27", "0"
