"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1537716976.A.43B#00000", "key0077", "FB-小滿的府城日誌<br><br>9/23秋分 是關子嶺姊姊 小楓的生日<br><br>繪製: 古晉豪<br><br>https://i.imgur.com/j6IMFp1.png<br>正好關子嶺溫泉美食節也開始了，有興趣的朋友可以去關注一下<br><br><br>就算是中秋節也有戲份呢<br>https://i.imgur.com/Gl6aljj.png<br>沒有活動經費要怎麼辦呢？讓小滿姐教大家<br>https://i.imgur.com/jyuD5Wv.png<br>幫月巴姊慶生，紅喜氣兼代表色 每噓10P到XX，可重複<br><br>--<br>", "", ""
"C_Chat#M.1537716976.A.43B#00001", "people001", "$", "09/23 23:42", "0"
"C_Chat#M.1537716976.A.43B#00002", "dragon99423", "錢", "09/23 23:45", "0"
"C_Chat#M.1537716976.A.43B#00003", "zxcv7892341", "好，紅的喜氣", "09/23 23:46", "0"
"C_Chat#M.1537716976.A.43B#00004", "Cuba15416", "生日快樂", "09/23 23:49", "0"
"C_Chat#M.1537716976.A.43B#00005", "Jetinacn", "生日快樂", "09/23 23:50", "0"
"C_Chat#M.1537716976.A.43B#00006", "WongTakashi", "好喔", "09/23 23:51", "0"
"C_Chat#M.1537716976.A.43B#00007", "a5steak", "喜氣", "09/23 23:51", "0"
"C_Chat#M.1537716976.A.43B#00008", "Ttei", "快樂", "09/23 23:53", "0"
"C_Chat#M.1537716976.A.43B#00009", "arioso0602", "快樂", "09/23 23:55", "0"
"C_Chat#M.1537716976.A.43B#00010", "sherry199540", "喜氣", "09/23 23:56", "0"
"C_Chat#M.1537716976.A.43B#00011", "casper001207", "喜氣", "09/23 23:57", "0"
"C_Chat#M.1537716976.A.43B#00012", "chrisku888", "喜氣", "09/23 23:59", "0"
"C_Chat#M.1537716976.A.43B#00013", "cycy771489", "好", "09/24 00:00", "0"
"C_Chat#M.1537716976.A.43B#00014", "unidi860313", "好喔", "09/24 00:00", "0"
"C_Chat#M.1537716976.A.43B#00015", "shinnx42s", "$$", "09/24 00:01", "0"
"C_Chat#M.1537716976.A.43B#00016", "nok1126", "紅的喜氣", "09/24 00:01", "0"
"C_Chat#M.1537716976.A.43B#00017", "biosphere", "$", "09/24 00:01", "0"
"C_Chat#M.1537716976.A.43B#00018", "cycy771489", "喜氣", "09/24 00:02", "0"
"C_Chat#M.1537716976.A.43B#00019", "unidi860313", "喜氣", "09/24 00:02", "0"
"C_Chat#M.1537716976.A.43B#00020", "bobby4755", "喜氣", "09/24 00:03", "0"
"C_Chat#M.1537716976.A.43B#00021", "HanzJunction", "好", "09/24 00:03", "0"
"C_Chat#M.1537716976.A.43B#00022", "unidi860313", "喜氣", "09/24 00:04", "0"
"C_Chat#M.1537716976.A.43B#00023", "sheeddee870", "好，推錯 等等補噓", "09/24 00:04", "0"
"C_Chat#M.1537716976.A.43B#00024", "kurosakiei", "生日快樂", "09/24 00:04", "0"
"C_Chat#M.1537716976.A.43B#00025", "zero75559851", "好", "09/24 00:04", "0"
"C_Chat#M.1537716976.A.43B#00026", "dickyy", "喜氣", "09/24 00:04", "0"
"C_Chat#M.1537716976.A.43B#00027", "lv256", "這種要求wwwww", "09/24 00:05", "0"
"C_Chat#M.1537716976.A.43B#00028", "gj4vm6vu4", "好", "09/24 00:05", "0"
"C_Chat#M.1537716976.A.43B#00029", "mimei50510", "快樂", "09/24 00:06", "0"
"C_Chat#M.1537716976.A.43B#00030", "unidi860313", "喜氣", "09/24 00:06", "0"
"C_Chat#M.1537716976.A.43B#00031", "fxp51203", "喜氣", "09/24 00:06", "0"
"C_Chat#M.1537716976.A.43B#00032", "BubbleAdam", "這種要求我第一次聽到", "09/24 00:07", "0"
"C_Chat#M.1537716976.A.43B#00033", "xsc", "好", "09/24 00:07", "0"
"C_Chat#M.1537716976.A.43B#00034", "unidi860313", "生日快樂", "09/24 00:08", "0"
"C_Chat#M.1537716976.A.43B#00035", "tonybbbb", "生日快樂", "09/24 00:08", "0"
"C_Chat#M.1537716976.A.43B#00036", "water903", "錢", "09/24 00:08", "0"
"C_Chat#M.1537716976.A.43B#00037", "yee999", "yee", "09/24 00:08", "0"
"C_Chat#M.1537716976.A.43B#00038", "sheeddee870", "噓回來 尷尬。。。", "09/24 00:08", "0"
