"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1538039612.A.1BE#00000", "ss8901233", "聊天室用語刷起來！但你知道它們如何誕生的嗎？<br><br>各位玩家們遊戲玩久了，相信不管你是出於好奇、消遣、還是求攻略的心態，多少都會去<br>找影片或直播來看，深根於直播平台聊天室的大家，一定也知道許許多多存在於聊天室裡<br>，甚至是從中誕生的各種神奇用語，不過你真的知道這些詞是怎麼來的嗎？以下嚴選出幾<br>個較為特別的台灣 Twitch 聊天室流行用語，以及它們光怪陸離（！？）的誕生方式。<br><br><br><br>77777<br><br>如果你是聊天室新來的菜逼八，一定會很好奇大夥常常刷一整排的 7 到底是在幹嘛，如<br>果說是 6 至少還能聯想是很「溜」、很厲害的意思，那 7 到底是在幹嘛呢？<br><br>追溯到最一開始有人刷 7，大概是從亞洲統神（張嘉航）的台開始。真正的起源有兩種說<br>法，其一為刷 6 是從中國那邊來的習慣，想要跟他們不一樣的話只剩 7 可以刷了，因為<br>其他數字都有其諧音或慣用的含意。第二種是以下影片，當有人問統神為什麼要刷 7 的<br>時候，他給了一個很幽默的答覆，表示自己因為一些「個人原因」，比較喜歡 7 這個數<br>字。<br><br><br><br>用法上面基本上與刷 6 是一樣的，就是很厲害、好猛、很溜的概念。<br><br><br><br>巴貝里奇<br><br>這個詞的背景故事對於沒有關注選手八卦的人而言非常冗長，一切都要從《英雄聯盟》前<br>職業選手、現實況主 DinTer 丁特（薛弘偉）2015 年的誹聞說起，自從與粉絲發生親密<br>關係且粉絲懷孕墮胎的消息流出後，聊天室開始流行刷起一個爆哭寶寶的圖案：，而這個<br>圖案的名稱是「BabyRage」，許多實況主都會設定讓 Google 小姐大聲朗讀出觀眾斗內（<br>Donate，贊助）附加的文字內容，當 BabyRage 遇上硬翻中文音唸出來的 Google 小姐，<br>就出現了「巴貝里奇」。<br><br>丁特緋聞相關的梗還有非常多，從《英雄聯盟》達瑞斯的大招墮下去，到長得很像哭哭寶<br>寶的阿姆姆嬰靈戰車等，絕大部分都是其他實況主或觀眾在嘲諷丁特，不過有時候他也會<br>自嘲，到現在已經比較接近於視為一個梗在玩，抨擊意味比起事件爆發時較少，或是單純<br>表達那個爆哭寶寶貼圖，不過當然還是有一定程度的譴責啦，算是另一種形式的嬰靈纏身<br>吧。<br><br><br><br>還敢下來啊冰鳥<br><br>這句話其實沒有什麼離奇或充滿轉折的故事，就只是實況主國動（張葦航）某次用達瑞斯<br>拿了雙殺，其中一顆頭是冰鳥自己送上門的，發了瘋似地吶喊的一句話，此後每每遇上殺<br>掉冰鳥這句話依然很受用。<br><br><br><br><br><br>免費仔<br><br>《爐石戰記》實況主 Kyo 的演技格外「高超」，尤其上演暗示斗內的戲碼時，會把背景<br>音樂調整的比較哀戚，並用比較哀傷的裝可憐講話方式，不過他的觀眾都早已識破，因此<br>會有「你暗示，你流淚，我還是，不訂閱，不斗內，看免費」這句話充斥著聊天室，通常<br>會搭配哭哭饅頭符號：而那些不訂閱也不斗內的觀眾們常被戲稱為免費仔，台灣 Twitch<br>設定聊天室僅限訂閱者模式的台主極少，因此免費仔隨處可見，久而久之這個叫法已經廣<br>為人用，甚至好用到日常生活也完全拿得出來使用，例如朋友叫你開網路借他用，就可以<br>跟他說：「吃 X 啦臭免費仔」。<br><br><br><br>額外加碼葉子的訂閱之歌給免費仔聽：<br><br><br><br>抱歉，蒐集資訊時意外翻到的，不能只有我聽到。<br><br><br><br>筍乾爆炸<br><br>其實 Kyo 引領了不少聊天室用語小風潮（？），「筍乾爆炸」、「問題拔大」、「聊天<br>室你們這群憤怒雞」等，都是從這位大叔嘴裡出來的，筍乾爆炸其實就是瞬間爆炸的意思<br>，Kyo 一開始用在把對手壓著打、對方快要爆炸了（爐石輸了角色會爆炸）的情況上。不<br>過一樣使用方式非常廣泛，不管你玩什麼遊戲、快爆炸的是你還是對手都可以使用。<br><br><br><br>聊天室你們這群憤怒雞<br><br>對應到《英雄聯盟》就是「聊天室你們這群銅牌」的概念，《爐石戰記》最低階的頭像是<br>隻可愛的憤怒雞，當 Kyo 覺得觀眾問題很遜，或他就只是想噴，就會說這句話。也是應<br>用層面極廣，你也可以銅牌、憤怒雞交叉混搭使用，總之說人很菜、很爛。<br><br><br><br>咕嚕靈波（●′∀‵）ノ♡<br><br>這其中誕生方式最為奇特、也是最語意不詳的用語，更有其他網站小編為它撰寫了一篇「<br>咕嚕靈波（●′∀‵）ノ♡－－邪教的起源」，這個不明所以的詞來自《超異域公主連結<br>☆Re:Dive》其中一個名為「真步」的角色，實況主懶貓在玩此款遊戲時，總是會跟隨真<br>步一同喊「咕嚕靈波」，聊天室也會跟著刷，但加上擁有固定表符的版本卻是由一名堅持<br>不懈的觀眾所創造。<br><br><br><br>一位 ID 名稱「麥香紅1130」的觀眾每三十秒就刷一次「咕嚕靈波（●′∀‵）ノ♡」（<br>聊天室有設定免費仔發言要隔三十秒），他的堅定不移，導致隔日再度開台的懶貓發現整<br>個聊天室居然都統一成「咕嚕靈波（●′∀‵）ノ♡」了。這個由觀眾打造的用語風潮算<br>是這其中最奇特的案例，而「咕嚕靈波（●′∀‵）ノ♡」的日常使用方式，大概是拿來<br>裝可愛或是當語助詞吧（！？）。<br><br><br><br>本期超詭異聊天室用語專題在此告一段落，若是還有什麼神秘語詞你想知道由來，或是想<br>跟娜編抗議有更為流行洗腦的用語沒寫到，都可以在粉專留言給我們唷咕嚕靈波（●′∀<br>‵）ノ♡<br><br>https://exp.gg/zh_tw/exp%E5%8E%9F%E5%89%B5%E5%B0%88%E5%8D%80-zh_tw/70183<br><br>--<br>", "", ""
"C_Chat#M.1538039612.A.1BE#00001", "gox1117", "狗幹", "09/27 17:13", "0"
"C_Chat#M.1538039612.A.1BE#00002", "roy31317", "這樣也一篇", "09/27 17:14", "0"
"C_Chat#M.1538039612.A.1BE#00003", "Xavy", "小圈圈外溢，這才3p 啊", "09/27 17:15", "0"
"C_Chat#M.1538039612.A.1BE#00004", "nichailolico", "洗p幣逆 這麼一大篇通篇廢話", "09/27 17:15", "0"
"C_Chat#M.1538039612.A.1BE#00005", "cmw610634", "爛死", "09/27 17:16", "0"
"C_Chat#M.1538039612.A.1BE#00006", "justice00s", "皮包", "09/27 17:16", "0"
"C_Chat#M.1538039612.A.1BE#00007", "Ttei", "筍乾和憤怒雞沒聽過", "09/27 17:17", "0"
"C_Chat#M.1538039612.A.1BE#00008", "Gram", "作者是kyo粉吧，明明起源都不是kyo 還硬要扯", "09/27 17:17", "0"
"C_Chat#M.1538039612.A.1BE#00009", "pf270801", "誰", "09/27 17:17", "0"
