"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1539362450.A.E2D#00000", "sasaki3630", "已經連續30抽沒三星了<br><br>之前都10抽 20抽出一兩隻三星<br><br>這遊戲怎麼這麼難抽啊<br><br>超「抑鬱」公主連結？！<br><br><br>還是FGO佛 嗚嗚<br><br>我難過<br><br>--<br>", "", ""
"C_Chat#M.1539362450.A.E2D#00001", "Koyomiiii", "喔是喔", "10/13 00:41", "0"
"C_Chat#M.1539362450.A.E2D#00002", "gamania0515", "個版?", "10/13 00:41", "0"
"C_Chat#M.1539362450.A.E2D#00003", "visit19xx", "才30抽是在………", "10/13 00:42", "0"
"C_Chat#M.1539362450.A.E2D#00004", "GGWPonLOL", "讚 留言 分享", "10/13 00:43", "0"
"C_Chat#M.1539362450.A.E2D#00005", "oscar1234562", "滾", "10/13 00:44", "0"
"C_Chat#M.1539362450.A.E2D#00006", "gaym19", "反正你也沒入坑過啊", "10/13 00:44", "0"
"C_Chat#M.1539362450.A.E2D#00007", "phoenix286", "滾", "10/13 00:44", "0"
"C_Chat#M.1539362450.A.E2D#00008", "k24932359", "滾", "10/13 00:44", "0"
"C_Chat#M.1539362450.A.E2D#00009", "akles111", "掰", "10/13 00:45", "0"
"C_Chat#M.1539362450.A.E2D#00010", "uiue", "你跟你兄弟現在發文連圖都不附了", "10/13 00:45", "0"
"C_Chat#M.1539362450.A.E2D#00011", "GentleJena", "笑死人 免費仔30抽就崩潰喔", "10/13 00:46", "0"
"C_Chat#M.1539362450.A.E2D#00012", "siscon", "數學不好沒關係 幫忙算給你看 三星機率2% 期望值50抽1三星而30抽沒三星的機率高達54.5%喔 超過50%呢^^", "10/13 00:46", "1"
"C_Chat#M.1539362450.A.E2D#00013", "CYL009", "早說你會退坑了", "10/13 00:47", "0"
"C_Chat#M.1539362450.A.E2D#00014", "MBV1698", "笑死 該盯上這款了啊，改", "10/13 00:47", "0"
"C_Chat#M.1539362450.A.E2D#00015", "FeJai113", "熟悉的ID", "10/13 00:47", "0"
"C_Chat#M.1539362450.A.E2D#00016", "zsefv333", "堅持下去 不要回來 ==", "10/13 00:48", "0"
"C_Chat#M.1539362450.A.E2D#00017", "boyce02", ".", "10/13 00:48", "0"
"C_Chat#M.1539362450.A.E2D#00018", "as80110680", "你課多少 ==", "10/13 00:50", "0"
"C_Chat#M.1539362450.A.E2D#00019", "umi0912umi", "才30 掰掰", "10/13 00:50", "0"
"C_Chat#M.1539362450.A.E2D#00020", "sasaki3630", "跟FGO一樣 無課", "10/13 00:50", "0"
"C_Chat#M.1539362450.A.E2D#00021", "salamender", "所內：我養的讚佛大隊呢？", "10/13 00:50", "0"
"C_Chat#M.1539362450.A.E2D#00022", "padpadl12", "不玩剛好 少發點廢文", "10/13 00:53", "0"
"C_Chat#M.1539362450.A.E2D#00023", "qss05", "媽的…150抽沒3星都沒發文了，你取什麼暖", "10/13 00:54", "0"
"C_Chat#M.1539362450.A.E2D#00024", "cul287", "還好耶 入坑2個月半 除了首抽沒抽過任何三星...這遊戲三星非常非常非常難抽", "10/13 00:54", "0"
"C_Chat#M.1539362450.A.E2D#00025", "sasaki3630", "目前約90抽  6五星 （鏡華抽三隻沒算在內）", "10/13 00:55", "0"
"C_Chat#M.1539362450.A.E2D#00026", "l47695456", "才30抽 你回去FGO搞不好好幾單連四星都沒有，醒了沒", "10/13 00:56", "0"
"C_Chat#M.1539362450.A.E2D#00027", "johnny83225", "ID", "10/13 00:58", "0"
"C_Chat#M.1539362450.A.E2D#00028", "sasaki3630", "噴水蘿上一次PU算好抽 容易歪出來", "10/13 00:58", "0"
"C_Chat#M.1539362450.A.E2D#00029", "jacklinjia", "才30還敢出來==", "10/13 00:59", "0"
"C_Chat#M.1539362450.A.E2D#00030", "dpcloud", "尊重", "10/13 01:00", "0"
"C_Chat#M.1539362450.A.E2D#00031", "CYL009", "6 五星  啊呀  露餡了", "10/13 01:00", "0"
"C_Chat#M.1539362450.A.E2D#00032", "feedcat", "看到這廢文我也是滿難過的", "10/13 01:00", "0"
