"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1539580473.A.6F9#00000", "whitefang10", "本魯接觸jojo大概2~3年，雖然不是狂粉<br>但基本上就是把漫畫1-7部、動畫1-4部看完的程度<br><br>然後平常在家看到HIGH的時候，會跑過去擺jojo立給老婆大人看<br>雖然絕大部份是皇后殺手<br><br>以及不時發出「ＪＯ～ＪＯ～」、「我不上班啦～久久」等意義不明的話給老婆聽<br>當然平常正常時還是會跟她介紹jojo的世界觀，以及荒木在世界上有名的程度<br><br>因為老婆大人平常也喜歡看漫畫，大部份都是校園、戀愛或喜劇類的<br>所以之前試跟她推了幾部<br>1.學園孤島(失敗）<br>2.來自深淵(成功）<br>3.刀劍神域(成功）<br>4.魔法少女小圓(考慮中)<br><br><br>至於jojo則覺得風格對她來說可能太過強烈，所以沒推<br>但上上個禮拜她就直接跟我說<br><br>「欸～你之前說的jojo出新動畫，要不要改天來一起看」<br><br>所以我們就這樣一起看了2週的黃金之風，而對她來說印象深刻的點是<br>1.色彩相當濃厚，而且主角的衣服太有個性<br>2.似乎有點暴力<br><br>然後我前天外出，回來她跟我說她又重看了一次黃金之風 (真是個壞孩子呢)<br>而現在她無聊時，會拿家裡的玩偶熊跑過來槌我說<br><br>「看我的黃金體驗」、「意識爆衝了吧～哼哼」<br><br><br>不過有點擔心的是畢竟jojo噴血噴的大<br>特別是想到後面綠D那段，真的是少數我覺得jojo中噁心程度前幾名的橋段<br><br>不知道到時有沒有辦法接受就是了<br><br><br>總之，能夠跟最親的人享受同樣的嗜好，真是件很棒的事呢！<br><br>--<br>", "", ""
"C_Chat#M.1539580473.A.6F9#00001", "Makimywife", "你只是在炫耀吧www", "10/15 13:15", "0"
"C_Chat#M.1539580473.A.6F9#00002", "kotw15", "放閃文", "10/15 13:15", "0"
"C_Chat#M.1539580473.A.6F9#00003", "gekisen", "現充爆炸吧", "10/15 13:15", "0"
"C_Chat#M.1539580473.A.6F9#00004", "SMartist", "閃屁哦", "10/15 13:16", "0"
"C_Chat#M.1539580473.A.6F9#00005", "me464515", "推給你老婆惡魔人crybaby就神串", "10/15 13:16", "0"
"C_Chat#M.1539580473.A.6F9#00006", "rxsmalllove", "炫耀啊啊啊啊啊啊啊啊", "10/15 13:16", "0"
"C_Chat#M.1539580473.A.6F9#00007", "Mikoto41", "在西洽版放閃是不會受到讚賞的", "10/15 13:16", "0"
"C_Chat#M.1539580473.A.6F9#00008", "axzs1111", "醒醒", "10/15 13:16", "0"
"C_Chat#M.1539580473.A.6F9#00009", "kobe9527", "幹 有老婆 怒噓", "10/15 13:17", "0"
"C_Chat#M.1539580473.A.6F9#00010", "HellFly", "醒", "10/15 13:17", "0"
"C_Chat#M.1539580473.A.6F9#00011", "fesolla", "爆炸吧", "10/15 13:17", "0"
"C_Chat#M.1539580473.A.6F9#00012", "glion", "怎不從第三部開始看　小心消化不良", "10/15 13:18", "0"
"C_Chat#M.1539580473.A.6F9#00013", "CavendishJr", "歐拉歐拉歐拉歐拉歐拉", "10/15 13:18", "0"
"C_Chat#M.1539580473.A.6F9#00014", "WindSpread", "......恭喜你", "10/15 13:18", "0"
"C_Chat#M.1539580473.A.6F9#00015", "Koyomiiii", "老婆？？？？？？", "10/15 13:18", "0"
"C_Chat#M.1539580473.A.6F9#00016", "yoyozero", "閃屁", "10/15 13:18", "0"
"C_Chat#M.1539580473.A.6F9#00017", "sd950283", "幹 不准給我跳部", "10/15 13:19", "0"
"C_Chat#M.1539580473.A.6F9#00018", "holisea175", "空白文是不行的喔", "10/15 13:19", "0"
"C_Chat#M.1539580473.A.6F9#00019", "duece0927", "添柴火", "10/15 13:19", "0"
"C_Chat#M.1539580473.A.6F9#00020", "good74152", "左轉 這裡不能有人有老婆", "10/15 13:19", "0"
"C_Chat#M.1539580473.A.6F9#00021", "durantjosh", "有老婆？只好悲憤噓了==", "10/15 13:20", "0"
"C_Chat#M.1539580473.A.6F9#00022", "qpp222208", "這樣不行= =", "10/15 13:20", "0"
"C_Chat#M.1539580473.A.6F9#00023", "secutor145", "幹 好好", "10/15 13:21", "0"
"C_Chat#M.1539580473.A.6F9#00024", "qwer338859", "嘔嘔嘔嘔 嗚嗚嗚嗚", "10/15 13:21", "0"
"C_Chat#M.1539580473.A.6F9#00025", "PttLite", "我老婆也不喜歡jojo風格，她喜歡上季的妖怪旅館，我不喜歡....", "10/15 13:22", "0"
"C_Chat#M.1539580473.A.6F9#00026", "snegi", "醒醒 你老婆是替身", "10/15 13:22", "0"
"C_Chat#M.1539580473.A.6F9#00027", "cmw610634", "我老婆是愛麗絲 寶多六花是我小三", "10/15 13:22", "0"
"C_Chat#M.1539580473.A.6F9#00028", "sj210444", "老婆(X) 替身(O)", "10/15 13:22", "0"
"C_Chat#M.1539580473.A.6F9#00029", "Sageazure", "崩潰噓= =", "10/15 13:23", "0"
"C_Chat#M.1539580473.A.6F9#00030", "kinuhata", "你沒有老婆", "10/15 13:23", "0"
"C_Chat#M.1539580473.A.6F9#00031", "gfhnrtjpoiuy", "滾啦 大中午還在睡不用上班喔", "10/15 13:23", "0"
"C_Chat#M.1539580473.A.6F9#00032", "tp950016", "閃屁喔", "10/15 13:24", "0"
"C_Chat#M.1539580473.A.6F9#00033", "CactusFlower", "殺手皇后在你後面 他正要碰你", "10/15 13:24", "0"
"C_Chat#M.1539580473.A.6F9#00034", "uiue", "爆炸吧", "10/15 13:25", "0"
"C_Chat#M.1539580473.A.6F9#00035", "OAOb", "幫補血 不過還是不知道你這篇的重點是什麼", "10/15 13:25", "0"
"C_Chat#M.1539580473.A.6F9#00036", "BruceHsieh", "嘔嘔嘔嘔", "10/15 13:26", "0"
"C_Chat#M.1539580473.A.6F9#00037", "belmontc", "紅的喜氣", "10/15 13:26", "0"
