"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1540261768.A.6E2#00000", "qweewqq", "扯！知名LOL實況主竟嗆「普悠瑪的人都死好、活該」...<br><br>〔即時新聞／綜合報導〕台鐵6432次的普悠瑪列車21日在新馬車站附近出軌、翻覆，導致<br>18死193傷，不料竟有知名英雄聯盟實況主口不擇言，在實況上嗆：「愛搭普悠瑪，死好<br>」，引發網友痛批。<br><br>綽號「國動」的知名實況主張葦航，昨晚實況英雄聯盟時，有觀眾在聊天室詢問「國動」<br>，稱「普悠瑪出軌需要輸血」、「你可以捐血嗎」等語，不料「國動」竟語出驚人，嗆：<br>「這些人都死好，普悠瑪的人都死好，都活該」，還嘲諷稱「愛搭普悠瑪，死好」、「怪<br>你們窮，沒錢買車。」<br><br>「國動」越講越激動，三字經連發，最後還稱「上新聞、上新聞就上新聞阿怎樣？不爽告<br>我啊」。<br>網友痛批：根本反社會人格吧<br><br>此番言論令許多觀眾傻眼，網友紛紛痛批：「這種事情還敢拿來開玩笑喔」、「這種話都<br>講得出來」、「這叫做效果嗎？根本反社會人格吧」、「什麼話能在公開場合講什麼不能<br>我以為是成年人該有的常識」。<br><br>http://news.ltn.com.tw/news/life/breakingnews/2589165<br><br>--<br>", "", ""
"C_Chat#M.1540261768.A.6E2#00001", "Zenonia", "= = 怎麼突然發癲", "10/23 10:30", "0"
"C_Chat#M.1540261768.A.6E2#00002", "johnson20524", "過氣型實況主", "10/23 10:31", "0"
"C_Chat#M.1540261768.A.6E2#00003", "belmontc", "更好笑是還有人幫他護航說啥節目效果www，兄弟倆都一樣啦", "10/23 10:31", "0"
"C_Chat#M.1540261768.A.6E2#00004", "corlos", "看來要犧牲自己成就弟弟吧，蹦蛙有這麼過氣嗎", "10/23 10:31", "0"
"C_Chat#M.1540261768.A.6E2#00005", "blargelp", "你們以為國棟之巔是瞎掰的歌喔", "10/23 10:31", "0"
"C_Chat#M.1540261768.A.6E2#00006", "s2637726", "人氣值告急 趕快衝一波", "10/23 10:32", "0"
"C_Chat#M.1540261768.A.6E2#00007", "keyman616", "原來是他喔,我以為是名嘴那個國棟,想說怎麼這麼北七", "10/23 10:32", "0"
"C_Chat#M.1540261768.A.6E2#00008", "IaKoMu", "都是效果啦 我們動主播這樣也不是一天兩天的事了", "10/23 10:32", "0"
"C_Chat#M.1540261768.A.6E2#00009", "alwaysstrong", "這誰？", "10/23 10:32", "0"
"C_Chat#M.1540261768.A.6E2#00010", "Jiajun0724", "笑死 真的崩了", "10/23 10:33", "0"
"C_Chat#M.1540261768.A.6E2#00011", "p10121987", "誰啊這人", "10/23 10:33", "0"
"C_Chat#M.1540261768.A.6E2#00012", "lungyu", "動粉平時都吹真性情 出事就變成都效果幹嘛認真 實況自助餐", "10/23 10:33", "1"
"C_Chat#M.1540261768.A.6E2#00013", "Pocer", "他的粉絲真的很可悲  嘻嘻", "10/23 10:34", "0"
"C_Chat#M.1540261768.A.6E2#00014", "Ttei", "這就是逼肥宅捐血的後果，大家滿意了嗎", "10/23 10:34", "0"
"C_Chat#M.1540261768.A.6E2#00015", "wl02390852", "可悲仔", "10/23 10:37", "0"
"C_Chat#M.1540261768.A.6E2#00016", "roger2623900", "這波操作真的不行 以後真的不看他實況了", "10/23 10:38", "0"
"C_Chat#M.1540261768.A.6E2#00017", "motsu", "誰？", "10/23 10:39", "0"
"C_Chat#M.1540261768.A.6E2#00018", "crash121", "粉絲繼續挺啊 反正會看他的粉絲素質就，這樣", "10/23 10:41", "0"
"C_Chat#M.1540261768.A.6E2#00019", "trgg2933", "我從來沒喜歡過他們兄弟倆", "10/23 10:41", "0"
"C_Chat#M.1540261768.A.6E2#00020", "shadowdio", "台灣價值", "10/23 10:42", "0"
"C_Chat#M.1540261768.A.6E2#00021", "zsp9081a", "lol版那風向好亂", "10/23 10:42", "0"
"C_Chat#M.1540261768.A.6E2#00022", "yang560831", "為什麼遊戲不自己玩?要看什麼實況?", "10/23 10:43", "0"
"C_Chat#M.1540261768.A.6E2#00023", "polanco", "希望他會有報應", "10/23 10:46", "0"
"C_Chat#M.1540261768.A.6E2#00024", "gargoyles", "可撥", "10/23 10:47", "0"
"C_Chat#M.1540261768.A.6E2#00025", "game147", "可撥", "10/23 10:47", "0"
"C_Chat#M.1540261768.A.6E2#00026", "chcony", "瘋狗的外號他媽的十歲就有了", "10/23 10:47", "0"
"C_Chat#M.1540261768.A.6E2#00027", "dustlike", "誰??", "10/23 10:48", "0"
"C_Chat#M.1540261768.A.6E2#00028", "Xavy", "因為遊戲是買回來堆的", "10/23 10:49", "0"
"C_Chat#M.1540261768.A.6E2#00029", "angel6502", "愛嘴是沒關係，我覺得護航的粉絲才是笑話y", "10/23 10:50", "0"
"C_Chat#M.1540261768.A.6E2#00030", "gogojazz", "Y個嗆我的快出來護航，某個", "10/23 10:51", "0"
"C_Chat#M.1540261768.A.6E2#00031", "gn00399745", "在網路上爽罵無辜的人還有錢賺 跟名嘴差不多水準", "10/23 10:54", "0"
"C_Chat#M.1540261768.A.6E2#00032", "fuhu66", "他打LOL本來就容易亂噴阿", "10/23 10:55", "0"
"C_Chat#M.1540261768.A.6E2#00033", "sai007788", "反正他的粉絲還不是小心翼翼的捧著他的覽趴怕他凍著", "10/23 11:02", "0"
"C_Chat#M.1540261768.A.6E2#00034", "Ariettina", "LOL不意外", "10/23 11:07", "0"
"C_Chat#M.1540261768.A.6E2#00035", "e04bank", "貴圈真亂", "10/23 11:08", "0"
"C_Chat#M.1540261768.A.6E2#00036", "qqq60710", "這次真的不行 國動掰", "10/23 11:16", "0"
"C_Chat#M.1540261768.A.6E2#00037", "LeiaRolando", "誠實推", "10/23 11:21", "0"
"C_Chat#M.1540261768.A.6E2#00038", "amsmsk", "張家老弟真的自己滑了", "10/23 11:24", "0"
"C_Chat#M.1540261768.A.6E2#00039", "finzaghi", ".........", "10/23 11:27", "0"
"C_Chat#M.1540261768.A.6E2#00040", "chadhold", "這種言論真的不行", "10/23 11:31", "0"
"C_Chat#M.1540261768.A.6E2#00041", "ghostxx", "什麼能消費什麼不能都分不清，又要說自己有病嗎", "10/23 11:33", "0"
"C_Chat#M.1540261768.A.6E2#00042", "a26848400", "有沒有玩遊戲會使人有反社會人格的八卦？", "10/23 11:37", "0"
"C_Chat#M.1540261768.A.6E2#00043", "IFeelSoAlive", "哈哈反正粉絲也一樣都是垃圾啊，亂噴根本沒差", "10/23 11:41", "0"
"C_Chat#M.1540261768.A.6E2#00044", "anumber", "可撥", "10/23 11:44", "0"
"C_Chat#M.1540261768.A.6E2#00045", "deathslipkno", "誰？", "10/23 11:45", "0"
"C_Chat#M.1540261768.A.6E2#00046", "qize1428", "這篇文還有某樓無聊當有趣，祝這種敗類全家車禍死光", "10/23 11:48", "0"
"C_Chat#M.1540261768.A.6E2#00047", "spaiwana", "這種人還有粉絲 真恐怖", "10/23 11:51", "0"
"C_Chat#M.1540261768.A.6E2#00048", "strray", "沒錢買車? 花東那路況你他媽有車開也不會想開好嗎，沒常識也沒有同情心 還不會讀空氣 居然還有人推誠實", "10/23 11:51", "0"
"C_Chat#M.1540261768.A.6E2#00049", "asd07633", "他會開車?", "10/23 11:52", "0"
"C_Chat#M.1540261768.A.6E2#00050", "wryyyyyyyy", "還敢做效果啊 胖子", "10/23 11:55", "0"
"C_Chat#M.1540261768.A.6E2#00051", "a2917372a", "笑死開始扯粉絲素質", "10/23 11:59", "0"
"C_Chat#M.1540261768.A.6E2#00052", "TEAJA", "早不看這兩人台了 越看越噁心", "10/23 12:02", "0"
